#	startTime:1560138238143
#	SiteID:5cd56865eb294480de7167b6	SiteName:特力时尚汇	FloorId:5cd56865eb294480de7167be	FloorName:F4
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1560138238145	TYPE_WAYPOINT	72.21704	23.191324
1560138238284	TYPE_ACCELEROMETER	1.2095795	4.10849	8.529221
1560138238284	TYPE_MAGNETIC_FIELD	23.699999	-0.12	-35.76
1560138238284	TYPE_GYROSCOPE	0.16517639	0.24197388	0.27227783
1560138238284	TYPE_ROTATION_VECTOR	0.2497231	0.039835535	0.52909
1560138238284	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.16	-53.339996	-165.78
1560138238284	TYPE_GYROSCOPE_UNCALIBRATED	0.15913391	0.28741455	0.19851685
1560138238284	TYPE_ACCELEROMETER_UNCALIBRATED	1.5960236	4.0534515	8.226532
1560138238304	TYPE_ACCELEROMETER	0.42951965	4.1886444	8.908478
1560138238304	TYPE_MAGNETIC_FIELD	24.06	-0.29999998	-35.76
1560138238304	TYPE_GYROSCOPE	0.06590271	0.39315796	0.10795593
1560138238304	TYPE_ROTATION_VECTOR	0.22043414	0.066237435	0.52981496
1560138238304	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.52	-53.519997	-165.78
1560138238304	TYPE_GYROSCOPE_UNCALIBRATED	0.05986023	0.43859863	0.034194946
1560138238304	TYPE_ACCELEROMETER_UNCALIBRATED	0.7728882	4.162323	8.75415
1560138238324	TYPE_ACCELEROMETER	0.19502258	4.1575317	9.107086
1560138238324	TYPE_MAGNETIC_FIELD	24.42	-0.29999998	-36.0
1560138238324	TYPE_GYROSCOPE	-0.005554199	0.18058777	0.14216614
1560138238324	TYPE_ROTATION_VECTOR	0.19888873	0.09106515	0.4936697
1560138238324	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.880001	-53.519997	-166.02
1560138238324	TYPE_GYROSCOPE_UNCALIBRATED	-0.01159668	0.22602844	0.06840515
1560138238324	TYPE_ACCELEROMETER_UNCALIBRATED	0.23570251	4.1886444	9.008987
1560138238343	TYPE_ACCELEROMETER	0.5228424	3.9708862	9.360733
1560138238343	TYPE_MAGNETIC_FIELD	25.019999	-0.42	-36.0
1560138238343	TYPE_GYROSCOPE	-0.056259155	0.046188354	0.2625122
1560138238343	TYPE_ROTATION_VECTOR	0.18507105	0.10442716	0.51888996
1560138238343	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.48	-53.639996	-166.02
1560138238343	TYPE_GYROSCOPE_UNCALIBRATED	-0.01159668	0.22602844	0.06840515
1560138238343	TYPE_ACCELEROMETER_UNCALIBRATED	0.2979126	4.0869446	9.221939
1560138238363	TYPE_ACCELEROMETER	1.0935211	3.6717834	9.63829
1560138238363	TYPE_MAGNETIC_FIELD	25.619999	-0.59999996	-36.0
1560138238363	TYPE_GYROSCOPE	-0.050750732	0.05657959	0.37734985
1560138238363	TYPE_ROTATION_VECTOR	0.18006535	0.08852017	0.54235494
1560138238363	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.079998	-53.819996	-166.02
1560138238363	TYPE_GYROSCOPE_UNCALIBRATED	-0.056793213	0.10202026	0.30358887
1560138238363	TYPE_ACCELEROMETER_UNCALIBRATED	0.81596375	3.8165588	9.5234375
1560138238383	TYPE_ACCELEROMETER	1.421341	3.5114746	9.543777
1560138238383	TYPE_MAGNETIC_FIELD	26.099998	-0.65999997	-36.12
1560138238383	TYPE_GYROSCOPE	0.010955811	0.08345032	0.40727234
1560138238383	TYPE_ROTATION_VECTOR	0.17713088	0.060336366	0.5715082
1560138238383	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.559998	-53.879997	-166.14
1560138238383	TYPE_GYROSCOPE_UNCALIBRATED	0.00491333	0.12889099	0.33351135
1560138238383	TYPE_ACCELEROMETER_UNCALIBRATED	1.2957153	3.5748749	9.641876
1560138238402	TYPE_ACCELEROMETER	1.5218353	3.529419	9.139389
1560138238402	TYPE_MAGNETIC_FIELD	26.64	-0.78	-36.18
1560138238402	TYPE_GYROSCOPE	0.064086914	0.02420044	0.35717773
1560138238402	TYPE_ROTATION_VECTOR	0.17673638	0.060074784	0.5748552
1560138238402	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.099998	-53.999996	-166.20001
1560138238402	TYPE_GYROSCOPE_UNCALIBRATED	0.00491333	0.12889099	0.33351135
1560138238402	TYPE_ACCELEROMETER_UNCALIBRATED	1.4955139	3.4911346	9.377472
1560138238422	TYPE_ACCELEROMETER	1.4572296	3.6466675	8.739792
1560138238422	TYPE_MAGNETIC_FIELD	26.82	-1.0799999	-36.059998
1560138238422	TYPE_GYROSCOPE	0.0592041	-0.029556274	0.26922607
1560138238422	TYPE_ROTATION_VECTOR	0.1769528	0.060123228	0.57797915
1560138238422	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.279999	-54.299995	-166.08
1560138238422	TYPE_GYROSCOPE_UNCALIBRATED	0.058044434	0.06964111	0.28341675
1560138238422	TYPE_ACCELEROMETER_UNCALIBRATED	1.5062866	3.5808563	8.8941345
1560138238442	TYPE_ACCELEROMETER	1.2012024	3.7579346	8.632111
1560138238442	TYPE_MAGNETIC_FIELD	26.76	-1.3199999	-36.059998
1560138238442	TYPE_GYROSCOPE	0.0103302	-0.028930664	0.1769867
1560138238442	TYPE_ROTATION_VECTOR	0.17772134	0.059912182	0.5803865
1560138238442	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.220001	-54.539997	-166.08
1560138238442	TYPE_GYROSCOPE_UNCALIBRATED	0.05316162	0.0158844	0.19546509
1560138238442	TYPE_ACCELEROMETER_UNCALIBRATED	1.3495483	3.7184448	8.660828
1560138238461	TYPE_ACCELEROMETER	1.0253296	3.8763733	8.624939
1560138238461	TYPE_MAGNETIC_FIELD	26.939999	-1.3199999	-36.12
1560138238461	TYPE_GYROSCOPE	-0.030593872	-0.018569946	0.10795593
1560138238461	TYPE_ROTATION_VECTOR	0.1783523	0.059451852	0.5820259
1560138238461	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.399998	-54.539997	-166.14
1560138238461	TYPE_GYROSCOPE_UNCALIBRATED	0.0042877197	0.01651001	0.10322571
1560138238461	TYPE_ACCELEROMETER_UNCALIBRATED	1.0923309	3.812973	8.6392975
1560138238481	TYPE_ACCELEROMETER	0.97029114	3.948166	8.462219
1560138238481	TYPE_MAGNETIC_FIELD	27.06	-1.5	-36.0
1560138238481	TYPE_GYROSCOPE	-0.037322998	-0.016723633	0.06336975
1560138238481	TYPE_ROTATION_VECTOR	0.17844304	0.05897076	0.58307594
1560138238481	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.52	-54.719997	-166.02
1560138238481	TYPE_GYROSCOPE_UNCALIBRATED	-0.036636353	0.026870728	0.034194946
