#	startTime:1560138394046
#	SiteID:5cd56865eb294480de7167b6	SiteName:特力时尚汇	FloorId:5cd56865eb294480de7167c0	FloorName:F5
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1560138394047	TYPE_WAYPOINT	54.94604	81.749435
1560138394176	TYPE_ACCELEROMETER	0.33859253	3.4851532	10.060623
1560138394176	TYPE_MAGNETIC_FIELD	31.8	-14.88	-21.96
1560138394176	TYPE_GYROSCOPE	-0.73583984	0.38186646	1.2001953
1560138394176	TYPE_ROTATION_VECTOR	0.124652974	0.11923564	0.7555091
1560138394176	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.259998	-68.1	-151.98001
1560138394176	TYPE_GYROSCOPE_UNCALIBRATED	-0.95658875	0.56077576	1.5210419
1560138394176	TYPE_ACCELEROMETER_UNCALIBRATED	0.40678406	3.5569305	9.88356
1560138394196	TYPE_ACCELEROMETER	0.6412811	3.4624176	9.290146
1560138394196	TYPE_MAGNETIC_FIELD	31.8	-14.7	-22.08
1560138394196	TYPE_GYROSCOPE	-0.044036865	0.03274536	0.033432007
1560138394196	TYPE_ROTATION_VECTOR	0.118775815	0.11605443	0.7521798
1560138394196	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.259998	-67.92	-152.1
1560138394196	TYPE_GYROSCOPE_UNCALIBRATED	-0.7418823	0.42730713	1.1264343
1560138394196	TYPE_ACCELEROMETER_UNCALIBRATED	0.6412811	3.4624176	9.290146
1560138394216	TYPE_ACCELEROMETER	0.8530426	3.4624176	8.545959
1560138394216	TYPE_MAGNETIC_FIELD	31.8	-14.58	-22.199999
1560138394216	TYPE_GYROSCOPE	0.036590576	0.18057251	0.053604126
1560138394216	TYPE_ROTATION_VECTOR	0.13851959	0.11521539	0.75571954
1560138394216	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.259998	-67.799995	-152.22
1560138394216	TYPE_GYROSCOPE_UNCALIBRATED	-0.050079346	0.078186035	-0.04032898
1560138394216	TYPE_ACCELEROMETER_UNCALIBRATED	0.8530426	3.4624176	8.545959
1560138394235	TYPE_ACCELEROMETER	0.8901367	3.5258331	8.415558
1560138394235	TYPE_MAGNETIC_FIELD	31.92	-14.46	-22.26
1560138394235	TYPE_GYROSCOPE	-0.01777649	0.21234131	0.024276733
1560138394235	TYPE_ROTATION_VECTOR	0.15977453	0.11418136	0.74281436
1560138394235	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.380001	-67.68	-152.28
1560138394235	TYPE_GYROSCOPE_UNCALIBRATED	0.030548096	0.22601318	-0.02015686
1560138394235	TYPE_ACCELEROMETER_UNCALIBRATED	0.8530426	3.4624176	8.545959
1560138394255	TYPE_ACCELEROMETER	0.9009094	3.5868378	8.401199
1560138394255	TYPE_MAGNETIC_FIELD	31.92	-14.5199995	-22.199999
1560138394255	TYPE_GYROSCOPE	-0.08129883	0.14331055	-0.010543823
1560138394255	TYPE_ROTATION_VECTOR	0.16220467	0.12013987	0.75783455
1560138394255	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.380001	-67.74	-152.22
1560138394255	TYPE_GYROSCOPE_UNCALIBRATED	-0.02381897	0.25778198	-0.049484253
1560138394255	TYPE_ACCELEROMETER_UNCALIBRATED	0.9009094	3.5868378	8.401199
1560138394275	TYPE_ACCELEROMETER	0.830307	3.6275177	8.538788
1560138394275	TYPE_MAGNETIC_FIELD	32.16	-14.219999	-21.96
1560138394275	TYPE_GYROSCOPE	-0.11488342	0.13169861	-0.04597473
1560138394275	TYPE_ROTATION_VECTOR	0.16419546	0.12254201	0.7578623
1560138394275	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.619999	-67.439995	-151.98001
1560138394275	TYPE_GYROSCOPE_UNCALIBRATED	-0.08734131	0.18875122	-0.08430481
1560138394275	TYPE_ACCELEROMETER_UNCALIBRATED	0.830307	3.6275177	8.538788
1560138394294	TYPE_ACCELEROMETER	0.64486694	3.6514587	8.685944
1560138394294	TYPE_MAGNETIC_FIELD	32.16	-14.219999	-21.6
1560138394294	TYPE_GYROSCOPE	-0.084350586	0.17753601	-0.06552124
1560138394294	TYPE_ROTATION_VECTOR	0.16246691	0.122564435	0.75793284
1560138394294	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.619999	-67.439995	-151.62001
1560138394294	TYPE_GYROSCOPE_UNCALIBRATED	-0.1209259	0.17713928	-0.11973572
1560138394294	TYPE_ACCELEROMETER_UNCALIBRATED	0.64486694	3.6514587	8.685944
1560138394314	TYPE_ACCELEROMETER	0.47019958	3.6562347	8.578278
1560138394314	TYPE_MAGNETIC_FIELD	32.219997	-14.4	-21.359999
1560138394314	TYPE_GYROSCOPE	-0.018997192	0.23371887	-0.056350708
1560138394314	TYPE_ROTATION_VECTOR	0.16055559	0.123117305	0.75791746
1560138394314	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.679996	-67.619995	-151.38
