#	startTime:1560138538430
#	SiteID:5cd56865eb294480de7167b6	SiteName:特力时尚汇	FloorId:5cd56865eb294480de7167c0	FloorName:F5
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1560138538431	TYPE_WAYPOINT	72.09119	21.4689
1560138538578	TYPE_ACCELEROMETER	-1.1413727	4.4039917	7.709671
1560138538578	TYPE_MAGNETIC_FIELD	-29.279999	-3.72	-43.379997
1560138538578	TYPE_GYROSCOPE	0.10775757	0.11705017	0.26098633
1560138538578	TYPE_ROTATION_VECTOR	0.2500879	-0.088098735	-0.5171258
1560138538578	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.82	-56.94	-173.4
1560138538578	TYPE_GYROSCOPE_UNCALIBRATED	-0.2544098	0.0061187744	-0.13226318
1560138538578	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0803528	4.4757843	7.6917267
1560138538598	TYPE_ACCELEROMETER	-0.9870453	4.197006	7.927429
1560138538598	TYPE_MAGNETIC_FIELD	-29.039999	-3.78	-43.379997
1560138538598	TYPE_GYROSCOPE	0.18991089	0.18911743	0.5092926
1560138538598	TYPE_ROTATION_VECTOR	0.2513283	-0.0769221	-0.5035582
1560138538598	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.579998	-56.999996	-173.4
1560138538598	TYPE_GYROSCOPE_UNCALIBRATED	0.2492218	0.23884583	0.37506104
1560138538598	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1222382	4.297516	7.770691
1560138538618	TYPE_ACCELEROMETER	-0.74298096	3.9086761	8.334213
1560138538618	TYPE_MAGNETIC_FIELD	-28.859999	-3.78	-43.32
1560138538618	TYPE_GYROSCOPE	0.03842163	0.17875671	0.61924744
1560138538618	TYPE_ROTATION_VECTOR	0.23324068	-0.07830915	-0.5106597
1560138538618	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.399998	-56.999996	-173.34
1560138538618	TYPE_GYROSCOPE_UNCALIBRATED	0.10934448	0.23274231	0.49723816
1560138538618	TYPE_ACCELEROMETER_UNCALIBRATED	-0.845871	4.072586	8.147568
1560138538637	TYPE_ACCELEROMETER	-0.44148254	3.661026	8.743378
1560138538637	TYPE_MAGNETIC_FIELD	-28.74	-3.78	-43.32
1560138538637	TYPE_GYROSCOPE	-0.08251953	0.08406067	0.67178345
1560138538637	TYPE_ROTATION_VECTOR	0.20472322	-0.0816639	-0.5225805
1560138538637	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.279999	-56.999996	-173.34
1560138538637	TYPE_GYROSCOPE_UNCALIBRATED	-0.034194946	0.18692017	0.5766449
1560138538637	TYPE_ACCELEROMETER_UNCALIBRATED	-0.61735535	3.7627106	8.513672
1560138538657	TYPE_ACCELEROMETER	0.0	3.4875488	9.2482605
1560138538657	TYPE_MAGNETIC_FIELD	-28.38	-3.72	-43.2
1560138538657	TYPE_GYROSCOPE	-0.16560364	0.022369385	0.69499207
1560138538657	TYPE_ROTATION_VECTOR	0.20334478	-0.081983946	-0.5168397
1560138538657	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.919998	-56.94	-173.22
1560138538657	TYPE_GYROSCOPE_UNCALIBRATED	-0.13497925	0.08735657	0.6132965
1560138538657	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22972107	3.5688934	9.00061
1560138538677	TYPE_ACCELEROMETER	0.42233276	3.4815674	9.481567
1560138538677	TYPE_MAGNETIC_FIELD	-28.38	-3.48	-43.2
1560138538677	TYPE_GYROSCOPE	-0.18330383	-0.030166626	0.666275
1560138538677	TYPE_ROTATION_VECTOR	0.20130357	-0.082399994	-0.51136494
1560138538677	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.919998	-56.699997	-173.22
1560138538677	TYPE_GYROSCOPE_UNCALIBRATED	-0.19058228	0.04826355	0.61634827
1560138538677	TYPE_ACCELEROMETER_UNCALIBRATED	0.22851562	3.4516602	9.407379
1560138538696	TYPE_ACCELEROMETER	0.66999817	3.620346	9.506683
1560138538696	TYPE_MAGNETIC_FIELD	-28.38	-3.36	-42.96
1560138538696	TYPE_GYROSCOPE	-0.14176941	-0.10650635	0.574646
1560138538696	TYPE_ROTATION_VECTOR	0.19906855	-0.083387986	-0.50652725
1560138538696	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.919998	-56.579998	-172.98001
1560138538696	TYPE_GYROSCOPE_UNCALIBRATED	-0.17285156	-0.02748108	0.55158997
1560138538696	TYPE_ACCELEROMETER_UNCALIBRATED	0.56710815	3.549759	9.519852
1560138538716	TYPE_ACCELEROMETER	0.8374939	3.8428802	9.353546
1560138538716	TYPE_MAGNETIC_FIELD	-28.56	-2.82	-42.96
1560138538716	TYPE_GYROSCOPE	-0.08557129	-0.11323547	0.46836853
1560138538716	TYPE_ROTATION_VECTOR	0.19712389	-0.084808394	-0.50257146
1560138538716	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.099998	-56.039997	-172.98001
1560138538716	TYPE_GYROSCOPE_UNCALIBRATED	-0.11911011	-0.07267761	0.4471283
1560138538716	TYPE_ACCELEROMETER_UNCALIBRATED	0.75971985	3.7124634	9.436096
1560138538736	TYPE_ACCELEROMETER	0.98464966	4.0749817	9.363113
1560138538736	TYPE_MAGNETIC_FIELD	-28.26	-2.28	-42.899998
1560138538736	TYPE_GYROSCOPE	-0.06663513	-0.065582275	0.37123108
1560138538736	TYPE_ROTATION_VECTOR	0.19575115	-0.086052805	-0.4993683
1560138538736	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.8	-55.499996	-172.92
1560138538736	TYPE_GYROSCOPE_UNCALIBRATED	-0.073898315	-0.04824829	0.3439026
1560138538736	TYPE_ACCELEROMETER_UNCALIBRATED	0.89730835	3.9673004	9.308075
1560138538755	TYPE_ACCELEROMETER	1.2382812	4.2592316	9.784256
1560138538755	TYPE_MAGNETIC_FIELD	-28.5	-1.92	-42.899998
1560138538755	TYPE_GYROSCOPE	-0.09840393	-0.028335571	0.294281
1560138538755	TYPE_ROTATION_VECTOR	0.19459948	-0.08664244	-0.4967792
1560138538755	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.04	-55.139996	-172.92
1560138538755	TYPE_GYROSCOPE_UNCALIBRATED	-0.08673096	0.0036773682	0.25778198
1560138538755	TYPE_ACCELEROMETER_UNCALIBRATED	1.1222382	4.1802673	9.560532
1560138538775	TYPE_ACCELEROMETER	1.2765808	4.363312	10.042679
1560138538775	TYPE_MAGNETIC_FIELD	-28.5	-1.56	-42.96
1560138538775	TYPE_GYROSCOPE	-0.103897095	-0.042373657	0.20448303
1560138538775	TYPE_ROTATION_VECTOR	0.19336022	-0.08684364	-0.49483818
1560138538775	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.04	-54.78	-172.98001
1560138538775	TYPE_GYROSCOPE_UNCALIBRATED	-0.11299133	0.01651001	0.17835999
1560138538775	TYPE_ACCELEROMETER_UNCALIBRATED	1.2801666	4.3118744	9.936203
1560138538795	TYPE_ACCELEROMETER	1.0959167	4.2951202	10.535599
1560138538795	TYPE_MAGNETIC_FIELD	-28.439999	-1.3199999	-42.96
1560138538795	TYPE_GYROSCOPE	-0.12893677	-0.03627014	0.120788574
1560138538795	TYPE_ROTATION_VECTOR	0.19210641	-0.08705894	-0.4936969
1560138538795	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.98	-54.539997	-172.98001
1560138538795	TYPE_GYROSCOPE_UNCALIBRATED	-0.11116028	-0.005493164	0.086120605
1560138538795	TYPE_ACCELEROMETER_UNCALIBRATED	1.2263336	4.37648	10.222137
1560138538814	TYPE_ACCELEROMETER	0.6233368	3.9050903	11.3515625
1560138538814	TYPE_MAGNETIC_FIELD	-28.68	-1.02	-42.96
1560138538814	TYPE_GYROSCOPE	-0.23461914	0.007095337	0.045043945
1560138538814	TYPE_ROTATION_VECTOR	0.19054846	-0.086433895	-0.49317524
1560138538814	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.220001	-54.239998	-172.98001
1560138538814	TYPE_GYROSCOPE_UNCALIBRATED	-0.18141174	0.037887573	0.008560181
1560138538814	TYPE_ACCELEROMETER_UNCALIBRATED	0.894928	4.132416	10.928024
1560138538834	TYPE_ACCELEROMETER	-0.14237976	3.1142578	12.340988
1560138538834	TYPE_MAGNETIC_FIELD	-28.439999	-0.96	-42.899998
1560138538834	TYPE_GYROSCOPE	-0.37573242	-0.030166626	-0.015426636
1560138538834	TYPE_ROTATION_VECTOR	0.1880039	-0.08506548	-0.49334538
1560138538834	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.98	-54.179996	-172.92
1560138538834	TYPE_GYROSCOPE_UNCALIBRATED	-0.30786133	0.037261963	-0.062316895
1560138538834	TYPE_ACCELEROMETER_UNCALIBRATED	0.24765015	3.5641174	11.81456
1560138538854	TYPE_ACCELEROMETER	-0.35653687	2.2576294	13.744385
1560138538854	TYPE_MAGNETIC_FIELD	-28.439999	-0.96	-42.899998
1560138538854	TYPE_GYROSCOPE	-0.5272217	0.022979736	-0.017868042
1560138538854	TYPE_ROTATION_VECTOR	0.1880039	-0.08506548	-0.49334538
1560138538854	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.98	-54.179996	-172.92
1560138538854	TYPE_GYROSCOPE_UNCALIBRATED	-0.4605713	0.024429321	-0.10017395
1560138538854	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3697052	2.6644135	12.976288
1560138538873	TYPE_ACCELEROMETER	0.23570251	1.5122681	15.070007
1560138538873	TYPE_MAGNETIC_FIELD	-28.14	-0.29999998	-42.6
1560138538873	TYPE_GYROSCOPE	-0.5522766	0.13903809	0.012054443
1560138538873	TYPE_ROTATION_VECTOR	0.1798292	-0.07955318	-0.49427196
1560138538873	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.68	-53.519997	-172.62
1560138538873	TYPE_GYROSCOPE_UNCALIBRATED	-0.57603455	0.12828064	-0.07208252
1560138538873	TYPE_ACCELEROMETER_UNCALIBRATED	-0.117248535	1.8664093	14.511276
1560138538893	TYPE_ACCELEROMETER	1.0169525	1.2921295	14.819946
1560138538893	TYPE_MAGNETIC_FIELD	-27.779999	-0.12	-42.6
1560138538893	TYPE_GYROSCOPE	-0.23951721	0.1133728	-0.061843872
1560138538893	TYPE_ROTATION_VECTOR	0.17688838	-0.0760519	-0.4943914
1560138538893	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.32	-53.339996	-172.62
1560138538893	TYPE_GYROSCOPE_UNCALIBRATED	-0.45202637	0.20463562	-0.0806427
1560138538893	TYPE_ACCELEROMETER_UNCALIBRATED	0.6305084	1.2945251	15.230316
1560138538913	TYPE_ACCELEROMETER	1.0684052	1.6570435	12.398422
1560138538913	TYPE_MAGNETIC_FIELD	-27.599998	0.0	-42.42
1560138538913	TYPE_GYROSCOPE	0.40922546	-0.09918213	-0.2707672
1560138538913	TYPE_ROTATION_VECTOR	0.17750831	-0.07596527	-0.49560025
1560138538913	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.14	-53.219997	-172.44
1560138538913	TYPE_GYROSCOPE_UNCALIBRATED	0.051940918	0.054977417	-0.22723389
1560138538913	TYPE_ACCELEROMETER_UNCALIBRATED	1.1856537	1.4440765	13.819748
1560138538932	TYPE_ACCELEROMETER	0.65682983	2.1403809	9.396622
1560138538932	TYPE_MAGNETIC_FIELD	-27.66	-0.06	-42.36
1560138538932	TYPE_GYROSCOPE	1.0011444	-0.089416504	-0.43754578
1560138538932	TYPE_ROTATION_VECTOR	0.1832667	-0.08011695	-0.49840066
1560138538932	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.2	-53.28	-172.38
1560138538932	TYPE_GYROSCOPE_UNCALIBRATED	0.7415924	-0.09832764	-0.45082092
1560138538932	TYPE_ACCELEROMETER_UNCALIBRATED	0.8530426	1.8987122	10.831116
1560138538952	TYPE_ACCELEROMETER	0.35772705	2.5579376	7.6127777
1560138538952	TYPE_MAGNETIC_FIELD	-27.599998	-0.17999999	-42.18
1560138538952	TYPE_GYROSCOPE	1.1043854	0.21662903	-0.4253235
1560138538952	TYPE_ROTATION_VECTOR	0.19311021	-0.084424786	-0.50112665
1560138538952	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.14	-53.399998	-172.20001
1560138538952	TYPE_GYROSCOPE_UNCALIBRATED	1.117279	0.09101868	-0.52412415
