#	startTime:1560138646465
#	SiteID:5cd56865eb294480de7167b6	SiteName:特力时尚汇	FloorId:5cd56865eb294480de7167c0	FloorName:F5
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1560138646465	TYPE_WAYPOINT	23.55886	43.210438
1560138646567	TYPE_ACCELEROMETER	0.8757782	3.932602	8.287537
1560138646567	TYPE_MAGNETIC_FIELD	-38.76	9.48	-36.18
1560138646567	TYPE_GYROSCOPE	-0.052581787	0.16470337	1.4640656
1560138646567	TYPE_ROTATION_VECTOR	0.14615323	-0.16927066	-0.43495
1560138646567	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.539997	-58.8	-174.48001
1560138646567	TYPE_GYROSCOPE_UNCALIBRATED	-0.058624268	0.21014404	1.3903046
1560138646567	TYPE_ACCELEROMETER_UNCALIBRATED	1.2586212	3.8440704	8.327026
1560138646587	TYPE_ACCELEROMETER	0.2823639	3.9457703	8.555542
1560138646587	TYPE_MAGNETIC_FIELD	-38.7	9.3	-36.48
1560138646587	TYPE_GYROSCOPE	0.028045654	0.05291748	0.19500732
1560138646587	TYPE_ROTATION_VECTOR	0.17191173	-0.14307009	-0.4456753
1560138646587	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.48	-58.98	-174.78
1560138646587	TYPE_GYROSCOPE_UNCALIBRATED	-0.058624268	0.21014404	1.3903046
1560138646587	TYPE_ACCELEROMETER_UNCALIBRATED	0.50727844	3.9685059	8.365311
1560138646607	TYPE_ACCELEROMETER	0.4343109	3.8931274	8.394028
1560138646607	TYPE_MAGNETIC_FIELD	-38.399998	9.24	-36.6
1560138646607	TYPE_GYROSCOPE	0.15081787	0.022369385	-0.14431763
1560138646607	TYPE_ROTATION_VECTOR	0.18169937	-0.113402314	-0.4587009
1560138646607	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.179996	-59.04	-174.9
1560138646607	TYPE_GYROSCOPE_UNCALIBRATED	-0.03175354	0.17288208	0.96728516
1560138646607	TYPE_ACCELEROMETER_UNCALIBRATED	0.2715912	3.9050903	8.604599
1560138646626	TYPE_ACCELEROMETER	0.8446655	3.8608246	7.726425
1560138646626	TYPE_MAGNETIC_FIELD	-38.04	9.3	-36.6
1560138646626	TYPE_GYROSCOPE	0.18624878	0.102996826	-0.054519653
1560138646626	TYPE_ROTATION_VECTOR	0.18049823	-0.11852727	-0.4452518
1560138646626	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.82	-58.98	-174.9
1560138646626	TYPE_GYROSCOPE_UNCALIBRATED	0.08125305	0.05680847	-0.27488708
1560138646626	TYPE_ACCELEROMETER_UNCALIBRATED	0.2715912	3.9050903	8.604599
1560138646646	TYPE_ACCELEROMETER	1.0552368	3.7483673	7.6367035
1560138646646	TYPE_MAGNETIC_FIELD	-38.04	9.0	-36.6
1560138646646	TYPE_GYROSCOPE	0.056137085	0.051696777	-0.028869629
1560138646646	TYPE_ROTATION_VECTOR	0.17824812	-0.15126352	-0.45619226
1560138646646	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.82	-59.28	-174.9
1560138646646	TYPE_GYROSCOPE_UNCALIBRATED	0.18569946	0.110565186	-0.16493225
1560138646646	TYPE_ACCELEROMETER_UNCALIBRATED	0.95832825	3.8057861	7.5912323
1560138646666	TYPE_ACCELEROMETER	1.2562408	3.6442719	8.012375
1560138646666	TYPE_MAGNETIC_FIELD	-37.86	8.88	-36.6
1560138646666	TYPE_GYROSCOPE	-0.100234985	-0.09674072	-0.044143677
1560138646666	TYPE_ROTATION_VECTOR	0.1690832	-0.16076341	-0.4546093
1560138646666	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.64	-59.399998	-174.9
1560138646666	TYPE_GYROSCOPE_UNCALIBRATED	0.12950134	0.14538574	-0.10873413
1560138646666	TYPE_ACCELEROMETER_UNCALIBRATED	1.1688995	3.7005005	7.8137665
1560138646685	TYPE_ACCELEROMETER	1.3818512	3.5521545	8.439484
1560138646685	TYPE_MAGNETIC_FIELD	-37.92	8.76	-36.78
1560138646685	TYPE_GYROSCOPE	-0.17416382	-0.14561462	-0.06918335
1560138646685	TYPE_ROTATION_VECTOR	0.16982174	-0.1605401	-0.45467567
1560138646685	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.699997	-59.519997	-175.08
1560138646685	TYPE_GYROSCOPE_UNCALIBRATED	-0.03543091	0.022613525	-0.106903076
1560138646685	TYPE_ACCELEROMETER_UNCALIBRATED	1.3256226	3.5880432	8.212173
1560138646705	TYPE_ACCELEROMETER	1.311264	3.4851532	8.648865
1560138646705	TYPE_MAGNETIC_FIELD	-37.86	8.639999	-36.78
1560138646705	TYPE_GYROSCOPE	-0.16253662	-0.0881958	-0.094833374
1560138646705	TYPE_ROTATION_VECTOR	0.16862425	-0.16083191	-0.45536292
1560138646705	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.64	-59.64	-175.08
1560138646705	TYPE_GYROSCOPE_UNCALIBRATED	-0.15454102	-0.09895325	-0.1307373
1560138646705	TYPE_ACCELEROMETER_UNCALIBRATED	1.3686981	3.5210419	8.596222
1560138646725	TYPE_ACCELEROMETER	1.2167511	3.468399	8.581863
1560138646725	TYPE_MAGNETIC_FIELD	-37.92	8.4	-36.899998
1560138646725	TYPE_GYROSCOPE	-0.15216064	-0.03627014	-0.11500549
1560138646725	TYPE_ROTATION_VECTOR	0.16661651	-0.16116756	-0.45645913
1560138646725	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.699997	-59.879997	-175.2
1560138646725	TYPE_GYROSCOPE_UNCALIBRATED	-0.1820221	-0.07267761	-0.15637207
1560138646725	TYPE_ACCELEROMETER_UNCALIBRATED	1.3686981	3.5210419	8.596222
1560138646744	TYPE_ACCELEROMETER	1.1306152	3.4839478	8.706284
1560138646744	TYPE_MAGNETIC_FIELD	-37.92	8.58	-36.6
1560138646744	TYPE_GYROSCOPE	-0.19184875	0.002822876	-0.14370728
