#	startTime:1559469704732
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5de2acfd2d33b5863f	FloorName:B1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559469704732	TYPE_WAYPOINT	33.061897	57.47053
1559469704863	TYPE_ACCELEROMETER	0.4857483	2.7720947	9.257843
1559469704863	TYPE_MAGNETIC_FIELD	-29.76	-0.9	-37.38
1559469704863	TYPE_GYROSCOPE	0.068984985	-0.17816162	-0.34429932
1559469704863	TYPE_ROTATION_VECTOR	0.1085878	-0.1020568	-0.5630582
1559469704863	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.12	-40.02	-174.3
1559469704863	TYPE_GYROSCOPE_UNCALIBRATED	0.06352234	-0.1343689	-0.41539
1559469704863	TYPE_ACCELEROMETER_UNCALIBRATED	0.43429565	2.8091736	9.208786
1559469704883	TYPE_ACCELEROMETER	0.5766754	2.7481537	9.3020935
1559469704883	TYPE_MAGNETIC_FIELD	-29.82	-0.9	-37.26
1559469704883	TYPE_GYROSCOPE	0.0042419434	-0.008972168	0.13644409
1559469704883	TYPE_ROTATION_VECTOR	0.099721506	-0.10623635	-0.5750945
1559469704883	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.18	-40.02	-174.18
1559469704883	TYPE_GYROSCOPE_UNCALIBRATED	-0.0012207031	0.034820557	0.06535339
1559469704883	TYPE_ACCELEROMETER_UNCALIBRATED	0.5491638	2.7553406	9.293732
1559469704903	TYPE_ACCELEROMETER	0.48095703	2.7361908	9.231522
1559469704903	TYPE_MAGNETIC_FIELD	-29.82	-0.71999997	-36.899998
1559469704903	TYPE_GYROSCOPE	0.016448975	0.0014190674	0.10406494
1559469704903	TYPE_ROTATION_VECTOR	0.09997589	-0.104864456	-0.5678574
1559469704903	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.18	-39.84	-173.81999
1559469704903	TYPE_GYROSCOPE_UNCALIBRATED	0.010986328	0.045211792	0.032974243
1559469704903	TYPE_ACCELEROMETER_UNCALIBRATED	0.54556274	2.7361908	9.273392
1559469704922	TYPE_ACCELEROMETER	0.36372375	2.7649078	9.221939
1559469704922	TYPE_MAGNETIC_FIELD	-29.88	-0.48	-36.719997
1559469704922	TYPE_GYROSCOPE	0.014633179	0.008132935	0.07107544
1559469704922	TYPE_ROTATION_VECTOR	0.10685322	-0.099038266	-0.5582815
1559469704922	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.24	-39.6	-173.64
1559469704922	TYPE_GYROSCOPE_UNCALIBRATED	0.009170532	0.05192566	-1.5258789E-5
1559469704922	TYPE_ACCELEROMETER_UNCALIBRATED	0.41516113	2.7493591	9.209976
1559469704942	TYPE_ACCELEROMETER	0.31944275	2.7960205	9.311676
1559469704942	TYPE_MAGNETIC_FIELD	-30.06	-0.17999999	-36.42
1559469704942	TYPE_GYROSCOPE	-6.4086914E-4	0.013626099	0.05215454
1559469704942	TYPE_ROTATION_VECTOR	0.11011781	-0.09668267	-0.5575833
1559469704942	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.42	-39.3	-173.34
1559469704942	TYPE_GYROSCOPE_UNCALIBRATED	-0.0061035156	0.057418823	-0.018936157
1559469704942	TYPE_ACCELEROMETER_UNCALIBRATED	0.34098816	2.781662	9.257843
1559469704962	TYPE_ACCELEROMETER	0.21296692	2.8331146	9.416962
1559469704962	TYPE_MAGNETIC_FIELD	-30.06	-0.06	-36.12
1559469704962	TYPE_GYROSCOPE	-0.009170532	0.027679443	0.0393219
1559469704962	TYPE_ROTATION_VECTOR	0.11212643	-0.09303561	-0.5598059
1559469704962	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.42	-39.18	-173.04
1559469704962	TYPE_GYROSCOPE_UNCALIBRATED	-0.014633179	0.07147217	-0.0317688
1559469704962	TYPE_ACCELEROMETER_UNCALIBRATED	0.26919556	2.8151703	9.375092
1559469704981	TYPE_ACCELEROMETER	0.19979858	2.8857422	9.3667145
1559469704981	TYPE_MAGNETIC_FIELD	-30.24	0.17999999	-36.0
1559469704981	TYPE_GYROSCOPE	-0.006134033	0.009353638	0.028320312
1559469704981	TYPE_ROTATION_VECTOR	0.11217097	-0.09280421	-0.55947113
1559469704981	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.6	-38.94	-172.92
1559469704981	TYPE_GYROSCOPE_UNCALIBRATED	-0.01159668	0.053146362	-0.042770386
1559469704981	TYPE_ACCELEROMETER_UNCALIBRATED	0.18424988	2.8546448	9.409775
1559469705001	TYPE_ACCELEROMETER	0.23449707	2.921646	9.200409
1559469705001	TYPE_MAGNETIC_FIELD	-30.359999	0.24	-36.18
1559469705001	TYPE_GYROSCOPE	-6.4086914E-4	-0.01751709	0.022232056
1559469705001	TYPE_ROTATION_VECTOR	0.11214797	-0.09272565	-0.55923915
1559469705001	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.72	-38.879997	-173.1
1559469705001	TYPE_GYROSCOPE_UNCALIBRATED	-0.0061035156	0.026275635	-0.048858643
1559469705001	TYPE_ACCELEROMETER_UNCALIBRATED	0.22373962	2.9001007	9.293732
1559469705021	TYPE_ACCELEROMETER	0.26919556	2.9575348	9.068802
1559469705021	TYPE_MAGNETIC_FIELD	-30.24	0.24	-36.3
1559469705021	TYPE_GYROSCOPE	-0.0030822754	-0.022415161	0.020385742
1559469705021	TYPE_ROTATION_VECTOR	0.112026975	-0.09288581	-0.5590806
1559469705021	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.6	-38.879997	-173.22
1559469705021	TYPE_GYROSCOPE_UNCALIBRATED	-0.008544922	0.021377563	-0.050704956
