#	startTime:1559469815788
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5de2acfd2d33b5863f	FloorName:B1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559469815788	TYPE_WAYPOINT	33.061897	57.47053
1559469815920	TYPE_ACCELEROMETER	-0.36131287	1.7778625	9.41217
1559469815920	TYPE_MAGNETIC_FIELD	-7.3799996	-33.48	-42.719997
1559469815920	TYPE_GYROSCOPE	0.01524353	-0.0071411133	-0.025421143
1559469815920	TYPE_ROTATION_VECTOR	0.042148087	-0.083700396	-0.9805361
1559469815920	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.1399994	-71.58	-167.51999
1559469815920	TYPE_GYROSCOPE_UNCALIBRATED	0.009780884	0.03665161	-0.09651184
1559469815920	TYPE_ACCELEROMETER_UNCALIBRATED	-0.68196106	1.7419739	9.304489
1559469815940	TYPE_ACCELEROMETER	-0.16271973	2.0219421	9.116653
1559469815940	TYPE_MAGNETIC_FIELD	-7.3199997	-33.42	-42.78
1559469815940	TYPE_GYROSCOPE	-0.09194946	0.023101807	0.06253052
1559469815940	TYPE_ROTATION_VECTOR	0.027000887	-0.0963186	-0.98206186
1559469815940	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.08	-71.52	-167.57999
1559469815940	TYPE_GYROSCOPE_UNCALIBRATED	-0.0259552	0.04673767	-0.06719971
1559469815940	TYPE_ACCELEROMETER_UNCALIBRATED	-0.36131287	1.7778625	9.41217
1559469815960	TYPE_ACCELEROMETER	-0.24047852	2.354538	8.799606
1559469815960	TYPE_MAGNETIC_FIELD	-7.3199997	-33.6	-42.899998
1559469815960	TYPE_GYROSCOPE	-0.098983765	-0.028503418	0.03199768
1559469815960	TYPE_ROTATION_VECTOR	0.028411325	-0.11551894	-0.9789859
1559469815960	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.08	-71.7	-167.7
1559469815960	TYPE_GYROSCOPE_UNCALIBRATED	-0.12399292	0.059265137	-6.1035156E-4
1559469815960	TYPE_ACCELEROMETER_UNCALIBRATED	-0.16271973	2.0219421	9.116653
1559469815979	TYPE_ACCELEROMETER	-0.3409729	2.671585	8.328232
1559469815979	TYPE_MAGNETIC_FIELD	-7.14	-33.6	-43.079998
1559469815979	TYPE_GYROSCOPE	-0.04522705	-0.1018219	-0.008926392
