#	startTime:1559470044698
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5de2acfd2d33b5863f	FloorName:B1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559470044698	TYPE_WAYPOINT	33.061897	57.47053
1559470044817	TYPE_ACCELEROMETER	0.11126709	2.6356964	9.196823
1559470044817	TYPE_MAGNETIC_FIELD	15.9	16.5	-37.26
1559470044817	TYPE_GYROSCOPE	-0.054382324	0.11381531	-0.26487732
1559470044817	TYPE_ROTATION_VECTOR	0.11696967	0.035041314	0.24038562
1559470044817	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.8	-21.0	-175.79999
1559470044817	TYPE_GYROSCOPE_UNCALIBRATED	-0.05984497	0.15760803	-0.33596802
1559470044817	TYPE_ACCELEROMETER_UNCALIBRATED	-0.107681274	2.650055	9.379868
1559470044837	TYPE_ACCELEROMETER	0.13639832	2.6201477	8.997009
1559470044837	TYPE_MAGNETIC_FIELD	15.66	16.68	-37.5
1559470044837	TYPE_GYROSCOPE	-0.002166748	0.0423584	-0.06971741
1559470044837	TYPE_ROTATION_VECTOR	0.13566005	0.029578598	0.24908616
1559470044837	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.56	-20.82	-176.04
1559470044837	TYPE_GYROSCOPE_UNCALIBRATED	-0.04244995	0.13378906	-0.2709198
1559470044837	TYPE_ACCELEROMETER_UNCALIBRATED	0.01675415	2.6416779	9.383453
