#	startTime:1559465425855
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5ae2acfd2d33b58550	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559465425856	TYPE_WAYPOINT	83.37251	68.405464
1559465425982	TYPE_ACCELEROMETER	0.15194702	2.8199463	9.584457
1559465425982	TYPE_MAGNETIC_FIELD	2.8799999	15.54	-42.18
1559465425982	TYPE_GYROSCOPE	-0.08126831	0.004470825	0.081466675
1559465425982	TYPE_ROTATION_VECTOR	0.15854779	7.7855936E-4	0.06944234
1559465425982	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.96	-22.32	-178.20001
1559465425982	TYPE_GYROSCOPE_UNCALIBRATED	-0.058029175	0.03543091	-0.022613525
1559465425982	TYPE_ACCELEROMETER_UNCALIBRATED	0.119644165	2.855835	9.433701
1559465426002	TYPE_ACCELEROMETER	0.1758728	2.7230377	9.664612
1559465426002	TYPE_MAGNETIC_FIELD	3.1799998	15.42	-42.12
1559465426002	TYPE_GYROSCOPE	-0.051940918	0.015457153	0.08451843
1559465426002	TYPE_ROTATION_VECTOR	0.14628804	0.008957431	0.09697137
1559465426002	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.2599998	-22.44	-178.14
1559465426002	TYPE_GYROSCOPE_UNCALIBRATED	-0.07206726	0.057418823	0.014038086
1559465426002	TYPE_ACCELEROMETER_UNCALIBRATED	0.17228699	2.7804565	9.652649
1559465426022	TYPE_ACCELEROMETER	0.20458984	2.6608276	9.663422
1559465426022	TYPE_MAGNETIC_FIELD	3.48	15.36	-42.3
1559465426022	TYPE_GYROSCOPE	-0.039733887	-0.002243042	0.073532104
1559465426022	TYPE_ROTATION_VECTOR	0.1396032	0.0067165485	0.102841765
1559465426022	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.56	-22.5	-178.32
1559465426022	TYPE_GYROSCOPE_UNCALIBRATED	-0.048858643	0.053146362	0.009765625
1559465426022	TYPE_ACCELEROMETER_UNCALIBRATED	0.18424988	2.6811676	9.65744
1559465426041	TYPE_ACCELEROMETER	0.24287415	2.6356964	9.731613
1559465426041	TYPE_MAGNETIC_FIELD	3.48	15.12	-42.18
1559465426041	TYPE_GYROSCOPE	-0.026901245	-0.024246216	0.050323486
1559465426041	TYPE_ROTATION_VECTOR	0.13447003	3.935667E-4	0.06856793
1559465426041	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.56	-22.740002	-178.20001
1559465426041	TYPE_GYROSCOPE_UNCALIBRATED	-0.048858643	0.053146362	0.009765625
1559465426041	TYPE_ACCELEROMETER_UNCALIBRATED	0.23210144	2.646469	9.6957245
