#	startTime:1559465745545
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5ae2acfd2d33b58550	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559465745545	TYPE_WAYPOINT	32.059357	128.13077
1559465745675	TYPE_ACCELEROMETER	-1.2382812	2.8941193	7.8305206
1559465745675	TYPE_MAGNETIC_FIELD	10.8	33.84	-26.82
1559465745675	TYPE_GYROSCOPE	-0.19122314	-0.37486267	-0.6924896
1559465745675	TYPE_ROTATION_VECTOR	0.15308107	0.08405917	0.12937039
1559465745675	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.76	-8.700001	-166.98001
1559465745675	TYPE_GYROSCOPE_UNCALIBRATED	-0.19668579	-0.33106995	-0.7635803
1559465745675	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0911255	2.8079834	8.234909
1559465745695	TYPE_ACCELEROMETER	-1.4380951	3.0352936	7.4345093
1559465745695	TYPE_MAGNETIC_FIELD	11.219999	33.899998	-26.939999
1559465745695	TYPE_GYROSCOPE	0.115737915	-0.023925781	0.07992554
1559465745695	TYPE_ROTATION_VECTOR	0.17336488	0.10571311	0.11050258
1559465745695	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.179999	-8.640003	-167.1
1559465745695	TYPE_GYROSCOPE_UNCALIBRATED	-0.09437561	-0.21409607	-0.5061188
1559465745695	TYPE_ACCELEROMETER_UNCALIBRATED	-1.380661	2.979065	7.5385895
1559465745715	TYPE_ACCELEROMETER	-1.375885	3.041275	7.7359924
1559465745715	TYPE_MAGNETIC_FIELD	11.7	34.14	-27.119999
1559465745715	TYPE_GYROSCOPE	0.05923462	0.18710327	0.3899536
1559465745715	TYPE_ROTATION_VECTOR	0.17869274	0.10727667	0.10645637
1559465745715	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.66	-8.400002	-167.28
1559465745715	TYPE_GYROSCOPE_UNCALIBRATED	0.1631012	0.17410278	0.28526306
1559465745715	TYPE_ACCELEROMETER_UNCALIBRATED	-1.380661	3.0173492	8.015961
1559465745734	TYPE_ACCELEROMETER	-1.4596252	3.000595	8.330612
