#	startTime:1559465815616
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5ae2acfd2d33b58550	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559465815617	TYPE_WAYPOINT	49.85002	110.621994
1559465815755	TYPE_ACCELEROMETER	-0.8530426	2.5076752	10.203003
1559465815755	TYPE_MAGNETIC_FIELD	41.34	-1.26	-26.46
1559465815755	TYPE_GYROSCOPE	-0.009185791	-0.052322388	-0.06329346
1559465815755	TYPE_ROTATION_VECTOR	0.058543038	0.09364387	0.6599331
1559465815755	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.3	-43.8	-166.62
1559465815755	TYPE_GYROSCOPE_UNCALIBRATED	-0.0146484375	-0.008529663	-0.13438416
1559465815755	TYPE_ACCELEROMETER_UNCALIBRATED	-0.88534546	2.5818634	9.865616
1559465815775	TYPE_ACCELEROMETER	-0.9032898	2.6392822	9.53421
1559465815775	TYPE_MAGNETIC_FIELD	41.219997	-1.38	-26.46
1559465815775	TYPE_GYROSCOPE	0.44100952	-0.17939758	-0.054748535
1559465815775	TYPE_ROTATION_VECTOR	0.06276741	0.109134704	0.6552387
1559465815775	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.179996	-43.920002	-166.62
1559465815775	TYPE_GYROSCOPE_UNCALIBRATED	0.43554688	-0.13560486	-0.12583923
1559465815775	TYPE_ACCELEROMETER_UNCALIBRATED	-0.88534546	2.5818634	9.865616
1559465815795	TYPE_ACCELEROMETER	-1.0037994	2.6955109	8.752945
1559465815795	TYPE_MAGNETIC_FIELD	41.399998	-1.38	-26.46
1559465815795	TYPE_GYROSCOPE	0.497818	-0.2050476	-0.035202026
1559465815795	TYPE_ROTATION_VECTOR	0.071852885	0.12184596	0.6431867
1559465815795	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.359997	-43.920002	-166.62
1559465815795	TYPE_GYROSCOPE_UNCALIBRATED	0.49235535	-0.16125488	-0.106292725
1559465815795	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1138611	2.7086792	8.341385
1559465815814	TYPE_ACCELEROMETER	-1.2466583	2.7421722	7.975281
1559465815814	TYPE_MAGNETIC_FIELD	41.34	-1.26	-26.279999
1559465815814	TYPE_GYROSCOPE	0.5210266	-0.14823914	-0.018096924
1559465815814	TYPE_ROTATION_VECTOR	0.07870354	0.13584577	0.62821007
1559465815814	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.3	-43.8	-166.44
1559465815814	TYPE_GYROSCOPE_UNCALIBRATED	0.51556396	-0.10444641	-0.08918762
1559465815814	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3399811	2.7649078	7.7072906
1559465815834	TYPE_ACCELEROMETER	-1.380661	2.781662	7.5517426
1559465815834	TYPE_MAGNETIC_FIELD	41.219997	-1.38	-26.34
1559465815834	TYPE_GYROSCOPE	0.4477234	-0.07249451	0.03565979
1559465815834	TYPE_ROTATION_VECTOR	0.08126974	0.16003212	0.6164589
1559465815834	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.179996	-43.920002	-166.5
