#	startTime:1559466426726
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5ae2acfd2d33b58550	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559466426726	TYPE_WAYPOINT	52.97772	108.04024
1559466426852	TYPE_ACCELEROMETER	0.2524414	3.352356	8.614166
1559466426852	TYPE_MAGNETIC_FIELD	0.17999999	-42.239998	-30.42
1559466426852	TYPE_GYROSCOPE	-0.08615112	-0.012039185	0.033218384
1559466426852	TYPE_ROTATION_VECTOR	-0.019643428	-0.18902864	-0.9815179
1559466426852	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.56	-80.58	-160.98
1559466426852	TYPE_GYROSCOPE_UNCALIBRATED	-0.09161377	0.03175354	-0.037872314
1559466426852	TYPE_ACCELEROMETER_UNCALIBRATED	0.27638245	3.3966217	8.452652
1559466426872	TYPE_ACCELEROMETER	0.19740295	3.270996	9.121445
1559466426872	TYPE_MAGNETIC_FIELD	0.17999999	-42.3	-30.72
1559466426872	TYPE_GYROSCOPE	-0.12646484	0.03744507	0.103759766
1559466426872	TYPE_ROTATION_VECTOR	-0.016014567	-0.17739722	-0.98377645
1559466426872	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.56	-80.64	-161.28
1559466426872	TYPE_GYROSCOPE_UNCALIBRATED	-0.10505676	0.04824829	-0.0143585205
1559466426872	TYPE_ACCELEROMETER_UNCALIBRATED	0.23091125	3.311676	8.864212
1559466426892	TYPE_ACCELEROMETER	0.117248535	3.2183533	9.422943
1559466426892	TYPE_MAGNETIC_FIELD	0.24	-42.3	-31.019999
1559466426892	TYPE_GYROSCOPE	-0.14845276	0.052108765	0.11506653
1559466426892	TYPE_ROTATION_VECTOR	-0.012133971	-0.16562626	-0.98579335
1559466426892	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.62	-80.64	-161.58
1559466426892	TYPE_GYROSCOPE_UNCALIBRATED	-0.15208435	0.09712219	0.052520752
1559466426892	TYPE_ACCELEROMETER_UNCALIBRATED	0.15553284	3.233902	9.321243
1559466426911	TYPE_ACCELEROMETER	0.08135986	3.2530518	9.265015
1559466426911	TYPE_MAGNETIC_FIELD	0.17999999	-42.54	-31.019999
1559466426911	TYPE_GYROSCOPE	-0.09715271	0.035629272	0.097351074
1559466426911	TYPE_ROTATION_VECTOR	-0.004301208	-0.1645389	-0.98635924
1559466426911	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.56	-80.880005	-161.58
1559466426911	TYPE_GYROSCOPE_UNCALIBRATED	-0.1349945	0.09101868	0.034194946
1559466426911	TYPE_ACCELEROMETER_UNCALIBRATED	0.08973694	3.229126	9.403793
1559466426931	TYPE_ACCELEROMETER	0.093322754	3.2865448	8.945572
1559466426931	TYPE_MAGNETIC_FIELD	0.0	-42.899998	-30.96
1559466426931	TYPE_GYROSCOPE	-0.042175293	0.019119263	0.097351074
1559466426931	TYPE_ROTATION_VECTOR	-0.005335188	-0.17176187	-0.9851117
1559466426931	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.38	-81.24	-161.51999
1559466426931	TYPE_GYROSCOPE_UNCALIBRATED	-0.0690155	0.065979004	0.02381897
1559466426931	TYPE_ACCELEROMETER_UNCALIBRATED	0.08375549	3.2697906	9.072388
1559466426951	TYPE_ACCELEROMETER	0.14477539	3.2865448	9.025726
1559466426951	TYPE_MAGNETIC_FIELD	-0.17999999	-42.96	-31.08
1559466426951	TYPE_GYROSCOPE	-0.054382324	0.057006836	0.105895996
1559466426951	TYPE_ROTATION_VECTOR	1.6208114E-5	-0.17517936	-0.9845364
1559466426951	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.2000003	-81.3	-161.64
1559466426951	TYPE_GYROSCOPE_UNCALIBRATED	-0.045806885	0.07635498	0.031143188
1559466426951	TYPE_ACCELEROMETER_UNCALIBRATED	0.11845398	3.2937164	8.947968
1559466426970	TYPE_ACCELEROMETER	0.13519287	3.2865448	9.134613
1559466426970	TYPE_MAGNETIC_FIELD	-0.29999998	-43.14	-31.38
1559466426970	TYPE_GYROSCOPE	-0.07392883	0.09303284	0.097961426
1559466426970	TYPE_ROTATION_VECTOR	3.8742303E-4	-0.17465867	-0.9846277
1559466426970	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.08	-81.479996	-161.94
1559466426970	TYPE_GYROSCOPE_UNCALIBRATED	-0.07511902	0.12522888	0.032974243
1559466426970	TYPE_ACCELEROMETER_UNCALIBRATED	0.1483612	3.2805634	9.10231
1559466426990	TYPE_ACCELEROMETER	0.09690857	3.3631134	9.02095
1559466426990	TYPE_MAGNETIC_FIELD	-0.12	-43.2	-31.38
1559466426990	TYPE_GYROSCOPE	-0.062332153	0.07533264	0.08268738
1559466426990	TYPE_ROTATION_VECTOR	0.0011157229	-0.17394365	-0.9847512
1559466426990	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.26	-81.54	-161.94
1559466426990	TYPE_GYROSCOPE_UNCALIBRATED	-0.07450867	0.13194275	0.018936157
1559466426990	TYPE_ACCELEROMETER_UNCALIBRATED	0.11845398	3.3188477	9.099915
1559466427010	TYPE_ACCELEROMETER	0.07060242	3.4576263	8.883362
1559466427010	TYPE_MAGNETIC_FIELD	-0.29999998	-42.96	-31.619999
1559466427010	TYPE_GYROSCOPE	-0.066604614	0.061279297	0.08085632
1559466427010	TYPE_ROTATION_VECTOR	0.0017019145	-0.17333947	-0.984854
1559466427010	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.08	-81.3	-162.18
1559466427010	TYPE_GYROSCOPE_UNCALIBRATED	-0.065963745	0.10934448	0.00793457
1559466427010	TYPE_ACCELEROMETER_UNCALIBRATED	0.0717926	3.4097748	8.93959
1559466427029	TYPE_ACCELEROMETER	0.1483612	3.5138702	8.93959
1559466427029	TYPE_MAGNETIC_FIELD	-0.59999996	-43.079998	-31.619999
1559466427029	TYPE_GYROSCOPE	-0.091049194	0.0625	0.105285645
1559466427029	TYPE_ROTATION_VECTOR	0.0021546674	-0.17269552	-0.98496246
1559466427029	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.7800002	-81.42	-162.18
1559466427029	TYPE_GYROSCOPE_UNCALIBRATED	-0.0836792	0.10385132	0.01953125
1559466427029	TYPE_ACCELEROMETER_UNCALIBRATED	0.10649109	3.497116	8.890533
1559466427049	TYPE_ACCELEROMETER	0.21655273	3.549759	8.953949
1559466427049	TYPE_MAGNETIC_FIELD	-0.71999997	-43.079998	-31.439999
1559466427049	TYPE_GYROSCOPE	-0.10752869	0.064941406	0.12849426
1559466427049	TYPE_ROTATION_VECTOR	0.002576195	-0.17181638	-0.9851094
1559466427049	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.66	-81.42	-162.0
1559466427049	TYPE_GYROSCOPE_UNCALIBRATED	-0.10749817	0.110565186	0.04763794
1559466427049	TYPE_ACCELEROMETER_UNCALIBRATED	0.18544006	3.5246277	8.961121
1559466427069	TYPE_ACCELEROMETER	0.25723267	3.5700989	8.866608
1559466427069	TYPE_MAGNETIC_FIELD	-0.71999997	-42.96	-31.619999
1559466427069	TYPE_GYROSCOPE	-0.103256226	0.04966736	0.14193726
1559466427069	TYPE_ROTATION_VECTOR	0.0029814958	-0.17077725	-0.98528016
1559466427069	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.66	-81.3	-162.18
1559466427069	TYPE_GYROSCOPE_UNCALIBRATED	-0.11177063	0.10018921	0.06413269
1559466427069	TYPE_ACCELEROMETER_UNCALIBRATED	0.23808289	3.562912	8.921646
1559466427088	TYPE_ACCELEROMETER	0.36491394	3.5868378	8.822342
1559466427088	TYPE_MAGNETIC_FIELD	-0.65999997	-42.6	-31.98
1559466427088	TYPE_GYROSCOPE	-0.110580444	0.05455017	0.15660095
1559466427088	TYPE_ROTATION_VECTOR	0.0032173425	-0.16977948	-0.98544043
1559466427088	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.7200003	-80.94	-162.54
1559466427088	TYPE_GYROSCOPE_UNCALIBRATED	-0.10871887	0.09346008	0.07817078
