#	startTime:1559466486598
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5ae2acfd2d33b58550	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559466486598	TYPE_WAYPOINT	58.61	63.46703
1559466486723	TYPE_ACCELEROMETER	0.22253418	2.5878448	9.008987
1559466486723	TYPE_MAGNETIC_FIELD	18.0	18.96	-53.879997
1559466486723	TYPE_GYROSCOPE	-0.05531311	-0.04928589	-0.019622803
1559466486723	TYPE_ROTATION_VECTOR	0.14042544	0.03191125	0.22558238
1559466486723	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.380001	-19.380001	-184.44
1559466486723	TYPE_GYROSCOPE_UNCALIBRATED	-0.009765625	0.04399109	-0.07574463
1559466486723	TYPE_ACCELEROMETER_UNCALIBRATED	0.3960266	2.551941	9.170502
1559466486743	TYPE_ACCELEROMETER	0.63290405	2.5423737	9.30928
1559466486743	TYPE_MAGNETIC_FIELD	17.82	18.96	-53.94
1559466486743	TYPE_GYROSCOPE	-0.21565247	-0.21421814	-0.062072754
1559466486743	TYPE_ROTATION_VECTOR	0.1370894	0.02213591	0.24117106
1559466486743	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.2	-19.380001	-184.5
1559466486743	TYPE_GYROSCOPE_UNCALIBRATED	-0.22296143	-0.1979065	-0.13867188
1559466486743	TYPE_ACCELEROMETER_UNCALIBRATED	0.88534546	2.5447693	9.360733
1559466486763	TYPE_ACCELEROMETER	1.0624237	2.5531464	9.296127
1559466486763	TYPE_MAGNETIC_FIELD	17.4	19.199999	-53.82
1559466486763	TYPE_GYROSCOPE	-0.19854736	-0.26063538	-0.09262085
1559466486763	TYPE_ROTATION_VECTOR	0.13617444	4.0891863E-4	0.2487519
1559466486763	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.779999	-19.140001	-184.38
1559466486763	TYPE_GYROSCOPE_UNCALIBRATED	-0.22296143	-0.1979065	-0.13867188
1559466486763	TYPE_ACCELEROMETER_UNCALIBRATED	1.134201	2.5926208	9.135803
1559466486782	TYPE_ACCELEROMETER	1.149765	2.670395	8.924042
1559466486782	TYPE_MAGNETIC_FIELD	17.22	19.26	-53.76
1559466486782	TYPE_GYROSCOPE	-0.14663696	-0.28385925	-0.17324829
1559466486782	TYPE_ROTATION_VECTOR	0.14327419	-0.014362754	0.28704756
1559466486782	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.599998	-19.08	-184.31999
1559466486782	TYPE_GYROSCOPE_UNCALIBRATED	-0.14414978	-0.24433899	-0.2822113
1559466486782	TYPE_ACCELEROMETER_UNCALIBRATED	1.1330109	2.7553406	8.711075
1559466486802	TYPE_ACCELEROMETER	1.0827484	2.8402863	8.538788
1559466486802	TYPE_MAGNETIC_FIELD	16.8	19.56	-53.94
1559466486802	TYPE_GYROSCOPE	-0.14234924	-0.28323364	-0.24594116
1559466486802	TYPE_ROTATION_VECTOR	0.15557574	-0.020922387	0.26590845
1559466486802	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.18	-18.78	-184.5
1559466486802	TYPE_GYROSCOPE_UNCALIBRATED	-0.14414978	-0.24433899	-0.2822113
1559466486802	TYPE_ACCELEROMETER_UNCALIBRATED	1.0073853	2.9228363	8.446671
1559466486822	TYPE_ACCELEROMETER	0.90689087	2.987442	8.438293
1559466486822	TYPE_MAGNETIC_FIELD	16.44	19.56	-53.82
1559466486822	TYPE_GYROSCOPE	-0.16555786	-0.21420288	-0.2905426
1559466486822	TYPE_ROTATION_VECTOR	0.16843988	-0.01913856	0.2520378
1559466486822	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.82	-18.78	-184.38
1559466486822	TYPE_GYROSCOPE_UNCALIBRATED	-0.15757751	-0.21743774	-0.3445282
1559466486822	TYPE_ACCELEROMETER_UNCALIBRATED	0.8027954	3.0101776	8.517258
1559466486841	TYPE_ACCELEROMETER	0.70469666	2.9754791	8.677567
1559466486841	TYPE_MAGNETIC_FIELD	15.9	19.56	-53.82
1559466486841	TYPE_GYROSCOPE	-0.19610596	-0.059051514	-0.30215454
1559466486841	TYPE_ROTATION_VECTOR	0.16749148	-0.021070022	0.24892423
1559466486841	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.279999	-18.78	-184.38
1559466486841	TYPE_GYROSCOPE_UNCALIBRATED	-0.1869049	-0.09954834	-0.37017822
