#	startTime:1559466640702
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5ae2acfd2d33b58550	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559466640702	TYPE_WAYPOINT	15.540996	79.883
1559466640840	TYPE_ACCELEROMETER	0.43070984	2.815155	9.1944275
1559466640840	TYPE_MAGNETIC_FIELD	-27.18	-5.46	-38.64
1559466640840	TYPE_GYROSCOPE	-0.16770935	-0.025146484	0.0652771
1559466640840	TYPE_ROTATION_VECTOR	0.077961355	-0.0970471	-0.5722933
1559466640840	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.8	-43.8	-169.2
1559466640840	TYPE_GYROSCOPE_UNCALIBRATED	-0.46546936	0.030548096	0.18200684
1559466640840	TYPE_ACCELEROMETER_UNCALIBRATED	0.33380127	2.790039	9.337997
1559466640860	TYPE_ACCELEROMETER	0.29193115	2.7684937	9.43132
1559466640860	TYPE_MAGNETIC_FIELD	-27.359999	-5.58	-38.64
1559466640860	TYPE_GYROSCOPE	-0.054397583	0.016693115	0.0075683594
1559466640860	TYPE_ROTATION_VECTOR	0.1005031	-0.104344204	-0.626986
1559466640860	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.98	-43.92	-169.2
1559466640860	TYPE_GYROSCOPE_UNCALIBRATED	-0.173172	0.01864624	-0.0058135986
1559466640860	TYPE_ACCELEROMETER_UNCALIBRATED	0.27996826	2.7493591	9.505493
1559466640880	TYPE_ACCELEROMETER	0.27996826	2.7182465	9.533005
1559466640880	TYPE_MAGNETIC_FIELD	-27.119999	-5.7	-38.579998
1559466640880	TYPE_GYROSCOPE	-0.026901245	0.007522583	0.002670288
1559466640880	TYPE_ROTATION_VECTOR	0.09830206	-0.100499645	-0.63687086
1559466640880	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.739998	-44.04	-169.14
1559466640880	TYPE_GYROSCOPE_UNCALIBRATED	-0.05986023	0.06048584	-0.06352234
1559466640880	TYPE_ACCELEROMETER_UNCALIBRATED	0.28355408	2.7086792	9.507889
1559466640899	TYPE_ACCELEROMETER	0.25602722	2.7074738	9.479172
1559466640899	TYPE_MAGNETIC_FIELD	-27.06	-5.7	-38.64
1559466640899	TYPE_GYROSCOPE	-0.023849487	-0.0071411133	-0.011993408
1559466640899	TYPE_ROTATION_VECTOR	0.09802156	-0.097116776	-0.62307495
1559466640899	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.68	-44.04	-169.2
1559466640899	TYPE_GYROSCOPE_UNCALIBRATED	-0.03236389	0.051315308	-0.06842041
1559466640899	TYPE_ACCELEROMETER_UNCALIBRATED	0.1986084	2.7086792	9.476776
1559466640919	TYPE_ACCELEROMETER	0.14476013	2.719452	9.53421
1559466640919	TYPE_MAGNETIC_FIELD	-26.76	-5.7599998	-38.46
1559466640919	TYPE_GYROSCOPE	-0.023834229	0.01852417	-0.018707275
1559466640919	TYPE_ROTATION_VECTOR	0.100197144	-0.096150294	-0.63383675
1559466640919	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.380001	-44.1	-169.01999
1559466640919	TYPE_GYROSCOPE_UNCALIBRATED	-0.029312134	0.03665161	-0.08308411
1559466640919	TYPE_ACCELEROMETER_UNCALIBRATED	0.119644165	2.7338104	9.633514
1559466640939	TYPE_ACCELEROMETER	0.107681274	2.7481537	9.686157
1559466640939	TYPE_MAGNETIC_FIELD	-26.58	-5.94	-38.34
1559466640939	TYPE_GYROSCOPE	0.0054779053	0.014862061	-0.022369385
1559466640939	TYPE_ROTATION_VECTOR	0.10054543	-0.09312811	-0.643712
1559466640939	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.2	-44.28	-168.9
1559466640939	TYPE_GYROSCOPE_UNCALIBRATED	-0.029296875	0.062316895	-0.08979797
1559466640939	TYPE_ACCELEROMETER_UNCALIBRATED	0.12562561	2.7673035	9.659836
