#	startTime:1559466717138
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5ae2acfd2d33b58550	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559466717139	TYPE_WAYPOINT	41.89644	57.863857
1559466717268	TYPE_ACCELEROMETER	0.3708954	3.0317078	9.081955
1559466717268	TYPE_MAGNETIC_FIELD	-26.519999	-7.5	-45.66
1559466717268	TYPE_GYROSCOPE	-0.027511597	-0.04257202	-0.058410645
1559466717268	TYPE_ROTATION_VECTOR	0.12373153	-0.10735785	-0.55713904
1559466717268	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.14	-45.84	-176.22
1559466717268	TYPE_GYROSCOPE_UNCALIBRATED	-0.032974243	0.0012207031	-0.12950134
1559466717268	TYPE_ACCELEROMETER_UNCALIBRATED	0.38404846	3.016159	9.00061
1559466717288	TYPE_ACCELEROMETER	0.31706238	3.0436707	9.101105
1559466717288	TYPE_MAGNETIC_FIELD	-26.519999	-7.3799996	-45.239998
1559466717288	TYPE_GYROSCOPE	-0.08920288	0.008743286	0.008163452
1559466717288	TYPE_ROTATION_VECTOR	0.11739821	-0.1087849	-0.58879536
1559466717288	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.14	-45.72	-175.79999
1559466717288	TYPE_GYROSCOPE_UNCALIBRATED	-0.09466553	0.05253601	-0.062927246
1559466717288	TYPE_ACCELEROMETER_UNCALIBRATED	0.33380127	3.0341034	9.119049
1559466717308	TYPE_ACCELEROMETER	0.32781982	3.1011047	8.933609
1559466717308	TYPE_MAGNETIC_FIELD	-26.699999	-7.2	-45.18
1559466717308	TYPE_GYROSCOPE	-0.07455444	0.009353638	8.392334E-4
1559466717308	TYPE_ROTATION_VECTOR	0.121756405	-0.109648384	-0.58212173
