#	startTime:1559467458512
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5ae2acfd2d33b58550	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559467458512	TYPE_WAYPOINT	75.192535	40.32871
1559467458734	TYPE_ACCELEROMETER	-0.08135986	2.6536407	9.377472
1559467458734	TYPE_MAGNETIC_FIELD	2.52	13.86	-30.42
1559467458734	TYPE_GYROSCOPE	-0.06355286	-0.010803223	0.054595947
1559467458734	TYPE_ROTATION_VECTOR	0.13446528	0.0150009915	0.068245985
1559467458734	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.4799995	-20.34	-173.94
1559467458734	TYPE_GYROSCOPE_UNCALIBRATED	-0.0690155	0.032989502	-0.016494751
1559467458734	TYPE_ACCELEROMETER_UNCALIBRATED	-0.107681274	2.6452637	9.43132
1559467458754	TYPE_ACCELEROMETER	-0.01914978	2.6895294	9.18605
1559467458754	TYPE_MAGNETIC_FIELD	2.6399999	13.92	-30.48
1559467458754	TYPE_GYROSCOPE	-0.050720215	-0.0046844482	0.042999268
1559467458754	TYPE_ROTATION_VECTOR	0.13664192	0.011293905	0.0557256
1559467458754	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.5999994	-20.28	-174.0
1559467458754	TYPE_GYROSCOPE_UNCALIBRATED	-0.0690155	0.032989502	-0.016494751
1559467458754	TYPE_ACCELEROMETER_UNCALIBRATED	-0.041870117	2.6692047	9.290131
1559467458773	TYPE_ACCELEROMETER	-0.03111267	2.7230377	9.099899
1559467458773	TYPE_MAGNETIC_FIELD	2.6399999	14.16	-30.359999
1559467458773	TYPE_GYROSCOPE	-0.062332153	-0.0016326904	0.025878906
1559467458773	TYPE_ROTATION_VECTOR	0.14128542	0.006918141	0.043659568
1559467458773	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.5999994	-20.04	-173.88
1559467458773	TYPE_GYROSCOPE_UNCALIBRATED	-0.05618286	0.039108276	-0.02809143
1559467458773	TYPE_ACCELEROMETER_UNCALIBRATED	-0.023925781	2.7086792	9.120239
1559467458793	TYPE_ACCELEROMETER	-0.06460571	2.7577362	9.110672
1559467458793	TYPE_MAGNETIC_FIELD	2.7	14.28	-30.42
1559467458793	TYPE_GYROSCOPE	-0.08615112	-0.0053100586	0.01550293
1559467458793	TYPE_ROTATION_VECTOR	0.14374635	0.008635874	0.052421074
1559467458793	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.66	-19.920002	-173.94
1559467458793	TYPE_GYROSCOPE_UNCALIBRATED	-0.0677948	0.042160034	-0.045211792
1559467458793	TYPE_ACCELEROMETER_UNCALIBRATED	-0.039489746	2.7421722	9.095123
1559467458813	TYPE_ACCELEROMETER	-0.10409546	2.7708893	9.135803
1559467458813	TYPE_MAGNETIC_FIELD	2.76	14.46	-30.42
1559467458813	TYPE_GYROSCOPE	-0.09654236	0.0026245117	0.01550293
1559467458813	TYPE_ROTATION_VECTOR	0.14302613	0.008627937	0.0538422
1559467458813	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.72	-19.740002	-173.94
1559467458813	TYPE_GYROSCOPE_UNCALIBRATED	-0.09161377	0.038482666	-0.05558777
1559467458813	TYPE_ACCELEROMETER_UNCALIBRATED	-0.090927124	2.761322	9.135803
1559467458832	TYPE_ACCELEROMETER	-0.114868164	2.7960205	9.070007
1559467458832	TYPE_MAGNETIC_FIELD	2.6399999	15.059999	-30.48
1559467458832	TYPE_GYROSCOPE	-0.09286499	0.025238037	0.025894165
1559467458832	TYPE_ROTATION_VECTOR	0.14211757	0.00852526	0.053979244
1559467458832	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.5999994	-19.140001	-174.0
1559467458832	TYPE_GYROSCOPE_UNCALIBRATED	-0.102005005	0.046417236	-0.05558777
1559467458832	TYPE_ACCELEROMETER_UNCALIBRATED	-0.10649109	2.7804565	9.113068
1559467458852	TYPE_ACCELEROMETER	-0.13879395	2.8163605	8.995819
1559467458852	TYPE_MAGNETIC_FIELD	2.76	15.12	-30.66
1559467458852	TYPE_GYROSCOPE	-0.103256226	0.044784546	0.03565979
1559467458852	TYPE_ROTATION_VECTOR	0.14119418	0.008566068	0.054201543
1559467458852	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.72	-19.080002	-174.18001
1559467458852	TYPE_GYROSCOPE_UNCALIBRATED	-0.09832764	0.06903076	-0.045196533
1559467458852	TYPE_ACCELEROMETER_UNCALIBRATED	-0.12683105	2.8091736	9.019745
1559467458872	TYPE_ACCELEROMETER	-0.13639832	2.8055878	9.111877
1559467458872	TYPE_MAGNETIC_FIELD	3.06	15.42	-30.779999
1559467458872	TYPE_GYROSCOPE	-0.14967346	0.0466156	0.05091858
1559467458872	TYPE_ROTATION_VECTOR	0.14026445	0.008835476	0.054559086
1559467458872	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.0199995	-18.78	-174.3
1559467458872	TYPE_GYROSCOPE_UNCALIBRATED	-0.15513611	0.090408325	-0.02017212
1559467458872	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14596558	2.8163605	9.030518
1559467458891	TYPE_ACCELEROMETER	-0.009567261	2.7924194	9.28775
1559467458891	TYPE_MAGNETIC_FIELD	3.3	15.599999	-30.48
1559467458891	TYPE_GYROSCOPE	-0.20098877	0.03440857	0.0741272
1559467458891	TYPE_ROTATION_VECTOR	0.13905391	0.009164439	0.055038285
1559467458891	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.2599998	-18.600002	-174.0
1559467458891	TYPE_GYROSCOPE_UNCALIBRATED	-0.15513611	0.090408325	-0.02017212
1559467458891	TYPE_ACCELEROMETER_UNCALIBRATED	-0.09451294	2.7972107	9.209976
1559467458911	TYPE_ACCELEROMETER	0.19741821	2.8043823	9.265015
1559467458911	TYPE_MAGNETIC_FIELD	3.3	15.9	-30.599998
1559467458911	TYPE_GYROSCOPE	-0.22116089	8.087158E-4	0.08879089
1559467458911	TYPE_ROTATION_VECTOR	0.13731371	0.009412221	0.05571994
1559467458911	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.2599998	-18.300001	-174.12
1559467458911	TYPE_GYROSCOPE_UNCALIBRATED	-0.22662354	0.04460144	0.017700195
1559467458911	TYPE_ACCELEROMETER_UNCALIBRATED	0.0993042	2.7924194	9.312866
1559467458931	TYPE_ACCELEROMETER	0.37927246	2.9084778	8.985046
1559467458931	TYPE_MAGNETIC_FIELD	3.54	15.719999	-30.72
1559467458931	TYPE_GYROSCOPE	-0.20831299	-0.03829956	0.07841492
1559467458931	TYPE_ROTATION_VECTOR	0.13521461	0.009356461	0.056577325
1559467458931	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.5	-18.480001	-174.24
1559467458931	TYPE_GYROSCOPE_UNCALIBRATED	-0.22662354	0.04460144	0.017700195
1559467458931	TYPE_ACCELEROMETER_UNCALIBRATED	0.29074097	2.8462677	9.147766
1559467458950	TYPE_ACCELEROMETER	0.5228424	3.0269318	8.664413
1559467458950	TYPE_MAGNETIC_FIELD	3.4199998	15.9	-30.66
1559467458950	TYPE_GYROSCOPE	-0.19242859	-0.071884155	0.05947876
1559467458950	TYPE_ROTATION_VECTOR	0.13312688	0.008952834	0.057412554
1559467458950	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.3799996	-18.300001	-174.18001
1559467458950	TYPE_GYROSCOPE_UNCALIBRATED	-0.21377563	0.005493164	0.0073242188
1559467458950	TYPE_ACCELEROMETER_UNCALIBRATED	0.4510498	2.967102	8.813965
1559467458970	TYPE_ACCELEROMETER	0.69273376	3.1585388	8.390442
1559467458970	TYPE_MAGNETIC_FIELD	3.6	16.02	-30.599998
1559467458970	TYPE_GYROSCOPE	-0.18817139	-0.08103943	0.046661377
1559467458970	TYPE_ROTATION_VECTOR	0.13123113	0.008196687	0.05802305
1559467458970	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.5599995	-18.18	-174.12
1559467458970	TYPE_GYROSCOPE_UNCALIBRATED	-0.19363403	-0.037246704	-0.024429321
1559467458970	TYPE_ACCELEROMETER_UNCALIBRATED	0.6077881	3.0927277	8.5208435
1559467458990	TYPE_ACCELEROMETER	0.77407837	3.2470703	8.239685
1559467458990	TYPE_MAGNETIC_FIELD	3.54	15.9	-30.42
1559467458990	TYPE_GYROSCOPE	-0.2077179	-0.056625366	0.036880493
1559467458990	TYPE_ROTATION_VECTOR	0.12944855	0.0072409897	0.058442134
1559467458990	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.5	-18.300001	-173.94
1559467458990	TYPE_GYROSCOPE_UNCALIBRATED	-0.19363403	-0.037246704	-0.024429321
1559467458990	TYPE_ACCELEROMETER_UNCALIBRATED	0.7501526	3.217163	8.297119
1559467459009	TYPE_ACCELEROMETER	0.7884369	3.2721863	8.4179535
1559467459009	TYPE_MAGNETIC_FIELD	3.12	16.02	-30.3
1559467459009	TYPE_GYROSCOPE	-0.2700348	0.0038604736	0.022216797
1559467459009	TYPE_ROTATION_VECTOR	0.12761445	0.006364152	0.05877498
1559467459009	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.08	-18.18	-173.82
1559467459009	TYPE_GYROSCOPE_UNCALIBRATED	-0.21318054	-0.012832642	-0.034210205
1559467459009	TYPE_ACCELEROMETER_UNCALIBRATED	0.78364563	3.2602234	8.263611
1559467459029	TYPE_ACCELEROMETER	0.66041565	3.1824646	9.025726
1559467459029	TYPE_MAGNETIC_FIELD	3.06	15.78	-30.119999
1559467459029	TYPE_GYROSCOPE	-0.38424683	0.05517578	0.005722046
1559467459029	TYPE_ROTATION_VECTOR	0.12538897	0.00588896	0.05903801
1559467459029	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.0199995	-18.420002	-173.64
1559467459029	TYPE_GYROSCOPE_UNCALIBRATED	-0.27549744	0.0476532	-0.0488739
1559467459029	TYPE_ACCELEROMETER_UNCALIBRATED	0.7501526	3.2506561	8.684753
1559467459049	TYPE_ACCELEROMETER	0.51446533	3.020935	9.747162
1559467459049	TYPE_MAGNETIC_FIELD	2.7	15.96	-29.88
1559467459049	TYPE_GYROSCOPE	-0.48687744	0.039901733	-0.01260376
