#	startTime:1559462830408
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5ae2acfd2d33b58564	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559462830409	TYPE_WAYPOINT	29.778288	153.0208
1559462830525	TYPE_ACCELEROMETER	-0.18305969	2.5016937	9.223145
1559462830525	TYPE_MAGNETIC_FIELD	-19.56	4.44	-17.34
1559462830525	TYPE_GYROSCOPE	0.5173645	0.7344513	0.6575012
1559462830525	TYPE_ROTATION_VECTOR	0.13189152	-0.07448133	-0.5454448
1559462830525	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.719999	-37.98	-162.12
1559462830525	TYPE_GYROSCOPE_UNCALIBRATED	0.51190186	0.778244	0.5864105
1559462830525	TYPE_ACCELEROMETER_UNCALIBRATED	-0.17945862	2.547165	8.116455
1559462830545	TYPE_ACCELEROMETER	-0.11366272	2.362915	10.086945
1559462830545	TYPE_MAGNETIC_FIELD	-19.38	4.5	-17.46
1559462830545	TYPE_GYROSCOPE	-0.33232117	-0.05722046	0.12850952
1559462830545	TYPE_ROTATION_VECTOR	0.11698647	-0.060439937	-0.51680905
1559462830545	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.539999	-37.92	-162.23999
1559462830545	TYPE_GYROSCOPE_UNCALIBRATED	0.51190186	0.778244	0.5864105
1559462830545	TYPE_ACCELEROMETER_UNCALIBRATED	-0.11366272	2.362915	10.086945
1559462830565	TYPE_ACCELEROMETER	-0.01675415	2.2253265	10.094131
1559462830565	TYPE_MAGNETIC_FIELD	-19.38	4.5	-17.46
1559462830565	TYPE_GYROSCOPE	-0.13746643	0.01423645	0.13156128
1559462830565	TYPE_ROTATION_VECTOR	0.11698647	-0.060439937	-0.51680905
1559462830565	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.539999	-37.92	-162.23999
1559462830565	TYPE_GYROSCOPE_UNCALIBRATED	-0.14292908	0.058029175	0.06047058
1559462830565	TYPE_ACCELEROMETER_UNCALIBRATED	-0.01675415	2.2253265	10.094131
1559462830584	TYPE_ACCELEROMETER	0.0335083	2.2384949	9.516266
1559462830584	TYPE_MAGNETIC_FIELD	-19.38	4.5	-17.46
1559462830584	TYPE_GYROSCOPE	-0.0018615723	0.053955078	0.105895996
1559462830584	TYPE_ROTATION_VECTOR	0.11698647	-0.060439937	-0.51680905
1559462830584	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.539999	-37.92	-162.23999
1559462830584	TYPE_GYROSCOPE_UNCALIBRATED	-0.14292908	0.058029175	0.06047058
