#	startTime:1559463017722
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5ae2acfd2d33b58564	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559463017723	TYPE_WAYPOINT	46.42022	139.50154
1559463017858	TYPE_ACCELEROMETER	0.08135986	3.2327118	8.416763
1559463017858	TYPE_MAGNETIC_FIELD	-16.92	-38.76	-9.96
1559463017858	TYPE_GYROSCOPE	-0.14419556	-0.099975586	0.022216797
1559463017858	TYPE_ROTATION_VECTOR	0.031840168	-0.18338832	-0.9591304
1559463017858	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-9.48	-74.28	-158.1
1559463017858	TYPE_GYROSCOPE_UNCALIBRATED	-0.018310547	0.13438416	-0.05619812
1559463017858	TYPE_ACCELEROMETER_UNCALIBRATED	0.034698486	3.208786	8.770889
1559463017878	TYPE_ACCELEROMETER	0.008377075	3.1621246	9.176483
1559463017878	TYPE_MAGNETIC_FIELD	-16.68	-38.82	-9.78
1559463017878	TYPE_GYROSCOPE	-0.20954895	-0.06150818	0.017944336
1559463017878	TYPE_ROTATION_VECTOR	0.03521493	-0.17035769	-0.9625222
1559463017878	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-9.24	-74.34	-157.92
1559463017878	TYPE_GYROSCOPE_UNCALIBRATED	-0.1496582	-0.05618286	-0.0488739
1559463017878	TYPE_ACCELEROMETER_UNCALIBRATED	0.034698486	3.208786	8.770889
1559463017898	TYPE_ACCELEROMETER	-0.07058716	3.0604248	9.775879
1559463017898	TYPE_MAGNETIC_FIELD	-16.619999	-38.879997	-9.36
1559463017898	TYPE_GYROSCOPE	-0.11730957	0.0069122314	0.01550293
1559463017898	TYPE_ROTATION_VECTOR	0.03581206	-0.15289833	-0.96373355
1559463017898	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-9.179998	-74.399994	-157.5
1559463017898	TYPE_GYROSCOPE_UNCALIBRATED	-0.2150116	-0.017715454	-0.053146362
1559463017898	TYPE_ACCELEROMETER_UNCALIBRATED	-0.03111267	3.1058807	9.533005
1559463017917	TYPE_ACCELEROMETER	-0.18545532	3.0269318	9.850067
1559463017917	TYPE_MAGNETIC_FIELD	-16.32	-39.12	-9.24
1559463017917	TYPE_GYROSCOPE	-0.0012512207	0.020965576	0.013061523
1559463017917	TYPE_ROTATION_VECTOR	0.0345824	-0.1449499	-0.9693334
1559463017917	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-8.879999	-74.64	-157.38
1559463017917	TYPE_GYROSCOPE_UNCALIBRATED	-0.12277222	0.050704956	-0.05558777
1559463017917	TYPE_ACCELEROMETER_UNCALIBRATED	-0.11605835	3.0400848	9.88356
1559463017937	TYPE_ACCELEROMETER	-0.23210144	3.0532532	9.5234375
1559463017937	TYPE_MAGNETIC_FIELD	-16.14	-39.18	-9.0
1559463017937	TYPE_GYROSCOPE	0.04396057	-0.0071411133	0.010604858
1559463017937	TYPE_ROTATION_VECTOR	0.043385427	-0.14424534	-0.9655867
1559463017937	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-8.699999	-74.7	-157.14
1559463017937	TYPE_GYROSCOPE_UNCALIBRATED	-0.006713867	0.0647583	-0.058029175
1559463017937	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19979858	3.0867462	9.342789
1559463017957	TYPE_ACCELEROMETER	-0.15434265	3.1202393	9.182465
