#	startTime:1559463472906
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5ae2acfd2d33b58564	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559463472906	TYPE_WAYPOINT	52.00086	110.20924
1559463473035	TYPE_ACCELEROMETER	0.7752838	2.4789734	9.214767
1559463473035	TYPE_MAGNETIC_FIELD	33.239998	-10.559999	-37.32
1559463473035	TYPE_GYROSCOPE	0.38175964	0.045394897	0.09918213
1559463473035	TYPE_ROTATION_VECTOR	0.14160812	0.079454914	0.6791709
1559463473035	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.159996	-46.14	-174.54001
1559463473035	TYPE_GYROSCOPE_UNCALIBRATED	0.376297	0.08918762	0.02809143
1559463473035	TYPE_ACCELEROMETER_UNCALIBRATED	0.6341095	2.575882	6.9595337
1559463473055	TYPE_ACCELEROMETER	0.8913269	2.4538422	9.147766
1559463473055	TYPE_MAGNETIC_FIELD	33.239998	-10.62	-37.38
1559463473055	TYPE_GYROSCOPE	-0.114868164	0.031661987	0.093688965
1559463473055	TYPE_ROTATION_VECTOR	0.11996782	0.06637652	0.71184313
1559463473055	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.159996	-46.199997	-174.6
1559463473055	TYPE_GYROSCOPE_UNCALIBRATED	-0.12033081	0.07545471	0.022598267
1559463473055	TYPE_ACCELEROMETER_UNCALIBRATED	0.7106781	2.5495605	8.694336
1559463473075	TYPE_ACCELEROMETER	0.88175964	2.5998077	8.529221
1559463473075	TYPE_MAGNETIC_FIELD	33.059998	-10.559999	-37.5
1559463473075	TYPE_GYROSCOPE	-0.12036133	0.10342407	0.06436157
1559463473075	TYPE_ROTATION_VECTOR	0.12472138	0.058925733	0.7042922
1559463473075	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.979996	-46.14	-174.72
1559463473075	TYPE_GYROSCOPE_UNCALIBRATED	-0.12582397	0.1472168	-0.006729126
1559463473075	TYPE_ACCELEROMETER_UNCALIBRATED	0.8339081	2.4382935	9.3511505
1559463473094	TYPE_ACCELEROMETER	0.72143555	2.719452	8.530426
1559463473094	TYPE_MAGNETIC_FIELD	32.88	-10.5	-37.38
1559463473094	TYPE_GYROSCOPE	-0.06599426	0.09793091	0.010620117
1559463473094	TYPE_ROTATION_VECTOR	0.13850895	0.06701379	0.69256836
1559463473094	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.8	-46.079998	-174.6
1559463473094	TYPE_GYROSCOPE_UNCALIBRATED	-0.07145691	0.14172363	-0.06047058
1559463473094	TYPE_ACCELEROMETER_UNCALIBRATED	0.92123413	2.5184479	8.809189
1559463473114	TYPE_ACCELEROMETER	0.6855469	2.7517548	9.160934
1559463473114	TYPE_MAGNETIC_FIELD	32.88	-10.5	-37.26
1559463473114	TYPE_GYROSCOPE	-0.1771698	0.039901733	-0.019927979
1559463473114	TYPE_ROTATION_VECTOR	0.13681605	0.07863378	0.693531
1559463473114	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.8	-46.079998	-174.48
1559463473114	TYPE_GYROSCOPE_UNCALIBRATED	-0.18263245	0.08369446	-0.09101868
1559463473114	TYPE_ACCELEROMETER_UNCALIBRATED	0.79322815	2.6656036	8.4131775
1559463473134	TYPE_ACCELEROMETER	0.7298126	2.720642	9.477966
1559463473134	TYPE_MAGNETIC_FIELD	32.579998	-10.5	-37.02
1559463473134	TYPE_GYROSCOPE	-0.26940918	-0.014465332	-0.026641846
1559463473134	TYPE_ROTATION_VECTOR	0.12731507	0.07667896	0.70037585
1559463473134	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.499996	-46.079998	-174.24
1559463473134	TYPE_GYROSCOPE_UNCALIBRATED	-0.27487183	0.029327393	-0.097732544
1559463473134	TYPE_ACCELEROMETER_UNCALIBRATED	0.6915283	2.7565308	8.828323
1559463473153	TYPE_ACCELEROMETER	0.7884369	2.7505493	9.236298
1559463473153	TYPE_MAGNETIC_FIELD	32.579998	-10.5	-37.02
1559463473153	TYPE_GYROSCOPE	-0.2260437	-0.010803223	-0.038253784
1559463473153	TYPE_ROTATION_VECTOR	0.12731507	0.07667896	0.70037585
1559463473153	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.499996	-46.079998	-174.24
1559463473153	TYPE_GYROSCOPE_UNCALIBRATED	-0.23150635	0.032989502	-0.10934448
1559463473153	TYPE_ACCELEROMETER_UNCALIBRATED	0.69511414	2.7302094	9.397812
1559463473173	TYPE_ACCELEROMETER	0.6137543	2.8187408	8.927628
1559463473173	TYPE_MAGNETIC_FIELD	32.76	-10.32	-36.96
1559463473173	TYPE_GYROSCOPE	-0.1307373	0.029510498	-0.062088013
1559463473173	TYPE_ROTATION_VECTOR	0.12432499	0.073662914	0.70014995
1559463473173	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.679996	-45.899998	-174.18
1559463473173	TYPE_GYROSCOPE_UNCALIBRATED	-0.13619995	0.07330322	-0.13317871
1559463473173	TYPE_ACCELEROMETER_UNCALIBRATED	0.77049255	2.7278137	9.413361
1559463473193	TYPE_ACCELEROMETER	0.33380127	2.9371948	9.005386
1559463473193	TYPE_MAGNETIC_FIELD	32.46	-10.2	-36.66
1559463473193	TYPE_GYROSCOPE	-0.10142517	0.0625	-0.10116577
1559463473193	TYPE_ROTATION_VECTOR	0.123199575	0.07339742	0.6997326
1559463473193	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.379997	-45.78	-173.88
1559463473193	TYPE_GYROSCOPE_UNCALIBRATED	-0.10688782	0.106292725	-0.17225647
1559463473193	TYPE_ACCELEROMETER_UNCALIBRATED	0.74417114	2.7780762	9.036499
1559463473212	TYPE_ACCELEROMETER	0.2907257	3.0891418	8.961121
1559463473212	TYPE_MAGNETIC_FIELD	32.34	-9.96	-36.18
1559463473212	TYPE_GYROSCOPE	-0.12585449	0.030731201	-0.12193298
1559463473212	TYPE_ROTATION_VECTOR	0.1219651	0.07312955	0.69908035
1559463473212	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.26	-45.539997	-173.4
