#	startTime:1559463716687
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5ae2acfd2d33b58564	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559463716689	TYPE_WAYPOINT	89.04052	32.365242
1559463716823	TYPE_ACCELEROMETER	-0.3206482	3.1692963	9.244675
1559463716823	TYPE_MAGNETIC_FIELD	37.8	-15.96	-35.82
1559463716823	TYPE_GYROSCOPE	0.022567749	-0.051116943	-0.037643433
1559463716823	TYPE_ROTATION_VECTOR	0.101475224	0.13331176	0.73606837
1559463716823	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.559998	-43.62	-165.72
1559463716823	TYPE_GYROSCOPE_UNCALIBRATED	0.017105103	-0.0073242188	-0.10873413
1559463716823	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2476654	3.1860504	9.086746
1559463716843	TYPE_ACCELEROMETER	-0.23210144	3.0951233	9.489944
1559463716843	TYPE_MAGNETIC_FIELD	37.8	-16.08	-35.88
1559463716843	TYPE_GYROSCOPE	-0.051635742	-0.026367188	-0.0019073486
1559463716843	TYPE_ROTATION_VECTOR	0.094929725	0.12985153	0.73762256
1559463716843	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.559998	-43.739998	-165.78
1559463716843	TYPE_GYROSCOPE_UNCALIBRATED	-0.0076293945	9.3078613E-4	-0.096832275
1559463716843	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3098755	3.1381989	9.388245
1559463716863	TYPE_ACCELEROMETER	-0.13041687	3.0197449	9.437302
1559463716863	TYPE_MAGNETIC_FIELD	37.62	-16.02	-35.94
1559463716863	TYPE_GYROSCOPE	-0.04156494	-0.0053100586	0.027114868
1559463716863	TYPE_ROTATION_VECTOR	0.09789368	0.11869355	0.7298567
1559463716863	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.379997	-43.68	-165.84
1559463716863	TYPE_GYROSCOPE_UNCALIBRATED	-0.07084656	0.031158447	-0.053146362
1559463716863	TYPE_ACCELEROMETER_UNCALIBRATED	-0.15913391	3.0472565	9.511475
1559463716882	TYPE_ACCELEROMETER	-0.22851562	3.016159	9.266205
1559463716882	TYPE_MAGNETIC_FIELD	37.739998	-16.02	-35.94
1559463716882	TYPE_GYROSCOPE	-0.010406494	-0.00592041	0.01550293
1559463716882	TYPE_ROTATION_VECTOR	0.09861035	0.120157436	0.73173696
1559463716882	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.499996	-43.68	-165.84
1559463716882	TYPE_GYROSCOPE_UNCALIBRATED	-0.025650024	0.03970337	-0.046417236
1559463716882	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1603241	3.0137634	9.327225
1559463716902	TYPE_ACCELEROMETER	-0.29432678	3.000595	9.3667145
1559463716902	TYPE_MAGNETIC_FIELD	37.86	-16.08	-35.94
1559463716902	TYPE_GYROSCOPE	-0.037887573	-0.02180481	0.001449585
1559463716902	TYPE_ROTATION_VECTOR	0.093838364	0.12585598	0.73543954
1559463716902	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.62	-43.739998	-165.84
1559463716902	TYPE_GYROSCOPE_UNCALIBRATED	-0.02319336	0.032989502	-0.0647583
1559463716902	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27757263	3.0101776	9.284149
