#	startTime:1559463859456
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5ae2acfd2d33b58564	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559463859456	TYPE_WAYPOINT	49.31942	11.976284
1559463859578	TYPE_ACCELEROMETER	-0.38883972	2.982666	9.352356
1559463859578	TYPE_MAGNETIC_FIELD	-2.9399998	-37.8	-17.16
1559463859578	TYPE_GYROSCOPE	0.03112793	-0.020568848	0.022216797
1559463859578	TYPE_ROTATION_VECTOR	0.14065304	0.024853472	0.06449806
1559463859578	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.7	-78.119995	-160.68001
1559463859578	TYPE_GYROSCOPE_UNCALIBRATED	0.025665283	0.023223877	-0.0488739
1559463859578	TYPE_ACCELEROMETER_UNCALIBRATED	-0.30030823	2.9527435	8.9683075
1559463859598	TYPE_ACCELEROMETER	-0.15553284	2.9168549	9.367905
1559463859598	TYPE_MAGNETIC_FIELD	7.2599998	35.28	-35.88
1559463859598	TYPE_GYROSCOPE	-0.06782532	-0.024230957	-0.05567932
1559463859598	TYPE_ROTATION_VECTOR	0.15221088	0.027375935	0.04732386
1559463859598	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.9	-5.040001	-179.40001
1559463859598	TYPE_GYROSCOPE_UNCALIBRATED	-0.0073242188	0.022003174	-0.07484436
1559463859598	TYPE_ACCELEROMETER_UNCALIBRATED	-0.38883972	2.982666	9.352356
1559463859618	TYPE_ACCELEROMETER	-0.0023956299	2.806778	9.286545
1559463859618	TYPE_MAGNETIC_FIELD	7.14	34.92	-35.82
1559463859618	TYPE_GYROSCOPE	-0.062332153	0.025238037	-0.035812378
1559463859618	TYPE_ROTATION_VECTOR	0.149467	0.018768815	0.07420437
1559463859618	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.779999	-5.4000015	-179.34
1559463859618	TYPE_GYROSCOPE_UNCALIBRATED	-0.09100342	0.03665161	-0.13500977
1559463859618	TYPE_ACCELEROMETER_UNCALIBRATED	-0.15553284	2.9168549	9.367905
1559463859637	TYPE_ACCELEROMETER	-0.034698486	2.752945	9.389435
1559463859637	TYPE_MAGNETIC_FIELD	7.2599998	34.68	-35.82
1559463859637	TYPE_GYROSCOPE	-0.067230225	0.025238037	-0.027877808
1559463859637	TYPE_ROTATION_VECTOR	0.14595419	0.013380117	0.092106104
1559463859637	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.9	-5.6399994	-179.34
1559463859637	TYPE_GYROSCOPE_UNCALIBRATED	-0.061080933	0.082473755	-0.09529114
1559463859637	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0023956299	2.806778	9.286545
1559463859657	TYPE_ACCELEROMETER	-0.039489746	2.720642	9.592834
1559463859657	TYPE_MAGNETIC_FIELD	7.14	34.5	-35.88
1559463859657	TYPE_GYROSCOPE	-0.12219238	-0.026062012	-0.047424316
1559463859657	TYPE_ROTATION_VECTOR	0.14171977	0.013152314	0.079326205
1559463859657	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.779999	-5.8199997	-179.40001
1559463859657	TYPE_GYROSCOPE_UNCALIBRATED	-0.098342896	0.042160034	-0.109954834
1559463859657	TYPE_ACCELEROMETER_UNCALIBRATED	-0.034698486	2.752945	9.389435
1559463859677	TYPE_ACCELEROMETER	0.03111267	2.6907349	9.6418915
1559463859677	TYPE_MAGNETIC_FIELD	6.7799997	34.32	-35.76
1559463859677	TYPE_GYROSCOPE	-0.14601135	-0.039505005	-0.046188354
1559463859677	TYPE_ROTATION_VECTOR	0.13656199	0.012049307	0.07688021
1559463859677	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.419999	-6.0	-179.28
1559463859677	TYPE_GYROSCOPE_UNCALIBRATED	-0.14781189	0.0042877197	-0.12034607
1559463859677	TYPE_ACCELEROMETER_UNCALIBRATED	-0.039489746	2.720642	9.592834
1559463859696	TYPE_ACCELEROMETER	0.18424988	2.7134705	9.589249
1559463859696	TYPE_MAGNETIC_FIELD	6.72	34.14	-35.76
1559463859696	TYPE_GYROSCOPE	-0.13012695	-0.028518677	-0.03642273
1559463859696	TYPE_ROTATION_VECTOR	0.13427863	0.009321428	0.08113101
1559463859696	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.359999	-6.1800003	-179.28
1559463859696	TYPE_GYROSCOPE_UNCALIBRATED	-0.14476013	0.011001587	-0.11178589
1559463859696	TYPE_ACCELEROMETER_UNCALIBRATED	0.03111267	2.6907349	9.6418915
1559463859716	TYPE_ACCELEROMETER	0.19741821	2.8570404	9.324844
1559463859716	TYPE_MAGNETIC_FIELD	6.72	34.079998	-35.46
1559463859716	TYPE_GYROSCOPE	-0.106918335	-0.047454834	-0.05291748
