#	startTime:1559464331861
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5ae2acfd2d33b58564	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559464331861	TYPE_WAYPOINT	82.710754	94.930374
1559464331996	TYPE_ACCELEROMETER	-1.1425781	2.5986023	8.9192505
1559464331996	TYPE_MAGNETIC_FIELD	32.76	-19.619999	-40.62
1559464331996	TYPE_GYROSCOPE	0.13130188	0.3111267	-0.30459595
1559464331996	TYPE_ROTATION_VECTOR	0.049118184	0.13262883	0.77373445
1559464331996	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.5	-52.5	-176.51999
1559464331996	TYPE_GYROSCOPE_UNCALIBRATED	0.20402527	0.12461853	-0.18325806
1559464331996	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0492554	2.5423737	8.900101
1559464332016	TYPE_ACCELEROMETER	-0.8614197	2.2911377	9.205185
1559464332016	TYPE_MAGNETIC_FIELD	32.94	-19.56	-40.5
1559464332016	TYPE_GYROSCOPE	-0.30667114	0.37342834	-0.3100891
1559464332016	TYPE_ROTATION_VECTOR	0.040341273	0.14344153	0.7773972
1559464332016	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.68	-52.440002	-176.4
1559464332016	TYPE_GYROSCOPE_UNCALIBRATED	0.12583923	0.35491943	-0.37568665
1559464332016	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0492554	2.5423737	8.900101
1559464332036	TYPE_ACCELEROMETER	-0.6352997	1.8293152	10.798813
1559464332036	TYPE_MAGNETIC_FIELD	33.239998	-19.26	-40.44
1559464332036	TYPE_GYROSCOPE	-0.716568	0.011199951	-0.18424988
1559464332036	TYPE_ROTATION_VECTOR	0.031416867	0.09999094	0.79484695
1559464332036	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.979996	-52.14	-176.34
1559464332036	TYPE_GYROSCOPE_UNCALIBRATED	-0.3121338	0.41722107	-0.3811798
1559464332036	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6221466	1.7407837	11.623138
1559464332055	TYPE_ACCELEROMETER	-0.56829834	1.6737823	12.010773
1559464332055	TYPE_MAGNETIC_FIELD	33.54	-18.96	-40.379997
1559464332055	TYPE_GYROSCOPE	-0.7214508	-0.28018188	-0.15248108
1559464332055	TYPE_ROTATION_VECTOR	0.021007579	0.075223915	0.81234056
1559464332055	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.28	-51.84	-176.28
1559464332055	TYPE_GYROSCOPE_UNCALIBRATED	-0.72203064	0.054992676	-0.25534058
1559464332055	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6221466	1.7407837	11.623138
1559464332075	TYPE_ACCELEROMETER	-0.22851562	1.6857452	11.170898
1559464332075	TYPE_MAGNETIC_FIELD	33.78	-18.539999	-40.62
1559464332075	TYPE_GYROSCOPE	-0.30789185	-0.35897827	-0.15248108
1559464332075	TYPE_ROTATION_VECTOR	0.027773114	0.06597976	0.80473024
1559464332075	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.519997	-51.42	-176.51999
1559464332075	TYPE_GYROSCOPE_UNCALIBRATED	-0.72691345	-0.23638916	-0.22357178
1559464332075	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07298279	1.8400879	10.1814575
1559464332095	TYPE_ACCELEROMETER	0.09690857	2.0985107	9.069992
1559464332095	TYPE_MAGNETIC_FIELD	34.14	-18.06	-40.8
1559464332095	TYPE_GYROSCOPE	0.24737549	-0.2508545	-0.2056427
1559464332095	TYPE_ROTATION_VECTOR	0.053310916	0.07109186	0.7847087
1559464332095	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.879997	-50.940002	-176.7
1559464332095	TYPE_GYROSCOPE_UNCALIBRATED	-0.3133545	-0.31518555	-0.22357178
1559464332095	TYPE_ACCELEROMETER_UNCALIBRATED	0.15553284	2.2911377	7.9501495
1559464332114	TYPE_ACCELEROMETER	0.06700134	2.4095764	6.8769684
1559464332114	TYPE_MAGNETIC_FIELD	34.44	-17.64	-40.98
1559464332114	TYPE_GYROSCOPE	0.6719055	-0.07798767	-0.31558228
1559464332114	TYPE_ROTATION_VECTOR	0.056601543	0.07157472	0.78314596
1559464332114	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.18	-50.52	-176.87999
1559464332114	TYPE_GYROSCOPE_UNCALIBRATED	0.24191284	-0.20706177	-0.2767334
1559464332114	TYPE_ACCELEROMETER_UNCALIBRATED	0.15553284	2.2911377	7.9501495
1559464332134	TYPE_ACCELEROMETER	-0.3146515	2.6931305	4.8681946
1559464332134	TYPE_MAGNETIC_FIELD	34.44	-17.22	-41.04
1559464332134	TYPE_GYROSCOPE	0.83073425	0.060058594	-0.35102844
1559464332134	TYPE_ROTATION_VECTOR	0.061029274	0.07641876	0.78071076
1559464332134	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.18	-50.1	-176.94
1559464332134	TYPE_GYROSCOPE_UNCALIBRATED	0.6664429	-0.034194946	-0.38667297
1559464332134	TYPE_ACCELEROMETER_UNCALIBRATED	-0.44506836	2.822342	4.0546417
1559464332154	TYPE_ACCELEROMETER	-0.50608826	2.9120636	3.4983063
1559464332154	TYPE_MAGNETIC_FIELD	34.68	-17.1	-40.98
1559464332154	TYPE_GYROSCOPE	0.70062256	0.12968445	-0.26916504
1559464332154	TYPE_ROTATION_VECTOR	0.065337114	0.08334543	0.77796805
1559464332154	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.42	-49.980003	-176.87999
1559464332154	TYPE_GYROSCOPE_UNCALIBRATED	0.8252716	0.10385132	-0.42211914
1559464332154	TYPE_ACCELEROMETER_UNCALIBRATED	-0.44506836	2.822342	4.0546417
1559464332173	TYPE_ACCELEROMETER	-0.5132599	2.8414764	3.2530518
1559464332173	TYPE_MAGNETIC_FIELD	34.92	-16.92	-40.92
1559464332173	TYPE_GYROSCOPE	0.43367004	0.12237549	-0.15126038
1559464332173	TYPE_ROTATION_VECTOR	0.06839163	0.08965812	0.775817
1559464332173	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.659996	-49.800003	-176.81999
1559464332173	TYPE_GYROSCOPE_UNCALIBRATED	0.6951599	0.17347717	-0.34025574
1559464332173	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5168457	2.9228363	3.2554474
1559464332193	TYPE_ACCELEROMETER	-0.40438843	2.612976	3.427719
1559464332193	TYPE_MAGNETIC_FIELD	34.739998	-16.92	-40.92
1559464332193	TYPE_GYROSCOPE	0.24552917	0.017303467	-0.04374695
1559464332193	TYPE_ROTATION_VECTOR	0.069974974	0.093818195	0.7745825
1559464332193	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.479996	-49.800003	-176.81999
1559464332193	TYPE_GYROSCOPE_UNCALIBRATED	0.4282074	0.16616821	-0.22235107
1559464332193	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23928833	2.5591278	3.5988007
1559464332213	TYPE_ACCELEROMETER	-0.0095825195	2.5196533	3.7519531
1559464332213	TYPE_MAGNETIC_FIELD	34.739998	-16.92	-40.98
1559464332213	TYPE_GYROSCOPE	0.16122437	0.0038604736	0.053359985
1559464332213	TYPE_ROTATION_VECTOR	0.0713011	0.09583043	0.7740952
1559464332213	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.479996	-49.800003	-176.87999
1559464332213	TYPE_GYROSCOPE_UNCALIBRATED	0.24006653	0.06109619	-0.11483765
1559464332213	TYPE_ACCELEROMETER_UNCALIBRATED	0.25602722	2.481369	3.7914276
1559464332232	TYPE_ACCELEROMETER	0.49531555	2.4263306	3.7375946
1559464332232	TYPE_MAGNETIC_FIELD	34.92	-17.1	-40.92
1559464332232	TYPE_GYROSCOPE	0.1728363	0.16268921	0.09613037
1559464332232	TYPE_ROTATION_VECTOR	0.072308235	0.097043134	0.7742673
1559464332232	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.659996	-49.980003	-176.81999
1559464332232	TYPE_GYROSCOPE_UNCALIBRATED	0.15576172	0.0476532	-0.017730713
