#	startTime:1559464481912
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5ae2acfd2d33b58564	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559464481913	TYPE_WAYPOINT	82.710754	94.930374
1559464482044	TYPE_ACCELEROMETER	0.58265686	2.930008	9.43251
1559464482044	TYPE_MAGNETIC_FIELD	-6.48	-52.92	-44.34
1559464482044	TYPE_GYROSCOPE	-0.29385376	-0.21482849	0.17980957
1559464482044	TYPE_ROTATION_VECTOR	-0.016143797	-0.1545975	-0.9864661
1559464482044	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.059999943	-81.84	-174.84
1559464482044	TYPE_GYROSCOPE_UNCALIBRATED	-0.2993164	-0.17103577	0.10871887
1559464482044	TYPE_ACCELEROMETER_UNCALIBRATED	0.48095703	2.9862366	9.347565
1559464482064	TYPE_ACCELEROMETER	0.6807709	2.9084778	9.406189
1559464482064	TYPE_MAGNETIC_FIELD	-6.48	-52.86	-44.579998
1559464482064	TYPE_GYROSCOPE	-0.10876465	-0.051727295	0.15965271
1559464482064	TYPE_ROTATION_VECTOR	-0.027523115	-0.14894922	-0.9877013
1559464482064	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.059999943	-81.78	-175.08
1559464482064	TYPE_GYROSCOPE_UNCALIBRATED	-0.23762512	-0.1166687	0.102005005
1559464482064	TYPE_ACCELEROMETER_UNCALIBRATED	0.65444946	2.896515	9.455246
1559464482084	TYPE_ACCELEROMETER	0.5395813	2.9635162	9.108276
1559464482084	TYPE_MAGNETIC_FIELD	-6.72	-52.62	-44.64
1559464482084	TYPE_GYROSCOPE	0.0042419434	0.048446655	0.13827515
1559464482084	TYPE_ROTATION_VECTOR	-0.022146717	-0.15386939	-0.9857471
1559464482084	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.17999983	-81.54	-175.14
1559464482084	TYPE_GYROSCOPE_UNCALIBRATED	-0.034194946	0.0647583	0.07695007
1559464482084	TYPE_ACCELEROMETER_UNCALIBRATED	0.6352997	2.9312134	9.282959
1559464482103	TYPE_ACCELEROMETER	0.38285828	3.0496674	8.806793
1559464482103	TYPE_MAGNETIC_FIELD	-6.72	-52.62	-44.879997
1559464482103	TYPE_GYROSCOPE	0.02746582	0.0637207	0.12910461
1559464482103	TYPE_ROTATION_VECTOR	-0.014172911	-0.16324005	-0.98492116
1559464482103	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.17999983	-81.54	-175.38
1559464482103	TYPE_GYROSCOPE_UNCALIBRATED	0.019546509	0.10385132	0.059249878
1559464482103	TYPE_ACCELEROMETER_UNCALIBRATED	0.45344543	3.0125732	8.924042
1559464482123	TYPE_ACCELEROMETER	0.31944275	3.081955	8.906097
1559464482123	TYPE_MAGNETIC_FIELD	-6.7799997	-52.62	-45.0
1559464482123	TYPE_GYROSCOPE	-0.014694214	0.096710205	0.14376831
1559464482123	TYPE_ROTATION_VECTOR	-0.0067216484	-0.16742328	-0.9838129
1559464482123	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.23999977	-81.54	-175.5
1559464482123	TYPE_GYROSCOPE_UNCALIBRATED	0.006729126	0.11729431	0.06352234
1559464482123	TYPE_ACCELEROMETER_UNCALIBRATED	0.3361969	3.0723877	8.804398
1559464482143	TYPE_ACCELEROMETER	0.23091125	3.0544434	9.213562
1559464482143	TYPE_MAGNETIC_FIELD	-6.96	-52.62	-45.239998
1559464482143	TYPE_GYROSCOPE	-0.06599426	0.13580322	0.16087341
1559464482143	TYPE_ROTATION_VECTOR	-0.0060303826	-0.16721745	-0.9837515
1559464482143	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.42000008	-81.54	-175.73999
1559464482143	TYPE_GYROSCOPE_UNCALIBRATED	-0.050079346	0.16555786	0.082458496
1559464482143	TYPE_ACCELEROMETER_UNCALIBRATED	0.2859497	3.069992	9.072388
1559464482162	TYPE_ACCELEROMETER	0.17347717	3.0424805	9.333206
1559464482162	TYPE_MAGNETIC_FIELD	-6.96	-52.5	-45.6
1559464482162	TYPE_GYROSCOPE	-0.06538391	0.13578796	0.17370605
1559464482162	TYPE_ROTATION_VECTOR	-0.0050268937	-0.16648622	-0.9837623
1559464482162	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.42000008	-81.42	-176.1
1559464482162	TYPE_GYROSCOPE_UNCALIBRATED	-0.077560425	0.181427	0.09588623
1559464482162	TYPE_ACCELEROMETER_UNCALIBRATED	0.19740295	3.0508423	9.2973175
1559464482182	TYPE_ACCELEROMETER	0.06820679	3.0137634	9.2434845
1559464482182	TYPE_MAGNETIC_FIELD	-7.08	-52.379997	-45.78
1559464482182	TYPE_GYROSCOPE	-0.031173706	0.14985657	0.18408203
1559464482182	TYPE_ROTATION_VECTOR	-0.004042396	-0.1657564	-0.98375964
1559464482182	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.53999996	-81.299995	-176.28
1559464482182	TYPE_GYROSCOPE_UNCALIBRATED	-0.05558777	0.18508911	0.10871887
1559464482182	TYPE_ACCELEROMETER_UNCALIBRATED	0.13160706	3.0209503	9.299713
1559464482202	TYPE_ACCELEROMETER	0.0012054443	3.0747833	9.014969
1559464482202	TYPE_MAGNETIC_FIELD	-7.14	-52.379997	-45.899998
1559464482202	TYPE_GYROSCOPE	-0.011627197	0.14497375	0.20179749
1559464482202	TYPE_ROTATION_VECTOR	-0.0029170408	-0.16534467	-0.9836898
1559464482202	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.5999999	-81.299995	-176.4
1559464482202	TYPE_GYROSCOPE_UNCALIBRATED	-0.022583008	0.19425964	0.1184845
1559464482202	TYPE_ACCELEROMETER_UNCALIBRATED	0.0023956299	3.048462	9.158539
1559464482221	TYPE_ACCELEROMETER	0.0993042	3.0257263	8.831909
1559464482221	TYPE_MAGNETIC_FIELD	-7.14	-52.32	-45.84
1559464482221	TYPE_GYROSCOPE	-0.024459839	0.15107727	0.2372284
1559464482221	TYPE_ROTATION_VECTOR	-0.0018524143	-0.16512497	-0.9835699
1559464482221	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.5999999	-81.24	-176.34
1559464482221	TYPE_GYROSCOPE_UNCALIBRATED	-0.018920898	0.18876648	0.1490326
1559464482221	TYPE_ACCELEROMETER_UNCALIBRATED	0.059829712	3.0508575	8.889343
1559464482241	TYPE_ACCELEROMETER	0.07418823	3.0711975	8.843887
1559464482241	TYPE_MAGNETIC_FIELD	-6.96	-52.379997	-46.02
1559464482241	TYPE_GYROSCOPE	-0.06782532	0.14434814	0.25862122
1559464482241	TYPE_ROTATION_VECTOR	-7.964563E-4	-0.16477706	-0.9834387
1559464482241	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.42000008	-81.299995	-176.52
1559464482241	TYPE_GYROSCOPE_UNCALIBRATED	-0.049468994	0.19487	0.17835999
1559464482241	TYPE_ACCELEROMETER_UNCALIBRATED	0.0945282	3.044876	8.822342
1559464482261	TYPE_ACCELEROMETER	0.16989136	3.0640106	8.963516
1559464482261	TYPE_MAGNETIC_FIELD	-7.08	-52.199997	-45.84
1559464482261	TYPE_GYROSCOPE	-0.111816406	0.13578796	0.28060913
1559464482261	TYPE_ROTATION_VECTOR	1.2910907E-4	-0.16401544	-0.9833532
1559464482261	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.53999996	-81.119995	-176.34
1559464482261	TYPE_GYROSCOPE_UNCALIBRATED	-0.09651184	0.18080139	0.1979065
1559464482261	TYPE_ACCELEROMETER_UNCALIBRATED	0.09213257	3.077179	8.8941345
1559464482280	TYPE_ACCELEROMETER	0.24047852	3.0807648	8.992233
1559464482280	TYPE_MAGNETIC_FIELD	-7.14	-51.899998	-45.84
1559464482280	TYPE_GYROSCOPE	-0.13441467	0.14863586	0.29588318
