#	startTime:1559464807157
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5ae2acfd2d33b58564	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559464807158	TYPE_WAYPOINT	89.04052	32.365242
1559464807376	TYPE_ACCELEROMETER	0.010772705	2.3844452	9.366699
1559464807376	TYPE_MAGNETIC_FIELD	-2.9399998	14.28	-37.5
1559464807376	TYPE_GYROSCOPE	-0.224823	-0.00592041	-0.0046539307
1559464807376	TYPE_ROTATION_VECTOR	0.12499046	-3.867402E-4	-0.057924163
1559464807376	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.6000001	-14.64	-168.0
1559464807376	TYPE_GYROSCOPE_UNCALIBRATED	-0.18080139	0.07696533	-0.053146362
1559464807376	TYPE_ACCELEROMETER_UNCALIBRATED	-0.032302856	2.3665009	9.285355
1559464807396	TYPE_ACCELEROMETER	0.0717926	2.4969177	9.479172
1559464807396	TYPE_MAGNETIC_FIELD	-2.9399998	14.4	-37.8
1559464807396	TYPE_GYROSCOPE	-0.25108337	-0.047454834	-0.042541504
1559464807396	TYPE_ROTATION_VECTOR	0.12373946	-0.0075759315	-0.06912174
1559464807396	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.6000001	-14.52	-168.3
1559464807396	TYPE_GYROSCOPE_UNCALIBRATED	-0.23028564	0.037872314	-0.07574463
1559464807396	TYPE_ACCELEROMETER_UNCALIBRATED	-0.032302856	2.3665009	9.285355
1559464807415	TYPE_ACCELEROMETER	0.08375549	2.7804565	9.337997
1559464807415	TYPE_MAGNETIC_FIELD	-2.82	14.5199995	-37.92
1559464807415	TYPE_GYROSCOPE	-0.20587158	-0.051116943	-0.08102417
1559464807415	TYPE_ROTATION_VECTOR	0.12754649	-0.009023755	-0.045497265
1559464807415	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.72	-14.400001	-168.42
1559464807415	TYPE_GYROSCOPE_UNCALIBRATED	-0.25654602	-0.0036621094	-0.1136322
1559464807415	TYPE_ACCELEROMETER_UNCALIBRATED	0.051452637	2.4299164	9.448059
1559464807435	TYPE_ACCELEROMETER	-0.023925781	3.0628204	9.060425
1559464807435	TYPE_MAGNETIC_FIELD	-2.52	15.0	-37.739998
1559464807435	TYPE_GYROSCOPE	-0.13990784	-0.022399902	-0.10179138
1559464807435	TYPE_ROTATION_VECTOR	0.14191632	-0.011899412	-0.053234607
1559464807435	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.78	-14.280001	-168.3
1559464807435	TYPE_GYROSCOPE_UNCALIBRATED	-0.21133423	-0.0073242188	-0.15211487
1559464807435	TYPE_ACCELEROMETER_UNCALIBRATED	0.062210083	2.9491577	9.207581
1559464807455	TYPE_ACCELEROMETER	-0.057434082	3.1740875	8.930023
1559464807455	TYPE_MAGNETIC_FIELD	-2.52	15.0	-37.739998
1559464807455	TYPE_GYROSCOPE	-0.13014221	0.013031006	-0.08406067
1559464807455	TYPE_ROTATION_VECTOR	0.14191632	-0.011899412	-0.053234607
1559464807455	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.02	-13.92	-168.23999
1559464807455	TYPE_GYROSCOPE_UNCALIBRATED	-0.14537048	0.021392822	-0.17288208
1559464807455	TYPE_ACCELEROMETER_UNCALIBRATED	-0.08973694	3.1166534	8.950363
1559464807474	TYPE_ACCELEROMETER	0.13879395	3.1920319	9.14418
1559464807474	TYPE_MAGNETIC_FIELD	-2.1599998	15.24	-37.739998
1559464807474	TYPE_GYROSCOPE	-0.18388367	0.019119263	-0.030319214
1559464807474	TYPE_ROTATION_VECTOR	0.1407106	-0.011712987	-0.054222412
1559464807474	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.38	-13.68	-168.23999
1559464807474	TYPE_GYROSCOPE_UNCALIBRATED	-0.13560486	0.05682373	-0.15515137
1559464807474	TYPE_ACCELEROMETER_UNCALIBRATED	0.03111267	3.2099762	9.003006
1559464807494	TYPE_ACCELEROMETER	0.44267273	3.102295	9.373886
1559464807494	TYPE_MAGNETIC_FIELD	-2.22	15.54	-37.44
1559464807494	TYPE_GYROSCOPE	-0.21994019	0.004470825	0.016708374
1559464807494	TYPE_ROTATION_VECTOR	0.13923703	-0.011355208	-0.05476942
1559464807494	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.3199997	-13.38	-167.94
1559464807494	TYPE_GYROSCOPE_UNCALIBRATED	-0.18934631	0.06291199	-0.10140991
