#	startTime:1559461229032
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5be2acfd2d33b58579	FloorName:F3
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559461229032	TYPE_WAYPOINT	28.388752	19.414608
1559461229281	TYPE_ACCELEROMETER	-0.5156555	2.096115	9.655045
1559461229281	TYPE_MAGNETIC_FIELD	-29.4	-2.46	-33.6
1559461229281	TYPE_GYROSCOPE	0.016464233	-0.0040740967	-0.048034668
1559461229281	TYPE_ROTATION_VECTOR	0.09461952	-0.04763136	-0.6492526
1559461229281	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.939999	-39.0	-171.12
1559461229281	TYPE_GYROSCOPE_UNCALIBRATED	0.011001587	0.039718628	-0.119125366
1559461229281	TYPE_ACCELEROMETER_UNCALIBRATED	-0.50727844	2.0446777	9.738785
1559461229301	TYPE_ACCELEROMETER	-0.49771118	2.210968	9.442078
1559461229301	TYPE_MAGNETIC_FIELD	-29.099998	-2.3999999	-33.36
1559461229301	TYPE_GYROSCOPE	0.017684937	-0.07066345	-0.05657959
1559461229301	TYPE_ROTATION_VECTOR	0.10112892	-0.051951893	-0.64220244
1559461229301	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.64	-38.940002	-170.88
1559461229301	TYPE_GYROSCOPE_UNCALIBRATED	0.01222229	-0.026870728	-0.12767029
1559461229301	TYPE_ACCELEROMETER_UNCALIBRATED	-0.50727844	2.1535492	9.552155
1559461229321	TYPE_ACCELEROMETER	-0.51446533	2.3234406	9.212372
1559461229321	TYPE_MAGNETIC_FIELD	-29.099998	-2.34	-33.059998
1559461229321	TYPE_GYROSCOPE	0.025009155	-0.052947998	-0.050476074
1559461229321	TYPE_ROTATION_VECTOR	0.106928624	-0.056592077	-0.64119565
1559461229321	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.64	-38.88	-170.58
1559461229321	TYPE_GYROSCOPE_UNCALIBRATED	0.019546509	-0.009155273	-0.12156677
1559461229321	TYPE_ACCELEROMETER_UNCALIBRATED	-0.49890137	2.271988	9.322433
1559461229340	TYPE_ACCELEROMETER	-0.5228424	2.3485565	9.177673
1559461229340	TYPE_MAGNETIC_FIELD	-29.16	-2.3999999	-32.76
1559461229340	TYPE_GYROSCOPE	0.0030212402	0.009353638	-0.027877808
1559461229340	TYPE_ROTATION_VECTOR	0.11338811	-0.059270967	-0.63716656
1559461229340	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.7	-38.940002	-170.28
1559461229340	TYPE_GYROSCOPE_UNCALIBRATED	-0.0024414062	0.053146362	-0.098968506
1559461229340	TYPE_ACCELEROMETER_UNCALIBRATED	-0.52523804	2.346161	9.16452
1559461229360	TYPE_ACCELEROMETER	-0.47618103	2.2947235	9.275772
1559461229360	TYPE_MAGNETIC_FIELD	-29.099998	-2.34	-32.28
1559461229360	TYPE_GYROSCOPE	-0.051956177	0.024627686	0.004501343
1559461229360	TYPE_ROTATION_VECTOR	0.11349123	-0.059194755	-0.6373592
1559461229360	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.64	-38.88	-169.8
1559461229360	TYPE_GYROSCOPE_UNCALIBRATED	-0.057418823	0.06842041	-0.066589355
1559461229360	TYPE_ACCELEROMETER_UNCALIBRATED	-0.50727844	2.329422	9.212372
1559461229380	TYPE_ACCELEROMETER	-0.40319824	2.202591	9.49472
1559461229380	TYPE_MAGNETIC_FIELD	-29.16	-2.3999999	-32.52
1559461229380	TYPE_GYROSCOPE	-0.12402344	-0.022399902	0.030151367
1559461229380	TYPE_ROTATION_VECTOR	0.11325778	-0.05869308	-0.6373292
1559461229380	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.7	-38.940002	-170.04001
