#	startTime:1559461384921
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5be2acfd2d33b58579	FloorName:F3
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559461384922	TYPE_WAYPOINT	21.797886	84.895805
1559461385051	TYPE_ACCELEROMETER	0.06819153	2.506485	9.419357
1559461385051	TYPE_MAGNETIC_FIELD	44.76	-9.599999	-41.7
1559461385051	TYPE_GYROSCOPE	-0.08493042	-0.091415405	0.077178955
1559461385051	TYPE_ROTATION_VECTOR	0.102500856	0.08967826	0.69164056
1559461385051	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.219997	-46.14	-179.22
1559461385051	TYPE_GYROSCOPE_UNCALIBRATED	-0.09039307	-0.04762268	0.006088257
1559461385051	TYPE_ACCELEROMETER_UNCALIBRATED	0.13877869	2.5208435	9.04248
1559461385071	TYPE_ACCELEROMETER	0.0012054443	2.440689	9.948166
1559461385071	TYPE_MAGNETIC_FIELD	44.7	-9.36	-41.52
1559461385071	TYPE_GYROSCOPE	-0.18754578	-0.027297974	0.020385742
1559461385071	TYPE_ROTATION_VECTOR	0.09068428	0.08453281	0.6846092
1559461385071	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.16	-45.9	-179.04001
1559461385071	TYPE_GYROSCOPE_UNCALIBRATED	-0.12460327	-0.026260376	-0.0128479
1559461385071	TYPE_ACCELEROMETER_UNCALIBRATED	0.028717041	2.4682007	9.743576
1559461385091	TYPE_ACCELEROMETER	-0.062210083	2.4430695	9.992432
1559461385091	TYPE_MAGNETIC_FIELD	44.52	-9.36	-41.399998
1559461385091	TYPE_GYROSCOPE	-0.13929749	0.023406982	0.002670288
1559461385091	TYPE_ROTATION_VECTOR	0.08318638	0.08358564	0.6993977
1559461385091	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.98	-45.9	-178.92
1559461385091	TYPE_GYROSCOPE_UNCALIBRATED	-0.20095825	0.049484253	-0.06842041
1559461385091	TYPE_ACCELEROMETER_UNCALIBRATED	-0.026321411	2.432312	10.02713
1559461385110	TYPE_ACCELEROMETER	-0.119644165	2.5076752	9.795029
1559461385110	TYPE_MAGNETIC_FIELD	44.46	-9.24	-41.399998
1559461385110	TYPE_GYROSCOPE	-0.043395996	0.025238037	-0.0101623535
1559461385110	TYPE_ROTATION_VECTOR	0.084753975	0.08773357	0.6870934
1559461385110	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.92	-45.78	-178.92
1559461385110	TYPE_GYROSCOPE_UNCALIBRATED	-0.089782715	0.073913574	-0.07330322
1559461385110	TYPE_ACCELEROMETER_UNCALIBRATED	-0.100494385	2.4682007	9.9015045
1559461385130	TYPE_ACCELEROMETER	-0.15673828	2.5914307	9.552155
1559461385130	TYPE_MAGNETIC_FIELD	44.34	-9.179999	-41.52
1559461385130	TYPE_GYROSCOPE	-0.00491333	-0.0052948	-0.027267456
1559461385130	TYPE_ROTATION_VECTOR	0.08914557	0.092923544	0.68219024
1559461385130	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.8	-45.72	-179.04001
1559461385130	TYPE_GYROSCOPE_UNCALIBRATED	-0.024414062	0.054977417	-0.08979797
1559461385130	TYPE_ACCELEROMETER_UNCALIBRATED	-0.13519287	2.551941	9.676575
1559461385150	TYPE_ACCELEROMETER	-0.19502258	2.651245	9.39183
1559461385150	TYPE_MAGNETIC_FIELD	44.16	-9.0	-41.28
1559461385150	TYPE_GYROSCOPE	-3.0517578E-5	-0.013244629	-0.037643433
1559461385150	TYPE_ROTATION_VECTOR	0.09237546	0.09884267	0.67660016
1559461385150	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.62	-45.54	-178.8
1559461385150	TYPE_GYROSCOPE_UNCALIBRATED	-0.0036621094	0.028717041	-0.10507202
1559461385150	TYPE_ACCELEROMETER_UNCALIBRATED	-0.17826843	2.6249237	9.449265
1559461385169	TYPE_ACCELEROMETER	-0.25125122	2.6931305	9.364319
1559461385169	TYPE_MAGNETIC_FIELD	44.219997	-8.76	-41.219997
1559461385169	TYPE_GYROSCOPE	-0.015914917	0.0069122314	-0.038864136
1559461385169	TYPE_ROTATION_VECTOR	0.092430204	0.09878846	0.67631567
1559461385169	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.679996	-45.300003	-178.74
1559461385169	TYPE_GYROSCOPE_UNCALIBRATED	-0.012817383	0.03970337	-0.109954834
1559461385169	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21894836	2.6739807	9.3714905
1559461385189	TYPE_ACCELEROMETER	-0.30747986	2.6967163	9.393036
1559461385189	TYPE_MAGNETIC_FIELD	44.399998	-8.76	-41.16
1559461385189	TYPE_GYROSCOPE	-0.032409668	0.019744873	-0.033981323
1559461385189	TYPE_ROTATION_VECTOR	0.092235126	0.098767	0.676061
1559461385189	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.859997	-45.300003	-178.68001
1559461385189	TYPE_GYROSCOPE_UNCALIBRATED	-0.029922485	0.059265137	-0.10812378
1559461385189	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27757263	2.699112	9.3714905
1559461385209	TYPE_ACCELEROMETER	-0.38285828	2.6895447	9.419342
1559461385209	TYPE_MAGNETIC_FIELD	44.34	-8.7	-41.28
1559461385209	TYPE_GYROSCOPE	-0.03727722	0.024017334	-0.026641846
1559461385209	TYPE_ROTATION_VECTOR	0.09184182	0.09872344	0.6758683
1559461385209	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.8	-45.24	-178.8
1559461385209	TYPE_GYROSCOPE_UNCALIBRATED	-0.042144775	0.065979004	-0.10202026
1559461385209	TYPE_ACCELEROMETER_UNCALIBRATED	-0.34336853	2.6967163	9.408585
1559461385228	TYPE_ACCELEROMETER	-0.39959717	2.6572266	9.443283
1559461385228	TYPE_MAGNETIC_FIELD	44.34	-8.46	-41.28
1559461385228	TYPE_GYROSCOPE	-0.036071777	0.023406982	-0.009552002
1559461385228	TYPE_ROTATION_VECTOR	0.091391794	0.09867104	0.6757362
1559461385228	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.8	-45.0	-178.8
1559461385228	TYPE_GYROSCOPE_UNCALIBRATED	-0.042144775	0.06781006	-0.09101868
1559461385228	TYPE_ACCELEROMETER_UNCALIBRATED	-0.40438843	2.671585	9.433701
1559461385248	TYPE_ACCELEROMETER	-0.34934998	2.604599	9.409775
1559461385248	TYPE_MAGNETIC_FIELD	44.46	-8.4	-41.46
1559461385248	TYPE_GYROSCOPE	-0.03239441	0.0124053955	0.017333984
1559461385248	TYPE_ROTATION_VECTOR	0.090970546	0.09860706	0.6757234
1559461385248	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.92	-44.940002	-178.98001
1559461385248	TYPE_GYROSCOPE_UNCALIBRATED	-0.04031372	0.06414795	-0.06719971
1559461385248	TYPE_ACCELEROMETER_UNCALIBRATED	-0.38523865	2.6404877	9.437302
1559461385268	TYPE_ACCELEROMETER	-0.20339966	2.5160675	9.352356
1559461385268	TYPE_MAGNETIC_FIELD	44.64	-8.28	-41.399998
1559461385268	TYPE_GYROSCOPE	-0.026275635	0.003250122	0.045425415
1559461385268	TYPE_ROTATION_VECTOR	0.09067374	0.0984656	0.6758881
1559461385268	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.1	-44.82	-178.92
1559461385268	TYPE_GYROSCOPE_UNCALIBRATED	-0.034194946	0.04826355	-0.04031372
1559461385268	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2871399	2.555542	9.376282
1559461385287	TYPE_ACCELEROMETER	-0.037094116	2.4562378	9.343979
1559461385287	TYPE_MAGNETIC_FIELD	44.82	-7.98	-40.98
1559461385287	TYPE_GYROSCOPE	-0.033615112	0.016082764	0.06314087
1559461385287	TYPE_ROTATION_VECTOR	0.090508744	0.09827397	0.6762383
1559461385287	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.28	-44.52	-178.5
1559461385287	TYPE_GYROSCOPE_UNCALIBRATED	-0.033584595	0.053146362	-0.013442993
1559461385287	TYPE_ACCELEROMETER_UNCALIBRATED	-0.11126709	2.4921265	9.340393
1559461385307	TYPE_ACCELEROMETER	0.034698486	2.3892365	9.353546
1559461385307	TYPE_MAGNETIC_FIELD	45.3	-7.98	-40.98
1559461385307	TYPE_GYROSCOPE	-0.050720215	0.0124053955	0.052764893
1559461385307	TYPE_ROTATION_VECTOR	0.090224855	0.09810878	0.6767332
1559461385307	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.76	-44.52	-178.5
1559461385307	TYPE_GYROSCOPE_UNCALIBRATED	-0.047027588	0.062316895	-0.010391235
1559461385307	TYPE_ACCELEROMETER_UNCALIBRATED	0.008377075	2.416748	9.354736
1559461385327	TYPE_ACCELEROMETER	0.11126709	2.3844452	9.32962
1559461385327	TYPE_MAGNETIC_FIELD	45.239998	-7.8599997	-40.92
1559461385327	TYPE_GYROSCOPE	-0.06477356	-0.012023926	0.032608032
1559461385327	TYPE_ROTATION_VECTOR	0.08983337	0.09781401	0.6771684
1559461385327	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.699997	-44.4	-178.44
1559461385327	TYPE_GYROSCOPE_UNCALIBRATED	-0.06474304	0.042755127	-0.028717041
1559461385327	TYPE_ACCELEROMETER_UNCALIBRATED	0.06820679	2.3772736	9.339188
1559461385346	TYPE_ACCELEROMETER	0.17707825	2.3940277	9.299713
1559461385346	TYPE_MAGNETIC_FIELD	45.059998	-7.8599997	-40.86
1559461385346	TYPE_GYROSCOPE	-0.06599426	-0.008361816	0.014266968
1559461385346	TYPE_ROTATION_VECTOR	0.08948446	0.09727021	0.67745227
1559461385346	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.519997	-44.4	-178.38
1559461385346	TYPE_GYROSCOPE_UNCALIBRATED	-0.07267761	0.029937744	-0.047042847
1559461385346	TYPE_ACCELEROMETER_UNCALIBRATED	0.14955139	2.3940277	9.320053
1559461385366	TYPE_ACCELEROMETER	0.14356995	2.4311066	9.299713
1559461385366	TYPE_MAGNETIC_FIELD	45.059998	-7.5	-40.86
1559461385366	TYPE_GYROSCOPE	-0.06538391	0.019744873	-0.01260376
1559461385366	TYPE_ROTATION_VECTOR	0.08908578	0.09675846	0.6776099
1559461385366	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.519997	-44.04	-178.38
1559461385366	TYPE_GYROSCOPE_UNCALIBRATED	-0.069625854	0.0476532	-0.06903076
1559461385366	TYPE_ACCELEROMETER_UNCALIBRATED	0.17826843	2.4023895	9.296127
1559461385386	TYPE_ACCELEROMETER	-0.0011901855	2.5411835	9.26741
1559461385386	TYPE_MAGNETIC_FIELD	45.3	-7.8599997	-40.62
1559461385386	TYPE_GYROSCOPE	-0.070877075	0.016693115	-0.050476074
1559461385386	TYPE_ROTATION_VECTOR	0.08848	0.096473195	0.6776007
1559461385386	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.76	-44.4	-178.14
1559461385386	TYPE_GYROSCOPE_UNCALIBRATED	-0.073898315	0.06903076	-0.10140991
1559461385386	TYPE_ACCELEROMETER_UNCALIBRATED	0.08016968	2.4693909	9.28894
1559461385405	TYPE_ACCELEROMETER	-0.16630554	2.712265	9.201614
1559461385405	TYPE_MAGNETIC_FIELD	45.3	-7.74	-40.5
1559461385405	TYPE_GYROSCOPE	-0.06965637	-0.0022583008	-0.07858276
1559461385405	TYPE_ROTATION_VECTOR	0.087818205	0.09616477	0.6773252
1559461385405	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.76	-44.28	-178.02
1559461385405	TYPE_GYROSCOPE_UNCALIBRATED	-0.07695007	0.04826355	-0.13928223
1559461385405	TYPE_ACCELEROMETER_UNCALIBRATED	-0.088531494	2.6356964	9.232712
1559461385425	TYPE_ACCELEROMETER	-0.20698547	2.7972107	9.150162
1559461385425	TYPE_MAGNETIC_FIELD	45.0	-7.56	-40.32
1559461385425	TYPE_GYROSCOPE	-0.06048584	0.02218628	-0.06941223
1559461385425	TYPE_ROTATION_VECTOR	0.08726409	0.09575426	0.6768312
1559461385425	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.46	-44.100002	-177.84
1559461385425	TYPE_GYROSCOPE_UNCALIBRATED	-0.069625854	0.046432495	-0.15028381
1559461385425	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21057129	2.7649078	9.170502
1559461385445	TYPE_ACCELEROMETER	-0.03111267	2.8079834	9.208786
1559461385445	TYPE_MAGNETIC_FIELD	45.0	-7.8599997	-40.32
1559461385445	TYPE_GYROSCOPE	-0.07211304	0.06188965	-0.03642273
1559461385445	TYPE_ROTATION_VECTOR	0.0866232	0.095568575	0.6764123
1559461385445	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.46	-44.4	-177.84
1559461385445	TYPE_GYROSCOPE_UNCALIBRATED	-0.0690155	0.09223938	-0.12400818
1559461385445	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14715576	2.8031921	9.162125
1559461385464	TYPE_ACCELEROMETER	0.18066406	2.876175	9.24707
1559461385464	TYPE_MAGNETIC_FIELD	44.52	-7.7999997	-40.5
1559461385464	TYPE_GYROSCOPE	-0.08981323	0.03440857	-0.026031494
1559461385464	TYPE_ROTATION_VECTOR	0.08566808	0.095561035	0.6762715
1559461385464	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.98	-44.34	-178.02
1559461385464	TYPE_GYROSCOPE_UNCALIBRATED	-0.08856201	0.0977478	-0.09712219
1559461385464	TYPE_ACCELEROMETER_UNCALIBRATED	0.09451294	2.8319092	9.253052
1559461385484	TYPE_ACCELEROMETER	0.16630554	3.0113678	9.04248
1559461385484	TYPE_MAGNETIC_FIELD	44.7	-7.8599997	-40.5
1559461385484	TYPE_GYROSCOPE	-0.07577515	0.01423645	-0.043136597
1559461385484	TYPE_ROTATION_VECTOR	0.08477749	0.09523388	0.6761991
1559461385484	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.16	-44.4	-178.02
1559461385484	TYPE_GYROSCOPE_UNCALIBRATED	-0.09222412	0.06109619	-0.10568237
1559461385484	TYPE_ACCELEROMETER_UNCALIBRATED	0.20339966	2.9443665	9.172882
1559461385504	TYPE_ACCELEROMETER	0.13400269	3.0185394	8.822342
1559461385504	TYPE_MAGNETIC_FIELD	44.82	-7.8599997	-40.8
1559461385504	TYPE_GYROSCOPE	-0.07026672	0.05822754	-0.027877808
1559461385504	TYPE_ROTATION_VECTOR	0.084105	0.094868824	0.6759751
1559461385504	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.28	-44.4	-178.32
1559461385504	TYPE_GYROSCOPE_UNCALIBRATED	-0.07206726	0.07330322	-0.114227295
1559461385504	TYPE_ACCELEROMETER_UNCALIBRATED	0.107681274	3.0400848	8.902496
1559461385523	TYPE_WIFI	08a8ab5097205a6eae1e0a772de058cad019cfe9	1f1635120ad38b45d488dab94996ca5efa5ea5f3	-76	2412	1559461384994
