#	startTime:1559461479516
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5be2acfd2d33b58579	FloorName:F3
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559461479516	TYPE_WAYPOINT	28.388752	19.414608
1559461479641	TYPE_ACCELEROMETER	0.90689087	3.098709	8.439484
1559461479641	TYPE_MAGNETIC_FIELD	-29.4	1.4399999	-31.019999
1559461479641	TYPE_GYROSCOPE	-0.10171509	0.043258667	0.09033203
1559461479641	TYPE_ROTATION_VECTOR	0.11812236	-0.14557709	-0.53240883
1559461479641	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.939999	-35.100002	-168.54001
1559461479641	TYPE_GYROSCOPE_UNCALIBRATED	0.12461853	0.106292725	0.8026581
1559461479641	TYPE_ACCELEROMETER_UNCALIBRATED	0.8123779	3.1058807	8.634506
1559461479661	TYPE_ACCELEROMETER	0.7118683	3.1465607	8.853455
1559461479661	TYPE_MAGNETIC_FIELD	-29.699999	1.1999999	-31.019999
1559461479661	TYPE_GYROSCOPE	-0.22297668	0.08204651	-0.19525146
1559461479661	TYPE_ROTATION_VECTOR	0.11606048	-0.13332392	-0.55628234
1559461479661	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.239998	-35.34	-168.54001
1559461479661	TYPE_GYROSCOPE_UNCALIBRATED	0.04736328	0.09988403	0.54151917
1559461479661	TYPE_ACCELEROMETER_UNCALIBRATED	0.5419769	3.168106	9.080765
1559461479681	TYPE_ACCELEROMETER	0.3134613	3.1657104	9.257828
1559461479681	TYPE_MAGNETIC_FIELD	-29.939999	1.02	-31.019999
1559461479681	TYPE_GYROSCOPE	-0.2101593	0.12174988	-0.20257568
1559461479681	TYPE_ROTATION_VECTOR	0.12125692	-0.117722616	-0.5602983
1559461479681	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.48	-35.52	-168.54001
1559461479681	TYPE_GYROSCOPE_UNCALIBRATED	-0.22966003	0.15332031	-0.27488708
1559461479681	TYPE_ACCELEROMETER_UNCALIBRATED	0.5419769	3.168106	9.080765
1559461479700	TYPE_ACCELEROMETER	-0.10409546	3.2075806	9.32962
1559461479700	TYPE_MAGNETIC_FIELD	-30.0	1.02	-31.08
1559461479700	TYPE_GYROSCOPE	-0.17105103	0.09793091	-0.1592102
1559461479700	TYPE_ROTATION_VECTOR	0.1326862	-0.09480308	-0.5528728
1559461479700	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.54	-35.52	-168.6
1559461479700	TYPE_GYROSCOPE_UNCALIBRATED	-0.22966003	0.15332031	-0.27488708
1559461479700	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20339966	3.2434692	9.238693
1559461479720	TYPE_ACCELEROMETER	-0.20100403	3.2721863	9.098709
1559461479720	TYPE_MAGNETIC_FIELD	-30.24	1.14	-31.199999
1559461479720	TYPE_GYROSCOPE	-0.1600647	0.07409668	-0.08956909
1559461479720	TYPE_ROTATION_VECTOR	0.14470638	-0.08584249	-0.5515524
1559461479720	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.779999	-35.4	-168.72
1559461479720	TYPE_GYROSCOPE_UNCALIBRATED	-0.16552734	0.12461853	-0.19546509
1559461479720	TYPE_ACCELEROMETER_UNCALIBRATED	-0.10647583	3.2781677	8.98027
1559461479740	TYPE_ACCELEROMETER	0.046661377	3.2721863	8.895325
1559461479740	TYPE_MAGNETIC_FIELD	-30.179998	1.02	-31.26
1559461479740	TYPE_GYROSCOPE	-0.17166138	0.080215454	-0.047409058
1559461479740	TYPE_ROTATION_VECTOR	0.14717081	-0.09127413	-0.5456443
1559461479740	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.719997	-35.52	-168.78
1559461479740	TYPE_GYROSCOPE_UNCALIBRATED	-0.16552734	0.12461853	-0.19546509
1559461479740	TYPE_ACCELEROMETER_UNCALIBRATED	0.20100403	3.2733917	8.828323
1559461479759	TYPE_ACCELEROMETER	0.32183838	3.2733917	8.760132
1559461479759	TYPE_MAGNETIC_FIELD	-30.48	0.96	-31.199999
1559461479759	TYPE_GYROSCOPE	-0.17411804	0.10343933	-0.051696777
1559461479759	TYPE_ROTATION_VECTOR	0.14636365	-0.0896975	-0.54639596
1559461479759	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.02	-35.58	-168.72
1559461479759	TYPE_GYROSCOPE_UNCALIBRATED	-0.18019104	0.13256836	-0.11605835
1559461479759	TYPE_ACCELEROMETER_UNCALIBRATED	0.20100403	3.2733917	8.828323
1559461479779	TYPE_ACCELEROMETER	0.3517456	3.3296204	8.566315
1559461479779	TYPE_MAGNETIC_FIELD	-30.359999	0.9	-31.38
1559461479779	TYPE_GYROSCOPE	-0.18510437	0.13456726	-0.07002258
1559461479779	TYPE_ROTATION_VECTOR	0.14545476	-0.08806419	-0.54681355
1559461479779	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.899998	-35.64	-168.90001
1559461479779	TYPE_GYROSCOPE_UNCALIBRATED	-0.18019104	0.13256836	-0.11605835
1559461479779	TYPE_ACCELEROMETER_UNCALIBRATED	0.2871399	3.378662	8.480164
1559461479799	TYPE_ACCELEROMETER	0.2476654	3.4253235	8.455048
1559461479799	TYPE_MAGNETIC_FIELD	-30.48	1.1999999	-31.5
1559461479799	TYPE_GYROSCOPE	-0.2260437	0.15597534	-0.062698364
1559461479799	TYPE_ROTATION_VECTOR	0.14465253	-0.08622549	-0.54723084
1559461479799	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.02	-35.34	-169.02
1559461479799	TYPE_GYROSCOPE_UNCALIBRATED	-0.20889282	0.18936157	-0.14111328
1559461479799	TYPE_ACCELEROMETER_UNCALIBRATED	0.23210144	3.4731903	8.456238
1559461479818	TYPE_ACCELEROMETER	0.23808289	3.5030975	8.464615
1559461479818	TYPE_MAGNETIC_FIELD	-30.179998	1.4399999	-31.56
1559461479818	TYPE_GYROSCOPE	-0.2749176	0.16818237	-0.033981323
1559461479818	TYPE_ROTATION_VECTOR	0.14394476	-0.08405156	-0.54775757
1559461479818	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.719997	-35.100002	-169.08
1559461479818	TYPE_GYROSCOPE_UNCALIBRATED	-0.20889282	0.18936157	-0.14111328
1559461479818	TYPE_ACCELEROMETER_UNCALIBRATED	0.27278137	3.5066833	8.48616
1559461479838	TYPE_ACCELEROMETER	0.35772705	3.4994965	8.531616
1559461479838	TYPE_MAGNETIC_FIELD	-29.939999	1.3199999	-31.619999
1559461479838	TYPE_GYROSCOPE	-0.32928467	0.18040466	-0.0077056885
1559461479838	TYPE_ROTATION_VECTOR	0.1430174	-0.081495516	-0.5482264
1559461479838	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.48	-35.22	-169.14
1559461479838	TYPE_GYROSCOPE_UNCALIBRATED	-0.30786133	0.21868896	-0.08918762
1559461479838	TYPE_ACCELEROMETER_UNCALIBRATED	0.4665985	3.4875336	8.601013
1559461479858	TYPE_ACCELEROMETER	0.550354	3.4767761	8.669205
1559461479858	TYPE_MAGNETIC_FIELD	-29.76	1.5	-31.619999
1559461479858	TYPE_GYROSCOPE	-0.36164856	0.16329956	-0.014434814
1559461479858	TYPE_ROTATION_VECTOR	0.14173883	-0.078617655	-0.5484818
1559461479858	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.3	-35.04	-169.14
1559461479858	TYPE_GYROSCOPE_UNCALIBRATED	-0.35490417	0.22053528	-0.078186035
1559461479858	TYPE_ACCELEROMETER_UNCALIBRATED	0.4665985	3.4875336	8.601013
1559461479877	TYPE_ACCELEROMETER	0.653244	3.4743805	8.761322
1559461479877	TYPE_MAGNETIC_FIELD	-29.58	1.5	-31.619999
1559461479877	TYPE_GYROSCOPE	-0.36042786	0.15289307	-0.034591675
