#	startTime:1559462390366
#	SiteID:5cd56b5ae2acfd2d33b58546	SiteName:红太阳商业广场	FloorId:5cd56b5be2acfd2d33b58586	FloorName:F4
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559462390367	TYPE_WAYPOINT	54.494396	32.79894
1559462390486	TYPE_ACCELEROMETER	-0.599411	3.8847504	7.6450653
1559462390486	TYPE_MAGNETIC_FIELD	-3.72	14.28	-39.36
1559462390486	TYPE_GYROSCOPE	0.12397766	-0.21391296	-0.81344604
1559462390486	TYPE_ROTATION_VECTOR	0.14576137	-0.023038104	-0.039918046
1559462390486	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.599999	-25.2	-181.2
1559462390486	TYPE_GYROSCOPE_UNCALIBRATED	0.051315308	-0.33595276	-1.1447601
1559462390486	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5970154	3.8356934	7.7120667
1559462390506	TYPE_ACCELEROMETER	-0.46899414	4.009186	7.3734894
1559462390506	TYPE_MAGNETIC_FIELD	-3.72	13.86	-39.239998
1559462390506	TYPE_GYROSCOPE	0.31455994	0.2915802	-0.018707275
1559462390506	TYPE_ROTATION_VECTOR	0.23461522	0.010513317	-0.107219696
1559462390506	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.599999	-25.619999	-181.07999
1559462390506	TYPE_GYROSCOPE_UNCALIBRATED	0.118515015	-0.17012024	-0.88453674
1559462390506	TYPE_ACCELEROMETER_UNCALIBRATED	-0.51446533	3.9457703	7.515854
1559462390526	TYPE_ACCELEROMETER	-0.5934143	4.1647186	7.171295
1559462390526	TYPE_MAGNETIC_FIELD	-3.54	13.679999	-39.3
1559462390526	TYPE_GYROSCOPE	0.19055176	0.29585266	0.021606445
1559462390526	TYPE_ROTATION_VECTOR	0.24724226	0.012037659	-0.06637068
