#	startTime:1559365083510
#	SiteID:5cd56b5ae2acfd2d33b58548	SiteName:乐坊精致生活广场	FloorId:5cd56b5ae2acfd2d33b58559	FloorName:1F
#	Brand:vivo	Model:V1818A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LIS3DH Accelerometer	version:1	vendor:STMicroelectronics	resolution:0.019607544	power:0.185	maximumRange:39.22661
#	type:4	name:AK09918-pseudo-gyro	version:2	vendor:akm	resolution:0.1	power:1.0	maximumRange:2000.0
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559365083511	TYPE_WAYPOINT	87.6662	18.684053
1559365083642	TYPE_ACCELEROMETER	1.039505	1.9417114	9.5516815
1559365083642	TYPE_MAGNETIC_FIELD	11.7	19.5	-30.96
1559365083642	TYPE_GYROSCOPE	0.003988043	0.017379088	0.121894106
1559365083642	TYPE_ROTATION_VECTOR	0.112138815	-0.026320515	0.25817904
1559365083642	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.719999	-27.96	-90.899994
1559365083642	TYPE_ACCELEROMETER_UNCALIBRATED	1.039505	1.9417114	9.5516815
1559365083662	TYPE_ACCELEROMETER	0.86299133	1.9417114	9.3359375
1559365083662	TYPE_MAGNETIC_FIELD	12.0	19.619999	-30.72
1559365083662	TYPE_GYROSCOPE	0.004513728	0.019372843	0.12725583
1559365083662	TYPE_ROTATION_VECTOR	0.11206004	-0.026226036	0.260596
1559365083662	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.02	-27.84	-90.659996
1559365083662	TYPE_ACCELEROMETER_UNCALIBRATED	0.86299133	1.9417114	9.3359375
1559365083682	TYPE_ACCELEROMETER	0.78453064	1.9221039	9.080963
1559365083682	TYPE_MAGNETIC_FIELD	12.179999	19.619999	-30.48
1559365083682	TYPE_GYROSCOPE	0.008610119	0.026272656	0.1563877
1559365083682	TYPE_ROTATION_VECTOR	0.112033285	-0.026128212	0.26210737
1559365083682	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.68	-27.779999	-90.06
1559365083682	TYPE_ACCELEROMETER_UNCALIBRATED	0.78453064	1.9221039	9.080963
1559365083701	TYPE_ACCELEROMETER	0.7060852	1.9809418	8.963272
1559365083701	TYPE_MAGNETIC_FIELD	12.66	19.68	-30.119999
1559365083701	TYPE_GYROSCOPE	0.012020016	0.032669052	0.17559147
1559365083701	TYPE_ROTATION_VECTOR	0.112017	-0.025982214	0.2638076
1559365083701	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.68	-27.779999	-90.06
1559365083701	TYPE_ACCELEROMETER_UNCALIBRATED	0.7060852	1.9809418	8.963272
1559365083721	TYPE_ACCELEROMETER	0.7060852	2.0005493	9.453613
1559365083721	TYPE_MAGNETIC_FIELD	13.08	19.68	-30.06
1559365083721	TYPE_GYROSCOPE	0.0132315	0.03785675	0.176237
1559365083721	TYPE_ROTATION_VECTOR	0.112017	-0.025982214	0.2638076
1559365083721	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.1	-27.779999	-90.0
1559365083721	TYPE_ACCELEROMETER_UNCALIBRATED	0.7060852	2.0005493	9.453613
1559365083741	TYPE_ACCELEROMETER	0.7453003	1.9809418	9.826263
1559365083741	TYPE_MAGNETIC_FIELD	13.38	19.68	-29.82
1559365083741	TYPE_GYROSCOPE	0.015479473	0.046960905	0.18723524
1559365083741	TYPE_ROTATION_VECTOR	0.111998096	-0.025784632	0.26551914
1559365083741	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.4	-27.779999	-89.759995
1559365083741	TYPE_ACCELEROMETER_UNCALIBRATED	0.7453003	1.9809418	9.826263
1559365083761	TYPE_ACCELEROMETER	0.823761	2.020172	9.708588
1559365083761	TYPE_MAGNETIC_FIELD	13.92	19.619999	-29.519999
1559365083761	TYPE_GYROSCOPE	0.015946697	0.05366817	0.18462715
1559365083761	TYPE_ROTATION_VECTOR	0.11197307	-0.025503648	0.26736745
1559365083761	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.940001	-27.84	-89.46
1559365083761	TYPE_ACCELEROMETER_UNCALIBRATED	0.823761	2.020172	9.708588
1559365083780	TYPE_ACCELEROMETER	1.0198975	1.863266	8.68869
1559365083780	TYPE_MAGNETIC_FIELD	14.219999	19.74	-29.4
1559365083780	TYPE_GYROSCOPE	0.014860197	0.0579422	0.16948482
1559365083780	TYPE_ROTATION_VECTOR	0.11187816	-0.024749845	0.27088633
1559365083780	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.42	-27.84	-89.1
1559365083780	TYPE_ACCELEROMETER_UNCALIBRATED	1.0198975	1.863266	8.68869
1559365083800	TYPE_ACCELEROMETER	1.8436432	1.2944794	7.2961426
1559365083800	TYPE_MAGNETIC_FIELD	14.5199995	19.439999	-29.039999
1559365083800	TYPE_GYROSCOPE	0.014382736	0.06037298	0.1592212
1559365083800	TYPE_ROTATION_VECTOR	0.11181255	-0.024311962	0.27247888
1559365083800	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.42	-27.84	-89.1
1559365083800	TYPE_ACCELEROMETER_UNCALIBRATED	1.8436432	1.2944794	7.2961426
1559365083820	TYPE_ACCELEROMETER	0.9610443	1.9417114	8.159134
1559365083820	TYPE_MAGNETIC_FIELD	14.5199995	19.439999	-29.039999
1559365083820	TYPE_GYROSCOPE	0.014515597	0.059566822	0.1489005
1559365083820	TYPE_ROTATION_VECTOR	0.11181255	-0.024311962	0.27247888
1559365083820	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.539999	-28.02	-88.979996
1559365083820	TYPE_ACCELEROMETER_UNCALIBRATED	0.9610443	1.9417114	8.159134
1559365083839	TYPE_ACCELEROMETER	0.9806671	1.5298309	10.002777
1559365083839	TYPE_MAGNETIC_FIELD	14.759999	19.56	-28.8
1559365083839	TYPE_GYROSCOPE	0.014493551	0.05582797	0.1357588
1559365083839	TYPE_ROTATION_VECTOR	0.11175256	-0.023869807	0.27397117
1559365083839	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.779999	-27.9	-88.74
1559365083839	TYPE_ACCELEROMETER_UNCALIBRATED	0.9806671	1.5298309	10.002777
1559365083859	TYPE_ACCELEROMETER	1.6867371	1.9613342	11.650299
1559365083859	TYPE_MAGNETIC_FIELD	14.5199995	19.68	-28.8
1559365083859	TYPE_GYROSCOPE	0.014150321	0.05058625	0.1231704
1559365083859	TYPE_ROTATION_VECTOR	0.111705504	-0.023448672	0.27533317
1559365083859	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.539999	-27.779999	-88.74
1559365083859	TYPE_ACCELEROMETER_UNCALIBRATED	1.6867371	1.9613342	11.650299
1559365083879	TYPE_ACCELEROMETER	1.5886841	1.4906158	10.689255
1559365083879	TYPE_MAGNETIC_FIELD	14.46	19.98	-28.32
1559365083879	TYPE_GYROSCOPE	0.012722163	0.044047393	0.1072398
1559365083879	TYPE_ROTATION_VECTOR	0.11167227	-0.023064394	0.27656838
1559365083879	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.48	-27.48	-88.259995
1559365083879	TYPE_ACCELEROMETER_UNCALIBRATED	1.5886841	1.4906158	10.689255
1559365083899	TYPE_ACCELEROMETER	1.6671295	1.3729248	9.237869
1559365083899	TYPE_MAGNETIC_FIELD	14.4	20.34	-28.08
1559365083899	TYPE_GYROSCOPE	0.010172434	0.037169423	0.08973295
1559365083899	TYPE_ROTATION_VECTOR	0.11162041	-0.022446023	0.27854326
1559365083899	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.18	-26.64	-87.899994
1559365083899	TYPE_ACCELEROMETER_UNCALIBRATED	1.6671295	1.3729248	9.237869
1559365083918	TYPE_ACCELEROMETER	-0.5295563	2.471283	8.708313
1559365083918	TYPE_MAGNETIC_FIELD	14.16	20.82	-27.96
1559365083918	TYPE_GYROSCOPE	0.0065784873	0.030556254	0.06995865
1559365083918	TYPE_ROTATION_VECTOR	0.11162041	-0.022446023	0.27854326
1559365083918	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.18	-26.64	-87.899994
1559365083918	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5295563	2.471283	8.708313
1559365083938	TYPE_ACCELEROMETER	-0.3530426	2.6674042	9.688965
1559365083938	TYPE_MAGNETIC_FIELD	14.28	21.18	-27.66
1559365083938	TYPE_GYROSCOPE	0.0023839488	0.024426265	0.048580397
1559365083938	TYPE_ROTATION_VECTOR	0.111582294	-0.022214381	0.2792459
1559365083938	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.299999	-26.279999	-87.6
1559365083938	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3530426	2.6674042	9.688965
1559365083958	TYPE_ACCELEROMETER	1.039505	2.137848	11.767975
1559365083958	TYPE_MAGNETIC_FIELD	14.28	21.48	-27.599998
1559365083958	TYPE_GYROSCOPE	-0.001484818	0.019375894	0.03113585
1559365083958	TYPE_ROTATION_VECTOR	0.11152603	-0.022029037	0.2797369
1559365083958	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.299999	-25.98	-87.53999
1559365083958	TYPE_ACCELEROMETER_UNCALIBRATED	1.039505	2.137848	11.767975
1559365083977	TYPE_ACCELEROMETER	1.431778	1.8436432	10.983444
1559365083977	TYPE_MAGNETIC_FIELD	14.34	21.9	-27.359999
1559365083977	TYPE_GYROSCOPE	-0.0042579207	0.01531217	0.01820808
1559365083977	TYPE_ROTATION_VECTOR	0.11145077	-0.021883199	0.2800549
1559365083977	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.360001	-25.56	-87.299995
1559365083977	TYPE_ACCELEROMETER_UNCALIBRATED	1.431778	1.8436432	10.983444
1559365083997	TYPE_ACCELEROMETER	1.7651978	2.353592	9.296707
1559365083997	TYPE_MAGNETIC_FIELD	14.639999	22.26	-27.119999
1559365083997	TYPE_GYROSCOPE	-0.004460285	0.013949966	0.019070145
1559365083997	TYPE_ROTATION_VECTOR	0.11136334	-0.021769466	0.2802447
1559365083997	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.66	-25.199999	-87.06
1559365083997	TYPE_ACCELEROMETER_UNCALIBRATED	1.7651978	2.353592	9.296707
1559365084017	TYPE_ACCELEROMETER	-0.3334198	2.137848	8.31604
1559365084017	TYPE_MAGNETIC_FIELD	14.94	22.199999	-26.699999
1559365084017	TYPE_GYROSCOPE	-0.004614572	0.013227996	0.020581927
1559365084017	TYPE_ROTATION_VECTOR	0.11127754	-0.021670224	0.280441
1559365084017	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.959999	-25.26	-86.64
1559365084017	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3334198	2.137848	8.31604
1559365084037	TYPE_ACCELEROMETER	0.7060852	1.8436432	8.708313
1559365084037	TYPE_MAGNETIC_FIELD	15.059999	22.26	-26.58
1559365084037	TYPE_GYROSCOPE	-0.0056551527	0.011954135	0.016854504
1559365084037	TYPE_ROTATION_VECTOR	0.11119204	-0.021579992	0.28065097
1559365084037	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.08	-25.199999	-86.52
1559365084037	TYPE_ACCELEROMETER_UNCALIBRATED	0.7060852	1.8436432	8.708313
1559365084056	TYPE_ACCELEROMETER	0.72569275	1.3925476	9.3359375
1559365084056	TYPE_MAGNETIC_FIELD	15.24	22.56	-26.4
1559365084056	TYPE_GYROSCOPE	-0.0067145023	0.011881352	0.017046608
1559365084056	TYPE_ROTATION_VECTOR	0.11110092	-0.021500671	0.28082362
1559365084056	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.26	-24.9	-86.34
1559365084056	TYPE_ACCELEROMETER_UNCALIBRATED	0.72569275	1.3925476	9.3359375
1559365084076	TYPE_ACCELEROMETER	0.2745819	1.4121552	11.022675
1559365084076	TYPE_MAGNETIC_FIELD	15.299999	22.8	-26.039999
1559365084076	TYPE_GYROSCOPE	-0.007874448	0.01218149	0.018221077
1559365084076	TYPE_ROTATION_VECTOR	0.11099988	-0.021425236	0.2809978
1559365084076	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.32	-24.66	-85.979996
1559365084076	TYPE_ACCELEROMETER_UNCALIBRATED	0.2745819	1.4121552	11.022675
1559365084096	TYPE_ACCELEROMETER	1.1179657	0.78453064	11.944504
1559365084096	TYPE_MAGNETIC_FIELD	15.42	23.22	-25.32
1559365084096	TYPE_GYROSCOPE	-0.009416757	0.012621505	0.020042814
1559365084096	TYPE_ROTATION_VECTOR	0.11088669	-0.021351492	0.28118324
1559365084096	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.44	-24.42	-85.68
1559365084096	TYPE_ACCELEROMETER_UNCALIBRATED	1.1179657	0.78453064	11.944504
1559365084115	TYPE_ACCELEROMETER	0.45111084	0.31381226	12.944778
1559365084115	TYPE_MAGNETIC_FIELD	15.42	23.22	-25.32
1559365084115	TYPE_GYROSCOPE	-0.012331796	0.012974126	0.015679417
1559365084115	TYPE_ROTATION_VECTOR	0.11075722	-0.021279918	0.28138632
1559365084115	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.44	-24.24	-85.259995
1559365084115	TYPE_ACCELEROMETER_UNCALIBRATED	0.45111084	0.31381226	12.944778
1559365084155	TYPE_ACCELEROMETER	-0.60801697	-0.66685486	11.924881
1559365084155	TYPE_MAGNETIC_FIELD	15.12	24.06	-24.72
1559365084155	TYPE_GYROSCOPE	-0.017170392	0.014367637	0.0072851074
1559365084155	TYPE_ROTATION_VECTOR	0.11039422	-0.02112783	0.2816291
1559365084155	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.14	-23.4	-84.659996
1559365084155	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0002747	-1.2748718	12.356384
1559365084175	TYPE_ACCELEROMETER	-0.39227295	-0.64723206	10.159683
1559365084175	TYPE_MAGNETIC_FIELD	15.12	24.6	-24.539999
1559365084175	TYPE_GYROSCOPE	-0.024327818	0.016901817	-0.0063561355
1559365084175	TYPE_ROTATION_VECTOR	0.110116124	-0.021028267	0.28158206
1559365084175	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.14	-23.4	-84.659996
1559365084175	TYPE_ACCELEROMETER_UNCALIBRATED	-0.39227295	-0.64723206	10.159683
1559365084194	TYPE_ACCELEROMETER	-0.9610443	-0.2942047	9.002502
1559365084194	TYPE_MAGNETIC_FIELD	15.12	24.6	-24.539999
1559365084194	TYPE_GYROSCOPE	-0.03468942	0.02138868	-0.02425939
1559365084194	TYPE_ROTATION_VECTOR	0.110116124	-0.021028267	0.28158206
1559365084194	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.14	-22.859999	-84.479996
1559365084194	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9610443	-0.2942047	9.002502
1559365084214	TYPE_ACCELEROMETER	-1.1571808	-0.039230347	9.453613
1559365084214	TYPE_MAGNETIC_FIELD	15.0	24.84	-24.539999
1559365084214	TYPE_GYROSCOPE	-0.046802893	0.030041054	-0.034166772
1559365084214	TYPE_ROTATION_VECTOR	0.109735206	-0.020897062	0.28136975
1559365084214	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.02	-22.619999	-84.479996
1559365084214	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1571808	-0.039230347	9.453613
1559365084234	TYPE_ACCELEROMETER	0.07846069	-0.58839417	10.7677
1559365084234	TYPE_MAGNETIC_FIELD	15.179999	24.539999	-24.3
1559365084234	TYPE_GYROSCOPE	-0.06264768	0.040530395	-0.04698533
1559365084234	TYPE_ROTATION_VECTOR	0.109218344	-0.02070736	0.2810712
1559365084234	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.199999	-22.92	-84.24
1559365084234	TYPE_ACCELEROMETER_UNCALIBRATED	0.07846069	-0.58839417	10.7677
1559365084254	TYPE_ACCELEROMETER	0.31381226	-0.7649231	10.983444
1559365084254	TYPE_MAGNETIC_FIELD	15.36	24.48	-24.42
1559365084254	TYPE_GYROSCOPE	-0.08175477	0.050723553	-0.05657462
