#	startTime:1559365144803
#	SiteID:5cd56b5ae2acfd2d33b58548	SiteName:乐坊精致生活广场	FloorId:5cd56b5ae2acfd2d33b58559	FloorName:1F
#	Brand:vivo	Model:V1818A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LIS3DH Accelerometer	version:1	vendor:STMicroelectronics	resolution:0.019607544	power:0.185	maximumRange:39.22661
#	type:4	name:AK09918-pseudo-gyro	version:2	vendor:akm	resolution:0.1	power:1.0	maximumRange:2000.0
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559365144803	TYPE_WAYPOINT	109.26049	40.599186
1559365144933	TYPE_ACCELEROMETER	-0.11767578	1.3729248	10.453888
1559365144933	TYPE_MAGNETIC_FIELD	28.199999	5.94	-19.5
1559365144933	TYPE_GYROSCOPE	-0.024098974	-0.03716337	-0.04869746
1559365144933	TYPE_ROTATION_VECTOR	0.054951746	0.06761338	0.58202475
1559365144933	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.22	-41.52	-79.44
1559365144933	TYPE_ACCELEROMETER_UNCALIBRATED	-0.11767578	1.3729248	10.453888
1559365144953	TYPE_ACCELEROMETER	-0.3530426	1.470993	10.0224
1559365144953	TYPE_MAGNETIC_FIELD	27.96	5.7	-19.619999
1559365144953	TYPE_GYROSCOPE	-0.032429107	-0.038673487	-0.011091721
1559365144953	TYPE_ROTATION_VECTOR	0.05494027	0.0671994	0.58162683
1559365144953	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.98	-41.76	-79.56
1559365144953	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3530426	1.470993	10.0224
1559365144973	TYPE_ACCELEROMETER	-0.72569275	1.5298309	9.257477
1559365144973	TYPE_MAGNETIC_FIELD	27.9	5.7	-19.619999
1559365144973	TYPE_GYROSCOPE	-0.037238464	-0.031741373	0.06148943
1559365144973	TYPE_ROTATION_VECTOR	0.054895457	0.06670409	0.5815376
1559365144973	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.92	-41.76	-79.56
1559365144973	TYPE_ACCELEROMETER_UNCALIBRATED	-0.72569275	1.5298309	9.257477
1559365144992	TYPE_ACCELEROMETER	-0.8041382	1.4121552	9.120178
1559365144992	TYPE_MAGNETIC_FIELD	27.66	5.1	-19.68
1559365144992	TYPE_GYROSCOPE	-0.038651206	-0.025372516	0.102348395
1559365144992	TYPE_ROTATION_VECTOR	0.054722674	0.065710716	0.58288115
1559365144992	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.68	-42.36	-79.619995
1559365144992	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8041382	1.4121552	9.120178
1559365145012	TYPE_ACCELEROMETER	-0.64723206	1.3140869	9.669357
1559365145012	TYPE_MAGNETIC_FIELD	27.66	5.1	-19.68
1559365145012	TYPE_GYROSCOPE	-0.040137805	-0.017355515	0.13004643
1559365145012	TYPE_ROTATION_VECTOR	0.054722674	0.065710716	0.58288115
1559365145012	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.68	-42.6	-79.619995
1559365145012	TYPE_ACCELEROMETER_UNCALIBRATED	-0.64723206	1.3140869	9.669357
1559365145032	TYPE_ACCELEROMETER	-0.43148804	1.3140869	10.140076
1559365145032	TYPE_MAGNETIC_FIELD	27.66	4.8599997	-19.68
1559365145032	TYPE_GYROSCOPE	-0.041476987	-0.013760561	0.1248888
1559365145032	TYPE_ROTATION_VECTOR	0.05458491	0.0652653	0.5839483
1559365145032	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.68	-42.6	-79.619995
1559365145032	TYPE_ACCELEROMETER_UNCALIBRATED	-0.43148804	1.3140869	10.140076
1559365145052	TYPE_ACCELEROMETER	-0.60801697	1.3533173	10.238144
1559365145052	TYPE_MAGNETIC_FIELD	27.42	4.8599997	-19.74
1559365145052	TYPE_GYROSCOPE	-0.043629754	-0.008761901	0.12886254
1559365145052	TYPE_ROTATION_VECTOR	0.05441187	0.06484376	0.58497554
1559365145052	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.44	-42.6	-79.68
1559365145052	TYPE_ACCELEROMETER_UNCALIBRATED	-0.60801697	1.3533173	10.238144
1559365145071	TYPE_ACCELEROMETER	-0.9022064	1.3337097	9.826263
1559365145071	TYPE_MAGNETIC_FIELD	27.779999	4.56	-19.5
1559365145071	TYPE_GYROSCOPE	-0.045878433	-0.0050729644	0.12938878
1559365145071	TYPE_ROTATION_VECTOR	0.054194707	0.06444769	0.58603793
1559365145071	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.74	-43.14	-79.5
1559365145071	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9022064	1.3337097	9.826263
1559365145091	TYPE_ACCELEROMETER	-0.84336853	1.3729248	9.022125
1559365145091	TYPE_MAGNETIC_FIELD	27.72	4.3199997	-19.56
1559365145091	TYPE_GYROSCOPE	-0.04744833	-0.0015756872	0.13199607
1559365145091	TYPE_ROTATION_VECTOR	0.05364976	0.063705236	0.5881987
1559365145091	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.86	-43.14	-79.5
1559365145091	TYPE_ACCELEROMETER_UNCALIBRATED	-0.84336853	1.3729248	9.022125
1559365145111	TYPE_ACCELEROMETER	-0.7453003	1.3337097	8.786758
1559365145111	TYPE_MAGNETIC_FIELD	27.84	4.3199997	-19.56
1559365145111	TYPE_GYROSCOPE	-0.04744833	-0.0015756872	0.13199607
1559365145111	TYPE_ROTATION_VECTOR	0.05364976	0.063705236	0.5881987
1559365145111	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.86	-43.14	-79.5
1559365145111	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7453003	1.3337097	8.786758
1559365145130	TYPE_ACCELEROMETER	-0.64723206	1.3337097	9.355545
1559365145130	TYPE_MAGNETIC_FIELD	27.84	4.3199997	-19.56
1559365145130	TYPE_GYROSCOPE	-0.04784731	0.014688065	0.13244347
1559365145130	TYPE_ROTATION_VECTOR	0.05364976	0.063705236	0.5881987
1559365145130	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.86	-43.14	-79.5
1559365145130	TYPE_ACCELEROMETER_UNCALIBRATED	-0.64723206	1.3337097	9.355545
1559365145150	TYPE_ACCELEROMETER	-0.6276245	1.2356415	10.198914
1559365145150	TYPE_MAGNETIC_FIELD	27.9	4.3199997	-19.56
1559365145150	TYPE_GYROSCOPE	-0.04708242	0.025906809	0.13155796
1559365145150	TYPE_ROTATION_VECTOR	0.052929115	0.0631583	0.59044236
1559365145150	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.1	-43.26	-79.32
1559365145150	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6276245	1.2356415	10.198914
1559365145170	TYPE_ACCELEROMETER	-0.5491791	1.1375732	10.493118
1559365145170	TYPE_MAGNETIC_FIELD	28.14	4.02	-19.38
1559365145170	TYPE_GYROSCOPE	-0.04615284	0.03550582	0.13530304
1559365145170	TYPE_ROTATION_VECTOR	0.052481182	0.06301862	0.5915416
1559365145170	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.1	-43.26	-79.32
1559365145170	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5491791	1.1375732	10.493118
1559365145190	TYPE_ACCELEROMETER	-0.5295563	1.255249	10.159683
1559365145190	TYPE_MAGNETIC_FIELD	28.14	4.02	-19.38
1559365145190	TYPE_GYROSCOPE	-0.045649357	0.042807423	0.14604232
1559365145190	TYPE_ROTATION_VECTOR	0.05198617	0.06295932	0.59267384
1559365145190	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.16	-43.44	-79.32
1559365145190	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5295563	1.255249	10.159683
1559365145209	TYPE_ACCELEROMETER	-0.39227295	1.3337097	9.688965
1559365145209	TYPE_MAGNETIC_FIELD	28.32	3.48	-19.38
1559365145209	TYPE_GYROSCOPE	-0.045619763	0.048408557	0.16202205
1559365145209	TYPE_ROTATION_VECTOR	0.05090785	0.062988855	0.5952439
1559365145209	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.34	-43.98	-79.32
1559365145209	TYPE_ACCELEROMETER_UNCALIBRATED	-0.39227295	1.3337097	9.688965
1559365145229	TYPE_ACCELEROMETER	-0.37265015	1.3729248	9.532059
1559365145229	TYPE_MAGNETIC_FIELD	28.32	3.12	-19.38
1559365145229	TYPE_GYROSCOPE	-0.0459795	0.053561237	0.1831516
1559365145229	TYPE_ROTATION_VECTOR	0.05090785	0.062988855	0.5952439
1559365145229	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.34	-44.34	-79.32
1559365145229	TYPE_ACCELEROMETER_UNCALIBRATED	-0.37265015	1.3729248	9.826263
1559365145268	TYPE_ACCELEROMETER	-0.50994873	1.255249	10.159683
1559365145268	TYPE_MAGNETIC_FIELD	28.56	2.1599998	-18.96
1559365145268	TYPE_GYROSCOPE	-0.046328936	0.05741217	0.201591
1559365145268	TYPE_ROTATION_VECTOR	0.049751207	0.06313026	0.59842926
1559365145268	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.46	-44.879997	-79.08
1559365145268	TYPE_ACCELEROMETER_UNCALIBRATED	-0.50994873	1.255249	10.159683
1559365145288	TYPE_ACCELEROMETER	-0.50994873	1.0983429	10.100845
1559365145288	TYPE_MAGNETIC_FIELD	28.92	1.74	-18.9
1559365145288	TYPE_GYROSCOPE	-0.046848632	0.060176678	0.21633366
1559365145288	TYPE_ROTATION_VECTOR	0.049154095	0.063221805	0.60021174
1559365145288	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.94	-45.719997	-78.84
1559365145288	TYPE_ACCELEROMETER_UNCALIBRATED	-0.50994873	1.0983429	10.100845
