#	startTime:1559365183830
#	SiteID:5cd56b5ae2acfd2d33b58548	SiteName:乐坊精致生活广场	FloorId:5cd56b5ae2acfd2d33b58559	FloorName:1F
#	Brand:vivo	Model:V1818A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LIS3DH Accelerometer	version:1	vendor:STMicroelectronics	resolution:0.019607544	power:0.185	maximumRange:39.22661
#	type:4	name:AK09918-pseudo-gyro	version:2	vendor:akm	resolution:0.1	power:1.0	maximumRange:2000.0
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559365183831	TYPE_WAYPOINT	102.617714	40.319176
1559365183967	TYPE_ACCELEROMETER	-0.11767578	1.863266	9.355545
1559365183967	TYPE_MAGNETIC_FIELD	13.559999	-17.82	-22.74
1559365183967	TYPE_GYROSCOPE	-0.0031938404	0.01720988	0.06950991
1559365183967	TYPE_ROTATION_VECTOR	0.047837604	0.088634424	0.91111517
1559365183967	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.58	-65.28	-82.68
1559365183967	TYPE_ACCELEROMETER_UNCALIBRATED	-0.11767578	1.863266	9.355545
1559365183987	TYPE_ACCELEROMETER	-0.3530426	1.8240356	9.512451
1559365183987	TYPE_MAGNETIC_FIELD	13.679999	-17.82	-22.74
1559365183987	TYPE_GYROSCOPE	-0.003598962	0.01734562	0.0428014
1559365183987	TYPE_ROTATION_VECTOR	0.047703113	0.088650465	0.9112976
1559365183987	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.699999	-65.28	-82.68
1559365183987	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3530426	1.8240356	9.512451
1559365184007	TYPE_ACCELEROMETER	-0.17651367	1.8828735	9.826263
1559365184007	TYPE_MAGNETIC_FIELD	13.86	-18.0	-22.619999
1559365184007	TYPE_GYROSCOPE	-0.0052272165	0.025759678	0.03790799
1559365184007	TYPE_ROTATION_VECTOR	0.047481105	0.08868759	0.9114659
1559365184007	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.879999	-65.46	-82.56
1559365184007	TYPE_ACCELEROMETER_UNCALIBRATED	-0.17651367	1.8828735	9.826263
1559365184026	TYPE_ACCELEROMETER	-0.039230347	1.8436432	10.042007
1559365184026	TYPE_MAGNETIC_FIELD	13.86	-18.3	-22.5
1559365184026	TYPE_GYROSCOPE	-0.007514445	0.03765922	0.04983088
1559365184026	TYPE_ROTATION_VECTOR	0.047152042	0.08874564	0.9116889
1559365184026	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.879999	-65.759995	-82.44
1559365184026	TYPE_ACCELEROMETER_UNCALIBRATED	-0.039230347	1.8436432	10.042007
1559365184046	TYPE_ACCELEROMETER	-0.09806824	1.863266	9.885101
1559365184046	TYPE_MAGNETIC_FIELD	13.679999	-18.359999	-22.38
1559365184046	TYPE_GYROSCOPE	-0.010238244	0.047543164	0.059080765
1559365184046	TYPE_ROTATION_VECTOR	0.046735503	0.08881297	0.9119522
1559365184046	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.699999	-65.82	-82.32
1559365184046	TYPE_ACCELEROMETER_UNCALIBRATED	-0.09806824	1.863266	9.885101
1559365184066	TYPE_ACCELEROMETER	-0.19613647	1.7848053	9.5516815
1559365184066	TYPE_MAGNETIC_FIELD	13.679999	-18.359999	-22.38
1559365184066	TYPE_GYROSCOPE	-0.012672586	0.05447296	0.065378115
1559365184066	TYPE_ROTATION_VECTOR	0.046252493	0.08888268	0.91224504
1559365184066	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.699999	-65.759995	-82.38
1559365184066	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19613647	1.7848053	9.5516815
1559365184086	TYPE_ACCELEROMETER	-0.49032593	1.8828735	9.394775
1559365184086	TYPE_MAGNETIC_FIELD	13.679999	-18.3	-22.439999
1559365184086	TYPE_GYROSCOPE	-0.014421359	0.061695613	0.078931995
1559365184086	TYPE_ROTATION_VECTOR	0.045709427	0.08895866	0.91259503
1559365184086	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.699999	-65.759995	-82.38
1559365184086	TYPE_ACCELEROMETER_UNCALIBRATED	-0.49032593	1.8828735	9.394775
1559365184105	TYPE_ACCELEROMETER	-0.5687866	1.9809418	9.3359375
1559365184105	TYPE_MAGNETIC_FIELD	13.259999	-18.119999	-22.98
1559365184105	TYPE_GYROSCOPE	-0.0152017735	0.07016388	0.09647985
1559365184105	TYPE_ROTATION_VECTOR	0.04510232	0.089052714	0.91301715
1559365184105	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.279999	-65.58	-82.92
1559365184105	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5687866	1.9809418	9.3359375
1559365184125	TYPE_ACCELEROMETER	-0.45111084	2.07901	9.571289
1559365184125	TYPE_MAGNETIC_FIELD	13.259999	-18.119999	-22.98
1559365184125	TYPE_GYROSCOPE	-0.015140383	0.07863578	0.120357916
1559365184125	TYPE_ROTATION_VECTOR	0.04443161	0.08917112	0.913541
1559365184125	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.279999	-65.58	-82.92
1559365184125	TYPE_ACCELEROMETER_UNCALIBRATED	-0.45111084	2.07901	9.571289
1559365184145	TYPE_ACCELEROMETER	-0.3334198	2.07901	9.806656
1559365184145	TYPE_MAGNETIC_FIELD	13.0199995	-18.0	-22.92
1559365184145	TYPE_GYROSCOPE	-0.01467782	0.085568726	0.14030844
1559365184145	TYPE_ROTATION_VECTOR	0.04371709	0.089312024	0.9141442
1559365184145	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.799999	-65.52	-82.86
1559365184145	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3334198	2.07901	9.806656
1559365184164	TYPE_ACCELEROMETER	-0.31381226	2.07901	9.826263
1559365184164	TYPE_MAGNETIC_FIELD	12.78	-18.06	-22.92
1559365184164	TYPE_GYROSCOPE	-0.013741176	0.088931486	0.1491249
1559365184164	TYPE_ROTATION_VECTOR	0.04371709	0.089312024	0.9141442
1559365184164	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.799999	-65.52	-82.86
1559365184164	TYPE_ACCELEROMETER_UNCALIBRATED	-0.31381226	2.07901	9.826263
1559365184184	TYPE_ACCELEROMETER	-0.49032593	1.9613342	9.277084
1559365184184	TYPE_MAGNETIC_FIELD	12.54	-17.82	-22.859999
1559365184184	TYPE_GYROSCOPE	-0.012537238	0.0909107	0.15418814
1559365184184	TYPE_ROTATION_VECTOR	0.042240374	0.08964543	0.9154327
1559365184184	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.559999	-65.28	-82.799995
1559365184184	TYPE_ACCELEROMETER_UNCALIBRATED	-0.49032593	1.9613342	9.277084
1559365184204	TYPE_ACCELEROMETER	-0.8825989	2.020172	8.747528
1559365184204	TYPE_MAGNETIC_FIELD	12.66	-18.0	-22.8
1559365184204	TYPE_GYROSCOPE	-0.0112057775	0.09058435	0.14906172
1559365184204	TYPE_ROTATION_VECTOR	0.041500982	0.089833096	0.9160611
1559365184204	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.559999	-65.28	-82.799995
1559365184204	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8825989	2.020172	8.747528
1559365184224	TYPE_ACCELEROMETER	-1.0198975	2.020172	8.825989
1559365184224	TYPE_MAGNETIC_FIELD	12.66	-18.0	-22.8
1559365184224	TYPE_GYROSCOPE	-0.009788922	0.09326739	0.15452586
1559365184224	TYPE_ROTATION_VECTOR	0.04074731	0.09004161	0.91670763
1559365184224	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.379999	-65.46	-82.5
1559365184224	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0198975	2.020172	8.825989
1559365184243	TYPE_ACCELEROMETER	-1.0002747	2.0594025	9.120178
1559365184243	TYPE_MAGNETIC_FIELD	12.12	-17.76	-22.38
1559365184243	TYPE_GYROSCOPE	-0.008329205	0.096662894	0.15886816
1559365184243	TYPE_ROTATION_VECTOR	0.039971944	0.09027462	0.917368
1559365184243	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.139999	-65.22	-82.32
1559365184243	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0002747	2.0594025	9.120178
1559365184263	TYPE_ACCELEROMETER	-0.78453064	2.07901	9.375153
1559365184263	TYPE_MAGNETIC_FIELD	12.12	-18.06	-22.32
1559365184263	TYPE_GYROSCOPE	-0.0069264006	0.09908752	0.15671419
1559365184263	TYPE_ROTATION_VECTOR	0.03917763	0.09053035	0.9180166
1559365184263	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.139999	-65.52	-82.259995
1559365184263	TYPE_ACCELEROMETER_UNCALIBRATED	-0.78453064	2.07901	9.375153
1559365184283	TYPE_ACCELEROMETER	-0.50994873	2.0986176	9.277084
