#	startTime:1559366064625
#	SiteID:5cd56b5ae2acfd2d33b58548	SiteName:乐坊精致生活广场	FloorId:5cd56b5ae2acfd2d33b58559	FloorName:1F
#	Brand:vivo	Model:V1818A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LIS3DH Accelerometer	version:1	vendor:STMicroelectronics	resolution:0.019607544	power:0.185	maximumRange:39.22661
#	type:4	name:AK09918-pseudo-gyro	version:2	vendor:akm	resolution:0.1	power:1.0	maximumRange:2000.0
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559366064626	TYPE_WAYPOINT	57.07076	32.73096
1559366064760	TYPE_ACCELEROMETER	-0.45111084	1.7848053	9.845871
1559366064760	TYPE_MAGNETIC_FIELD	-30.84	5.52	-38.76
1559366064760	TYPE_GYROSCOPE	-0.025463749	-0.029162113	-0.040452514
1559366064760	TYPE_ROTATION_VECTOR	0.09019673	-0.027272228	-0.56857026
1559366064760	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.82	-41.94	-98.7
1559366064760	TYPE_ACCELEROMETER_UNCALIBRATED	-0.45111084	1.7848053	9.845871
1559366064780	TYPE_ACCELEROMETER	-0.49032593	1.8044281	9.865494
1559366064780	TYPE_MAGNETIC_FIELD	-31.08	5.58	-38.7
1559366064780	TYPE_GYROSCOPE	-0.027982498	-0.030254584	-0.036217455
1559366064780	TYPE_ROTATION_VECTOR	0.08983384	-0.027329272	-0.568934
1559366064780	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.06	-41.879997	-98.64
1559366064780	TYPE_ACCELEROMETER_UNCALIBRATED	-0.49032593	1.8044281	9.865494
1559366064800	TYPE_ACCELEROMETER	-0.5491791	1.7259674	10.06163
1559366064800	TYPE_MAGNETIC_FIELD	-31.08	5.64	-38.64
1559366064800	TYPE_GYROSCOPE	-0.029244862	-0.026481912	-0.00840606
1559366064800	TYPE_ROTATION_VECTOR	0.089442976	-0.027384713	-0.56926465
1559366064800	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.06	-41.82	-98.58
1559366064800	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5491791	1.7259674	10.06163
1559366064819	TYPE_ACCELEROMETER	-0.5295563	1.6278992	10.120468
1559366064819	TYPE_MAGNETIC_FIELD	-31.14	5.94	-38.7
1559366064819	TYPE_GYROSCOPE	-0.03002518	-0.01995925	0.031162024
1559366064819	TYPE_ROTATION_VECTOR	0.08905565	-0.027427027	-0.569365
1559366064819	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.119999	-41.52	-98.64
1559366064819	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5295563	1.6278992	10.120468
1559366064839	TYPE_ACCELEROMETER	-0.5687866	1.6082916	9.767426
1559366064839	TYPE_MAGNETIC_FIELD	-31.199999	6.2999997	-38.64
1559366064839	TYPE_GYROSCOPE	-0.028572623	-0.016869668	0.04627685
1559366064839	TYPE_ROTATION_VECTOR	0.08868821	-0.027446847	-0.5691364
1559366064839	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.179998	-41.16	-98.58
1559366064839	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5687866	1.6082916	9.767426
1559366064859	TYPE_ACCELEROMETER	-0.72569275	1.7259674	9.865494
1559366064859	TYPE_MAGNETIC_FIELD	-31.38	6.42	-38.46
1559366064859	TYPE_GYROSCOPE	-0.027399797	-0.011935843	0.06884425
1559366064859	TYPE_ROTATION_VECTOR	0.088346034	-0.027463097	-0.568781
1559366064859	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.359999	-41.04	-98.399994
1559366064859	TYPE_ACCELEROMETER_UNCALIBRATED	-0.72569275	1.7259674	9.865494
1559366064879	TYPE_ACCELEROMETER	-0.7649231	1.8044281	9.610519
1559366064879	TYPE_MAGNETIC_FIELD	-31.74	6.8399997	-38.579998
1559366064879	TYPE_GYROSCOPE	-0.024842124	-0.009482932	0.07301379
1559366064879	TYPE_ROTATION_VECTOR	0.08803529	-0.027465614	-0.5682363
1559366064879	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.72	-40.62	-98.52
1559366064879	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7649231	1.8044281	9.610519
1559366064898	TYPE_ACCELEROMETER	-0.84336853	1.7259674	9.198639
1559366064898	TYPE_MAGNETIC_FIELD	-32.16	7.08	-38.219997
1559366064898	TYPE_GYROSCOPE	-0.021097757	-0.008294276	0.06662821
1559366064898	TYPE_ROTATION_VECTOR	0.087758206	-0.027466273	-0.5676544
1559366064898	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.14	-40.379997	-98.159996
1559366064898	TYPE_ACCELEROMETER_UNCALIBRATED	-0.84336853	1.7259674	9.198639
1559366064918	TYPE_ACCELEROMETER	-0.9218292	1.6867371	8.963272
1559366064918	TYPE_MAGNETIC_FIELD	-32.16	7.14	-38.1
1559366064918	TYPE_GYROSCOPE	-0.017255703	-0.007520632	0.05811178
1559366064918	TYPE_ROTATION_VECTOR	0.08752019	-0.027472833	-0.5671221
1559366064918	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.14	-40.32	-98.03999
1559366064918	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9218292	1.6867371	8.963272
1559366064938	TYPE_ACCELEROMETER	-0.9022064	1.6671295	9.06134
1559366064938	TYPE_MAGNETIC_FIELD	-32.16	7.2	-37.86
1559366064938	TYPE_GYROSCOPE	-0.014032865	-0.006512879	0.050262727
1559366064938	TYPE_ROTATION_VECTOR	0.08732032	-0.02748739	-0.5666577
1559366064938	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.14	-40.26	-97.8
1559366064938	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9022064	1.6671295	9.06134
1559366064957	TYPE_ACCELEROMETER	-0.823761	1.7651978	9.179031
1559366064957	TYPE_MAGNETIC_FIELD	-32.46	7.3799996	-37.739998
1559366064957	TYPE_GYROSCOPE	-0.011062373	-0.0048799696	0.036821928
1559366064957	TYPE_ROTATION_VECTOR	0.087154664	-0.027505077	-0.5662555
1559366064957	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.439999	-40.079998	-97.67999
1559366064957	TYPE_ACCELEROMETER_UNCALIBRATED	-0.823761	1.7651978	9.179031
1559366064977	TYPE_ACCELEROMETER	-0.5295563	1.8240356	9.237869
1559366064977	TYPE_MAGNETIC_FIELD	-32.579998	7.08	-37.62
1559366064977	TYPE_GYROSCOPE	-0.008742673	-0.0011567982	0.027508082
1559366064977	TYPE_ROTATION_VECTOR	0.08702629	-0.027514506	-0.5659612
1559366064977	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.559998	-40.379997	-97.56
