#	startTime:1559368248873
#	SiteID:5cd56b5ae2acfd2d33b58548	SiteName:乐坊精致生活广场	FloorId:5cd56b5ae2acfd2d33b5856d	FloorName:2F
#	Brand:vivo	Model:V1818A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LIS3DH Accelerometer	version:1	vendor:STMicroelectronics	resolution:0.019607544	power:0.185	maximumRange:39.22661
#	type:4	name:AK09918-pseudo-gyro	version:2	vendor:akm	resolution:0.1	power:1.0	maximumRange:2000.0
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559368248874	TYPE_WAYPOINT	87.42094	5.8951616
1559368248995	TYPE_ACCELEROMETER	0.0	1.7848053	9.767426
1559368248995	TYPE_MAGNETIC_FIELD	-21.3	6.3599997	-30.24
1559368248995	TYPE_GYROSCOPE	0.029861255	-0.026619244	-0.20192248
1559368248995	TYPE_ROTATION_VECTOR	0.07077557	-0.036641605	-0.5154709
1559368248995	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.16	-40.559998	-88.14
1559368248995	TYPE_ACCELEROMETER_UNCALIBRATED	0.0	1.7848053	9.767426
1559368249015	TYPE_ACCELEROMETER	0.23536682	1.7455902	9.826263
1559368249015	TYPE_MAGNETIC_FIELD	-21.3	6.0	-30.0
1559368249015	TYPE_GYROSCOPE	0.037330296	-0.034388546	-0.2404734
1559368249015	TYPE_ROTATION_VECTOR	0.07119567	-0.037194982	-0.5192587
1559368249015	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.16	-40.92	-87.899994
1559368249015	TYPE_ACCELEROMETER_UNCALIBRATED	0.23536682	1.7455902	9.826263
1559368249035	TYPE_ACCELEROMETER	0.39227295	1.7063599	9.924332
1559368249035	TYPE_MAGNETIC_FIELD	-21.359999	5.2799997	-29.64
1559368249035	TYPE_GYROSCOPE	0.04189423	-0.038324114	-0.24859701
1559368249035	TYPE_ROTATION_VECTOR	0.07144223	-0.037556916	-0.52135736
1559368249035	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.22	-41.64	-87.53999
1559368249035	TYPE_ACCELEROMETER_UNCALIBRATED	0.39227295	1.7063599	9.924332
1559368249054	TYPE_ACCELEROMETER	0.3334198	1.7848053	9.924332
1559368249054	TYPE_MAGNETIC_FIELD	-21.359999	5.2799997	-29.64
1559368249054	TYPE_GYROSCOPE	0.04340095	-0.042094234	-0.23909813
1559368249054	TYPE_ROTATION_VECTOR	0.07144223	-0.037556916	-0.52135736
1559368249054	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.22	-41.64	-87.53999
1559368249054	TYPE_ACCELEROMETER_UNCALIBRATED	0.3334198	1.7848053	9.924332
1559368249074	TYPE_ACCELEROMETER	0.37265015	1.9613342	9.885101
1559368249074	TYPE_MAGNETIC_FIELD	-21.359999	4.98	-29.64
1559368249074	TYPE_GYROSCOPE	0.043461923	-0.050403353	-0.23873264
1559368249074	TYPE_ROTATION_VECTOR	0.071678065	-0.037964687	-0.5233752
1559368249074	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.34	-42.42	-87.53999
1559368249074	TYPE_ACCELEROMETER_UNCALIBRATED	0.37265015	1.9613342	9.885101
1559368249094	TYPE_ACCELEROMETER	0.6276245	2.0005493	9.806656
1559368249094	TYPE_MAGNETIC_FIELD	-21.6	3.9599998	-29.46
1559368249094	TYPE_GYROSCOPE	0.04332027	-0.061753575	-0.24491304
1559368249094	TYPE_ROTATION_VECTOR	0.072005555	-0.039009698	-0.5274666
1559368249094	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.34	-42.42	-87.53999
1559368249094	TYPE_ACCELEROMETER_UNCALIBRATED	0.6276245	2.0005493	9.806656
1559368249114	TYPE_ACCELEROMETER	0.9610443	1.8828735	9.826263
1559368249114	TYPE_MAGNETIC_FIELD	-21.48	3.78	-29.16
1559368249114	TYPE_GYROSCOPE	0.042327777	-0.07108992	-0.23589234
1559368249114	TYPE_ROTATION_VECTOR	0.07208031	-0.039664134	-0.52949446
1559368249114	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.34	-43.14	-87.06
1559368249114	TYPE_ACCELEROMETER_UNCALIBRATED	0.9610443	1.8828735	9.826263
1559368249133	TYPE_ACCELEROMETER	0.9218292	1.7848053	9.924332
1559368249133	TYPE_MAGNETIC_FIELD	-21.6	3.36	-29.099998
1559368249133	TYPE_GYROSCOPE	0.04143812	-0.08465082	-0.23743327
1559368249133	TYPE_ROTATION_VECTOR	0.07207588	-0.040427	-0.53154194
1559368249133	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.460001	-43.559998	-87.0
1559368249133	TYPE_ACCELEROMETER_UNCALIBRATED	0.9218292	1.7848053	9.924332
1559368249153	TYPE_ACCELEROMETER	0.49032593	1.7063599	10.179306
1559368249153	TYPE_MAGNETIC_FIELD	-21.72	3.1799998	-29.279999
1559368249153	TYPE_GYROSCOPE	0.03981465	-0.09726941	-0.2369702
1559368249153	TYPE_ROTATION_VECTOR	0.07199005	-0.041287657	-0.5335918
1559368249153	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.58	-43.739998	-87.17999
1559368249153	TYPE_ACCELEROMETER_UNCALIBRATED	0.49032593	1.7063599	10.179306
1559368249173	TYPE_ACCELEROMETER	0.2745819	1.647522	10.159683
1559368249173	TYPE_MAGNETIC_FIELD	-21.72	3.1799998	-29.279999
1559368249173	TYPE_GYROSCOPE	0.03981465	-0.09726941	-0.2369702
1559368249173	TYPE_ROTATION_VECTOR	0.07199005	-0.041287657	-0.5335918
1559368249173	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.58	-43.739998	-87.17999
1559368249173	TYPE_ACCELEROMETER_UNCALIBRATED	0.2745819	1.647522	10.159683
1559368249192	TYPE_ACCELEROMETER	0.31381226	1.6671295	9.806656
1559368249192	TYPE_MAGNETIC_FIELD	-21.72	3.1799998	-29.279999
1559368249192	TYPE_GYROSCOPE	0.034933414	-0.11172102	-0.23586921
1559368249192	TYPE_ROTATION_VECTOR	0.07199005	-0.041287657	-0.5335918
1559368249192	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.58	-43.739998	-87.17999
1559368249192	TYPE_ACCELEROMETER_UNCALIBRATED	0.31381226	1.6671295	9.806656
1559368249212	TYPE_ACCELEROMETER	0.58839417	1.8044281	9.590912
1559368249212	TYPE_MAGNETIC_FIELD	-21.72	2.58	-29.46
1559368249212	TYPE_GYROSCOPE	0.03235246	-0.116194494	-0.2472275
1559368249212	TYPE_ROTATION_VECTOR	0.07138388	-0.044140097	-0.5398021
1559368249212	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.52	-44.879997	-87.17999
1559368249212	TYPE_ACCELEROMETER_UNCALIBRATED	0.58839417	1.8044281	9.590912
1559368249232	TYPE_ACCELEROMETER	0.5491791	1.7259674	9.5516815
1559368249232	TYPE_MAGNETIC_FIELD	-21.72	1.8	-28.98
1559368249232	TYPE_GYROSCOPE	0.02993095	-0.11703275	-0.24682325
1559368249232	TYPE_ROTATION_VECTOR	0.071111515	-0.045105565	-0.5419378
