#	startTime:1559368383666
#	SiteID:5cd56b5ae2acfd2d33b58548	SiteName:乐坊精致生活广场	FloorId:5cd56b5ae2acfd2d33b5856d	FloorName:2F
#	Brand:vivo	Model:V1818A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LIS3DH Accelerometer	version:1	vendor:STMicroelectronics	resolution:0.019607544	power:0.185	maximumRange:39.22661
#	type:4	name:AK09918-pseudo-gyro	version:2	vendor:akm	resolution:0.1	power:1.0	maximumRange:2000.0
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559368383667	TYPE_WAYPOINT	73.59339	35.492462
1559368383803	TYPE_ACCELEROMETER	0.31381226	2.07901	9.767426
1559368383803	TYPE_MAGNETIC_FIELD	23.46	6.66	-35.28
1559368383803	TYPE_GYROSCOPE	-0.017026331	-0.00782911	0.066462435
1559368383803	TYPE_ROTATION_VECTOR	0.10043578	0.04286908	0.49643102
1559368383803	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.599998	-40.26	-93.17999
1559368383803	TYPE_ACCELEROMETER_UNCALIBRATED	0.31381226	2.07901	9.767426
1559368383823	TYPE_ACCELEROMETER	0.21574402	2.0594025	9.943939
1559368383823	TYPE_MAGNETIC_FIELD	23.58	6.6	-35.219997
1559368383823	TYPE_GYROSCOPE	-0.020935738	-0.0035580113	0.086857095
1559368383823	TYPE_ROTATION_VECTOR	0.10023253	0.042431295	0.49774623
1559368383823	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.72	-40.32	-93.119995
1559368383823	TYPE_ACCELEROMETER_UNCALIBRATED	0.21574402	2.0594025	9.943939
1559368383843	TYPE_ACCELEROMETER	0.2942047	2.07901	9.924332
1559368383843	TYPE_MAGNETIC_FIELD	23.82	6.2999997	-34.92
1559368383843	TYPE_GYROSCOPE	-0.022683999	0.0032316593	0.112488724
1559368383843	TYPE_ROTATION_VECTOR	0.10023253	0.042431295	0.49774623
1559368383843	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.96	-40.62	-92.81999
1559368383843	TYPE_ACCELEROMETER_UNCALIBRATED	0.2942047	2.07901	9.924332
1559368383862	TYPE_ACCELEROMETER	0.3334198	2.0986176	9.708588
1559368383862	TYPE_MAGNETIC_FIELD	23.82	6.2999997	-34.92
1559368383862	TYPE_GYROSCOPE	-0.023079356	0.0035600974	0.107021555
1559368383862	TYPE_ROTATION_VECTOR	0.10007095	0.04223589	0.49871442
1559368383862	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.96	-40.62	-92.81999
1559368383862	TYPE_ACCELEROMETER_UNCALIBRATED	0.3334198	2.0986176	9.708588
1559368383882	TYPE_ACCELEROMETER	0.3334198	2.0397797	9.375153
1559368383882	TYPE_MAGNETIC_FIELD	23.82	6.54	-34.92
1559368383882	TYPE_GYROSCOPE	-0.021896476	0.0023536629	0.09596248
1559368383882	TYPE_ROTATION_VECTOR	0.099902	0.042046666	0.49963602
1559368383882	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.96	-40.379997	-92.81999
1559368383882	TYPE_ACCELEROMETER_UNCALIBRATED	0.3334198	2.0397797	9.375153
1559368383902	TYPE_ACCELEROMETER	0.37265015	2.0594025	9.375153
1559368383902	TYPE_MAGNETIC_FIELD	24.0	6.8399997	-34.92
1559368383902	TYPE_GYROSCOPE	-0.019028286	9.112436E-4	0.082652666
1559368383902	TYPE_ROTATION_VECTOR	0.09974637	0.041866228	0.50045127
1559368383902	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.199999	-40.199997	-92.81999
1559368383902	TYPE_ACCELEROMETER_UNCALIBRATED	0.37265015	2.0594025	9.375153
1559368383921	TYPE_ACCELEROMETER	0.45111084	2.020172	9.630127
1559368383921	TYPE_MAGNETIC_FIELD	24.0	6.8399997	-34.92
1559368383921	TYPE_GYROSCOPE	-0.016636837	-3.7807628E-4	0.073340006
1559368383921	TYPE_ROTATION_VECTOR	0.099506944	0.041542783	0.50178117
1559368383921	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.14	-40.079998	-92.81999
1559368383921	TYPE_ACCELEROMETER_UNCALIBRATED	0.45111084	2.020172	9.630127
1559368383961	TYPE_ACCELEROMETER	0.58839417	1.8240356	9.806656
1559368383961	TYPE_MAGNETIC_FIELD	23.699999	7.08	-34.92
1559368383961	TYPE_GYROSCOPE	-0.0145809455	-0.0026732334	0.059517425
1559368383961	TYPE_ROTATION_VECTOR	0.0994221	0.041391324	0.5022824
1559368383961	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.96	-40.019997	-92.81999
1559368383961	TYPE_ACCELEROMETER_UNCALIBRATED	0.5491791	1.9417114	9.826263
1559368383980	TYPE_ACCELEROMETER	0.45111084	1.7455902	9.5516815
1559368383980	TYPE_MAGNETIC_FIELD	23.46	7.3199997	-35.1
1559368383980	TYPE_GYROSCOPE	-0.013544893	-0.0076260427	0.0345656
1559368383980	TYPE_ROTATION_VECTOR	0.09935928	0.041225575	0.5025733
1559368383980	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.839998	-39.839996	-92.81999
1559368383980	TYPE_ACCELEROMETER_UNCALIBRATED	0.58839417	1.8240356	9.806656
1559368384000	TYPE_ACCELEROMETER	0.15690613	1.7063599	9.355545
1559368384000	TYPE_MAGNETIC_FIELD	23.46	7.3199997	-35.1
1559368384000	TYPE_GYROSCOPE	-0.013430806	-0.013770766	0.005778664
1559368384000	TYPE_ROTATION_VECTOR	0.09935928	0.041225575	0.5025733
