#	startTime:1559368595729
#	SiteID:5cd56b5ae2acfd2d33b58548	SiteName:乐坊精致生活广场	FloorId:5cd56b5ae2acfd2d33b5856d	FloorName:2F
#	Brand:vivo	Model:V1818A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LIS3DH Accelerometer	version:1	vendor:STMicroelectronics	resolution:0.019607544	power:0.185	maximumRange:39.22661
#	type:4	name:AK09918-pseudo-gyro	version:2	vendor:akm	resolution:0.1	power:1.0	maximumRange:2000.0
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559368595729	TYPE_WAYPOINT	62.31593	42.828125
1559368595854	TYPE_ACCELEROMETER	0.37265015	3.4911652	9.355545
1559368595854	TYPE_MAGNETIC_FIELD	-4.44	-28.019999	-17.94
1559368595854	TYPE_GYROSCOPE	-0.017161885	-0.07545605	-0.11361213
1559368595854	TYPE_ROTATION_VECTOR	0.0070443684	-0.17756848	-0.97912425
1559368595854	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.3000002	-74.939995	-75.84
1559368595854	TYPE_ACCELEROMETER_UNCALIBRATED	0.37265015	3.4911652	9.355545
1559368595874	TYPE_ACCELEROMETER	0.2942047	3.5696259	9.100571
1559368595874	TYPE_MAGNETIC_FIELD	-4.56	-28.439999	-17.76
1559368595874	TYPE_GYROSCOPE	-0.015907135	-0.078752	-0.10905283
1559368595874	TYPE_ROTATION_VECTOR	0.0064903265	-0.17746669	-0.9792713
1559368595874	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.42000008	-75.36	-75.659996
1559368595874	TYPE_ACCELEROMETER_UNCALIBRATED	0.2942047	3.5696259	9.100571
1559368595894	TYPE_ACCELEROMETER	0.21574402	3.510788	9.139801
1559368595894	TYPE_MAGNETIC_FIELD	-4.56	-28.32	-17.76
1559368595894	TYPE_GYROSCOPE	-0.0138888825	-0.069954924	-0.08885867
1559368595894	TYPE_ROTATION_VECTOR	0.005356245	-0.17730632	-0.9795236
1559368595894	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.42000008	-75.24	-75.659996
1559368595894	TYPE_ACCELEROMETER_UNCALIBRATED	0.21574402	3.510788	9.139801
1559368595913	TYPE_ACCELEROMETER	0.25497437	3.4715576	9.453613
1559368595913	TYPE_MAGNETIC_FIELD	-4.56	-28.32	-17.76
1559368595913	TYPE_GYROSCOPE	-0.011931274	-0.06026884	-0.07150265
1559368595913	TYPE_ROTATION_VECTOR	0.005356245	-0.17730632	-0.9795236
1559368595913	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.42000008	-75.24	-75.659996
1559368595913	TYPE_ACCELEROMETER_UNCALIBRATED	0.25497437	3.4715576	9.453613
1559368595933	TYPE_ACCELEROMETER	0.37265015	3.4127197	9.630127
1559368595933	TYPE_MAGNETIC_FIELD	-4.5	-28.5	-17.76
1559368595933	TYPE_GYROSCOPE	-0.00957464	-0.049335107	-0.0502292
1559368595933	TYPE_ROTATION_VECTOR	0.004477947	-0.1771932	-0.9796822
1559368595933	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.36000013	-75.42	-75.659996
1559368595933	TYPE_ACCELEROMETER_UNCALIBRATED	0.37265015	3.4127197	9.630127
1559368595973	TYPE_ACCELEROMETER	0.2745819	3.334259	9.296707
1559368595973	TYPE_MAGNETIC_FIELD	-4.56	-28.74	-17.88
1559368595973	TYPE_GYROSCOPE	-0.007612847	-0.04160018	-0.03628918
1559368595973	TYPE_ROTATION_VECTOR	0.004127688	-0.17715602	-0.9797313
1559368595973	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.42000008	-75.659996	-75.78
1559368595973	TYPE_ACCELEROMETER_UNCALIBRATED	0.39227295	3.334259	9.571289
1559368595992	TYPE_ACCELEROMETER	0.019607544	3.2950287	8.963272
1559368595992	TYPE_MAGNETIC_FIELD	-4.56	-28.74	-17.88
1559368595992	TYPE_GYROSCOPE	-0.0055339434	-0.029680228	-0.010937242
1559368595992	TYPE_ROTATION_VECTOR	0.004127688	-0.17715602	-0.9797313
1559368595992	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.42000008	-75.659996	-75.78
1559368595992	TYPE_ACCELEROMETER_UNCALIBRATED	0.019607544	3.2950287	8.963272
1559368596012	TYPE_ACCELEROMETER	-0.37265015	3.2558136	8.924057
1559368596012	TYPE_MAGNETIC_FIELD	-4.7999997	-28.439999	-17.88
1559368596012	TYPE_GYROSCOPE	-0.0034044078	-0.017869357	0.014172808
1559368596012	TYPE_ROTATION_VECTOR	0.0038511036	-0.17712907	-0.9797526
1559368596012	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.65999985	-75.36	-75.78
1559368596012	TYPE_ACCELEROMETER_UNCALIBRATED	-0.37265015	3.2558136	8.924057
1559368596032	TYPE_ACCELEROMETER	-0.58839417	3.2558136	9.296707
1559368596032	TYPE_MAGNETIC_FIELD	-5.04	-28.5	-17.82
1559368596032	TYPE_GYROSCOPE	-0.002258848	-0.009647481	0.02903659
1559368596032	TYPE_ROTATION_VECTOR	0.0036502401	-0.17711315	-0.97974616
1559368596032	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.9000001	-75.42	-75.72
1559368596032	TYPE_ACCELEROMETER_UNCALIBRATED	-0.58839417	3.2558136	9.296707
1559368596052	TYPE_ACCELEROMETER	-0.50994873	3.2361908	9.630127
