#	startTime:1559368712776
#	SiteID:5cd56b5ae2acfd2d33b58548	SiteName:乐坊精致生活广场	FloorId:5cd56b5ae2acfd2d33b5856d	FloorName:2F
#	Brand:vivo	Model:V1818A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LIS3DH Accelerometer	version:1	vendor:STMicroelectronics	resolution:0.019607544	power:0.185	maximumRange:39.22661
#	type:4	name:AK09918-pseudo-gyro	version:2	vendor:akm	resolution:0.1	power:1.0	maximumRange:2000.0
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559368712776	TYPE_WAYPOINT	59.383484	18.66822
1559368712897	TYPE_ACCELEROMETER	-0.11767578	1.9024963	9.767426
1559368712897	TYPE_MAGNETIC_FIELD	-29.4	-5.52	-32.7
1559368712897	TYPE_GYROSCOPE	0.018556539	0.10700269	0.1875804
1559368712897	TYPE_ROTATION_VECTOR	0.0700483	-0.067716405	-0.69492793
1559368712897	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-25.26	-52.44	-90.6
1559368712897	TYPE_ACCELEROMETER_UNCALIBRATED	-0.11767578	1.9024963	9.767426
1559368712917	TYPE_ACCELEROMETER	-0.019607544	1.9417114	10.277374
1559368712917	TYPE_MAGNETIC_FIELD	-29.4	-5.2799997	-32.64
1559368712917	TYPE_GYROSCOPE	0.016819457	0.111749075	0.2138294
1559368712917	TYPE_ROTATION_VECTOR	0.0700483	-0.067716405	-0.69492793
1559368712917	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-25.26	-52.199997	-90.53999
1559368712917	TYPE_ACCELEROMETER_UNCALIBRATED	-0.019607544	1.9417114	10.277374
1559368712937	TYPE_ACCELEROMETER	-0.09806824	1.9417114	10.179306
1559368712937	TYPE_MAGNETIC_FIELD	-29.699999	-4.92	-32.76
1559368712937	TYPE_GYROSCOPE	0.013622416	0.10659789	0.21502516
1559368712937	TYPE_ROTATION_VECTOR	0.0707903	-0.06719333	-0.69333297
1559368712937	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-25.56	-51.839996	-90.659996
1559368712937	TYPE_ACCELEROMETER_UNCALIBRATED	-0.09806824	1.9417114	10.179306
1559368712956	TYPE_ACCELEROMETER	-0.15690613	1.9809418	9.375153
1559368712956	TYPE_MAGNETIC_FIELD	-30.0	-4.62	-32.82
1559368712956	TYPE_GYROSCOPE	0.010934854	0.09380349	0.18563923
1559368712956	TYPE_ROTATION_VECTOR	0.07147332	-0.06668518	-0.6917315
1559368712956	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-25.86	-51.539997	-90.72
1559368712956	TYPE_ACCELEROMETER_UNCALIBRATED	-0.15690613	1.9809418	9.375153
1559368712976	TYPE_ACCELEROMETER	-0.21574402	2.137848	8.590622
1559368712976	TYPE_MAGNETIC_FIELD	-30.06	-4.56	-32.76
1559368712976	TYPE_GYROSCOPE	0.008713862	0.08380101	0.16384193
1559368712976	TYPE_ROTATION_VECTOR	0.072076485	-0.06622217	-0.6903274
1559368712976	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-25.92	-51.48	-90.659996
1559368712976	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21574402	2.137848	8.590622
1559368712996	TYPE_ACCELEROMETER	-0.19613647	2.2163086	8.64946
1559368712996	TYPE_MAGNETIC_FIELD	-30.06	-4.3199997	-32.52
1559368712996	TYPE_GYROSCOPE	0.007897234	0.075703874	0.1482328
1559368712996	TYPE_ROTATION_VECTOR	0.07260881	-0.065799564	-0.68908554
1559368712996	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-25.92	-51.239998	-90.42
1559368712996	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19613647	2.2163086	8.64946
1559368713016	TYPE_ACCELEROMETER	-0.039230347	2.2163086	9.159409
1559368713016	TYPE_MAGNETIC_FIELD	-30.0	-4.02	-32.28
1559368713016	TYPE_GYROSCOPE	0.008514645	0.06892065	0.13726747
1559368713016	TYPE_ROTATION_VECTOR	0.07308956	-0.06541796	-0.68796015
1559368713016	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-25.86	-50.94	-90.17999
1559368713016	TYPE_ACCELEROMETER_UNCALIBRATED	-0.039230347	2.2163086	9.159409
1559368713035	TYPE_ACCELEROMETER	0.0	2.1182404	9.492844
1559368713035	TYPE_MAGNETIC_FIELD	-30.0	-3.84	-32.16
1559368713035	TYPE_GYROSCOPE	0.009894708	0.061636765	0.122323744
1559368713035	TYPE_ROTATION_VECTOR	0.07353503	-0.06508118	-0.68691623
1559368713035	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-25.86	-50.76	-90.06
1559368713035	TYPE_ACCELEROMETER_UNCALIBRATED	0.0	2.1182404	9.492844
1559368713055	TYPE_ACCELEROMETER	-0.17651367	2.137848	9.532059
1559368713055	TYPE_MAGNETIC_FIELD	-30.06	-3.9599998	-31.679998
1559368713055	TYPE_GYROSCOPE	0.011570636	0.055234887	0.109287016
1559368713055	TYPE_ROTATION_VECTOR	0.07395	-0.06479522	-0.6859831
1559368713055	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-25.92	-50.879997	-89.579994
1559368713055	TYPE_ACCELEROMETER_UNCALIBRATED	-0.17651367	2.137848	9.532059
1559368713075	TYPE_ACCELEROMETER	-0.23536682	2.1770782	9.414383
1559368713075	TYPE_MAGNETIC_FIELD	-30.119999	-4.02	-31.74
1559368713075	TYPE_GYROSCOPE	0.013118111	0.050861556	0.10367275
1559368713075	TYPE_ROTATION_VECTOR	0.07434143	-0.06455713	-0.6851463
1559368713075	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-25.98	-50.94	-89.64
1559368713075	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23536682	2.1770782	9.414383
1559368713094	TYPE_ACCELEROMETER	-0.07846069	2.1966858	9.316315
1559368713094	TYPE_MAGNETIC_FIELD	-30.119999	-3.9599998	-31.679998
1559368713094	TYPE_GYROSCOPE	0.014682076	0.047680564	0.10188324
1559368713094	TYPE_ROTATION_VECTOR	0.07471761	-0.06435696	-0.6843512
1559368713094	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-25.98	-50.879997	-89.579994
1559368713094	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07846069	2.1966858	9.316315
1559368713114	TYPE_ACCELEROMETER	0.019607544	2.2555237	9.532059
1559368713114	TYPE_MAGNETIC_FIELD	-30.179998	-3.84	-31.619999
1559368713114	TYPE_GYROSCOPE	0.015987087	0.04507711	0.102023505
1559368713114	TYPE_ROTATION_VECTOR	0.07508436	-0.06418904	-0.6835696
1559368713114	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.039999	-50.76	-89.52
1559368713114	TYPE_ACCELEROMETER_UNCALIBRATED	0.019607544	2.2555237	9.532059
1559368713134	TYPE_ACCELEROMETER	0.039230347	2.2163086	9.963562
1559368713134	TYPE_MAGNETIC_FIELD	-30.179998	-3.54	-31.38
1559368713134	TYPE_GYROSCOPE	0.018669592	0.043063704	0.104681626
1559368713134	TYPE_ROTATION_VECTOR	0.07544259	-0.064048916	-0.6827875
1559368713134	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.039999	-50.46	-89.28
1559368713134	TYPE_ACCELEROMETER_UNCALIBRATED	0.039230347	2.2163086	9.963562
1559368713154	TYPE_ACCELEROMETER	-0.07846069	2.1574707	10.336212
1559368713154	TYPE_MAGNETIC_FIELD	-30.539999	-3.48	-31.5
1559368713154	TYPE_GYROSCOPE	0.021539308	0.041397136	0.10884837
1559368713154	TYPE_ROTATION_VECTOR	0.075804666	-0.06394358	-0.68198466
1559368713154	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.4	-50.399998	-89.399994
1559368713154	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07846069	2.1574707	10.336212
1559368713173	TYPE_ACCELEROMETER	-0.17651367	2.1574707	10.238144
1559368713173	TYPE_MAGNETIC_FIELD	-30.96	-3.36	-31.439999
1559368713173	TYPE_GYROSCOPE	0.0242798	0.039300196	0.11078413
1559368713173	TYPE_ROTATION_VECTOR	0.076173395	-0.063872956	-0.6811504
1559368713173	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.82	-50.28	-89.34
1559368713173	TYPE_ACCELEROMETER_UNCALIBRATED	-0.17651367	2.1574707	10.238144
1559368713193	TYPE_ACCELEROMETER	-0.039230347	2.2359161	9.787033
1559368713193	TYPE_MAGNETIC_FIELD	-31.26	-3.24	-31.199999
1559368713193	TYPE_GYROSCOPE	0.026684467	0.036213066	0.10810295
1559368713193	TYPE_ROTATION_VECTOR	0.076546386	-0.063837625	-0.6803009
1559368713193	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.12	-50.16	-89.1
1559368713193	TYPE_ACCELEROMETER_UNCALIBRATED	-0.039230347	2.2359161	9.787033
1559368713213	TYPE_ACCELEROMETER	0.039230347	2.3143768	9.492844
1559368713213	TYPE_MAGNETIC_FIELD	-31.56	-3.1799998	-31.199999
1559368713213	TYPE_GYROSCOPE	0.028662093	0.03355981	0.10790135
1559368713213	TYPE_ROTATION_VECTOR	0.07691743	-0.06383891	-0.6794706
1559368713213	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.42	-50.1	-89.1
1559368713213	TYPE_ACCELEROMETER_UNCALIBRATED	0.039230347	2.3143768	9.492844
1559368713232	TYPE_ACCELEROMETER	0.23536682	2.3732147	9.787033
1559368713232	TYPE_MAGNETIC_FIELD	-31.74	-2.8799999	-30.84
1559368713232	TYPE_GYROSCOPE	0.030367004	0.030435046	0.10551781
1559368713232	TYPE_ROTATION_VECTOR	0.07728487	-0.06387267	-0.6786419
1559368713232	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.6	-49.8	-88.74
1559368713232	TYPE_ACCELEROMETER_UNCALIBRATED	0.23536682	2.3732147	9.787033
1559368713252	TYPE_ACCELEROMETER	0.2942047	2.2751465	10.140076
1559368713252	TYPE_MAGNETIC_FIELD	-31.8	-2.9399998	-30.599998
1559368713252	TYPE_GYROSCOPE	0.031848397	0.026322816	0.09870807
1559368713252	TYPE_ROTATION_VECTOR	0.07764493	-0.06393883	-0.6778307
1559368713252	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.66	-49.859997	-88.5
1559368713252	TYPE_ACCELEROMETER_UNCALIBRATED	0.2942047	2.2751465	10.140076
1559368713272	TYPE_ACCELEROMETER	0.3334198	2.0397797	10.198914
1559368713272	TYPE_MAGNETIC_FIELD	-31.74	-3.12	-30.3
1559368713272	TYPE_GYROSCOPE	0.03272834	0.020883368	0.08646056
1559368713272	TYPE_ROTATION_VECTOR	0.07799215	-0.0640396	-0.6770706
1559368713272	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.6	-50.039997	-88.2
1559368713272	TYPE_ACCELEROMETER_UNCALIBRATED	0.3334198	2.0397797	10.198914
1559368713292	TYPE_ACCELEROMETER	0.2745819	1.6671295	10.238144
1559368713292	TYPE_MAGNETIC_FIELD	-32.16	-3.4199998	-30.06
1559368713292	TYPE_GYROSCOPE	0.03316419	0.015893685	0.07766198
1559368713292	TYPE_ROTATION_VECTOR	0.07831671	-0.06417636	-0.67640275
1559368713292	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.02	-50.339996	-87.96
1559368713292	TYPE_ACCELEROMETER_UNCALIBRATED	0.2745819	1.6671295	10.238144
1559368713311	TYPE_ACCELEROMETER	0.39227295	1.3533173	10.689255
1559368713311	TYPE_MAGNETIC_FIELD	-32.16	-3.36	-29.699999
1559368713311	TYPE_GYROSCOPE	0.033515036	0.012835908	0.072176956
1559368713311	TYPE_ROTATION_VECTOR	0.07861254	-0.06434342	-0.6758097
1559368713311	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.02	-50.28	-87.6
1559368713311	TYPE_ACCELEROMETER_UNCALIBRATED	0.39227295	1.3533173	10.689255
1559368713331	TYPE_ACCELEROMETER	0.45111084	1.255249	11.003067
1559368713331	TYPE_MAGNETIC_FIELD	-32.28	-3.36	-29.519999
1559368713331	TYPE_GYROSCOPE	0.03287148	0.008205795	0.067581445
1559368713331	TYPE_ROTATION_VECTOR	0.07914271	-0.064743206	-0.6747429
1559368713331	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.14	-50.28	-87.42
1559368713331	TYPE_ACCELEROMETER_UNCALIBRATED	0.45111084	1.255249	11.003067
1559368713351	TYPE_ACCELEROMETER	0.60801697	1.1768036	10.43428
1559368713351	TYPE_MAGNETIC_FIELD	-32.34	-3.4199998	-29.519999
1559368713351	TYPE_GYROSCOPE	0.031237897	4.9806054E-4	0.059762683
1559368713351	TYPE_ROTATION_VECTOR	0.07914271	-0.064743206	-0.6747429
1559368713351	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.2	-50.339996	-87.42
1559368713351	TYPE_ACCELEROMETER_UNCALIBRATED	0.60801697	1.1768036	10.43428
1559368713370	TYPE_ACCELEROMETER	0.7453003	1.0198975	9.747818
1559368713370	TYPE_MAGNETIC_FIELD	-32.399998	-3.78	-29.16
1559368713370	TYPE_GYROSCOPE	0.028462365	-0.0075527835	0.050183974
1559368713370	TYPE_ROTATION_VECTOR	0.07933327	-0.06499443	-0.67429096
1559368713370	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.259998	-50.699997	-87.06
1559368713370	TYPE_ACCELEROMETER_UNCALIBRATED	0.7453003	1.0198975	9.747818
1559368713390	TYPE_ACCELEROMETER	0.7060852	0.7060852	10.06163
1559368713390	TYPE_MAGNETIC_FIELD	-32.399998	-3.78	-29.16
1559368713390	TYPE_GYROSCOPE	0.024824481	-0.015273048	0.0409602
1559368713390	TYPE_ROTATION_VECTOR	0.07945785	-0.0652814	-0.67391133
1559368713390	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.259998	-50.699997	-87.06
1559368713390	TYPE_ACCELEROMETER_UNCALIBRATED	0.7060852	0.7060852	10.06163
1559368713410	TYPE_ACCELEROMETER	0.47071838	0.5687866	10.865768
1559368713410	TYPE_MAGNETIC_FIELD	-32.219997	-3.8999999	-28.98
1559368713410	TYPE_GYROSCOPE	0.01999521	-0.02311844	0.029826881
1559368713410	TYPE_ROTATION_VECTOR	0.07950979	-0.065592974	-0.6736076
1559368713410	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.079998	-50.82	-86.88
1559368713410	TYPE_ACCELEROMETER_UNCALIBRATED	0.47071838	0.5687866	10.865768
1559368713430	TYPE_ACCELEROMETER	0.50994873	0.60801697	11.454163
1559368713430	TYPE_MAGNETIC_FIELD	-32.399998	-4.14	-28.92
1559368713430	TYPE_GYROSCOPE	0.014370367	-0.03083426	0.018886678
1559368713430	TYPE_ROTATION_VECTOR	0.07948081	-0.065920554	-0.6733945
1559368713430	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.259998	-51.059998	-86.82
1559368713430	TYPE_ACCELEROMETER_UNCALIBRATED	0.50994873	0.60801697	11.454163
1559368713449	TYPE_ACCELEROMETER	0.7060852	0.86299133	10.610794
1559368713449	TYPE_MAGNETIC_FIELD	-32.46	-4.2	-28.98
1559368713449	TYPE_GYROSCOPE	0.009132976	-0.037802693	0.011255298
1559368713449	TYPE_ROTATION_VECTOR	0.079365924	-0.06625805	-0.67327124
1559368713449	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.32	-51.12	-86.88
1559368713449	TYPE_ACCELEROMETER_UNCALIBRATED	0.7060852	0.86299133	10.610794
1559368713469	TYPE_ACCELEROMETER	0.60801697	1.1375732	8.786758
1559368713469	TYPE_MAGNETIC_FIELD	-32.579998	-4.3199997	-29.16
1559368713469	TYPE_GYROSCOPE	0.003314241	-0.045613162	0.0025600712
1559368713469	TYPE_ROTATION_VECTOR	0.079170816	-0.06660523	-0.6732127
1559368713469	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.439999	-51.239998	-87.06
1559368713469	TYPE_ACCELEROMETER_UNCALIBRATED	0.60801697	1.1375732	8.786758
1559368713489	TYPE_ACCELEROMETER	0.37265015	1.3925476	7.5903473
1559368713489	TYPE_MAGNETIC_FIELD	-32.52	-4.74	-28.98
1559368713489	TYPE_GYROSCOPE	-0.006695184	-0.05449789	-0.014066937
1559368713489	TYPE_ROTATION_VECTOR	0.0788863	-0.06696354	-0.67322785
1559368713489	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.380001	-51.659996	-86.88
1559368713489	TYPE_ACCELEROMETER_UNCALIBRATED	0.37265015	1.3925476	7.5903473
1559368713508	TYPE_ACCELEROMETER	0.19613647	1.470993	8.002228
1559368713508	TYPE_MAGNETIC_FIELD	-32.34	-4.98	-29.22
1559368713508	TYPE_GYROSCOPE	-0.02037892	-0.06303528	-0.032269716
1559368713508	TYPE_ROTATION_VECTOR	0.077927835	-0.06760523	-0.6736774
1559368713508	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.380001	-51.96	-86.82
1559368713508	TYPE_ACCELEROMETER_UNCALIBRATED	0.19613647	1.470993	8.002228
1559368713528	TYPE_ACCELEROMETER	0.3530426	1.5298309	9.080963
1559368713528	TYPE_MAGNETIC_FIELD	-32.34	-4.98	-29.22
1559368713528	TYPE_GYROSCOPE	-0.03700994	-0.07268267	-0.056467198
1559368713528	TYPE_ROTATION_VECTOR	0.077927835	-0.06760523	-0.6736774
1559368713528	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.2	-51.899998	-87.119995
1559368713528	TYPE_ACCELEROMETER_UNCALIBRATED	0.3530426	1.5298309	9.080963
1559368713548	TYPE_ACCELEROMETER	0.39227295	1.6082916	9.728195
1559368713548	TYPE_MAGNETIC_FIELD	-32.1	-5.1	-29.4
1559368713548	TYPE_GYROSCOPE	-0.054900292	-0.0838483	-0.0876521
1559368713548	TYPE_ROTATION_VECTOR	0.07720549	-0.06784375	-0.67417186
1559368713548	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.96	-52.019997	-87.299995
1559368713548	TYPE_ACCELEROMETER_UNCALIBRATED	0.39227295	1.6082916	9.728195
1559368713568	TYPE_ACCELEROMETER	0.49032593	1.647522	9.688965
1559368713568	TYPE_MAGNETIC_FIELD	-32.219997	-5.3399997	-29.4
1559368713568	TYPE_GYROSCOPE	-0.07204228	-0.09364771	-0.11202027
1559368713568	TYPE_ROTATION_VECTOR	0.07629807	-0.06801915	-0.6749144
1559368713568	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.079998	-52.26	-87.299995
1559368713568	TYPE_ACCELEROMETER_UNCALIBRATED	0.49032593	1.647522	9.688965
1559368713587	TYPE_ACCELEROMETER	0.49032593	1.8044281	9.002502
1559368713587	TYPE_MAGNETIC_FIELD	-32.16	-5.04	-29.4
