#	startTime:1559369052860
#	SiteID:5cd56b5ae2acfd2d33b58548	SiteName:乐坊精致生活广场	FloorId:5cd56b5ae2acfd2d33b5856d	FloorName:2F
#	Brand:vivo	Model:V1818A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LIS3DH Accelerometer	version:1	vendor:STMicroelectronics	resolution:0.019607544	power:0.185	maximumRange:39.22661
#	type:4	name:AK09918-pseudo-gyro	version:2	vendor:akm	resolution:0.1	power:1.0	maximumRange:2000.0
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559369052861	TYPE_WAYPOINT	69.23072	31.615612
1559369052989	TYPE_ACCELEROMETER	-0.07846069	1.8828735	9.5516815
1559369052989	TYPE_MAGNETIC_FIELD	28.38	-7.02	-30.9
1559369052989	TYPE_GYROSCOPE	-0.009774073	-0.028225191	0.06423863
1559369052989	TYPE_ROTATION_VECTOR	0.042098068	0.08898148	0.7143031
1559369052989	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.64	-53.879997	-88.92
1559369052989	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07846069	1.8828735	9.5516815
1559369053009	TYPE_ACCELEROMETER	0.019607544	1.7848053	9.06134
1559369053009	TYPE_MAGNETIC_FIELD	28.38	-7.02	-30.9
1559369053009	TYPE_GYROSCOPE	-0.007444087	-0.050641045	0.049703043
1559369053009	TYPE_ROTATION_VECTOR	0.042098068	0.08898148	0.7143031
1559369053009	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.7	-53.76	-88.74
1559369053009	TYPE_ACCELEROMETER_UNCALIBRATED	0.019607544	1.7848053	9.06134
1559369053029	TYPE_ACCELEROMETER	0.0	1.8240356	8.786758
1559369053029	TYPE_MAGNETIC_FIELD	28.56	-6.8399997	-30.84
1559369053029	TYPE_GYROSCOPE	-0.0042213947	-0.06728131	0.040674485
1559369053029	TYPE_ROTATION_VECTOR	0.042452432	0.08855647	0.7146326
1559369053029	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.7	-53.76	-88.74
1559369053029	TYPE_ACCELEROMETER_UNCALIBRATED	0.0	1.8240356	8.786758
1559369053068	TYPE_ACCELEROMETER	0.0	1.647522	9.002502
1559369053068	TYPE_MAGNETIC_FIELD	28.56	-6.72	-30.66
1559369053068	TYPE_GYROSCOPE	4.9432344E-4	-0.07961551	0.029351976
1559369053068	TYPE_ROTATION_VECTOR	0.042940013	0.08804304	0.71488917
