#	startTime:1559369473899
#	SiteID:5cd56b5ae2acfd2d33b58548	SiteName:乐坊精致生活广场	FloorId:5cd56b5ae2acfd2d33b5856d	FloorName:2F
#	Brand:vivo	Model:V1818A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LIS3DH Accelerometer	version:1	vendor:STMicroelectronics	resolution:0.019607544	power:0.185	maximumRange:39.22661
#	type:4	name:AK09918-pseudo-gyro	version:2	vendor:akm	resolution:0.1	power:1.0	maximumRange:2000.0
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559369473899	TYPE_WAYPOINT	86.31618	18.330933
1559369474029	TYPE_ACCELEROMETER	0.09806824	2.1182404	9.630127
1559369474029	TYPE_MAGNETIC_FIELD	-23.1	11.16	-32.399998
1559369474029	TYPE_GYROSCOPE	0.026600065	0.014495374	-0.03453028
1559369474029	TYPE_ROTATION_VECTOR	0.08420325	-0.05230419	-0.43636012
1559369474029	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.34	-34.32	-92.28
1559369474029	TYPE_ACCELEROMETER_UNCALIBRATED	0.09806824	2.1182404	9.630127
1559369474049	TYPE_ACCELEROMETER	0.019607544	2.0397797	9.865494
1559369474049	TYPE_MAGNETIC_FIELD	-23.1	11.219999	-32.219997
1559369474049	TYPE_GYROSCOPE	0.032046057	0.01930651	-0.03267967
1559369474049	TYPE_ROTATION_VECTOR	0.08452245	-0.052261557	-0.43664277
1559369474049	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.279999	-34.260002	-92.28
1559369474049	TYPE_ACCELEROMETER_UNCALIBRATED	0.019607544	2.0397797	9.865494
1559369474069	TYPE_ACCELEROMETER	-0.019607544	2.0594025	9.865494
1559369474069	TYPE_MAGNETIC_FIELD	-23.16	11.219999	-31.98
1559369474069	TYPE_GYROSCOPE	0.034712832	0.022512926	-0.035278987
1559369474069	TYPE_ROTATION_VECTOR	0.08491033	-0.05220122	-0.43690178
1559369474069	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.34	-34.260002	-92.09999
1559369474069	TYPE_ACCELEROMETER_UNCALIBRATED	-0.019607544	2.0594025	9.865494
1559369474088	TYPE_ACCELEROMETER	-0.07846069	1.9809418	9.610519
1559369474088	TYPE_MAGNETIC_FIELD	-23.16	11.219999	-31.98
1559369474088	TYPE_GYROSCOPE	0.034760397	0.024597436	-0.03927417
1559369474088	TYPE_ROTATION_VECTOR	0.08533741	-0.052121658	-0.4371799
1559369474088	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.4	-34.260002	-91.86
1559369474088	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07846069	1.9809418	9.610519
1559369474108	TYPE_ACCELEROMETER	-0.019607544	1.9613342	9.590912
1559369474108	TYPE_MAGNETIC_FIELD	-23.16	11.16	-31.859999
1559369474108	TYPE_GYROSCOPE	0.033644836	0.026049381	-0.044142663
1559369474108	TYPE_ROTATION_VECTOR	0.0857761	-0.052020248	-0.43749174
1559369474108	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.4	-34.32	-91.74
1559369474108	TYPE_ACCELEROMETER_UNCALIBRATED	-0.019607544	1.9613342	9.590912
1559369474128	TYPE_ACCELEROMETER	0.039230347	1.9024963	9.747818
1559369474128	TYPE_MAGNETIC_FIELD	-23.34	11.04	-31.619999
1559369474128	TYPE_GYROSCOPE	0.030871425	0.02560665	-0.05047461
1559369474128	TYPE_ROTATION_VECTOR	0.08661712	-0.051762927	-0.4382494
1559369474128	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.4	-34.44	-91.56
1559369474128	TYPE_ACCELEROMETER_UNCALIBRATED	0.039230347	1.9024963	9.747818
1559369474148	TYPE_ACCELEROMETER	0.07846069	1.9024963	9.963562
1559369474148	TYPE_MAGNETIC_FIELD	-23.34	11.04	-31.619999
1559369474148	TYPE_GYROSCOPE	0.027275162	0.023356514	-0.060359415
1559369474148	TYPE_ROTATION_VECTOR	0.08661712	-0.051762927	-0.4382494
1559369474148	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.58	-34.44	-91.5
1559369474148	TYPE_ACCELEROMETER_UNCALIBRATED	0.07846069	1.9024963	9.963562
1559369474167	TYPE_ACCELEROMETER	0.17651367	1.8436432	9.669357
1559369474167	TYPE_MAGNETIC_FIELD	-23.699999	11.04	-31.679998
1559369474167	TYPE_GYROSCOPE	0.023113307	0.022005359	-0.061529636
1559369474167	TYPE_ROTATION_VECTOR	0.08698958	-0.051623315	-0.43874773
1559369474167	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.939999	-34.44	-91.56
1559369474167	TYPE_ACCELEROMETER_UNCALIBRATED	0.17651367	1.8436432	9.669357
1559369474187	TYPE_ACCELEROMETER	-0.09806824	1.6867371	9.845871
1559369474187	TYPE_MAGNETIC_FIELD	-23.58	11.04	-31.679998
1559369474187	TYPE_GYROSCOPE	0.018720964	0.020291835	-0.06113907
1559369474187	TYPE_ROTATION_VECTOR	0.0873201	-0.051476575	-0.4392595
1559369474187	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.939999	-34.559998	-91.38
1559369474187	TYPE_ACCELEROMETER_UNCALIBRATED	-0.09806824	1.6867371	9.845871
1559369474207	TYPE_ACCELEROMETER	-0.39227295	1.6671295	10.100845
1559369474207	TYPE_MAGNETIC_FIELD	-23.699999	10.92	-31.5
1559369474207	TYPE_GYROSCOPE	0.015117469	0.0185307	-0.06286602
1559369474207	TYPE_ROTATION_VECTOR	0.08760776	-0.051324267	-0.4397778
1559369474207	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.939999	-34.559998	-91.38
1559369474207	TYPE_ACCELEROMETER_UNCALIBRATED	-0.39227295	1.6671295	10.100845
1559369474226	TYPE_ACCELEROMETER	-0.2942047	1.6278992	9.98317
1559369474226	TYPE_MAGNETIC_FIELD	-23.699999	10.86	-31.619999
1559369474226	TYPE_GYROSCOPE	0.012347693	0.016855342	-0.06599789
1559369474226	TYPE_ROTATION_VECTOR	0.08785642	-0.051170312	-0.44031462
1559369474226	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.939999	-34.62	-91.5
1559369474226	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2942047	1.6278992	9.98317
1559369474246	TYPE_ACCELEROMETER	0.21574402	1.6867371	9.826263
1559369474246	TYPE_MAGNETIC_FIELD	-23.76	10.86	-31.74
1559369474246	TYPE_GYROSCOPE	0.008645797	0.015172699	-0.0682219
1559369474246	TYPE_ROTATION_VECTOR	0.08807453	-0.05101632	-0.4408822
1559369474246	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.0	-34.62	-91.619995
1559369474246	TYPE_ACCELEROMETER_UNCALIBRATED	0.21574402	1.6867371	9.826263
1559369474266	TYPE_ACCELEROMETER	0.78453064	1.647522	9.885101
1559369474266	TYPE_MAGNETIC_FIELD	-24.0	10.98	-31.679998
1559369474266	TYPE_GYROSCOPE	0.0037208896	0.0133863585	-0.06963905
1559369474266	TYPE_ROTATION_VECTOR	0.08825331	-0.050859023	-0.44147268
1559369474266	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.24	-34.5	-91.56
1559369474266	TYPE_ACCELEROMETER_UNCALIBRATED	0.78453064	1.647522	9.885101
1559369474286	TYPE_ACCELEROMETER	1.0198975	1.5886841	10.081238
1559369474286	TYPE_MAGNETIC_FIELD	-24.0	10.98	-31.679998
1559369474286	TYPE_GYROSCOPE	-0.0020876117	0.011263713	-0.07037851
1559369474286	TYPE_ROTATION_VECTOR	0.088380985	-0.050694644	-0.4420797
1559369474286	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.24	-34.5	-91.56
1559369474286	TYPE_ACCELEROMETER_UNCALIBRATED	1.0198975	1.5886841	10.081238
1559369474305	TYPE_ACCELEROMETER	0.9022064	1.6082916	10.218536
1559369474305	TYPE_MAGNETIC_FIELD	-23.939999	10.92	-31.619999
1559369474305	TYPE_GYROSCOPE	-0.008174235	0.00858458	-0.07128075
1559369474305	TYPE_ROTATION_VECTOR	0.08844785	-0.05052283	-0.4426979
1559369474305	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.179998	-34.559998	-91.5
1559369474305	TYPE_ACCELEROMETER_UNCALIBRATED	0.9022064	1.6082916	10.218536
1559369474325	TYPE_ACCELEROMETER	0.66685486	1.6867371	10.0224
1559369474325	TYPE_MAGNETIC_FIELD	-23.76	10.92	-31.32
1559369474325	TYPE_GYROSCOPE	-0.014021642	0.0046566706	-0.07706489
1559369474325	TYPE_ROTATION_VECTOR	0.088449016	-0.05034711	-0.44332933
1559369474325	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.0	-34.559998	-91.2
1559369474325	TYPE_ACCELEROMETER_UNCALIBRATED	0.66685486	1.6867371	10.0224
1559369474345	TYPE_ACCELEROMETER	0.64723206	1.9417114	9.512451
1559369474345	TYPE_MAGNETIC_FIELD	-24.06	10.8	-31.439999
1559369474345	TYPE_GYROSCOPE	-0.018836029	0.0016668977	-0.07899876
1559369474345	TYPE_ROTATION_VECTOR	0.08826288	-0.05000698	-0.4447295
1559369474345	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.3	-34.68	-91.2
1559369474345	TYPE_ACCELEROMETER_UNCALIBRATED	0.64723206	1.9417114	9.512451
1559369474365	TYPE_ACCELEROMETER	0.4118805	2.0594025	9.080963
1559369474365	TYPE_MAGNETIC_FIELD	-24.06	10.8	-31.439999
1559369474365	TYPE_GYROSCOPE	-0.022246042	-7.9274474E-4	-0.082210384
1559369474365	TYPE_ROTATION_VECTOR	0.08826288	-0.05000698	-0.4447295
1559369474365	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.3	-34.68	-91.31999
1559369474365	TYPE_ACCELEROMETER_UNCALIBRATED	0.4118805	2.0594025	9.080963
1559369474384	TYPE_ACCELEROMETER	0.25497437	2.1770782	8.884827
1559369474384	TYPE_MAGNETIC_FIELD	-24.119999	10.62	-31.439999
1559369474384	TYPE_GYROSCOPE	-0.024355594	-0.004040258	-0.08328637
1559369474384	TYPE_ROTATION_VECTOR	0.08810246	-0.049842533	-0.44547284
1559369474384	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.359999	-34.86	-91.31999
1559369474384	TYPE_ACCELEROMETER_UNCALIBRATED	0.25497437	2.1770782	8.884827
1559369474404	TYPE_ACCELEROMETER	0.11767578	2.07901	9.139801
1559369474404	TYPE_MAGNETIC_FIELD	-23.82	10.32	-31.38
1559369474404	TYPE_GYROSCOPE	-0.025412265	-0.009145929	-0.084030345
1559369474404	TYPE_ROTATION_VECTOR	0.08790929	-0.04969659	-0.4462292
1559369474404	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.06	-35.16	-91.259995
1559369474404	TYPE_ACCELEROMETER_UNCALIBRATED	0.11767578	2.07901	9.139801
1559369474424	TYPE_ACCELEROMETER	0.019607544	1.9024963	9.532059
1559369474424	TYPE_MAGNETIC_FIELD	-23.76	10.08	-31.32
1559369474424	TYPE_GYROSCOPE	-0.025859544	-0.014779016	-0.08083209
1559369474424	TYPE_ROTATION_VECTOR	0.08768425	-0.049590636	-0.4469969
1559369474424	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.0	-35.4	-91.2
1559369474424	TYPE_ACCELEROMETER_UNCALIBRATED	0.019607544	1.9024963	9.532059
1559369474443	TYPE_ACCELEROMETER	0.019607544	1.7848053	9.943939
1559369474443	TYPE_MAGNETIC_FIELD	-23.519999	10.0199995	-31.439999
1559369474443	TYPE_GYROSCOPE	-0.02613542	-0.018501868	-0.07291561
1559369474443	TYPE_ROTATION_VECTOR	0.087149434	-0.049519118	-0.44841793
1559369474443	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.759998	-35.46	-91.31999
1559369474443	TYPE_ACCELEROMETER_UNCALIBRATED	0.019607544	1.7848053	9.943939
1559369474463	TYPE_ACCELEROMETER	0.17651367	1.7063599	10.100845
1559369474463	TYPE_MAGNETIC_FIELD	-23.519999	10.139999	-31.5
1559369474463	TYPE_GYROSCOPE	-0.027005307	-0.021191811	-0.06529642
1559369474463	TYPE_ROTATION_VECTOR	0.087149434	-0.049519118	-0.44841793
1559369474463	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.759998	-35.34	-91.38
1559369474463	TYPE_ACCELEROMETER_UNCALIBRATED	0.17651367	1.7063599	10.100845
1559369474483	TYPE_ACCELEROMETER	0.3530426	1.7455902	9.943939
1559369474483	TYPE_MAGNETIC_FIELD	-23.34	10.139999	-31.859999
1559369474483	TYPE_GYROSCOPE	-0.028753055	-0.023338778	-0.057043448
1559369474483	TYPE_ROTATION_VECTOR	0.08651499	-0.04955788	-0.44957045
1559369474483	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.58	-35.34	-91.74
1559369474483	TYPE_ACCELEROMETER_UNCALIBRATED	0.3530426	1.7455902	9.943939
1559369474503	TYPE_ACCELEROMETER	0.49032593	1.863266	9.512451
1559369474503	TYPE_MAGNETIC_FIELD	-23.22	10.32	-31.74
1559369474503	TYPE_GYROSCOPE	-0.03126798	-0.027041191	-0.057063445
1559369474503	TYPE_ROTATION_VECTOR	0.08651499	-0.04955788	-0.44957045
1559369474503	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.46	-35.16	-91.619995
1559369474503	TYPE_ACCELEROMETER_UNCALIBRATED	0.49032593	1.863266	9.512451
1559369474522	TYPE_ACCELEROMETER	0.6276245	1.9809418	9.218246
1559369474522	TYPE_MAGNETIC_FIELD	-23.22	10.2	-31.679998
1559369474522	TYPE_GYROSCOPE	-0.033823136	-0.031818356	-0.059813578
1559369474522	TYPE_ROTATION_VECTOR	0.08614411	-0.049607955	-0.45011574
1559369474522	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.46	-35.28	-91.56
1559369474522	TYPE_ACCELEROMETER_UNCALIBRATED	0.6276245	1.9809418	9.218246
1559369474542	TYPE_ACCELEROMETER	0.7649231	2.0005493	9.179031
1559369474542	TYPE_MAGNETIC_FIELD	-23.279999	10.32	-31.619999
1559369474542	TYPE_GYROSCOPE	-0.036025908	-0.03659986	-0.05872258
