#	startTime:1559369557756
#	SiteID:5cd56b5ae2acfd2d33b58548	SiteName:乐坊精致生活广场	FloorId:5cd56b5ae2acfd2d33b5856d	FloorName:2F
#	Brand:vivo	Model:V1818A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LIS3DH Accelerometer	version:1	vendor:STMicroelectronics	resolution:0.019607544	power:0.185	maximumRange:39.22661
#	type:4	name:AK09918-pseudo-gyro	version:2	vendor:akm	resolution:0.1	power:1.0	maximumRange:2000.0
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559369557757	TYPE_WAYPOINT	90.96242	35.312286
1559369557897	TYPE_ACCELEROMETER	0.15690613	1.8044281	9.826263
1559369557897	TYPE_MAGNETIC_FIELD	-29.82	-1.5	-25.26
1559369557897	TYPE_GYROSCOPE	-0.01583287	-0.033479534	-0.096765816
1559369557897	TYPE_ROTATION_VECTOR	0.065896414	-0.055458844	-0.6699448
1559369557897	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.179998	-46.98	-84.899994
1559369557897	TYPE_ACCELEROMETER_UNCALIBRATED	0.15690613	1.8044281	9.826263
1559369557917	TYPE_ACCELEROMETER	0.17651367	1.8828735	9.708588
1559369557917	TYPE_MAGNETIC_FIELD	-29.939999	-1.5	-25.019999
1559369557917	TYPE_GYROSCOPE	-0.017295772	-0.033196457	-0.05652772
1559369557917	TYPE_ROTATION_VECTOR	0.0655818	-0.05554937	-0.67038745
1559369557917	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.119999	-46.92	-84.899994
1559369557917	TYPE_ACCELEROMETER_UNCALIBRATED	0.17651367	1.8828735	9.708588
1559369557937	TYPE_ACCELEROMETER	0.25497437	1.9417114	9.453613
1559369557937	TYPE_MAGNETIC_FIELD	-29.88	-1.38	-24.779999
1559369557937	TYPE_GYROSCOPE	-0.013682115	-0.034487214	-0.023032295
1559369557937	TYPE_ROTATION_VECTOR	0.065266535	-0.055694874	-0.67058486
1559369557937	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.119999	-46.86	-84.659996
1559369557937	TYPE_ACCELEROMETER_UNCALIBRATED	0.25497437	1.9417114	9.453613
1559369557956	TYPE_ACCELEROMETER	0.25497437	2.07901	9.473221
1559369557956	TYPE_MAGNETIC_FIELD	-29.939999	-1.14	-24.66
1559369557956	TYPE_GYROSCOPE	-0.006322605	-0.033110917	0.022264075
1559369557956	TYPE_ROTATION_VECTOR	0.065266535	-0.055694874	-0.67058486
1559369557956	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.179998	-46.62	-84.53999
1559369557956	TYPE_ACCELEROMETER_UNCALIBRATED	0.25497437	2.07901	9.473221
1559369557976	TYPE_ACCELEROMETER	0.4118805	2.07901	9.512451
1559369557976	TYPE_MAGNETIC_FIELD	-29.939999	-1.14	-24.66
1559369557976	TYPE_GYROSCOPE	0.0034407424	-0.031683244	0.06019678
1559369557976	TYPE_ROTATION_VECTOR	0.064989015	-0.055908274	-0.6704475
1559369557976	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.359999	-46.38	-84.119995
1559369557976	TYPE_ACCELEROMETER_UNCALIBRATED	0.4118805	2.07901	9.512451
1559369557996	TYPE_ACCELEROMETER	0.39227295	2.137848	9.590912
1559369557996	TYPE_MAGNETIC_FIELD	-30.119999	-0.9	-24.24
1559369557996	TYPE_GYROSCOPE	0.013673767	-0.030250732	0.08894052
1559369557996	TYPE_ROTATION_VECTOR	0.06477105	-0.05620026	-0.6700278
1559369557996	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.359999	-46.38	-84.119995
1559369557996	TYPE_ACCELEROMETER_UNCALIBRATED	0.39227295	2.137848	9.590912
1559369558016	TYPE_ACCELEROMETER	0.39227295	2.2359161	9.630127
1559369558016	TYPE_MAGNETIC_FIELD	-30.24	-0.65999997	-24.0
1559369558016	TYPE_GYROSCOPE	0.023678891	-0.030071499	0.112386204
1559369558016	TYPE_ROTATION_VECTOR	0.06453013	-0.05701985	-0.6685701
1559369558016	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.48	-45.72	-83.81999
1559369558016	TYPE_ACCELEROMETER_UNCALIBRATED	0.39227295	2.2359161	9.630127
1559369558035	TYPE_ACCELEROMETER	0.3334198	2.3143768	9.885101
1559369558035	TYPE_MAGNETIC_FIELD	-30.24	-0.24	-23.939999
1559369558035	TYPE_GYROSCOPE	0.033880923	-0.030036476	0.12881613
