#	startTime:1559371051317
#	SiteID:5cd56b5ae2acfd2d33b58548	SiteName:乐坊精致生活广场	FloorId:5cd56b5be2acfd2d33b58587	FloorName:3F
#	Brand:vivo	Model:V1818A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LIS3DH Accelerometer	version:1	vendor:STMicroelectronics	resolution:0.019607544	power:0.185	maximumRange:39.22661
#	type:4	name:AK09918-pseudo-gyro	version:2	vendor:akm	resolution:0.1	power:1.0	maximumRange:2000.0
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559371051317	TYPE_WAYPOINT	16.459135	14.298304
1559371051438	TYPE_ACCELEROMETER	-0.21574402	2.471283	9.826263
1559371051438	TYPE_MAGNETIC_FIELD	-12.719999	9.84	-30.48
1559371051438	TYPE_GYROSCOPE	0.004806515	0.0017785362	0.13545649
1559371051438	TYPE_ROTATION_VECTOR	0.11968065	-0.016710678	-0.34901398
1559371051438	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-9.959999	-35.64	-90.36
1559371051438	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21574402	2.471283	9.826263
1559371051458	TYPE_ACCELEROMETER	-0.23536682	2.471283	9.885101
1559371051458	TYPE_MAGNETIC_FIELD	-12.719999	9.54	-30.3
1559371051458	TYPE_GYROSCOPE	0.0068981852	-0.008109316	0.135924
1559371051458	TYPE_ROTATION_VECTOR	0.11968065	-0.016710678	-0.34901398
1559371051458	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-9.959999	-35.94	-90.17999
1559371051458	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23536682	2.471283	9.885101
1559371051478	TYPE_ACCELEROMETER	-0.3530426	2.510498	9.787033
1559371051478	TYPE_MAGNETIC_FIELD	-12.96	9.54	-30.0
1559371051478	TYPE_GYROSCOPE	0.009411015	-0.016905947	0.12820068
1559371051478	TYPE_ROTATION_VECTOR	0.11970019	-0.01730855	-0.34661576
1559371051478	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.2	-35.94	-89.88
1559371051478	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3530426	2.510498	9.787033
1559371051497	TYPE_ACCELEROMETER	-0.43148804	2.5889587	9.414383
1559371051497	TYPE_MAGNETIC_FIELD	-13.08	9.42	-29.699999
1559371051497	TYPE_GYROSCOPE	0.013591654	-0.025017237	0.1077787
1559371051497	TYPE_ROTATION_VECTOR	0.11970019	-0.01730855	-0.34661576
1559371051497	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.32	-36.059998	-89.579994
1559371051497	TYPE_ACCELEROMETER_UNCALIBRATED	-0.43148804	2.5889587	9.414383
1559371051517	TYPE_ACCELEROMETER	-0.3530426	2.6674042	9.06134
1559371051517	TYPE_MAGNETIC_FIELD	-13.08	9.36	-29.46
1559371051517	TYPE_GYROSCOPE	0.018814655	-0.031463783	0.08135989
1559371051517	TYPE_ROTATION_VECTOR	0.119720936	-0.017712262	-0.34565288
1559371051517	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.32	-36.059998	-89.579994
1559371051517	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3530426	2.6674042	9.06134
1559371051537	TYPE_ACCELEROMETER	-0.2942047	2.5889587	8.571014
1559371051537	TYPE_MAGNETIC_FIELD	-13.139999	9.36	-29.34
1559371051537	TYPE_GYROSCOPE	0.025081284	-0.037368547	0.056789897
1559371051537	TYPE_ROTATION_VECTOR	0.11986584	-0.018663544	-0.3444476
1559371051537	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.32	-36.12	-89.34
1559371051537	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2942047	2.5889587	8.571014
1559371051557	TYPE_ACCELEROMETER	-0.23536682	2.5497284	8.492554
1559371051557	TYPE_MAGNETIC_FIELD	-13.139999	9.36	-29.34
1559371051557	TYPE_GYROSCOPE	0.030765316	-0.041912716	0.03230662
1559371051557	TYPE_ROTATION_VECTOR	0.11986584	-0.018663544	-0.3444476
1559371051557	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.379999	-36.12	-89.22
1559371051557	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23536682	2.5497284	8.492554
1559371051576	TYPE_ACCELEROMETER	-0.15690613	2.471283	9.532059
1559371051576	TYPE_MAGNETIC_FIELD	-13.62	9.42	-29.039999
1559371051576	TYPE_GYROSCOPE	0.0350126	-0.046456717	0.00714501
1559371051576	TYPE_ROTATION_VECTOR	0.12016275	-0.019746311	-0.34417722
1559371051576	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.679999	-36.059998	-89.03999
1559371051576	TYPE_ACCELEROMETER_UNCALIBRATED	-0.15690613	2.471283	9.532059
1559371051596	TYPE_ACCELEROMETER	-0.019607544	2.2359161	10.493118
1559371051596	TYPE_MAGNETIC_FIELD	-13.62	9.42	-29.039999
1559371051596	TYPE_GYROSCOPE	0.0350126	-0.046456717	0.00714501
1559371051596	TYPE_ROTATION_VECTOR	0.12016275	-0.019746311	-0.34417722
1559371051596	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.86	-36.059998	-88.92
1559371051596	TYPE_ACCELEROMETER_UNCALIBRATED	-0.019607544	2.2359161	10.493118
1559371051616	TYPE_ACCELEROMETER	0.09806824	2.1182404	10.120468
1559371051616	TYPE_MAGNETIC_FIELD	-13.92	9.42	-28.8
1559371051616	TYPE_GYROSCOPE	0.036183324	-0.052208934	-0.029098008
1559371051616	TYPE_ROTATION_VECTOR	0.120497644	-0.020888938	-0.3446652
1559371051616	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.16	-36.059998	-88.67999
1559371051616	TYPE_ACCELEROMETER_UNCALIBRATED	0.09806824	2.1182404	10.120468
1559371051635	TYPE_ACCELEROMETER	0.13729858	2.3732147	9.610519
1559371051635	TYPE_MAGNETIC_FIELD	-13.74	9.36	-29.099998
1559371051635	TYPE_GYROSCOPE	0.035345234	-0.054041788	-0.03632023
1559371051635	TYPE_ROTATION_VECTOR	0.120646045	-0.0214627	-0.345056
1559371051635	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.98	-36.12	-88.979996
1559371051635	TYPE_ACCELEROMETER_UNCALIBRATED	0.13729858	2.3732147	9.610519
1559371051655	TYPE_ACCELEROMETER	0.19613647	2.5301208	9.5516815
1559371051655	TYPE_MAGNETIC_FIELD	-13.98	9.36	-28.859999
1559371051655	TYPE_GYROSCOPE	0.034244742	-0.05812408	-0.052062407
1559371051655	TYPE_ROTATION_VECTOR	0.120773636	-0.022051465	-0.34559625
1559371051655	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.219999	-36.12	-88.74
1559371051655	TYPE_ACCELEROMETER_UNCALIBRATED	0.19613647	2.5301208	9.5516815
1559371051675	TYPE_ACCELEROMETER	0.13729858	2.6477966	9.218246
1559371051675	TYPE_MAGNETIC_FIELD	-14.099999	9.24	-28.8
1559371051675	TYPE_GYROSCOPE	0.032988053	-0.061246756	-0.06187193
1559371051675	TYPE_ROTATION_VECTOR	0.120881096	-0.022652911	-0.3462304
1559371051675	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.339999	-36.239998	-88.67999
1559371051675	TYPE_ACCELEROMETER_UNCALIBRATED	0.13729858	2.6477966	9.218246
1559371051695	TYPE_ACCELEROMETER	-0.37265015	2.687027	8.551407
1559371051695	TYPE_MAGNETIC_FIELD	-14.34	9.179999	-28.5
1559371051695	TYPE_GYROSCOPE	0.032232694	-0.06478743	-0.073812895
1559371051695	TYPE_ROTATION_VECTOR	0.12097206	-0.02327002	-0.34697825
1559371051695	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.58	-36.3	-88.38
1559371051695	TYPE_ACCELEROMETER_UNCALIBRATED	-0.37265015	2.687027	8.551407
1559371051714	TYPE_ACCELEROMETER	-0.37265015	2.902771	8.472946
1559371051714	TYPE_MAGNETIC_FIELD	-14.46	9.059999	-28.32
1559371051714	TYPE_GYROSCOPE	0.031461846	-0.06600099	-0.08060973
1559371051714	TYPE_ROTATION_VECTOR	0.12105426	-0.023895297	-0.34780005
1559371051714	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.7	-36.42	-88.2
1559371051714	TYPE_ACCELEROMETER_UNCALIBRATED	-0.37265015	2.902771	8.472946
1559371051734	TYPE_ACCELEROMETER	0.21574402	3.0008392	9.453613
1559371051734	TYPE_MAGNETIC_FIELD	-14.759999	8.94	-28.14
1559371051734	TYPE_GYROSCOPE	0.032073326	-0.069224395	-0.090596296
1559371051734	TYPE_ROTATION_VECTOR	0.12113218	-0.024532469	-0.34870648
1559371051734	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.999999	-36.54	-88.02
1559371051734	TYPE_ACCELEROMETER_UNCALIBRATED	0.21574402	3.0008392	9.453613
1559371051754	TYPE_ACCELEROMETER	0.25497437	2.902771	9.708588
1559371051754	TYPE_MAGNETIC_FIELD	-15.059999	8.82	-28.019999
1559371051754	TYPE_GYROSCOPE	0.0326921	-0.07091956	-0.09636969
1559371051754	TYPE_ROTATION_VECTOR	0.121211156	-0.025180386	-0.34966722
1559371051754	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.299999	-36.66	-87.899994
1559371051754	TYPE_ACCELEROMETER_UNCALIBRATED	0.25497437	2.902771	9.708588
1559371051773	TYPE_ACCELEROMETER	-0.019607544	2.9223785	9.728195
1559371051773	TYPE_MAGNETIC_FIELD	-15.179999	8.94	-28.019999
1559371051773	TYPE_GYROSCOPE	0.03373748	-0.070965804	-0.0961654
1559371051773	TYPE_ROTATION_VECTOR	0.12129934	-0.025832554	-0.35062551
1559371051773	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.419999	-36.54	-87.899994
1559371051773	TYPE_ACCELEROMETER_UNCALIBRATED	-0.019607544	2.9223785	9.728195
1559371051793	TYPE_ACCELEROMETER	-0.4118805	2.961609	9.277084
1559371051793	TYPE_MAGNETIC_FIELD	-15.42	8.5199995	-27.84
1559371051793	TYPE_GYROSCOPE	0.03578599	-0.07208252	-0.10201284
1559371051793	TYPE_ROTATION_VECTOR	0.12129934	-0.025832554	-0.35062551
1559371051793	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.419999	-36.54	-87.899994
1559371051793	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4118805	2.961609	9.277084
1559371051833	TYPE_ACCELEROMETER	-0.15690613	3.7461395	9.198639
1559371051833	TYPE_MAGNETIC_FIELD	-15.48	8.34	-28.08
1559371051833	TYPE_GYROSCOPE	0.037527017	-0.07127282	-0.10549882
1559371051833	TYPE_ROTATION_VECTOR	0.12140371	-0.026494993	-0.35163748
1559371051833	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.66	-36.96	-87.72
1559371051833	TYPE_ACCELEROMETER_UNCALIBRATED	-0.15690613	3.7461395	9.198639
1559371051852	TYPE_ACCELEROMETER	0.15690613	3.883438	9.06134
1559371051852	TYPE_MAGNETIC_FIELD	-15.78	8.22	-28.08
1559371051852	TYPE_GYROSCOPE	0.041497484	-0.07363242	-0.11432205
1559371051852	TYPE_ROTATION_VECTOR	0.12168679	-0.027858747	-0.35384396
1559371051852	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.0199995	-37.26	-87.96
