#	startTime:1559371456911
#	SiteID:5cd56b5ae2acfd2d33b58548	SiteName:乐坊精致生活广场	FloorId:5cd56b5be2acfd2d33b58587	FloorName:3F
#	Brand:vivo	Model:V1818A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LIS3DH Accelerometer	version:1	vendor:STMicroelectronics	resolution:0.019607544	power:0.185	maximumRange:39.22661
#	type:4	name:AK09918-pseudo-gyro	version:2	vendor:akm	resolution:0.1	power:1.0	maximumRange:2000.0
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559371456912	TYPE_WAYPOINT	58.781082	51.11444
1559371457050	TYPE_ACCELEROMETER	-0.019607544	3.0792847	9.022125
1559371457050	TYPE_MAGNETIC_FIELD	-1.4399999	-30.48	-22.8
1559371457050	TYPE_GYROSCOPE	0.021679059	0.050660685	0.15858749
1559371457050	TYPE_ROTATION_VECTOR	0.009939099	-0.15292686	-0.98767406
1559371457050	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.89999986	-75.72	-82.56
1559371457050	TYPE_ACCELEROMETER_UNCALIBRATED	-0.019607544	3.0792847	9.022125
1559371457071	TYPE_ACCELEROMETER	0.21574402	3.1381226	9.002502
1559371457071	TYPE_MAGNETIC_FIELD	-1.5	-30.24	-22.859999
1559371457071	TYPE_GYROSCOPE	0.026076892	0.044346448	0.13901536
1559371457071	TYPE_ROTATION_VECTOR	0.010434227	-0.15339443	-0.9874931
1559371457071	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.89999986	-75.54	-82.5
1559371457071	TYPE_ACCELEROMETER_UNCALIBRATED	0.21574402	3.1381226	9.002502
1559371457090	TYPE_ACCELEROMETER	0.39227295	3.0792847	9.257477
1559371457090	TYPE_MAGNETIC_FIELD	-1.5	-30.24	-22.859999
1559371457090	TYPE_GYROSCOPE	0.029301554	0.038444925	0.12596734
1559371457090	TYPE_ROTATION_VECTOR	0.010434227	-0.15339443	-0.9874931
1559371457090	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.89999986	-75.54	-82.5
1559371457090	TYPE_ACCELEROMETER_UNCALIBRATED	0.39227295	3.0792847	9.257477
