#	startTime:1559371539335
#	SiteID:5cd56b5ae2acfd2d33b58548	SiteName:乐坊精致生活广场	FloorId:5cd56b5be2acfd2d33b58587	FloorName:3F
#	Brand:vivo	Model:V1818A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LIS3DH Accelerometer	version:1	vendor:STMicroelectronics	resolution:0.019607544	power:0.185	maximumRange:39.22661
#	type:4	name:AK09918-pseudo-gyro	version:2	vendor:akm	resolution:0.1	power:1.0	maximumRange:2000.0
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559371539336	TYPE_WAYPOINT	58.02795	43.051785
1559371539469	TYPE_ACCELEROMETER	0.11767578	2.510498	9.022125
1559371539469	TYPE_MAGNETIC_FIELD	15.54	-25.8	-25.619999
1559371539469	TYPE_GYROSCOPE	0.036667626	0.05010286	0.15193594
1559371539469	TYPE_ROTATION_VECTOR	0.064224675	0.11898627	0.92323315
1559371539469	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.64	-71.159996	-85.32
1559371539469	TYPE_ACCELEROMETER_UNCALIBRATED	0.11767578	2.510498	9.022125
1559371539489	TYPE_ACCELEROMETER	0.019607544	2.4516602	9.414383
1559371539489	TYPE_MAGNETIC_FIELD	14.94	-25.859999	-25.859999
1559371539489	TYPE_GYROSCOPE	0.039384495	0.06237334	0.17594726
1559371539489	TYPE_ROTATION_VECTOR	0.063999735	0.119461	0.92385745
1559371539489	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.34	-71.159996	-85.5
1559371539489	TYPE_ACCELEROMETER_UNCALIBRATED	0.019607544	2.4516602	9.414383
1559371539509	TYPE_ACCELEROMETER	0.15690613	2.5301208	9.767426
1559371539509	TYPE_MAGNETIC_FIELD	14.94	-25.859999	-25.859999
1559371539509	TYPE_GYROSCOPE	0.03498397	0.06868796	0.16952044
1559371539509	TYPE_ROTATION_VECTOR	0.06369661	0.1199156	0.9244572
1559371539509	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.16	-71.1	-85.56
1559371539509	TYPE_ACCELEROMETER_UNCALIBRATED	0.15690613	2.5301208	9.767426
1559371539528	TYPE_ACCELEROMETER	0.3530426	2.6085663	9.688965
1559371539528	TYPE_MAGNETIC_FIELD	14.759999	-25.8	-25.92
1559371539528	TYPE_GYROSCOPE	0.026559139	0.067397	0.14373048
1559371539528	TYPE_ROTATION_VECTOR	0.06334487	0.12030464	0.9249727
1559371539528	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.16	-71.1	-85.56
1559371539528	TYPE_ACCELEROMETER_UNCALIBRATED	0.3530426	2.6085663	9.688965
1559371539548	TYPE_ACCELEROMETER	0.43148804	2.8047028	9.179031
1559371539548	TYPE_MAGNETIC_FIELD	14.7	-25.8	-25.92
1559371539548	TYPE_GYROSCOPE	0.018852023	0.0639966	0.1219228
1559371539548	TYPE_ROTATION_VECTOR	0.0629712	0.12062472	0.92541677
1559371539548	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.1	-71.1	-85.56
1559371539548	TYPE_ACCELEROMETER_UNCALIBRATED	0.43148804	2.8047028	9.179031
1559371539568	TYPE_ACCELEROMETER	0.31381226	2.7850952	8.571014
1559371539568	TYPE_MAGNETIC_FIELD	14.7	-25.8	-25.92
1559371539568	TYPE_GYROSCOPE	0.013501082	0.058198027	0.10064306
1559371539568	TYPE_ROTATION_VECTOR	0.062606364	0.12088871	0.92578775
1559371539568	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.98	-71.1	-85.979996
1559371539568	TYPE_ACCELEROMETER_UNCALIBRATED	0.31381226	2.7850952	8.571014
1559371539587	TYPE_ACCELEROMETER	0.05883789	2.6674042	8.178741
1559371539587	TYPE_MAGNETIC_FIELD	14.58	-25.8	-26.34
1559371539587	TYPE_GYROSCOPE	0.010709622	0.05004198	0.07567025
1559371539587	TYPE_ROTATION_VECTOR	0.062272303	0.12111691	0.9260726
1559371539587	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.16	-70.8	-86.04
1559371539587	TYPE_ACCELEROMETER_UNCALIBRATED	0.05883789	2.6674042	8.178741
1559371539607	TYPE_ACCELEROMETER	-0.3530426	2.6477966	8.904434
1559371539607	TYPE_MAGNETIC_FIELD	14.759999	-25.5	-26.4
1559371539607	TYPE_GYROSCOPE	0.009398899	0.04126093	0.04565583
1559371539607	TYPE_ROTATION_VECTOR	0.062272303	0.12111691	0.9260726
