#	startTime:1559371633117
#	SiteID:5cd56b5ae2acfd2d33b58548	SiteName:乐坊精致生活广场	FloorId:5cd56b5be2acfd2d33b58587	FloorName:3F
#	Brand:vivo	Model:V1818A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LIS3DH Accelerometer	version:1	vendor:STMicroelectronics	resolution:0.019607544	power:0.185	maximumRange:39.22661
#	type:4	name:AK09918-pseudo-gyro	version:2	vendor:akm	resolution:0.1	power:1.0	maximumRange:2000.0
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559371633117	TYPE_WAYPOINT	37.273533	40.855934
1559371633269	TYPE_ACCELEROMETER	-0.3334198	2.0594025	9.767426
1559371633269	TYPE_MAGNETIC_FIELD	-24.66	-8.22	-28.8
1559371633269	TYPE_GYROSCOPE	0.016930344	0.011999622	0.04883288
1559371633269	TYPE_ROTATION_VECTOR	0.083016254	-0.06457757	-0.72819793
1559371633269	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.26	-53.52	-88.44
1559371633269	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3334198	2.0594025	9.767426
1559371633289	TYPE_ACCELEROMETER	-0.2745819	1.9809418	9.806656
1559371633289	TYPE_MAGNETIC_FIELD	-24.42	-8.099999	-28.5
1559371633289	TYPE_GYROSCOPE	0.020442443	0.0037465612	0.008347127
1559371633289	TYPE_ROTATION_VECTOR	0.083172575	-0.06470473	-0.7281268
1559371633289	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.02	-53.399998	-88.14
1559371633289	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2745819	1.9809418	9.806656
1559371633309	TYPE_ACCELEROMETER	-0.15690613	1.9613342	9.708588
1559371633309	TYPE_MAGNETIC_FIELD	-24.359999	-8.099999	-28.439999
1559371633309	TYPE_GYROSCOPE	0.02070136	-5.197188E-4	-0.01327796
1559371633309	TYPE_ROTATION_VECTOR	0.083315775	-0.06484614	-0.72820276
1559371633309	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.96	-53.399998	-88.08
1559371633309	TYPE_ACCELEROMETER_UNCALIBRATED	-0.15690613	1.9613342	9.708588
1559371633329	TYPE_ACCELEROMETER	-0.019607544	1.9613342	9.5516815
1559371633329	TYPE_MAGNETIC_FIELD	-24.359999	-8.099999	-28.439999
1559371633329	TYPE_GYROSCOPE	0.01924979	-0.002923021	-0.023189478
1559371633329	TYPE_ROTATION_VECTOR	0.08343833	-0.06498503	-0.72834796
1559371633329	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.96	-53.399998	-88.08
1559371633329	TYPE_ACCELEROMETER_UNCALIBRATED	-0.019607544	1.9613342	9.5516815
1559371633348	TYPE_ACCELEROMETER	0.13729858	1.9613342	9.571289
1559371633348	TYPE_MAGNETIC_FIELD	-24.359999	-8.099999	-28.439999
1559371633348	TYPE_GYROSCOPE	0.016318211	-0.0030041838	-0.02023047
1559371633348	TYPE_ROTATION_VECTOR	0.08353881	-0.06510582	-0.7284752
1559371633348	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.96	-53.399998	-88.08
1559371633348	TYPE_ACCELEROMETER_UNCALIBRATED	0.13729858	1.9613342	9.571289
1559371633368	TYPE_ACCELEROMETER	0.3530426	1.9024963	9.787033
1559371633368	TYPE_MAGNETIC_FIELD	-24.24	-7.98	-28.26
1559371633368	TYPE_GYROSCOPE	0.01338177	-0.003945217	-0.023213
1559371633368	TYPE_ROTATION_VECTOR	0.08353881	-0.06510582	-0.7284752
1559371633368	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.84	-53.28	-87.9
1559371633368	TYPE_ACCELEROMETER_UNCALIBRATED	0.3530426	1.9024963	9.787033
