#	startTime:1559371952386
#	SiteID:5cd56b5ae2acfd2d33b58548	SiteName:乐坊精致生活广场	FloorId:5cd56b5be2acfd2d33b58587	FloorName:3F
#	Brand:vivo	Model:V1818A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LIS3DH Accelerometer	version:1	vendor:STMicroelectronics	resolution:0.019607544	power:0.185	maximumRange:39.22661
#	type:4	name:AK09918-pseudo-gyro	version:2	vendor:akm	resolution:0.1	power:1.0	maximumRange:2000.0
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559371952387	TYPE_WAYPOINT	34.856438	27.969122
1559371952514	TYPE_ACCELEROMETER	0.64723206	2.7654724	9.610519
1559371952514	TYPE_MAGNETIC_FIELD	-22.619999	13.799999	-30.0
1559371952514	TYPE_GYROSCOPE	0.008328987	0.039414354	0.26649734
1559371952514	TYPE_ROTATION_VECTOR	0.12332692	-0.066153534	-0.38752592
1559371952514	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.22	-31.5	-89.64
1559371952514	TYPE_ACCELEROMETER_UNCALIBRATED	0.64723206	2.7654724	9.610519
1559371952534	TYPE_ACCELEROMETER	0.58839417	2.687027	9.3359375
1559371952534	TYPE_MAGNETIC_FIELD	-22.439999	14.219999	-29.88
1559371952534	TYPE_GYROSCOPE	0.0076542776	0.026877379	0.26533225
1559371952534	TYPE_ROTATION_VECTOR	0.12337817	-0.0661551	-0.38507318
1559371952534	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.039999	-31.08	-89.52
1559371952534	TYPE_ACCELEROMETER_UNCALIBRATED	0.58839417	2.687027	9.3359375
1559371952554	TYPE_ACCELEROMETER	0.64723206	2.6477966	9.139801
1559371952554	TYPE_MAGNETIC_FIELD	-22.26	14.34	-29.64
1559371952554	TYPE_GYROSCOPE	0.0058460874	0.012659424	0.24379084
1559371952554	TYPE_ROTATION_VECTOR	0.12337559	-0.06626516	-0.38264415
1559371952554	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.86	-30.96	-89.28
1559371952554	TYPE_ACCELEROMETER_UNCALIBRATED	0.64723206	2.6477966	9.139801
1559371952573	TYPE_ACCELEROMETER	0.6864624	2.6477966	9.100571
1559371952573	TYPE_MAGNETIC_FIELD	-22.26	14.58	-29.58
1559371952573	TYPE_GYROSCOPE	0.004358078	0.0024909393	0.22950387
1559371952573	TYPE_ROTATION_VECTOR	0.123315476	-0.066472486	-0.38039705
1559371952573	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.86	-30.72	-89.22
1559371952573	TYPE_ACCELEROMETER_UNCALIBRATED	0.6864624	2.6477966	9.100571
1559371952593	TYPE_ACCELEROMETER	0.7060852	2.687027	9.4339905
1559371952593	TYPE_MAGNETIC_FIELD	-22.199999	14.58	-29.58
1559371952593	TYPE_GYROSCOPE	0.0038538794	-0.0063025844	0.21077256
1559371952593	TYPE_ROTATION_VECTOR	0.12321319	-0.06674566	-0.37831822
1559371952593	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.8	-30.3	-89.04
1559371952593	TYPE_ACCELEROMETER_UNCALIBRATED	0.7060852	2.687027	9.4339905
1559371952613	TYPE_ACCELEROMETER	0.66685486	2.7458649	9.747818
1559371952613	TYPE_MAGNETIC_FIELD	-22.02	15.299999	-29.34
1559371952613	TYPE_GYROSCOPE	0.0041731917	-0.012737211	0.19531858
1559371952613	TYPE_ROTATION_VECTOR	0.122946076	-0.06744129	-0.37466386
1559371952613	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.62	-30.0	-88.979996
1559371952613	TYPE_ACCELEROMETER_UNCALIBRATED	0.66685486	2.7458649	9.747818
1559371952633	TYPE_ACCELEROMETER	0.5687866	2.7850952	9.904724
1559371952633	TYPE_MAGNETIC_FIELD	-22.02	15.299999	-29.34
1559371952633	TYPE_GYROSCOPE	0.004650163	-0.016829439	0.1830133
1559371952633	TYPE_ROTATION_VECTOR	0.122946076	-0.06744129	-0.37466386
1559371952633	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.44	-30.0	-88.92
1559371952633	TYPE_ACCELEROMETER_UNCALIBRATED	0.5687866	2.7850952	9.904724
1559371952652	TYPE_ACCELEROMETER	0.4118805	2.7458649	9.826263
1559371952652	TYPE_MAGNETIC_FIELD	-21.84	15.299999	-29.279999
1559371952652	TYPE_GYROSCOPE	0.0052653085	-0.018411946	0.17063595
1559371952652	TYPE_ROTATION_VECTOR	0.12280383	-0.06783291	-0.37302428
1559371952652	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.44	-30.0	-88.92
1559371952652	TYPE_ACCELEROMETER_UNCALIBRATED	0.4118805	2.7458649	9.826263
1559371952672	TYPE_ACCELEROMETER	0.3334198	2.7066345	9.453613
1559371952672	TYPE_MAGNETIC_FIELD	-21.96	15.179999	-29.4
1559371952672	TYPE_GYROSCOPE	0.005212643	-0.01894996	0.16223675
1559371952672	TYPE_ROTATION_VECTOR	0.1226675	-0.06823085	-0.37147778
1559371952672	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.62	-30.18	-89.04
1559371952672	TYPE_ACCELEROMETER_UNCALIBRATED	0.3334198	2.7066345	9.453613
1559371952692	TYPE_ACCELEROMETER	0.2745819	2.726242	9.159409
1559371952692	TYPE_MAGNETIC_FIELD	-22.02	15.12	-29.4
1559371952692	TYPE_GYROSCOPE	0.004400467	-0.019102892	0.14840858
1559371952692	TYPE_ROTATION_VECTOR	0.12253576	-0.068618156	-0.3700264
1559371952692	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.62	-30.18	-89.04
1559371952692	TYPE_ACCELEROMETER_UNCALIBRATED	0.2745819	2.726242	9.159409
1559371952711	TYPE_ACCELEROMETER	0.3334198	2.7458649	9.120178
1559371952711	TYPE_MAGNETIC_FIELD	-22.26	15.299999	-29.58
1559371952711	TYPE_GYROSCOPE	0.0036114838	-0.018120134	0.13681376
1559371952711	TYPE_ROTATION_VECTOR	0.12240518	-0.06898698	-0.3687003
1559371952711	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.86	-30.0	-89.22
1559371952711	TYPE_ACCELEROMETER_UNCALIBRATED	0.3334198	2.7458649	9.120178
1559371952731	TYPE_ACCELEROMETER	0.2745819	2.687027	9.237869
1559371952731	TYPE_MAGNETIC_FIELD	-21.84	15.36	-29.4
1559371952731	TYPE_GYROSCOPE	0.0032206827	-0.014918175	0.1323797
1559371952731	TYPE_ROTATION_VECTOR	0.122278646	-0.06932986	-0.36747798
1559371952731	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.44	-29.939999	-89.04
1559371952731	TYPE_ACCELEROMETER_UNCALIBRATED	0.2745819	2.687027	9.237869
1559371952751	TYPE_ACCELEROMETER	0.21574402	2.6477966	9.394775
1559371952751	TYPE_MAGNETIC_FIELD	-21.6	15.839999	-29.22
1559371952751	TYPE_GYROSCOPE	0.0031294166	-0.009710111	0.13246089
1559371952751	TYPE_ROTATION_VECTOR	0.12216301	-0.06963677	-0.36629164
1559371952751	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.9	-29.58	-88.68
1559371952751	TYPE_ACCELEROMETER_UNCALIBRATED	0.21574402	2.6477966	9.394775
1559371952771	TYPE_ACCELEROMETER	0.11767578	2.628189	9.630127
1559371952771	TYPE_MAGNETIC_FIELD	-21.3	15.719999	-29.039999
1559371952771	TYPE_GYROSCOPE	0.0031767827	-0.00446158	0.13732524
1559371952771	TYPE_ROTATION_VECTOR	0.12206388	-0.06989931	-0.36508262
1559371952771	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.9	-29.46	-88.92
1559371952771	TYPE_ACCELEROMETER_UNCALIBRATED	0.11767578	2.628189	9.630127
1559371952790	TYPE_ACCELEROMETER	0.23536682	2.5301208	9.590912
1559371952790	TYPE_MAGNETIC_FIELD	-21.42	15.96	-29.519999
1559371952790	TYPE_GYROSCOPE	0.0030651125	-4.792925E-5	0.13784443
1559371952790	TYPE_ROTATION_VECTOR	0.12198176	-0.07011677	-0.36383742
1559371952790	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.02	-29.34	-89.159996
1559371952790	TYPE_ACCELEROMETER_UNCALIBRATED	0.23536682	2.5301208	9.590912
1559371952810	TYPE_ACCELEROMETER	0.5295563	2.4320526	9.316315
1559371952810	TYPE_MAGNETIC_FIELD	-21.42	15.96	-29.519999
1559371952810	TYPE_GYROSCOPE	0.0025572544	0.0014684456	0.12957188
1559371952810	TYPE_ROTATION_VECTOR	0.12191388	-0.07029419	-0.3625816
1559371952810	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.02	-29.34	-89.159996
1559371952810	TYPE_ACCELEROMETER_UNCALIBRATED	0.5295563	2.4320526	9.316315
1559371952830	TYPE_ACCELEROMETER	0.43148804	2.3143768	9.296707
1559371952830	TYPE_MAGNETIC_FIELD	-21.3	15.839999	-29.4
1559371952830	TYPE_GYROSCOPE	0.0020728451	0.0035701361	0.124633394
1559371952830	TYPE_ROTATION_VECTOR	0.12185239	-0.07044593	-0.36139914
1559371952830	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.9	-29.46	-89.04
1559371952830	TYPE_ACCELEROMETER_UNCALIBRATED	0.43148804	2.3143768	9.296707
1559371952849	TYPE_ACCELEROMETER	0.43148804	2.1966858	9.708588
1559371952849	TYPE_MAGNETIC_FIELD	-21.3	16.02	-29.34
1559371952849	TYPE_GYROSCOPE	0.0011208402	0.0051784357	0.11963317
1559371952849	TYPE_ROTATION_VECTOR	0.1217972	-0.070570745	-0.36025867
1559371952849	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.84	-28.98	-88.86
1559371952849	TYPE_ACCELEROMETER_UNCALIBRATED	0.43148804	2.1966858	9.708588
1559371952869	TYPE_ACCELEROMETER	0.5295563	2.137848	10.081238
1559371952869	TYPE_MAGNETIC_FIELD	-21.24	16.32	-29.22
1559371952869	TYPE_GYROSCOPE	-8.626516E-4	0.00500923	0.10855236
1559371952869	TYPE_ROTATION_VECTOR	0.121742375	-0.07067141	-0.35916194
1559371952869	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.32	-28.859999	-88.92
1559371952869	TYPE_ACCELEROMETER_UNCALIBRATED	0.5295563	2.137848	10.081238
1559371952889	TYPE_ACCELEROMETER	0.60801697	2.2359161	9.885101
1559371952889	TYPE_MAGNETIC_FIELD	-21.72	16.44	-29.279999
1559371952889	TYPE_GYROSCOPE	-0.0031892282	0.0073067416	0.10502713
1559371952889	TYPE_ROTATION_VECTOR	0.12167647	-0.07075316	-0.3581674
1559371952889	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.32	-28.859999	-88.92
1559371952889	TYPE_ACCELEROMETER_UNCALIBRATED	0.60801697	2.2359161	9.885101
1559371952909	TYPE_ACCELEROMETER	0.6276245	2.353592	9.394775
