#	startTime:1560668464255
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b58557	FloorName:1F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560668464258	TYPE_WAYPOINT	139.15224	36.523487
1560668464450	TYPE_ACCELEROMETER	0.31603462	2.2122424	9.289502
1560668464450	TYPE_MAGNETIC_FIELD	-26.375	23.6875	-5.1875
1560668464450	TYPE_GYROSCOPE	-0.057403877	0.07344346	0.023492131
1560668464450	TYPE_ROTATION_VECTOR	0.098357	-0.06166	-0.423806
1560668464450	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.75	473.375	215.1875
1560668464450	TYPE_GYROSCOPE_UNCALIBRATED	-0.02677335	0.005427974	0.042638395
1560668464470	TYPE_ACCELEROMETER	0.34476504	2.231396	9.3661175
1560668464470	TYPE_MAGNETIC_FIELD	-31.0	21.0	-7.625
1560668464470	TYPE_GYROSCOPE	-0.0786969	0.12241739	-0.003106686
1560668464470	TYPE_ROTATION_VECTOR	0.098139	-0.060778	-0.423558
1560668464470	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-606.375	473.125	215.4375
1560668464470	TYPE_GYROSCOPE_UNCALIBRATED	-0.057648227	0.073565625	0.023474678
1560668464490	TYPE_ACCELEROMETER	0.2777274	2.27928	9.528923
1560668464490	TYPE_MAGNETIC_FIELD	-30.1875	21.9375	-11.8125
1560668464490	TYPE_GYROSCOPE	-0.12873548	0.085154615	-0.028658306
1560668464490	TYPE_ROTATION_VECTOR	0.098086	-0.059348	-0.423512
1560668464490	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-606.625	473.1875	214.6875
1560668464490	TYPE_GYROSCOPE_UNCALIBRATED	-0.07894124	0.122539565	-0.0031241393
1560668464510	TYPE_ACCELEROMETER	0.18195933	2.2697031	9.615114
1560668464510	TYPE_MAGNETIC_FIELD	-30.1875	21.9375	-10.1875
1560668464510	TYPE_GYROSCOPE	-0.12341223	0.011693706	-0.029722957
1560668464510	TYPE_ROTATION_VECTOR	0.097308	-0.058008	-0.423761
1560668464510	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-606.625	473.0	214.5625
1560668464510	TYPE_GYROSCOPE_UNCALIBRATED	-0.12897983	0.08527679	-0.02867576
1560668464530	TYPE_ACCELEROMETER	0.17238252	2.2505496	9.931149
1560668464530	TYPE_MAGNETIC_FIELD	-30.9375	21.8125	-8.5
1560668464530	TYPE_GYROSCOPE	-0.07124434	-0.067073	6.981317E-5
1560668464530	TYPE_ROTATION_VECTOR	0.096164	-0.057231	-0.4241
1560668464530	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-607.0625	473.4375	215.0
1560668464530	TYPE_GYROSCOPE_UNCALIBRATED	-0.12365658	0.011815879	-0.02974041
1560668464550	TYPE_ACCELEROMETER	0.32561144	2.1739352	9.634268
1560668464550	TYPE_MAGNETIC_FIELD	-30.8125	23.4375	-9.375
1560668464550	TYPE_GYROSCOPE	-0.039304815	-0.028745573	0.0075223693
1560668464550	TYPE_ROTATION_VECTOR	0.095241	-0.057531	-0.424204
1560668464550	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-607.9375	473.4375	214.1875
1560668464550	TYPE_GYROSCOPE_UNCALIBRATED	-0.071488686	-0.06695083	5.235988E-5
1560668464570	TYPE_ACCELEROMETER	0.47884035	2.1547816	9.394848
1560668464570	TYPE_MAGNETIC_FIELD	-29.375	22.8125	-10.1875
1560668464570	TYPE_GYROSCOPE	-0.03398156	0.021275563	0.010716322
1560668464570	TYPE_ROTATION_VECTOR	0.094416	-0.05916	-0.424033
1560668464570	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-607.625	473.75	213.6875
1560668464570	TYPE_GYROSCOPE_UNCALIBRATED	-0.03954916	-0.0286234	0.007504916
1560668464590	TYPE_ACCELEROMETER	0.41180268	2.27928	9.433155
1560668464590	TYPE_MAGNETIC_FIELD	-29.5625	20.3125	-7.625
1560668464590	TYPE_GYROSCOPE	-0.056339227	0.021275563	0.016039576
1560668464590	TYPE_ROTATION_VECTOR	0.094195	-0.058833	-0.423937
1560668464590	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-607.5	473.4375	214.5
1560668464590	TYPE_GYROSCOPE_UNCALIBRATED	-0.034225907	0.021397736	0.010698868
1560668464610	TYPE_ACCELEROMETER	0.37349546	2.3175871	9.490616
1560668464610	TYPE_MAGNETIC_FIELD	-30.375	18.6875	-9.25
1560668464610	TYPE_GYROSCOPE	-0.09892526	-0.018099064	0.027750734
1560668464610	TYPE_ROTATION_VECTOR	0.094585	-0.059557	-0.423695
1560668464610	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-607.5	472.8125	214.6875
1560668464610	TYPE_GYROSCOPE_UNCALIBRATED	-0.056583576	0.021397736	0.016022123
1560668464630	TYPE_ACCELEROMETER	0.37349546	2.3463178	9.576807
1560668464630	TYPE_MAGNETIC_FIELD	-30.25	21.125	-10.125
1560668464630	TYPE_GYROSCOPE	-0.17345083	-0.07878416	0.02136283
1560668464630	TYPE_ROTATION_VECTOR	0.093604	-0.059325	-0.423521
1560668464630	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-607.375	472.6875	214.375
1560668464630	TYPE_GYROSCOPE_UNCALIBRATED	-0.099169604	-0.017976891	0.027733281
1560668464650	TYPE_ACCELEROMETER	0.45968673	2.1930888	9.490616
1560668464650	TYPE_MAGNETIC_FIELD	-29.4375	21.9375	-9.3125
1560668464650	TYPE_GYROSCOPE	-0.20006709	-0.072396256	0.0021991148
1560668464650	TYPE_ROTATION_VECTOR	0.091361	-0.060733	-0.423361
1560668464650	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-607.125	472.375	214.375
1560668464650	TYPE_GYROSCOPE_UNCALIBRATED	-0.17369516	-0.078661986	0.021345377
1560668464670	TYPE_ACCELEROMETER	0.62249243	2.1452048	9.576807
1560668464670	TYPE_MAGNETIC_FIELD	-30.25	21.125	-9.3125
1560668464670	TYPE_GYROSCOPE	-0.1478992	-0.007452556	-0.022270402
1560668464670	TYPE_ROTATION_VECTOR	0.089254	-0.060538	-0.423526
1560668464670	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-607.25	472.0	214.5625
1560668464670	TYPE_GYROSCOPE_UNCALIBRATED	-0.20031144	-0.07227408	0.0021816615
1560668464690	TYPE_ACCELEROMETER	0.63206923	2.1068976	9.682152
1560668464690	TYPE_MAGNETIC_FIELD	-28.6875	22.0	-9.3125
1560668464690	TYPE_GYROSCOPE	-0.11063642	0.05427974	-0.027593656
1560668464690	TYPE_ROTATION_VECTOR	0.08762	-0.061283	-0.42369
1560668464690	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-607.125	472.375	214.25
1560668464690	TYPE_GYROSCOPE_UNCALIBRATED	-0.14814354	-0.0073303827	-0.022287855
1560668464710	TYPE_ACCELEROMETER	0.50757074	2.1643584	9.634268
1560668464710	TYPE_MAGNETIC_FIELD	-27.9375	22.0625	-10.125
1560668464710	TYPE_GYROSCOPE	-0.089343406	0.07450811	-0.014817845
1560668464710	TYPE_ROTATION_VECTOR	0.086873	-0.060301	-0.423958
1560668464710	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-606.625	473.0625	214.0625
1560668464710	TYPE_GYROSCOPE_UNCALIBRATED	-0.11088077	0.05440191	-0.027611108
1560668464730	TYPE_ACCELEROMETER	0.50757074	2.135628	9.739613
1560668464730	TYPE_MAGNETIC_FIELD	-27.1875	22.0625	-7.625
1560668464730	TYPE_GYROSCOPE	-0.09147271	0.058538344	-0.004171337
1560668464730	TYPE_ROTATION_VECTOR	0.086404	-0.060271	-0.423981
1560668464730	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-606.0	473.25	214.5625
1560668464730	TYPE_GYROSCOPE_UNCALIBRATED	-0.08958775	0.074630275	-0.014835299
1560668464750	TYPE_ACCELEROMETER	0.545878	2.087744	9.662998
1560668464750	TYPE_MAGNETIC_FIELD	-30.1875	21.875	-8.5
1560668464750	TYPE_GYROSCOPE	-0.115959674	0.024469515	-0.016947147
1560668464750	TYPE_ROTATION_VECTOR	0.085833	-0.059352	-0.424022
1560668464750	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-606.1875	473.1875	214.6875
1560668464750	TYPE_GYROSCOPE_UNCALIBRATED	-0.09171705	0.058660515	-0.00418879
1560668464770	TYPE_ACCELEROMETER	0.50757074	2.0685902	9.710882
1560668464770	TYPE_MAGNETIC_FIELD	-30.1875	21.9375	-9.3125
1560668464770	TYPE_GYROSCOPE	-0.11489502	-0.014905112	-0.037175514
1560668464770	TYPE_ROTATION_VECTOR	0.08474	-0.05954	-0.424133
1560668464770	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-606.125	473.375	214.6875
1560668464770	TYPE_GYROSCOPE_UNCALIBRATED	-0.11620402	0.02459169	-0.0169646
1560668464790	TYPE_ACCELEROMETER	0.545878	2.078167	9.749189
1560668464790	TYPE_MAGNETIC_FIELD	-28.6875	22.0	-9.3125
1560668464790	TYPE_GYROSCOPE	-0.07763225	-0.086236715	-0.087214105
1560668464790	TYPE_ROTATION_VECTOR	0.083679	-0.059108	-0.424287
1560668464790	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-606.125	473.375	214.6875
1560668464790	TYPE_GYROSCOPE_UNCALIBRATED	-0.11513937	-0.014782939	-0.037192967
1560668464810	TYPE_ACCELEROMETER	0.45010993	2.0398598	9.5385
1560668464810	TYPE_MAGNETIC_FIELD	-29.5	21.125	-8.4375
1560668464810	TYPE_GYROSCOPE	-0.087214105	-0.036198128	-0.06379178
1560668464810	TYPE_ROTATION_VECTOR	0.083072	-0.05991	-0.425142
1560668464810	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-606.4375	473.1875	215.0625
1560668464810	TYPE_GYROSCOPE_UNCALIBRATED	-0.07787659	-0.08611455	-0.087231554
1560668464830	TYPE_ACCELEROMETER	0.41180268	2.2218192	9.634268
1560668464830	TYPE_MAGNETIC_FIELD	-30.1875	21.9375	-10.1875
1560668464830	TYPE_GYROSCOPE	-0.103183866	-0.05110324	-0.04569272
1560668464830	TYPE_ROTATION_VECTOR	0.082138	-0.059986	-0.42676
1560668464830	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-607.0625	473.125	214.5625
1560668464830	TYPE_GYROSCOPE_UNCALIBRATED	-0.08745845	-0.036075957	-0.06380924
1560668464850	TYPE_ACCELEROMETER	0.4405331	2.1643584	9.691729
1560668464850	TYPE_MAGNETIC_FIELD	-26.1875	26.0625	-4.4375
1560668464850	TYPE_GYROSCOPE	-0.0808262	-0.0606851	-0.035046212
1560668464850	TYPE_ROTATION_VECTOR	0.081366	-0.060668	-0.427183
1560668464850	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-606.25	474.0	215.375
1560668464850	TYPE_GYROSCOPE_UNCALIBRATED	-0.103428215	-0.050981067	-0.045710173
1560668464870	TYPE_ACCELEROMETER	0.50757074	2.0111294	9.835381
1560668464870	TYPE_MAGNETIC_FIELD	-28.0	21.3125	-10.125
1560668464870	TYPE_GYROSCOPE	-0.016947147	-0.034068827	-0.06379178
1560668464870	TYPE_ROTATION_VECTOR	0.080404	-0.060839	-0.427596
1560668464870	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.8125	473.875	215.1875
1560668464870	TYPE_GYROSCOPE_UNCALIBRATED	-0.08107054	-0.060562924	-0.035063665
1560668464890	TYPE_ACCELEROMETER	0.50757074	2.0207062	9.950302
1560668464890	TYPE_MAGNETIC_FIELD	-29.4375	21.9375	-8.5
1560668464890	TYPE_GYROSCOPE	0.09695304	-0.008517207	-0.07124434
1560668464890	TYPE_ROTATION_VECTOR	0.080386	-0.061227	-0.428181
1560668464890	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-606.0	473.875	215.375
1560668464890	TYPE_GYROSCOPE_UNCALIBRATED	-0.017191494	-0.033946656	-0.06380924
1560668464910	TYPE_ACCELEROMETER	0.33518824	2.0973208	9.691729
1560668464910	TYPE_MAGNETIC_FIELD	-29.375	22.8125	-10.1875
1560668464910	TYPE_GYROSCOPE	0.08098327	0.02766347	-0.015882496
1560668464910	TYPE_ROTATION_VECTOR	0.081264	-0.06166	-0.428768
1560668464910	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.9375	474.1875	215.0
1560668464910	TYPE_GYROSCOPE_UNCALIBRATED	0.09670869	-0.008395034	-0.07126179
1560668464930	TYPE_ACCELEROMETER	0.25857377	2.2026656	9.56723
1560668464930	TYPE_MAGNETIC_FIELD	-29.5	21.1875	-10.125
1560668464930	TYPE_GYROSCOPE	-0.12234758	-0.0021293017	-0.013753194
