#	startTime:1560669269180
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b58557	FloorName:1F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560669269182	TYPE_WAYPOINT	112.986725	60.20251
1560669269389	TYPE_ACCELEROMETER	-0.05746084	2.3080103	9.500193
1560669269389	TYPE_MAGNETIC_FIELD	32.6875	-34.3125	-18.5
1560669269389	TYPE_GYROSCOPE	0.012845623	-0.018099064	-0.037175514
1560669269389	TYPE_ROTATION_VECTOR	0.043635	0.098856	0.91765
1560669269389	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-546.25	419.1875	206.4375
1560669269389	TYPE_GYROSCOPE_UNCALIBRATED	0.00408407	-0.062692225	-0.045710173
1560669269409	TYPE_ACCELEROMETER	-0.20111294	2.3175871	9.519346
1560669269409	TYPE_MAGNETIC_FIELD	31.3125	-33.6875	-16.0
1560669269409	TYPE_GYROSCOPE	0.013910274	-0.009581857	-0.016947147
1560669269409	TYPE_ROTATION_VECTOR	0.043812	0.098922	0.917486
1560669269409	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-546.625	419.5625	206.875
1560669269409	TYPE_GYROSCOPE_UNCALIBRATED	0.012601277	-0.017976891	-0.037192967
1560669269430	TYPE_ACCELEROMETER	-0.25857377	2.3558946	9.5385
1560669269430	TYPE_MAGNETIC_FIELD	30.625	-32.9375	-16.0
1560669269430	TYPE_GYROSCOPE	-0.0063006384	-0.031939525	-0.003106686
1560669269430	TYPE_ROTATION_VECTOR	0.042679	0.101374	0.917146
1560669269430	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-546.9375	419.875	207.1875
1560669269430	TYPE_GYROSCOPE_UNCALIBRATED	0.013665928	-0.009459685	-0.0169646
1560669269449	TYPE_ACCELEROMETER	-0.23942018	2.4612393	9.471462
1560669269449	TYPE_MAGNETIC_FIELD	29.875	-32.9375	-17.6875
1560669269449	TYPE_GYROSCOPE	-0.03291691	-0.026616272	0.013910274
1560669269449	TYPE_ROTATION_VECTOR	0.042944	0.101197	0.917127
1560669269449	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-547.5	420.625	207.125
1560669269449	TYPE_GYROSCOPE_UNCALIBRATED	-0.006544985	-0.03181735	-0.0031241393
1560669269469	TYPE_ACCELEROMETER	-0.20111294	2.5187001	9.414001
1560669269469	TYPE_MAGNETIC_FIELD	31.3125	-32.875	-16.0
1560669269469	TYPE_GYROSCOPE	-0.041434117	0.018081611	0.042655848
1560669269469	TYPE_ROTATION_VECTOR	0.042786	0.103562	0.916888
1560669269469	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-547.75	420.9375	207.5
1560669269469	TYPE_GYROSCOPE_UNCALIBRATED	-0.033161256	-0.026494099	0.013892821
1560669269490	TYPE_ACCELEROMETER	-0.22026655	2.4516625	9.586384
1560669269490	TYPE_MAGNETIC_FIELD	32.0	-34.375	-17.625
1560669269490	TYPE_GYROSCOPE	-0.038240165	0.013823007	0.07991862
1560669269490	TYPE_ROTATION_VECTOR	0.042505	0.103235	0.917101
1560669269490	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-547.9375	420.9375	207.625
1560669269490	TYPE_GYROSCOPE_UNCALIBRATED	-0.041678462	0.018203784	0.042638395
1560669269509	TYPE_ACCELEROMETER	-0.11492168	2.2601264	9.710882
1560669269509	TYPE_MAGNETIC_FIELD	31.3125	-33.6875	-16.8125
1560669269509	TYPE_GYROSCOPE	-0.028658306	-0.019163715	0.085241884
1560669269509	TYPE_ROTATION_VECTOR	0.041984	0.103281	0.91741
1560669269509	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-547.9375	420.9375	207.5
1560669269509	TYPE_GYROSCOPE_UNCALIBRATED	-0.03848451	0.013945181	0.07990117
1560669269529	TYPE_ACCELEROMETER	0.0	2.183512	9.768343
1560669269529	TYPE_MAGNETIC_FIELD	32.0	-34.5	-13.5
1560669269529	TYPE_GYROSCOPE	-0.035046212	-0.084107414	0.06394886
1560669269529	TYPE_ROTATION_VECTOR	0.042137	0.102911	0.917757
1560669269529	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-547.625	420.625	208.0
1560669269529	TYPE_GYROSCOPE_UNCALIBRATED	-0.028902652	-0.019041542	0.08522443
1560669269549	TYPE_ACCELEROMETER	0.095768064	2.0494366	9.576807
1560669269549	TYPE_MAGNETIC_FIELD	31.25	-34.5	-16.8125
1560669269549	TYPE_GYROSCOPE	-0.016947147	-0.06174975	0.014974925
1560669269549	TYPE_ROTATION_VECTOR	0.043121	0.10146	0.918087
1560669269549	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-547.375	420.3125	208.1875
1560669269549	TYPE_GYROSCOPE_UNCALIBRATED	-0.035290558	-0.08398525	0.06393141
1560669269570	TYPE_ACCELEROMETER	0.16280572	2.0973208	9.394848
1560669269570	TYPE_MAGNETIC_FIELD	35.5	-36.625	-12.5625
1560669269570	TYPE_GYROSCOPE	0.010716322	-0.006387905	-0.0063006384
1560669269570	TYPE_ROTATION_VECTOR	0.043637	0.101064	0.918134
