#	startTime:1560669479644
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b58557	FloorName:1F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560669479646	TYPE_WAYPOINT	107.40394	65.40804
1560669479850	TYPE_ACCELEROMETER	-0.1340753	2.0015526	9.634268
1560669479850	TYPE_MAGNETIC_FIELD	-34.625	17.375	-29.125
1560669479850	TYPE_GYROSCOPE	0.039461896	-0.027680922	-0.049951322
1560669479850	TYPE_ROTATION_VECTOR	0.082909	-0.045308	-0.478757
1560669479850	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-612.875	470.6875	194.125
1560669479850	TYPE_GYROSCOPE_UNCALIBRATED	0.07648033	-0.011588986	-0.06700319
1560669479871	TYPE_ACCELEROMETER	-0.12449849	2.0685902	9.500193
1560669479871	TYPE_MAGNETIC_FIELD	-36.75	18.0	-27.4375
1560669479871	TYPE_GYROSCOPE	0.027750734	-0.014905112	-0.024399703
1560669479871	TYPE_ROTATION_VECTOR	0.085023	-0.045742	-0.479101
1560669479871	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-613.5625	471.125	194.8125
1560669479871	TYPE_GYROSCOPE_UNCALIBRATED	0.039217547	-0.02755875	-0.049968775
1560669479891	TYPE_ACCELEROMETER	-0.11492168	2.0398598	9.519346
1560669479891	TYPE_MAGNETIC_FIELD	-33.0	19.125	-30.0
1560669479891	TYPE_GYROSCOPE	0.029880038	0.0021118484	-0.011623893
1560669479891	TYPE_ROTATION_VECTOR	0.085206	-0.045983	-0.479314
1560669479891	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-613.25	471.5625	194.6875
1560669479891	TYPE_GYROSCOPE_UNCALIBRATED	0.027506389	-0.014782939	-0.024417156
1560669479910	TYPE_ACCELEROMETER	-0.038307227	2.0015526	9.509769
1560669479910	TYPE_MAGNETIC_FIELD	-33.9375	16.625	-29.125
1560669479910	TYPE_GYROSCOPE	0.024556782	0.008499754	-0.019076448
1560669479910	TYPE_ROTATION_VECTOR	0.086229	-0.046322	-0.479331
1560669479910	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-613.25	471.5625	194.875
1560669479910	TYPE_GYROSCOPE_UNCALIBRATED	0.02963569	0.0022340214	-0.011641346
1560669479930	TYPE_ACCELEROMETER	-0.06703765	2.0111294	9.691729
1560669479930	TYPE_MAGNETIC_FIELD	-35.375	17.375	-30.8125
1560669479930	TYPE_GYROSCOPE	0.025621433	-0.019163715	-0.011623893
1560669479930	TYPE_ROTATION_VECTOR	0.086494	-0.046347	-0.47947899
1560669479930	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-613.6875	472.0	195.0
1560669479930	TYPE_GYROSCOPE_UNCALIBRATED	0.024312437	0.008621926	-0.019093903
1560669479951	TYPE_ACCELEROMETER	-0.1436521	2.087744	9.710882
1560669479951	TYPE_MAGNETIC_FIELD	-34.75	15.875	-32.4375
1560669479951	TYPE_GYROSCOPE	0.019233529	-0.020228365	0.011780973
1560669479951	TYPE_ROTATION_VECTOR	0.087725	-0.046258	-0.479595
1560669479951	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-613.6875	471.6875	194.375
1560669479951	TYPE_GYROSCOPE_UNCALIBRATED	0.025377087	-0.019041542	-0.011641346
1560669479970	TYPE_ACCELEROMETER	-0.16280572	2.0398598	9.758766
1560669479970	TYPE_MAGNETIC_FIELD	-35.3125	18.125	-28.3125
1560669479970	TYPE_GYROSCOPE	0.033073988	-0.015969763	0.03413864
1560669479970	TYPE_ROTATION_VECTOR	0.087791	-0.046535	-0.479502
1560669479970	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-613.375	471.75	194.1875
1560669479970	TYPE_GYROSCOPE_UNCALIBRATED	0.018989183	-0.020106193	0.011763519
1560669479990	TYPE_ACCELEROMETER	-0.12449849	1.9153614	9.193734
1560669479990	TYPE_MAGNETIC_FIELD	-33.9375	16.625	-29.125
1560669479990	TYPE_GYROSCOPE	-0.012688544	0.039374627	0.019233529
1560669479990	TYPE_ROTATION_VECTOR	0.088263	-0.04718	-0.479141
1560669479990	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-613.5625	471.25	194.375
1560669479990	TYPE_GYROSCOPE_UNCALIBRATED	0.032829642	-0.01584759	0.034121186
1560669480011	TYPE_ACCELEROMETER	0.06703765	1.8195933	9.643845
1560669480011	TYPE_MAGNETIC_FIELD	-28.5625	19.25	-23.3125
1560669480011	TYPE_GYROSCOPE	-0.03291691	-0.027680922	-0.020141099
