#	startTime:1560670756533
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b58557	FloorName:1F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560670756536	TYPE_WAYPOINT	128.17966	77.55553
1560670756742	TYPE_ACCELEROMETER	0.047884032	1.2641385	9.720459
1560670756742	TYPE_MAGNETIC_FIELD	-25.6875	-34.25	-11.625
1560670756742	TYPE_GYROSCOPE	-0.09679596	-0.072396256	-0.12554154
1560670756742	TYPE_ROTATION_VECTOR	0.017092	-0.056881	-0.940329
1560670756742	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-603.6875	420.8125	206.75
1560670756742	TYPE_GYROSCOPE_UNCALIBRATED	-0.07894124	-0.063756876	-0.088296205
1560670756762	TYPE_ACCELEROMETER	-0.095768064	1.4939818	9.615114
1560670756762	TYPE_MAGNETIC_FIELD	-26.1875	-31.125	-10.0625
1560670756762	TYPE_GYROSCOPE	-0.04782202	-0.005323254	-0.089343406
1560670756762	TYPE_ROTATION_VECTOR	0.018575	-0.058297	-0.940547
1560670756762	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-603.8125	421.5	207.0625
1560670756762	TYPE_GYROSCOPE_UNCALIBRATED	-0.0970403	-0.07227408	-0.12555899
1560670756783	TYPE_ACCELEROMETER	-0.31603462	1.6280571	9.595961
1560670756783	TYPE_MAGNETIC_FIELD	-24.875	-33.375	-11.6875
1560670756783	TYPE_GYROSCOPE	-0.0094945915	0.05427974	-0.029722957
1560670756783	TYPE_ROTATION_VECTOR	0.018419	-0.057849	-0.940874
1560670756783	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-603.625	421.5	206.9375
1560670756783	TYPE_GYROSCOPE_UNCALIBRATED	-0.048066366	-0.0052010813	-0.089360856
1560670756802	TYPE_ACCELEROMETER	-0.40222588	1.6663644	9.643845
1560670756802	TYPE_MAGNETIC_FIELD	-29.0625	-30.5625	-9.25
1560670756802	TYPE_GYROSCOPE	-0.03398156	0.05215044	-0.0073652896
1560670756802	TYPE_ROTATION_VECTOR	0.022722	-0.059524998	-0.94064
1560670756802	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-603.875	422.5625	207.25
1560670756802	TYPE_GYROSCOPE_UNCALIBRATED	-0.009738937	0.05440191	-0.02974041
1560670756822	TYPE_ACCELEROMETER	-0.34476504	1.6472107	9.77792
1560670756822	TYPE_MAGNETIC_FIELD	-29.1875	-32.125	-10.875
1560670756822	TYPE_GYROSCOPE	-0.0786969	0.009564404	-0.013753194
1560670756822	TYPE_ROTATION_VECTOR	0.023105	-0.059028998	-0.940672
1560670756822	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.0625	422.5	207.4375
1560670756822	TYPE_GYROSCOPE_UNCALIBRATED	-0.034225907	0.05227261	-0.0073827426
1560670756843	TYPE_ACCELEROMETER	-0.2777274	1.541866	9.864111
1560670756843	TYPE_MAGNETIC_FIELD	-26.0625	-29.5	-10.0625
1560670756843	TYPE_GYROSCOPE	-0.061662484	-0.0031939526	-0.028658306
1560670756843	TYPE_ROTATION_VECTOR	0.024698	-0.059242	-0.940604
1560670756843	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.125	423.4375	207.75
1560670756843	TYPE_GYROSCOPE_UNCALIBRATED	-0.07894124	0.009686577	-0.013770647
1560670756862	TYPE_ACCELEROMETER	-0.2777274	1.4556746	9.911995
1560670756862	TYPE_MAGNETIC_FIELD	-27.6875	-31.1875	-10.875
1560670756862	TYPE_GYROSCOPE	-0.016947147	0.0074351025	-0.021205751
1560670756862	TYPE_ROTATION_VECTOR	0.024482	-0.058665	-0.940737
1560670756862	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.4375	423.375	207.5625
1560670756862	TYPE_GYROSCOPE_UNCALIBRATED	-0.06190683	-0.0030717794	-0.02867576
