#	startTime:1560671199434
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b58557	FloorName:1F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560671199436	TYPE_WAYPOINT	171.75264	83.530266
1560671199625	TYPE_ACCELEROMETER	0.009576807	1.4173675	9.758766
1560671199625	TYPE_MAGNETIC_FIELD	10.6875	-37.5	-26.25
1560671199625	TYPE_GYROSCOPE	0.13528048	0.068120204	0.07672467
1560671199625	TYPE_ROTATION_VECTOR	0.024175	0.051413998	0.97813797
1560671199625	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-561.3125	415.5625	198.9375
1560671199625	TYPE_GYROSCOPE_UNCALIBRATED	0.100967295	0.026720991	0.018151425
1560671199645	TYPE_ACCELEROMETER	0.05746084	1.4077905	9.519346
1560671199645	TYPE_MAGNETIC_FIELD	9.1875	-37.6875	-24.5625
1560671199645	TYPE_GYROSCOPE	0.06607816	0.050021138	0.028815385
1560671199645	TYPE_ROTATION_VECTOR	0.023816999	0.052855	0.978237
1560671199645	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-562.0	415.8125	199.4375
1560671199645	TYPE_GYROSCOPE_UNCALIBRATED	0.13503613	0.06824237	0.07670722
1560671199666	TYPE_ACCELEROMETER	0.23942018	1.1683705	9.414001
1560671199666	TYPE_MAGNETIC_FIELD	11.5	-36.75	-23.75
1560671199666	TYPE_GYROSCOPE	-0.0850848	-0.05110324	-0.16173966
1560671199666	TYPE_ROTATION_VECTOR	0.023991	0.052431	0.97831297
1560671199666	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-562.0	416.125	199.875
1560671199666	TYPE_GYROSCOPE_UNCALIBRATED	0.06583382	0.05014331	0.028797932
1560671199685	TYPE_ACCELEROMETER	0.32561144	0.8619126	9.500193
1560671199685	TYPE_MAGNETIC_FIELD	11.4375	-37.5	-23.75
1560671199685	TYPE_GYROSCOPE	-0.23094197	-0.14479251	-0.25010568
1560671199685	TYPE_ROTATION_VECTOR	0.024234	0.051537	0.978021
1560671199685	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-562.4375	416.1875	200.5625
1560671199685	TYPE_GYROSCOPE_UNCALIBRATED	-0.085329145	-0.050981067	-0.16175711
1560671199705	TYPE_ACCELEROMETER	0.019153614	1.1875241	9.442732
1560671199705	TYPE_MAGNETIC_FIELD	12.875	-37.375	-25.375
1560671199705	TYPE_GYROSCOPE	-0.29375637	-0.09155997	-0.17025687
1560671199705	TYPE_ROTATION_VECTOR	0.023315	0.052375	0.977506
1560671199705	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-562.25	416.6875	200.6875
1560671199705	TYPE_GYROSCOPE_UNCALIBRATED	-0.23118632	-0.14467034	-0.25012314
1560671199726	TYPE_ACCELEROMETER	-0.18195933	1.6472107	9.433155
1560671199726	TYPE_MAGNETIC_FIELD	10.0	-36.8125	-24.5625
1560671199726	TYPE_GYROSCOPE	-0.20113175	0.01595231	-0.03291691
1560671199726	TYPE_ROTATION_VECTOR	0.023518	0.049357	0.977286
1560671199726	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-562.375	416.8125	201.0
1560671199726	TYPE_GYROSCOPE_UNCALIBRATED	-0.29400072	-0.0914378	-0.17027432
1560671199745	TYPE_ACCELEROMETER	-0.11492168	1.6663644	10.04607
1560671199745	TYPE_MAGNETIC_FIELD	9.1875	-37.6875	-24.5625
1560671199745	TYPE_GYROSCOPE	0.025621433	0.005305801	0.03520329
