#	startTime:1560671084762
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b58557	FloorName:1F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560671084765	TYPE_WAYPOINT	166.7737	88.69369
1560671084966	TYPE_ACCELEROMETER	-0.1340753	0.842759	9.5385
1560671084966	TYPE_MAGNETIC_FIELD	-27.4375	37.625	-20.5625
1560671084966	TYPE_GYROSCOPE	-0.15109316	-0.08197811	-0.11489502
1560671084966	TYPE_ROTATION_VECTOR	0.043873	-0.004416	-0.296119
1560671084966	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-603.25	488.875	206.1875
1560671084966	TYPE_GYROSCOPE_UNCALIBRATED	-0.0150621915	-0.02755875	-0.06700319
1560671084986	TYPE_ACCELEROMETER	-0.1340753	0.92895025	9.452309
1560671084986	TYPE_MAGNETIC_FIELD	-25.25	36.9375	-19.6875
1560671084986	TYPE_GYROSCOPE	-0.1521578	-0.05003859	-0.13192944
1560671084986	TYPE_ROTATION_VECTOR	0.043283	-0.005242	-0.297221
1560671084986	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-602.9375	488.875	206.3125
1560671084986	TYPE_GYROSCOPE_UNCALIBRATED	-0.1513375	-0.081855945	-0.11491248
1560671085006	TYPE_ACCELEROMETER	-0.1340753	0.9576807	9.500193
1560671085006	TYPE_MAGNETIC_FIELD	-28.125	38.3125	-19.75
1560671085006	TYPE_GYROSCOPE	-0.07337364	0.035116024	-0.12234758
1560671085006	TYPE_ROTATION_VECTOR	0.041692	-0.00521	-0.298508
1560671085006	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-603.3125	489.1875	206.3125
1560671085006	TYPE_GYROSCOPE_UNCALIBRATED	-0.15240215	-0.049916416	-0.13194689
1560671085025	TYPE_ACCELEROMETER	-0.18195933	0.9959879	9.586384
1560671085025	TYPE_MAGNETIC_FIELD	-28.25	36.6875	-18.875
1560671085025	TYPE_GYROSCOPE	-0.036110863	0.047891833	-0.11276572
1560671085025	TYPE_ROTATION_VECTOR	0.042847	-0.004637	-0.299644
1560671085025	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-603.75	489.125	206.5
1560671085025	TYPE_GYROSCOPE_UNCALIBRATED	-0.07361799	0.0352382	-0.122365035
1560671085046	TYPE_ACCELEROMETER	-0.2777274	1.1109096	9.56723
1560671085046	TYPE_MAGNETIC_FIELD	-25.1875	38.5	-17.25
1560671085046	TYPE_GYROSCOPE	-0.09998991	0.02979277	-0.087214105
1560671085046	TYPE_ROTATION_VECTOR	0.042652998	-0.004023	-0.3007
1560671085046	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-603.625	489.625	207.0
1560671085046	TYPE_GYROSCOPE_UNCALIBRATED	-0.03635521	0.048014008	-0.11278318
1560671085066	TYPE_ACCELEROMETER	-0.24899697	1.1300632	9.356541
1560671085066	TYPE_MAGNETIC_FIELD	-29.0625	35.0625	-18.8125
1560671085066	TYPE_GYROSCOPE	-0.17345083	0.019146262	-0.07763225
1560671085066	TYPE_ROTATION_VECTOR	0.043507	-0.0038059999	-0.301485
1560671085066	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-603.9375	489.125	207.3125
1560671085066	TYPE_GYROSCOPE_UNCALIBRATED	-0.100234255	0.029914944	-0.087231554
1560671085085	TYPE_ACCELEROMETER	-0.17238252	0.89064306	9.461885
1560671085085	TYPE_MAGNETIC_FIELD	-25.875	38.4375	-17.25
1560671085085	TYPE_GYROSCOPE	-0.19048524	-0.013840461	-0.09360201
