#	startTime:1560672762952
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b58557	FloorName:1F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560672762952	TYPE_WAYPOINT	43.303917	71.092476
1560672763152	TYPE_ACCELEROMETER	0.21068975	1.4269443	9.643845
1560672763152	TYPE_MAGNETIC_FIELD	-27.75	15.0	-13.4375
1560672763152	TYPE_GYROSCOPE	-0.022270402	-0.054297194	-0.058468528
1560672763152	TYPE_ROTATION_VECTOR	0.063009	-0.041952	-0.452046
1560672763152	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-600.375	469.375	210.5625
1560672763152	TYPE_GYROSCOPE_UNCALIBRATED	-0.008674286	-0.06482153	-0.04145157
1560672763172	TYPE_ACCELEROMETER	0.095768064	1.5035586	9.519346
1560672763172	TYPE_MAGNETIC_FIELD	-27.6875	16.625	-15.1875
1560672763172	TYPE_GYROSCOPE	-0.035046212	-0.014905112	-0.052080624
1560672763172	TYPE_ROTATION_VECTOR	0.062591	-0.042296	-0.452609
1560672763172	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-600.5625	469.6875	210.5
1560672763172	TYPE_GYROSCOPE_UNCALIBRATED	-0.022514747	-0.05417502	-0.058485985
1560672763192	TYPE_ACCELEROMETER	0.0	1.5610195	9.308656
1560672763192	TYPE_MAGNETIC_FIELD	-26.125	17.5	-15.1875
1560672763192	TYPE_GYROSCOPE	-0.066985734	0.048956484	-0.021205751
1560672763192	TYPE_ROTATION_VECTOR	0.063916996	-0.041581	-0.45315298
1560672763192	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-600.3125	470.0625	210.4375
1560672763192	TYPE_GYROSCOPE_UNCALIBRATED	-0.035290558	-0.014782939	-0.052098077
1560672763212	TYPE_ACCELEROMETER	-0.047884032	1.5610195	9.337387
1560672763212	TYPE_MAGNETIC_FIELD	-29.1875	15.6875	-13.5
1560672763212	TYPE_GYROSCOPE	-0.07337364	0.035116024	-0.016947147
1560672763212	TYPE_ROTATION_VECTOR	0.063554	-0.040828	-0.453338
1560672763212	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-600.9375	469.875	210.8125
1560672763212	TYPE_GYROSCOPE_UNCALIBRATED	-0.06723008	0.04907866	-0.021223204
1560672763232	TYPE_ACCELEROMETER	-0.009576807	1.484405	9.56723
1560672763232	TYPE_MAGNETIC_FIELD	-27.5625	18.1875	-13.5
1560672763232	TYPE_GYROSCOPE	-0.08189085	0.013823007	-0.021205751
1560672763232	TYPE_ROTATION_VECTOR	0.063669	-0.039524	-0.453546
1560672763232	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-601.0625	470.625	211.25
1560672763232	TYPE_GYROSCOPE_UNCALIBRATED	-0.07361799	0.0352382	-0.0169646
1560672763252	TYPE_ACCELEROMETER	0.0	1.4652514	9.509769
1560672763252	TYPE_MAGNETIC_FIELD	-26.9375	16.625	-14.3125
1560672763252	TYPE_GYROSCOPE	-0.11063642	-0.0010646508	-0.023335053
1560672763252	TYPE_ROTATION_VECTOR	0.063015	-0.039015	-0.453758
1560672763252	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-600.875	471.0	211.125
1560672763252	TYPE_GYROSCOPE_UNCALIBRATED	-0.08213519	0.013945181	-0.021223204
1560672763272	TYPE_ACCELEROMETER	-0.038307227	1.5227122	9.356541
1560672763272	TYPE_MAGNETIC_FIELD	-21.3125	23.25	-7.8125
1560672763272	TYPE_GYROSCOPE	-0.16706291	0.024469515	-0.0063006384
1560672763272	TYPE_ROTATION_VECTOR	0.063654	-0.038148	-0.454037
1560672763272	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-599.625	472.3125	212.5625
1560672763272	TYPE_GYROSCOPE_UNCALIBRATED	-0.11088077	-9.424778E-4	-0.023352506
