#	startTime:1560672599426
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b58557	FloorName:1F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560672599428	TYPE_WAYPOINT	59.647625	90.64389
1560672599626	TYPE_ACCELEROMETER	-0.33518824	2.3558946	8.992621
1560672599626	TYPE_MAGNETIC_FIELD	18.8125	-26.9375	-12.3125
1560672599626	TYPE_GYROSCOPE	0.0043284167	0.08834857	0.07246607
1560672599626	TYPE_ROTATION_VECTOR	0.047428	0.069785	0.944709
1560672599626	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-553.5625	424.375	211.5625
1560672599626	TYPE_GYROSCOPE_UNCALIBRATED	-0.0885231	-0.05311037	-0.06593854
1560672599646	TYPE_ACCELEROMETER	-0.2681506	2.432509	8.935161
1560672599646	TYPE_MAGNETIC_FIELD	15.8125	-27.9375	-13.125
1560672599646	TYPE_GYROSCOPE	0.118246056	0.2065248	0.13847442
1560672599646	TYPE_ROTATION_VECTOR	0.044771	0.077819	0.944413
1560672599646	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-554.5625	424.8125	211.75
1560672599646	TYPE_GYROSCOPE_UNCALIBRATED	0.00408407	0.08847074	0.07244862
1560672599667	TYPE_ACCELEROMETER	-0.019153614	2.231396	8.868123
1560672599667	TYPE_MAGNETIC_FIELD	17.8125	-30.875	-15.5625
1560672599667	TYPE_GYROSCOPE	0.15337953	0.25762805	0.115052104
1560672599667	TYPE_ROTATION_VECTOR	0.043299	0.079528	0.944847
1560672599667	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-554.75	424.5	211.375
1560672599667	TYPE_GYROSCOPE_UNCALIBRATED	0.11800171	0.20664698	0.13845697
1560672599686	TYPE_ACCELEROMETER	0.06703765	2.0590134	8.676587
1560672599686	TYPE_MAGNETIC_FIELD	17.0625	-31.0	-13.875
1560672599686	TYPE_GYROSCOPE	0.02242748	0.23314108	0.09908234
1560672599686	TYPE_ROTATION_VECTOR	0.040985	0.085521	0.94487
1560672599686	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-555.625	425.0625	211.6875
1560672599686	TYPE_GYROSCOPE_UNCALIBRATED	0.1531352	0.2577502	0.11503465
1560672599706	TYPE_ACCELEROMETER	-0.009576807	2.078167	8.6095495
1560672599706	TYPE_MAGNETIC_FIELD	17.1875	-29.4375	-12.25
1560672599706	TYPE_GYROSCOPE	-0.13831735	0.09367182	0.13528048
1560672599706	TYPE_ROTATION_VECTOR	0.038936	0.086424	0.945253
1560672599706	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-556.0625	424.8125	212.0
1560672599706	TYPE_GYROSCOPE_UNCALIBRATED	0.022183135	0.23326325	0.09906489
1560672599727	TYPE_ACCELEROMETER	-0.33518824	1.9057846	8.714894
1560672599727	TYPE_MAGNETIC_FIELD	16.3125	-31.0625	-13.875
1560672599727	TYPE_GYROSCOPE	-0.22881266	0.056409042	0.19490092
1560672599727	TYPE_ROTATION_VECTOR	0.033999	0.086953	0.945728
1560672599727	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-556.5625	424.0	211.6875
1560672599727	TYPE_GYROSCOPE_UNCALIBRATED	-0.1385617	0.093793996	0.13526301
1560672599746	TYPE_ACCELEROMETER	-0.45968673	1.5610195	8.896853
1560672599746	TYPE_MAGNETIC_FIELD	18.0	-27.75	-13.125
1560672599746	TYPE_GYROSCOPE	-0.20645499	0.20120156	0.17893115
1560672599746	TYPE_ROTATION_VECTOR	0.032926	0.084901	0.946547
1560672599746	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-556.125	424.0625	211.6875
1560672599746	TYPE_GYROSCOPE_UNCALIBRATED	-0.22905701	0.056531213	0.19488347
1560672599766	TYPE_ACCELEROMETER	-0.38307226	1.4939818	9.586384
1560672599766	TYPE_MAGNETIC_FIELD	17.8125	-30.0625	-15.5625
1560672599766	TYPE_GYROSCOPE	-0.15322246	0.22568853	0.116116755
1560672599766	TYPE_ROTATION_VECTOR	0.029034	0.083591	0.947335
1560672599766	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-556.125	424.1875	211.6875
1560672599766	TYPE_GYROSCOPE_UNCALIBRATED	-0.20669934	0.20132373	0.1789137
1560672599786	TYPE_ACCELEROMETER	0.038307227	2.2888567	10.831368
1560672599786	TYPE_MAGNETIC_FIELD	16.4375	-29.4375	-13.9375
1560672599786	TYPE_GYROSCOPE	-0.41725585	0.12348204	0.13102187
1560672599786	TYPE_ROTATION_VECTOR	0.026522	0.082802	0.947881
1560672599786	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-556.25	424.5	211.6875
1560672599786	TYPE_GYROSCOPE_UNCALIBRATED	-0.1534668	0.22581069	0.1160993
