#	startTime:1560742548562
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b58557	FloorName:1F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560742548565	TYPE_WAYPOINT	154.82178	64.95802
1560742548778	TYPE_ACCELEROMETER	-0.08619126	2.135628	9.940725
1560742548778	TYPE_MAGNETIC_FIELD	-16.5	58.6875	-8.125
1560742548778	TYPE_GYROSCOPE	0.004555309	-0.002042035	-0.04342379
1560742548778	TYPE_ROTATION_VECTOR	0.095496	-0.025224	-0.150554
1560742548778	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.125	506.375	218.25
1560742548778	TYPE_GYROSCOPE_UNCALIBRATED	-0.079779	-0.025342181	-0.046635196
1560742548798	TYPE_ACCELEROMETER	-0.22026655	2.2026656	9.77792
1560742548798	TYPE_MAGNETIC_FIELD	-17.1875	59.4375	-9.0
1560742548798	TYPE_GYROSCOPE	0.010943214	-0.015882496	-0.02851868
1560742548798	TYPE_ROTATION_VECTOR	0.097579	-0.022639	-0.151475
1560742548798	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.1875	506.75	218.125
1560742548798	TYPE_GYROSCOPE_UNCALIBRATED	0.004310963	-0.0019198621	-0.043441243
1560742548819	TYPE_ACCELEROMETER	-0.16280572	2.2409728	9.672575
1560742548819	TYPE_MAGNETIC_FIELD	-17.9375	58.5625	-8.125
1560742548819	TYPE_GYROSCOPE	-0.018849555	-0.04569272	0.0012740904
1560742548819	TYPE_ROTATION_VECTOR	0.097671	-0.022781	-0.151769
1560742548819	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.375	506.8125	218.1875
1560742548819	TYPE_GYROSCOPE_UNCALIBRATED	0.010698868	-0.015760323	-0.028536133
1560742548838	TYPE_ACCELEROMETER	0.11492168	2.1164744	9.481039
1560742548838	TYPE_MAGNETIC_FIELD	-19.5625	56.875	-8.9375
1560742548838	TYPE_GYROSCOPE	-0.04759513	-0.037175514	0.0012740904
1560742548838	TYPE_ROTATION_VECTOR	0.098816	-0.022903	-0.151966
1560742548838	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.8125	506.8125	217.875
1560742548838	TYPE_GYROSCOPE_UNCALIBRATED	-0.019093903	-0.045570545	0.001256637
1560742548858	TYPE_ACCELEROMETER	0.23942018	2.0590134	9.624691
1560742548858	TYPE_MAGNETIC_FIELD	-17.1875	58.625	-8.125
1560742548858	TYPE_GYROSCOPE	-0.038013272	-0.004171337	-0.022130774
1560742548858	TYPE_ROTATION_VECTOR	0.098293	-0.023195	-0.152002
1560742548858	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.8125	506.9375	218.1875
1560742548858	TYPE_GYROSCOPE_UNCALIBRATED	-0.047839474	-0.03705334	0.001256637
1560742548879	TYPE_ACCELEROMETER	-0.02873042	2.1452048	9.787497
1560742548879	TYPE_MAGNETIC_FIELD	-18.75	57.75	-8.9375
1560742548879	TYPE_GYROSCOPE	0.024783675	-0.003106686	-0.023195425
1560742548879	TYPE_ROTATION_VECTOR	0.098852	-0.022336	-0.15237
1560742548879	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.25	506.75	218.0625
1560742548879	TYPE_GYROSCOPE_UNCALIBRATED	-0.038257618	-0.004049164	-0.022148227
1560742548898	TYPE_ACCELEROMETER	-0.21068975	2.27928	9.730036
1560742548898	TYPE_MAGNETIC_FIELD	-16.625	56.375	-10.625
1560742548898	TYPE_GYROSCOPE	0.053529248	-0.0073652896	0.008726646
1560742548898	TYPE_ROTATION_VECTOR	0.099098	-0.02238	-0.152597
1560742548898	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.125	506.125	217.75
1560742548898	TYPE_GYROSCOPE_UNCALIBRATED	0.02453933	-0.002984513	-0.02321288
1560742548918	TYPE_ACCELEROMETER	-0.12449849	2.2409728	9.624691
1560742548918	TYPE_MAGNETIC_FIELD	-19.4375	58.5	-9.0
1560742548918	TYPE_GYROSCOPE	0.03436553	-0.025464354	0.018308504
1560742548918	TYPE_ROTATION_VECTOR	0.101209	-0.021184	-0.152741
1560742548918	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.4375	506.125	217.5625
1560742548918	TYPE_GYROSCOPE_UNCALIBRATED	0.053284902	-0.0072431164	0.008709193
1560742548938	TYPE_ACCELEROMETER	-0.05746084	2.1930888	9.528923
1560742548938	TYPE_MAGNETIC_FIELD	-17.1875	58.625	-9.0
1560742548938	TYPE_GYROSCOPE	0.0034906585	-0.051015973	0.014049901
1560742548938	TYPE_ROTATION_VECTOR	0.101505	-0.021503	-0.152581
1560742548938	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.0	506.5	217.5625
1560742548938	TYPE_GYROSCOPE_UNCALIBRATED	0.034121186	-0.025342181	0.01829105
1560742548959	TYPE_ACCELEROMETER	0.23942018	2.0685902	9.346964
1560742548959	TYPE_MAGNETIC_FIELD	-18.75	57.75	-9.8125
1560742548959	TYPE_GYROSCOPE	0.004555309	-0.016947147	-0.0050963615
1560742548959	TYPE_ROTATION_VECTOR	0.101929	-0.022547	-0.152471
1560742548959	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.3125	506.3125	217.25
1560742548959	TYPE_GYROSCOPE_UNCALIBRATED	0.0032463125	-0.050893802	0.014032447
1560742548978	TYPE_ACCELEROMETER	0.29688102	2.0207062	9.481039
1560742548978	TYPE_MAGNETIC_FIELD	-18.0625	57.0625	-11.4375
1560742548978	TYPE_GYROSCOPE	0.019460421	-0.024399703	-0.048747044
1560742548978	TYPE_ROTATION_VECTOR	0.101951	-0.022713	-0.152538
1560742548978	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.125	506.1875	216.75
1560742548978	TYPE_GYROSCOPE_UNCALIBRATED	0.004310963	-0.016824974	-0.0051138145
1560742548998	TYPE_ACCELEROMETER	0.21068975	2.1452048	9.346964
1560742548998	TYPE_MAGNETIC_FIELD	-17.25	58.6875	-10.625
1560742548998	TYPE_GYROSCOPE	0.038624138	-0.06379178	-0.07642797
1560742548998	TYPE_ROTATION_VECTOR	0.102719	-0.023377	-0.153024
1560742548998	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.25	506.625	216.6875
1560742548998	TYPE_GYROSCOPE_UNCALIBRATED	0.019216076	-0.02427753	-0.0487645
1560742549019	TYPE_ACCELEROMETER	0.19153613	2.183512	8.858546
1560742549019	TYPE_MAGNETIC_FIELD	-19.5	57.6875	-9.8125
1560742549019	TYPE_GYROSCOPE	-0.031625368	-0.09679596	-0.09985029
1560742549019	TYPE_ROTATION_VECTOR	0.103021	-0.023981	-0.153832
1560742549019	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.25	506.5	216.5625
1560742549019	TYPE_GYROSCOPE_UNCALIBRATED	0.03837979	-0.063669614	-0.07644542
1560742549038	TYPE_ACCELEROMETER	0.20111294	2.1930888	8.39886
1560742549038	TYPE_MAGNETIC_FIELD	-16.5	58.75	-10.625
1560742549038	TYPE_GYROSCOPE	-0.20303415	-0.14470525	-0.108367495
1560742549038	TYPE_ROTATION_VECTOR	0.104609996	-0.025452	-0.15496
1560742549038	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.125	506.5	216.1875
1560742549038	TYPE_GYROSCOPE_UNCALIBRATED	-0.031869713	-0.09667379	-0.09986774
1560742549058	TYPE_ACCELEROMETER	0.24899697	2.1643584	8.207323
1560742549058	TYPE_MAGNETIC_FIELD	-19.5625	56.875	-8.125
1560742549058	TYPE_GYROSCOPE	-0.36273178	-0.089343406	-0.09878564
1560742549058	TYPE_ROTATION_VECTOR	0.102421	-0.026445	-0.156227
1560742549058	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.3125	506.3125	216.5625
1560742549058	TYPE_GYROSCOPE_UNCALIBRATED	-0.2032785	-0.14458308	-0.108384944
1560742549078	TYPE_ACCELEROMETER	0.41180268	1.484405	9.337387
1560742549078	TYPE_MAGNETIC_FIELD	-18.8125	56.9375	-8.9375
1560742549078	TYPE_GYROSCOPE	-0.3882834	-0.17770943	-0.14669493
1560742549078	TYPE_ROTATION_VECTOR	0.096401	-0.027002	-0.157316
1560742549078	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.4375	506.3125	217.0625
1560742549078	TYPE_GYROSCOPE_UNCALIBRATED	-0.36297613	-0.08922123	-0.09880309
1560742549099	TYPE_ACCELEROMETER	0.36391866	1.6663644	9.308656
1560742549099	TYPE_MAGNETIC_FIELD	-16.5625	57.9375	-11.4375
1560742549099	TYPE_GYROSCOPE	-0.18387043	-0.069115035	-0.20418607
1560742549099	TYPE_ROTATION_VECTOR	0.092346996	-0.027999999	-0.159029
1560742549099	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.3125	506.125	216.875
1560742549099	TYPE_GYROSCOPE_UNCALIBRATED	-0.38852775	-0.17758726	-0.14671238
1560742549118	TYPE_ACCELEROMETER	-0.1436521	2.0015526	9.414001
1560742549118	TYPE_MAGNETIC_FIELD	-15.9375	55.625	-11.4375
1560742549118	TYPE_GYROSCOPE	-0.06462954	-0.0850848	-0.15308283
1560742549118	TYPE_ROTATION_VECTOR	0.091487	-0.026547	-0.161335
1560742549118	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.5625	505.75	216.5625
1560742549118	TYPE_GYROSCOPE_UNCALIBRATED	-0.18411478	-0.06899287	-0.20420352
1560742549138	TYPE_ACCELEROMETER	-0.34476504	2.1547816	8.456321
1560742549138	TYPE_MAGNETIC_FIELD	-16.4375	59.5	-9.0
1560742549138	TYPE_GYROSCOPE	-0.06675884	0.1629614	-0.059393555
1560742549138	TYPE_ROTATION_VECTOR	0.090757	-0.027137	-0.162934
1560742549138	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.5625	505.875	216.875
1560742549138	TYPE_GYROSCOPE_UNCALIBRATED	-0.06487389	-0.08496263	-0.15310028
1560742549159	TYPE_ACCELEROMETER	-0.4309563	2.1739352	8.264784
1560742549159	TYPE_MAGNETIC_FIELD	-17.75	61.8125	-9.875
1560742549159	TYPE_GYROSCOPE	-0.17428859	0.33649948	0.019373154
1560742549159	TYPE_ROTATION_VECTOR	0.094241	-0.022817	-0.163815
1560742549159	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.1875	506.875	216.5625
1560742549159	TYPE_GYROSCOPE_UNCALIBRATED	-0.06700319	0.16308357	-0.059411008
1560742549178	TYPE_ACCELEROMETER	-0.17238252	2.0111294	8.868123
1560742549178	TYPE_MAGNETIC_FIELD	-19.25	61.6875	-8.25
1560742549178	TYPE_GYROSCOPE	-0.41383502	0.2534567	0.020437805
1560742549178	TYPE_ROTATION_VECTOR	0.093077	-0.019243	-0.163345
1560742549178	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.3125	507.8125	216.6875
1560742549178	TYPE_GYROSCOPE_UNCALIBRATED	-0.17453292	0.33662164	0.019355701
1560742549198	TYPE_ACCELEROMETER	-0.047884032	1.9919758	10.055647
1560742549198	TYPE_MAGNETIC_FIELD	-20.0	60.8125	-9.0625
1560742549198	TYPE_GYROSCOPE	-0.43725735	0.03413864	-0.05087635
1560742549198	TYPE_ROTATION_VECTOR	0.090048	-0.015991	-0.162999
1560742549198	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.0	508.375	217.1875
1560742549198	TYPE_GYROSCOPE_UNCALIBRATED	-0.41407937	0.25357887	0.020420352
1560742549218	TYPE_ACCELEROMETER	-0.49799395	2.3080103	10.01734
1560742549218	TYPE_MAGNETIC_FIELD	-17.125	60.25	-9.875
1560742549218	TYPE_GYROSCOPE	-0.38296014	-0.104248516	-0.024260076
1560742549218	TYPE_ROTATION_VECTOR	0.085816	-0.014896	-0.163535
1560742549218	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.25	509.3125	217.5
1560742549218	TYPE_GYROSCOPE_UNCALIBRATED	-0.43750167	0.034260813	-0.050893802
1560742549239	TYPE_ACCELEROMETER	-0.80445176	2.336741	9.557653
1560742549239	TYPE_MAGNETIC_FIELD	-19.3125	60.0625	-9.0
1560742549239	TYPE_GYROSCOPE	-0.3297276	-0.09040806	0.10667452
1560742549239	TYPE_ROTATION_VECTOR	0.085817	-0.012031	-0.164361
1560742549239	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.8125	509.4375	217.5
1560742549239	TYPE_GYROSCOPE_UNCALIBRATED	-0.3832045	-0.10412634	-0.02427753
1560742549258	TYPE_ACCELEROMETER	-0.49799395	2.432509	8.896853
1560742549258	TYPE_MAGNETIC_FIELD	-19.875	63.1875	-6.625
1560742549258	TYPE_GYROSCOPE	-0.30736995	0.05862561	0.24827309
1560742549258	TYPE_ROTATION_VECTOR	0.082415	-0.012464	-0.163428
1560742549258	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-612.25	509.6875	218.125
1560742549258	TYPE_GYROSCOPE_UNCALIBRATED	-0.32997194	-0.09028588	0.10665707
1560742549278	TYPE_ACCELEROMETER	0.08619126	1.9919758	8.676587
1560742549278	TYPE_MAGNETIC_FIELD	-18.4375	62.5625	-9.9375
1560742549278	TYPE_GYROSCOPE	-0.41915828	0.27262044	0.33344516
1560742549278	TYPE_ROTATION_VECTOR	0.082689	-0.012344	-0.160943
1560742549278	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-612.0625	509.875	217.8125
1560742549278	TYPE_GYROSCOPE_UNCALIBRATED	-0.30761427	0.058747783	0.24825563
1560742549299	TYPE_ACCELEROMETER	0.7565677	1.3982137	9.720459
1560742549299	TYPE_MAGNETIC_FIELD	-19.25	60.8125	-6.5625
1560742549299	TYPE_GYROSCOPE	-0.48623127	0.29817206	0.27488935
1560742549299	TYPE_ROTATION_VECTOR	0.078961	-0.009247	-0.157483
1560742549299	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.9375	509.875	218.3125
1560742549299	TYPE_GYROSCOPE_UNCALIBRATED	-0.41940263	0.2727426	0.3334277
1560742549318	TYPE_ACCELEROMETER	0.93852705	1.0726024	10.295067
1560742549318	TYPE_MAGNETIC_FIELD	-18.625	59.3125	-9.0
1560742549318	TYPE_GYROSCOPE	-0.48942524	0.16722	0.16735962
1560742549318	TYPE_ROTATION_VECTOR	0.071973	-0.009946	-0.154333
1560742549318	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-612.25	509.6875	218.5
1560742549318	TYPE_GYROSCOPE_UNCALIBRATED	-0.48647562	0.29829422	0.27487192
1560742549338	TYPE_ACCELEROMETER	0.90979666	1.0055647	10.323798
1560742549338	TYPE_MAGNETIC_FIELD	-15.0625	58.0	-8.125
1560742549338	TYPE_GYROSCOPE	-0.4851666	0.07885397	0.08857546
1560742549338	TYPE_ROTATION_VECTOR	0.067389	-0.007652	-0.152607
1560742549338	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.375	509.25	218.625
1560742549338	TYPE_GYROSCOPE_UNCALIBRATED	-0.48966956	0.16734217	0.16734217
1560742549358	TYPE_ACCELEROMETER	0.91937345	1.4077905	10.065224
1560742549358	TYPE_MAGNETIC_FIELD	-14.1875	59.6875	-9.0
1560742549358	TYPE_GYROSCOPE	-0.526688	0.07459537	0.04918338
1560742549358	TYPE_ROTATION_VECTOR	0.062384	-0.010462	-0.151483
1560742549358	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.25	508.5625	218.1875
1560742549358	TYPE_GYROSCOPE_UNCALIBRATED	-0.48541096	0.07897615	0.088558
1560742549379	TYPE_ACCELEROMETER	0.8810662	1.3503298	10.295067
1560742549379	TYPE_MAGNETIC_FIELD	-14.9375	59.625	-9.0
1560742549379	TYPE_GYROSCOPE	-0.6416703	0.13102187	0.04173082
1560742549379	TYPE_ROTATION_VECTOR	0.057295	-0.008954	-0.151001
1560742549379	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.5625	508.0	218.375
1560742549379	TYPE_GYROSCOPE_UNCALIBRATED	-0.52693236	0.074717544	0.049165923
1560742549398	TYPE_ACCELEROMETER	0.8810662	1.091756	11.291056
1560742549398	TYPE_MAGNETIC_FIELD	-16.4375	59.4375	-7.3125
1560742549398	TYPE_GYROSCOPE	-0.60547215	0.15976743	-0.10304424
1560742549398	TYPE_ROTATION_VECTOR	0.050290998	-0.0103	-0.150408
1560742549398	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.0	507.6875	218.1875
1560742549398	TYPE_GYROSCOPE_UNCALIBRATED	-0.64191467	0.13114405	0.04171337
1560742549418	TYPE_ACCELEROMETER	0.16280572	1.3599066	12.287044
1560742549418	TYPE_MAGNETIC_FIELD	-15.0	58.8125	-9.0
1560742549418	TYPE_GYROSCOPE	-0.4447099	0.11398745	-0.23186699
1560742549418	TYPE_ROTATION_VECTOR	0.044565	-0.007763	-0.151399
1560742549418	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-608.25	507.625	218.1875
1560742549418	TYPE_GYROSCOPE_UNCALIBRATED	-0.6057165	0.15988961	-0.10306169
1560742549439	TYPE_ACCELEROMETER	-0.7182605	1.8770541	12.813767
1560742549439	TYPE_MAGNETIC_FIELD	-14.125	60.4375	-8.1875
1560742549439	TYPE_GYROSCOPE	-0.22006856	-0.07337364	-0.16905259
1560742549439	TYPE_ROTATION_VECTOR	0.043251	-0.004195	-0.153808
1560742549439	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-608.0625	508.125	218.1875
1560742549439	TYPE_GYROSCOPE_UNCALIBRATED	-0.44495425	0.11410963	-0.23188445
1560742549458	TYPE_ACCELEROMETER	-1.0342951	1.9728222	12.545617
1560742549458	TYPE_MAGNETIC_FIELD	-18.3125	64.125	-7.4375
1560742549458	TYPE_GYROSCOPE	0.07588691	-0.1457699	0.036407568
1560742549458	TYPE_ROTATION_VECTOR	0.040975	-0.00451	-0.155517
1560742549458	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-608.875	509.0	218.5
1560742549458	TYPE_GYROSCOPE_UNCALIBRATED	-0.22031291	-0.07325147	-0.16907005
1560742549478	TYPE_ACCELEROMETER	-0.62249243	1.4652514	11.60709
1560742549478	TYPE_MAGNETIC_FIELD	-18.3125	64.0	-4.125
1560742549478	TYPE_GYROSCOPE	0.34417892	-0.066985734	0.16310102
1560742549478	TYPE_ROTATION_VECTOR	0.043822	-0.003951	-0.15537299
1560742549478	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.5625	509.875	219.5
1560742549478	TYPE_GYROSCOPE_UNCALIBRATED	0.07564257	-0.14564772	0.036390115
1560742549499	TYPE_ACCELEROMETER	-0.24899697	0.9864111	10.94629
1560742549499	TYPE_MAGNETIC_FIELD	-16.0625	65.0625	-6.625
1560742549499	TYPE_GYROSCOPE	0.44957936	-0.023335053	0.12583824
1560742549499	TYPE_ROTATION_VECTOR	0.04711	-0.005221	-0.153777
1560742549499	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.5	511.0	219.625
1560742549499	TYPE_GYROSCOPE_UNCALIBRATED	0.3439346	-0.06686357	0.16308357
1560742549518	TYPE_ACCELEROMETER	-0.40222588	1.1109096	10.70687
1560742549518	TYPE_MAGNETIC_FIELD	-16.9375	62.625	-8.25
1560742549518	TYPE_GYROSCOPE	0.5379454	-0.17877407	0.06195919
1560742549518	TYPE_ROTATION_VECTOR	0.051585	-0.004852	-0.152616
1560742549518	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.875	511.75	219.75
1560742549518	TYPE_GYROSCOPE_UNCALIBRATED	0.449335	-0.02321288	0.12582079
1560742549538	TYPE_ACCELEROMETER	-0.61291564	1.3215994	9.691729
1560742549538	TYPE_MAGNETIC_FIELD	-17.0625	61.0	-8.1875
1560742549538	TYPE_GYROSCOPE	0.64015186	-0.2256187	0.094963364
1560742549538	TYPE_ROTATION_VECTOR	0.056618	-0.00747	-0.152065
1560742549538	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.4375	511.875	219.75
1560742549538	TYPE_GYROSCOPE_UNCALIBRATED	0.537701	-0.1786519	0.061941735
1560742549558	TYPE_ACCELEROMETER	-0.5746084	1.2354081	8.456321
1560742549558	TYPE_MAGNETIC_FIELD	-17.0625	61.0	-8.1875
1560742549558	TYPE_GYROSCOPE	0.6444105	-0.11276572	0.14819591
1560742549558	TYPE_ROTATION_VECTOR	0.063776	-0.007883	-0.151456
1560742549558	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.1875	511.25	219.625
1560742549558	TYPE_GYROSCOPE_UNCALIBRATED	0.63990754	-0.22549655	0.09494591
1560742549579	TYPE_ACCELEROMETER	-0.63206923	1.1683705	7.431602
1560742549579	TYPE_MAGNETIC_FIELD	-16.9375	62.5625	-6.5625
1560742549579	TYPE_GYROSCOPE	0.51878166	0.06181956	0.21207495
1560742549579	TYPE_ROTATION_VECTOR	0.069949	-0.010073	-0.150007
1560742549579	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.9375	510.9375	219.125
1560742549579	TYPE_GYROSCOPE_UNCALIBRATED	0.6441661	-0.11264355	0.14817846
1560742549598	TYPE_ACCELEROMETER	-0.45010993	1.0342951	7.0485296
1560742549598	TYPE_MAGNETIC_FIELD	-17.75	61.75	-7.375
1560742549598	TYPE_GYROSCOPE	0.18341665	0.14060372	0.22804472
1560742549598	TYPE_ROTATION_VECTOR	0.075386	-0.00768	-0.148088
1560742549598	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.25	510.3125	218.9375
1560742549598	TYPE_GYROSCOPE_UNCALIBRATED	0.51853734	0.061941735	0.2120575
1560742548727	TYPE_BEACON	71f98f1f7b22bfa3f5995790c82431aed3cad143	7ace74e2bf88b32ade607ef3596bb5680aaabd9a	1e45353c2103289d88a98d64126dc271c22853cf	-50	-86	58.98631497592087	5b6305448758ec4c445d6b464798f54f0dd403601560742548808	TYPE_BEACON	d9c573b719a17da4836208fc436f87b5ca1aa877	b6589fc6ab0dc82cf12099d1c2d40ab994e8410c	b6589fc6ab0dc82cf12099d1c2d40ab994e8410c	-56	-93	45.036237302850786	4273e6f7cc73f6207b4d7b19a10f493c459a7f6b1560742549618	TYPE_ACCELEROMETER	-0.1340753	1.1492168	7.642292
1560742549618	TYPE_MAGNETIC_FIELD	-17.0625	61.0	-7.375
1560742549618	TYPE_GYROSCOPE	-0.15831882	0.082047924	0.15032521
1560742549618	TYPE_ROTATION_VECTOR	0.077387	-0.006739	-0.145718
1560742549618	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.3125	510.0	219.125
1560742549618	TYPE_GYROSCOPE_UNCALIBRATED	0.1831723	0.1407259	0.22802727
1560742549639	TYPE_ACCELEROMETER	0.047884032	1.340753	8.695741
1560742549639	TYPE_MAGNETIC_FIELD	-15.625	60.3125	-6.5
1560742549639	TYPE_GYROSCOPE	-0.24774949	0.027750734	0.05024803
1560742549639	TYPE_ROTATION_VECTOR	0.07583	-0.006447	-0.144127
1560742549639	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.0	509.8125	219.5
1560742549639	TYPE_GYROSCOPE_UNCALIBRATED	-0.15856317	0.0821701	0.15030776
1560742549658	TYPE_ACCELEROMETER	-0.08619126	1.6089035	9.222465
1560742549658	TYPE_MAGNETIC_FIELD	-17.25	58.6875	-9.8125
1560742549658	TYPE_GYROSCOPE	-0.104021624	0.100146994	0.020437805
1560742549658	TYPE_ROTATION_VECTOR	0.073424	-0.005851	-0.143625
1560742549658	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.0625	509.375	219.125
1560742549658	TYPE_GYROSCOPE_UNCALIBRATED	-0.24799383	0.027872909	0.050230574
1560742549678	TYPE_ACCELEROMETER	-0.37349546	1.8291701	8.973468
1560742549678	TYPE_MAGNETIC_FIELD	-16.5	58.6875	-7.3125
1560742549678	TYPE_GYROSCOPE	0.025848325	0.21619393	0.080058254
1560742549678	TYPE_ROTATION_VECTOR	0.074931	-0.003903	-0.14343
1560742549678	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.9375	508.5625	219.0
1560742549678	TYPE_GYROSCOPE_UNCALIBRATED	-0.104265966	0.10026917	0.020420352
1560742549698	TYPE_ACCELEROMETER	-0.45010993	1.9728222	8.360553
1560742549698	TYPE_MAGNETIC_FIELD	-16.25	61.875	-6.5625
1560742549698	TYPE_GYROSCOPE	-0.071017444	0.31627113	0.11838568
1560742549698	TYPE_ROTATION_VECTOR	0.075494	-0.001864	-0.142477
1560742549698	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.625	508.625	219.1875
1560742549698	TYPE_GYROSCOPE_UNCALIBRATED	0.02560398	0.2163161	0.0800408
1560742549719	TYPE_ACCELEROMETER	-0.51714754	2.030283	8.743625
1560742549719	TYPE_MAGNETIC_FIELD	-17.875	60.125	-5.6875
1560742549719	TYPE_GYROSCOPE	-0.3148225	0.22896974	0.10241592
1560742549719	TYPE_ROTATION_VECTOR	0.078894	0.002208	-0.141151
1560742549719	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.8125	508.4375	219.5
1560742549719	TYPE_GYROSCOPE_UNCALIBRATED	-0.07126179	0.3163933	0.11836823
1560742549738	TYPE_ACCELEROMETER	-0.36391866	2.087744	9.519346
1560742549738	TYPE_MAGNETIC_FIELD	-17.875	60.1875	-7.375
1560742549738	TYPE_GYROSCOPE	-0.45216244	0.07885397	0.059829887
1560742549738	TYPE_ROTATION_VECTOR	0.076113	0.004837	-0.139951
1560742549738	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.25	508.375	219.3125
1560742549738	TYPE_GYROSCOPE_UNCALIBRATED	-0.31506684	0.22909191	0.10239847
