#	startTime:1560822229234
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b58557	FloorName:1F
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560822229235	TYPE_WAYPOINT	46.319416	138.54103
1560822229383	TYPE_ACCELEROMETER	0.21296692	1.0121613	12.775284
1560822229383	TYPE_MAGNETIC_FIELD	23.76	22.98	-36.719997
1560822229383	TYPE_GYROSCOPE	0.015304565	-0.07450867	0.09967041
1560822229383	TYPE_ROTATION_VECTOR	0.05250528	0.013104955	0.34171408
1560822229383	TYPE_MAGNETIC_FIELD_UNCALIBRATED	79.02	-6.539999	-96.899994
1560822229383	TYPE_GYROSCOPE_UNCALIBRATED	-0.097732544	-0.1325531	0.3652954
1560822229383	TYPE_ACCELEROMETER_UNCALIBRATED	0.047851562	1.1365967	12.0837555
1560822229402	TYPE_ACCELEROMETER	-0.10888672	1.2359009	11.246277
1560822229402	TYPE_MAGNETIC_FIELD	23.76	22.98	-36.719997
1560822229402	TYPE_GYROSCOPE	0.31523132	-0.030517578	-0.19018555
1560822229402	TYPE_ROTATION_VECTOR	0.040592555	0.007813604	0.36884332
1560822229402	TYPE_MAGNETIC_FIELD_UNCALIBRATED	79.02	-6.539999	-96.899994
1560822229402	TYPE_GYROSCOPE_UNCALIBRATED	0.20280457	-0.020446777	-0.18174744
1560822229402	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22972107	1.2969055	10.522446
1560822229421	TYPE_ACCELEROMETER	-0.23210144	1.2945099	9.840485
1560822229421	TYPE_MAGNETIC_FIELD	23.46	22.92	-36.42
1560822229421	TYPE_GYROSCOPE	0.41603088	-0.049453735	-0.17095947
