#	startTime:1560822644160
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b58557	FloorName:1F
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560822644161	TYPE_WAYPOINT	118.90648	124.26543
1560822644280	TYPE_ACCELEROMETER	-1.2167511	0.66041565	12.275177
1560822644280	TYPE_MAGNETIC_FIELD	-16.98	16.32	-35.88
1560822644280	TYPE_GYROSCOPE	-0.13665771	-0.030212402	0.28292847
1560822644280	TYPE_ROTATION_VECTOR	0.043995913	0.016077697	-0.39391539
1560822644280	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.92	-10.5	-96.9
1560822644280	TYPE_GYROSCOPE_UNCALIBRATED	-0.17349243	-0.018310547	0.36773682
1560822644280	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4452667	0.39242554	12.623337
1560822644299	TYPE_ACCELEROMETER	-1.4105682	0.08973694	13.026535
1560822644299	TYPE_MAGNETIC_FIELD	-17.039999	16.32	-35.88
1560822644299	TYPE_GYROSCOPE	0.0067443848	-0.10656738	0.025756836
1560822644299	TYPE_ROTATION_VECTOR	0.037464168	0.044796664	-0.42859992
1560822644299	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.86	-10.5	-96.9
1560822644299	TYPE_GYROSCOPE_UNCALIBRATED	-0.13485718	-0.031143188	0.2797699
1560822644299	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2586212	-0.2093811	13.196426
1560822644318	TYPE_ACCELEROMETER	-1.1282196	-0.41157532	13.016968
1560822644318	TYPE_MAGNETIC_FIELD	-16.98	16.32	-36.0
1560822644318	TYPE_GYROSCOPE	0.22972107	-0.18048096	0.037353516
1560822644318	TYPE_ROTATION_VECTOR	0.009628446	0.045826465	-0.43140936
1560822644318	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.92	-10.5	-97.020004
1560822644318	TYPE_GYROSCOPE_UNCALIBRATED	0.2315216	-0.18141174	0.034194946
1560822644318	TYPE_ACCELEROMETER_UNCALIBRATED	-0.93678284	-0.5611267	12.4079895
1560822644337	TYPE_ACCELEROMETER	-0.7166443	-0.6987152	11.478378
1560822644337	TYPE_MAGNETIC_FIELD	-16.92	16.14	-36.0
1560822644337	TYPE_GYROSCOPE	0.4988098	-0.14077759	0.033081055
1560822644337	TYPE_ROTATION_VECTOR	-0.0066979397	0.04364503	-0.45282367
1560822644337	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.979996	-10.68	-97.020004
1560822644337	TYPE_GYROSCOPE_UNCALIBRATED	0.2315216	-0.18141174	0.034194946
1560822644337	TYPE_ACCELEROMETER_UNCALIBRATED	-0.63171387	-0.77767944	10.493729
1560822644357	TYPE_ACCELEROMETER	-0.76690674	-0.7980194	9.592834
1560822644357	TYPE_MAGNETIC_FIELD	-16.74	16.32	-36.059998
1560822644357	TYPE_GYROSCOPE	0.54093933	-0.15544128	9.1552734E-5
1560822644357	TYPE_ROTATION_VECTOR	-0.019645147	0.042529184	-0.4266459
1560822644357	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.159996	-10.5	-97.08
1560822644357	TYPE_GYROSCOPE_UNCALIBRATED	0.50061035	-0.14170837	0.029922485
1560822644357	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0121765	-0.73101807	8.889343
1560822644376	TYPE_ACCELEROMETER	-1.1473694	-0.653244	8.356934
1560822644376	TYPE_MAGNETIC_FIELD	-16.619999	16.199999	-36.3
1560822644376	TYPE_GYROSCOPE	0.42152405	-0.22294617	-0.0023498535
1560822644376	TYPE_ROTATION_VECTOR	0.0020421965	0.06637409	-0.44666177
1560822644376	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.28	-10.620001	-97.32
1560822644376	TYPE_GYROSCOPE_UNCALIBRATED	0.54273987	-0.15637207	-0.0030670166
1560822644376	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1330109	-0.6077881	7.9214478
1560822644395	TYPE_ACCELEROMETER	-1.1437683	-0.51805115	7.602005
1560822644395	TYPE_MAGNETIC_FIELD	-16.5	16.02	-36.36
1560822644395	TYPE_GYROSCOPE	0.29812622	-0.24066162	0.026672363
1560822644395	TYPE_ROTATION_VECTOR	0.0054557673	0.062681004	-0.44707006
1560822644395	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.399998	-10.799999	-97.380005
1560822644395	TYPE_GYROSCOPE_UNCALIBRATED	0.42332458	-0.22387695	-0.005508423
1560822644395	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2382812	-0.34934998	7.491928
1560822644414	TYPE_ACCELEROMETER	-1.2466583	-0.2368927	7.428528
1560822644414	TYPE_MAGNETIC_FIELD	-16.44	15.9	-36.18
1560822644414	TYPE_GYROSCOPE	0.24559021	-0.14720154	0.05079651
1560822644414	TYPE_ROTATION_VECTOR	0.0074664154	0.059073996	-0.4471819
1560822644414	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.46	-10.92	-97.2
1560822644414	TYPE_GYROSCOPE_UNCALIBRATED	0.24739075	-0.14813232	0.04763794
1560822644414	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1365967	-0.15075684	7.006195
1560822644434	TYPE_ACCELEROMETER	-1.071991	-0.011962891	6.216568
1560822644434	TYPE_MAGNETIC_FIELD	-16.5	15.9	-36.36
1560822644434	TYPE_GYROSCOPE	0.2785797	-0.011291504	0.046829224
1560822644434	TYPE_ROTATION_VECTOR	0.008786772	0.056205608	-0.44701606
1560822644434	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.399998	-10.92	-97.380005
1560822644434	TYPE_GYROSCOPE_UNCALIBRATED	0.24739075	-0.14813232	0.04763794
1560822644434	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1270294	0.090927124	5.46402
1560822644453	TYPE_ACCELEROMETER	-1.2753754	0.19741821	5.11705
