#	startTime:1560822894364
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b58557	FloorName:1F
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560822894364	TYPE_WAYPOINT	76.41799	174.41072
1560822894481	TYPE_ACCELEROMETER	0.7310028	0.9882355	8.3437805
1560822894481	TYPE_MAGNETIC_FIELD	-24.48	-24.9	-29.519999
1560822894481	TYPE_GYROSCOPE	-0.020126343	-0.11022949	-0.17826843
1560822894481	TYPE_ROTATION_VECTOR	-0.015108924	-0.060584646	-0.92053807
1560822894481	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.619999	-51.839996	-88.799995
1560822894481	TYPE_GYROSCOPE_UNCALIBRATED	-0.018325806	-0.11116028	-0.181427
1560822894481	TYPE_ACCELEROMETER_UNCALIBRATED	0.46899414	0.84228516	8.670395
1560822894500	TYPE_ACCELEROMETER	0.46421814	1.1425781	8.768494
1560822894500	TYPE_MAGNETIC_FIELD	-24.72	-24.9	-29.64
1560822894500	TYPE_GYROSCOPE	-0.2192688	-0.029907227	-0.082977295
1560822894500	TYPE_ROTATION_VECTOR	-0.015716339	-0.06980225	-0.9115225
1560822894500	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.38	-51.839996	-88.92
1560822894500	TYPE_GYROSCOPE_UNCALIBRATED	-0.018325806	-0.11116028	-0.181427
1560822894500	TYPE_ACCELEROMETER_UNCALIBRATED	0.6305084	1.0684052	8.486145
1560822894519	TYPE_ACCELEROMETER	0.36012268	1.1557465	9.317657
1560822894519	TYPE_MAGNETIC_FIELD	-24.779999	-24.66	-29.64
1560822894519	TYPE_GYROSCOPE	-0.41934204	0.12310791	0.008636475
1560822894519	TYPE_ROTATION_VECTOR	-1.5718058E-5	-0.0681822	-0.90085137
1560822894519	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.32	-51.6	-88.92
1560822894519	TYPE_GYROSCOPE_UNCALIBRATED	-0.21746826	-0.030838013	-0.086135864
1560822894519	TYPE_ACCELEROMETER_UNCALIBRATED	0.38404846	1.1282196	9.108276
1560822894538	TYPE_ACCELEROMETER	-0.032302856	1.3088684	9.207581
1560822894538	TYPE_MAGNETIC_FIELD	-24.9	-24.359999	-29.76
1560822894538	TYPE_GYROSCOPE	-0.36375427	0.1612854	-0.007843018
1560822894538	TYPE_ROTATION_VECTOR	0.011490151	-0.06333831	-0.89373624
1560822894538	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.199999	-51.299995	-89.04
1560822894538	TYPE_GYROSCOPE_UNCALIBRATED	-0.36195374	0.16035461	-0.011001587
1560822894538	TYPE_ACCELEROMETER_UNCALIBRATED	0.18904114	1.2550354	9.298508
