#	startTime:1560822937949
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b58557	FloorName:1F
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560822937950	TYPE_WAYPOINT	118.6384	160.82513
1560822938060	TYPE_ACCELEROMETER	0.07537842	1.0875397	9.542587
1560822938060	TYPE_MAGNETIC_FIELD	16.56	-17.34	-35.7
1560822938060	TYPE_GYROSCOPE	-0.006072998	0.013153076	-0.04144287
1560822938060	TYPE_ROTATION_VECTOR	0.03280212	0.04296885	0.8958878
1560822938060	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.659996	-44.28	-94.979996
1560822938060	TYPE_GYROSCOPE_UNCALIBRATED	-0.004272461	0.01222229	-0.04460144
1560822938060	TYPE_ACCELEROMETER_UNCALIBRATED	0.07537842	1.0875397	9.542587
1560822938079	TYPE_ACCELEROMETER	0.02154541	0.9559326	10.011566
1560822938079	TYPE_MAGNETIC_FIELD	16.56	-17.46	-35.76
1560822938079	TYPE_GYROSCOPE	-0.12519836	0.013153076	-0.004486084
1560822938079	TYPE_ROTATION_VECTOR	0.030557418	0.049801394	0.90508944
1560822938079	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.659996	-44.399998	-95.03999
1560822938079	TYPE_GYROSCOPE_UNCALIBRATED	-0.004272461	0.01222229	-0.04460144
1560822938079	TYPE_ACCELEROMETER_UNCALIBRATED	0.02154541	0.9559326	10.011566
1560822938098	TYPE_ACCELEROMETER	-0.022735596	0.7238312	9.98645
1560822938098	TYPE_MAGNETIC_FIELD	16.619999	-17.279999	-35.7
1560822938098	TYPE_GYROSCOPE	-0.18934631	0.03239441	0.03277588
1560822938098	TYPE_ROTATION_VECTOR	0.025611194	0.045020845	0.88683164
1560822938098	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.72	-44.219997	-94.979996
1560822938098	TYPE_GYROSCOPE_UNCALIBRATED	-0.12339783	0.01222229	-0.0076446533
1560822938098	TYPE_ACCELEROMETER_UNCALIBRATED	-0.022735596	0.7238312	9.98645
1560822938117	TYPE_ACCELEROMETER	-0.28953552	0.6747894	9.5772705
1560822938117	TYPE_MAGNETIC_FIELD	16.5	-17.16	-35.64
1560822938117	TYPE_GYROSCOPE	-0.0949707	0.051330566	0.015670776
1560822938117	TYPE_ROTATION_VECTOR	0.016642982	0.03781285	0.91142833
1560822938117	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.6	-44.1	-94.92
1560822938117	TYPE_GYROSCOPE_UNCALIBRATED	-0.18754578	0.031463623	0.02961731
1560822938117	TYPE_ACCELEROMETER_UNCALIBRATED	-0.28953552	0.6747894	9.5772705
1560822938137	TYPE_ACCELEROMETER	-0.1603241	0.62812805	9.614365
1560822938137	TYPE_MAGNETIC_FIELD	16.56	-17.1	-35.52
1560822938137	TYPE_GYROSCOPE	-0.07571411	0.05470276	0.025756836
1560822938137	TYPE_ROTATION_VECTOR	0.00683306	0.034222566	0.9106697
1560822938137	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.659996	-44.04	-94.8
1560822938137	TYPE_GYROSCOPE_UNCALIBRATED	-0.093170166	0.05039978	0.012512207
1560822938137	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1603241	0.62812805	9.614365
1560822938156	TYPE_ACCELEROMETER	-0.14955139	0.73339844	9.613174
1560822938156	TYPE_MAGNETIC_FIELD	16.56	-16.98	-35.64
1560822938156	TYPE_GYROSCOPE	-0.06869507	0.024154663	0.03765869
1560822938156	TYPE_ROTATION_VECTOR	-4.048541E-4	0.03495227	0.913103
1560822938156	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.659996	-43.92	-94.92
1560822938156	TYPE_GYROSCOPE_UNCALIBRATED	-0.073913574	0.053771973	0.022598267
1560822938156	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14955139	0.73339844	9.613174
1560822938175	TYPE_ACCELEROMETER	-0.0023956299	0.88534546	9.628723
1560822938175	TYPE_MAGNETIC_FIELD	16.5	-16.859999	-35.64
1560822938175	TYPE_GYROSCOPE	-0.05067444	0.011627197	0.048965454
1560822938175	TYPE_ROTATION_VECTOR	-0.0010350405	0.034456756	0.91326016
1560822938175	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.6	-43.799995	-94.92
1560822938175	TYPE_GYROSCOPE_UNCALIBRATED	-0.0488739	0.010696411	0.045806885
1560822938175	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0023956299	0.88534546	9.628723
1560822938194	TYPE_ACCELEROMETER	0.12802124	0.9475708	9.717255
1560822938194	TYPE_MAGNETIC_FIELD	16.26	-17.16	-35.64
1560822938194	TYPE_GYROSCOPE	-0.022583008	0.030258179	0.06851196
1560822938194	TYPE_ROTATION_VECTOR	-0.001363549	0.03397919	0.91343635
1560822938194	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.36	-44.1	-94.92
1560822938194	TYPE_GYROSCOPE_UNCALIBRATED	-0.0488739	0.010696411	0.045806885
1560822938194	TYPE_ACCELEROMETER_UNCALIBRATED	0.12802124	0.9475708	9.717255
1560822938214	TYPE_ACCELEROMETER	0.06460571	1.0755768	9.72084
1560822938214	TYPE_MAGNETIC_FIELD	16.26	-17.039999	-35.46
1560822938214	TYPE_GYROSCOPE	0.021408081	0.072402954	0.08317566
1560822938214	TYPE_ROTATION_VECTOR	-0.0016703727	0.033706203	0.9136848
1560822938214	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.36	-43.979996	-94.74
1560822938214	TYPE_GYROSCOPE_UNCALIBRATED	-0.02078247	0.029327393	0.06535339
1560822938214	TYPE_ACCELEROMETER_UNCALIBRATED	0.06460571	1.0755768	9.72084
1560822938233	TYPE_ACCELEROMETER	0.12083435	1.1904297	9.900314
1560822938233	TYPE_MAGNETIC_FIELD	16.199999	-16.74	-35.399998
1560822938233	TYPE_GYROSCOPE	0.042175293	0.12615967	0.1118927
1560822938233	TYPE_ROTATION_VECTOR	-0.002063318	0.033893213	0.9139725
1560822938233	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.299995	-43.68	-94.67999
1560822938233	TYPE_GYROSCOPE_UNCALIBRATED	0.023208618	0.07147217	0.08001709
1560822938233	TYPE_ACCELEROMETER_UNCALIBRATED	0.12083435	1.1904297	9.900314
1560822938252	TYPE_ACCELEROMETER	0.28953552	1.2801666	9.999619
1560822938252	TYPE_MAGNETIC_FIELD	16.199999	-16.8	-35.399998
1560822938252	TYPE_GYROSCOPE	0.055618286	0.167099	0.14242554
1560822938252	TYPE_ROTATION_VECTOR	-0.002756642	0.03458144	0.9143278
1560822938252	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.299995	-43.739998	-94.67999
1560822938252	TYPE_GYROSCOPE_UNCALIBRATED	0.04397583	0.12522888	0.10873413
1560822938252	TYPE_ACCELEROMETER_UNCALIBRATED	0.28953552	1.2801666	9.999619
1560822938271	TYPE_ACCELEROMETER	0.48693848	1.2382812	9.98645
1560822938271	TYPE_MAGNETIC_FIELD	16.32	-16.74	-35.52
1560822938271	TYPE_GYROSCOPE	0.07546997	0.18022156	0.1561737
1560822938271	TYPE_ROTATION_VECTOR	-0.0038375682	0.035575096	0.9148023
1560822938271	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.42	-43.68	-94.8
1560822938271	TYPE_GYROSCOPE_UNCALIBRATED	0.057418823	0.16616821	0.13926697
1560822938271	TYPE_ACCELEROMETER_UNCALIBRATED	0.48693848	1.2382812	9.98645
1560822938291	TYPE_ACCELEROMETER	0.6604309	1.2717896	10.188644
1560822938291	TYPE_MAGNETIC_FIELD	16.32	-16.98	-35.7
1560822938291	TYPE_GYROSCOPE	0.056228638	0.1466217	0.15281677
1560822938291	TYPE_ROTATION_VECTOR	-0.005093348	0.036864463	0.915359
1560822938291	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.42	-43.92	-94.979996
1560822938291	TYPE_GYROSCOPE_UNCALIBRATED	0.07727051	0.17929077	0.15301514
1560822938291	TYPE_ACCELEROMETER_UNCALIBRATED	0.6604309	1.2717896	10.188644
1560822938310	TYPE_ACCELEROMETER	0.8901367	1.2825623	10.328613
1560822938310	TYPE_MAGNETIC_FIELD	16.38	-17.039999	-35.34
1560822938310	TYPE_GYROSCOPE	0.021408081	0.10050964	0.15739441
1560822938310	TYPE_ROTATION_VECTOR	-0.006254888	0.03814821	0.91591614
1560822938310	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.479996	-43.979996	-94.619995
1560822938310	TYPE_GYROSCOPE_UNCALIBRATED	0.058029175	0.14569092	0.1496582
1560822938310	TYPE_ACCELEROMETER_UNCALIBRATED	0.8901367	1.2825623	10.328613
1560822938329	TYPE_ACCELEROMETER	0.60539246	1.1282196	10.93042
1560822938329	TYPE_MAGNETIC_FIELD	16.68	-17.1	-35.46
1560822938329	TYPE_GYROSCOPE	-0.038757324	0.09347534	0.14915466
1560822938329	TYPE_ROTATION_VECTOR	-0.007091357	0.03895421	0.91648394
1560822938329	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.78	-44.04	-94.74
1560822938329	TYPE_GYROSCOPE_UNCALIBRATED	0.023208618	0.09957886	0.15423584
1560822938329	TYPE_ACCELEROMETER_UNCALIBRATED	0.8901367	1.2825623	10.328613
1560822938348	TYPE_ACCELEROMETER	0.22972107	0.7346039	11.99881
1560822938348	TYPE_MAGNETIC_FIELD	16.68	-16.859999	-35.399998
1560822938348	TYPE_GYROSCOPE	-0.10687256	0.11425781	0.15190125
1560822938348	TYPE_ROTATION_VECTOR	-0.007851575	0.03929198	0.91706973
1560822938348	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.78	-43.799995	-94.67999
1560822938348	TYPE_GYROSCOPE_UNCALIBRATED	-0.10507202	0.11332703	0.14874268
1560822938348	TYPE_ACCELEROMETER_UNCALIBRATED	0.22972107	0.7346039	11.99881
1560822938368	TYPE_ACCELEROMETER	0.07896423	0.36610413	13.494324
1560822938368	TYPE_MAGNETIC_FIELD	16.92	-16.859999	-35.399998
1560822938368	TYPE_GYROSCOPE	-0.15116882	0.08004761	0.17144775
1560822938368	TYPE_ROTATION_VECTOR	-0.0090102935	0.039036054	0.91764677
1560822938368	TYPE_MAGNETIC_FIELD_UNCALIBRATED	73.02	-43.799995	-94.67999
1560822938368	TYPE_GYROSCOPE_UNCALIBRATED	-0.10507202	0.11332703	0.14874268
1560822938368	TYPE_ACCELEROMETER_UNCALIBRATED	0.22972107	0.7346039	11.99881
1560822938387	TYPE_ACCELEROMETER	-0.08135986	0.15434265	14.19902
1560822938387	TYPE_MAGNETIC_FIELD	16.92	-16.859999	-35.399998
1560822938387	TYPE_GYROSCOPE	-0.06137085	0.032699585	0.1821289
1560822938387	TYPE_ROTATION_VECTOR	-0.0090102935	0.039036054	0.91764677
1560822938387	TYPE_MAGNETIC_FIELD_UNCALIBRATED	73.02	-43.799995	-94.67999
1560822938387	TYPE_GYROSCOPE_UNCALIBRATED	-0.14936829	0.07911682	0.16828918
1560822938387	TYPE_ACCELEROMETER_UNCALIBRATED	-0.08135986	0.15434265	14.19902
1560822938406	TYPE_ACCELEROMETER	-0.21775818	0.22732544	13.482361
1560822938406	TYPE_MAGNETIC_FIELD	16.92	-16.859999	-35.399998
1560822938406	TYPE_GYROSCOPE	0.18450928	0.044921875	0.18885803
1560822938406	TYPE_ROTATION_VECTOR	-0.0090102935	0.039036054	0.91764677
1560822938406	TYPE_MAGNETIC_FIELD_UNCALIBRATED	73.02	-43.799995	-94.67999
1560822938406	TYPE_GYROSCOPE_UNCALIBRATED	0.18630981	0.04399109	0.18569946
1560822938406	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21775818	0.22732544	13.482361
1560822938425	TYPE_ACCELEROMETER	-0.3254242	0.16630554	12.503693
1560822938425	TYPE_MAGNETIC_FIELD	17.1	-16.859999	-35.34
1560822938425	TYPE_GYROSCOPE	0.3802948	-0.02166748	0.20626831
1560822938425	TYPE_ROTATION_VECTOR	-0.01092798	0.037726264	0.91865313
1560822938425	TYPE_MAGNETIC_FIELD_UNCALIBRATED	73.2	-43.799995	-94.619995
