#	startTime:1560823079560
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b58557	FloorName:1F
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560823079560	TYPE_WAYPOINT	110.31536	144.38603
1560823079695	TYPE_ACCELEROMETER	-0.3517456	1.3627167	7.6211395
1560823079695	TYPE_MAGNETIC_FIELD	-24.48	-21.06	-17.1
1560823079695	TYPE_GYROSCOPE	0.11975098	0.025970459	0.34461975
1560823079695	TYPE_ROTATION_VECTOR	0.062372345	-0.07499156	-0.87912405
1560823079695	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.880001	-49.92	-91.2
1560823079695	TYPE_GYROSCOPE_UNCALIBRATED	0.12155151	0.025039673	0.34146118
1560823079695	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3517456	1.3627167	7.6211395
1560823079714	TYPE_ACCELEROMETER	-0.550354	1.4895325	8.263611
1560823079714	TYPE_MAGNETIC_FIELD	-24.6	-21.06	-17.22
1560823079714	TYPE_GYROSCOPE	-0.1697998	0.027511597	0.14976501
1560823079714	TYPE_ROTATION_VECTOR	0.06106237	-0.06754514	-0.87827873
1560823079714	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.76	-49.92	-91.32
1560823079714	TYPE_GYROSCOPE_UNCALIBRATED	0.12155151	0.025039673	0.34146118
1560823079714	TYPE_ACCELEROMETER_UNCALIBRATED	-0.550354	1.4895325	8.263611
1560823079733	TYPE_ACCELEROMETER	-0.6652069	1.6103821	8.766113
1560823079733	TYPE_MAGNETIC_FIELD	-24.66	-20.88	-17.22
1560823079733	TYPE_GYROSCOPE	-0.46453857	0.07362366	-0.034713745
1560823079733	TYPE_ROTATION_VECTOR	0.0709849	-0.06116681	-0.8726688
1560823079733	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.7	-49.739998	-91.32
1560823079733	TYPE_GYROSCOPE_UNCALIBRATED	-0.16799927	0.02658081	0.14660645
1560823079733	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6652069	1.6103821	8.766113
1560823079752	TYPE_ACCELEROMETER	-0.68315125	1.6247253	9.326035
1560823079752	TYPE_MAGNETIC_FIELD	-24.66	-20.88	-17.279999
1560823079752	TYPE_GYROSCOPE	-0.44499207	0.10661316	-0.03288269
1560823079752	TYPE_ROTATION_VECTOR	0.07483403	-0.062527664	-0.8792029
1560823079752	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.7	-49.739998	-91.38
1560823079752	TYPE_GYROSCOPE_UNCALIBRATED	-0.46273804	0.07269287	-0.037872314
1560823079752	TYPE_ACCELEROMETER_UNCALIBRATED	-0.68315125	1.6247253	9.326035
1560823079772	TYPE_ACCELEROMETER	-0.98583984	1.6785736	9.696915
1560823079772	TYPE_MAGNETIC_FIELD	-24.779999	-20.88	-17.34
1560823079772	TYPE_GYROSCOPE	-0.3759613	0.10173035	-0.040222168
1560823079772	TYPE_ROTATION_VECTOR	0.07188012	-0.058074657	-0.87959886
1560823079772	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.580002	-49.739998	-91.44
1560823079772	TYPE_GYROSCOPE_UNCALIBRATED	-0.44319153	0.10568237	-0.03604126
1560823079772	TYPE_ACCELEROMETER_UNCALIBRATED	-0.68315125	1.6247253	9.326035
1560823079791	TYPE_ACCELEROMETER	-1.1078796	1.8400879	10.17189
1560823079791	TYPE_MAGNETIC_FIELD	-24.84	-20.52	-17.52
1560823079791	TYPE_GYROSCOPE	-0.319458	0.028427124	-0.026168823
1560823079791	TYPE_ROTATION_VECTOR	0.08369592	-0.04991074	-0.87755996
1560823079791	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.52	-49.379997	-91.619995
1560823079791	TYPE_GYROSCOPE_UNCALIBRATED	-0.37416077	0.10079956	-0.043380737
1560823079791	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1078796	1.8400879	10.17189
1560823079810	TYPE_ACCELEROMETER	-0.97029114	1.8891449	10.384857
1560823079810	TYPE_MAGNETIC_FIELD	-24.9	-20.46	-17.58
1560823079810	TYPE_GYROSCOPE	-0.23608398	-0.0131073	-0.0020446777
1560823079810	TYPE_ROTATION_VECTOR	0.082776174	-0.04666121	-0.87782794
1560823079810	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.460001	-49.32	-91.68
1560823079810	TYPE_GYROSCOPE_UNCALIBRATED	-0.31765747	0.027496338	-0.029327393
1560823079810	TYPE_ACCELEROMETER_UNCALIBRATED	-0.97029114	1.8891449	10.384857
1560823079829	TYPE_ACCELEROMETER	-0.87098694	1.951355	10.792831
1560823079829	TYPE_MAGNETIC_FIELD	-24.84	-20.22	-17.88
1560823079829	TYPE_GYROSCOPE	-0.14720154	-0.017700195	-0.0038757324
1560823079829	TYPE_ROTATION_VECTOR	0.081459895	-0.04426513	-0.8780094
1560823079829	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.52	-49.079998	-91.979996
1560823079829	TYPE_GYROSCOPE_UNCALIBRATED	-0.23428345	-0.014038086	-0.005203247
1560823079829	TYPE_ACCELEROMETER_UNCALIBRATED	-0.87098694	1.951355	10.792831
1560823079849	TYPE_ACCELEROMETER	-0.5862427	1.6115723	11.456848
1560823079849	TYPE_MAGNETIC_FIELD	-24.66	-20.039999	-17.94
1560823079849	TYPE_GYROSCOPE	-0.11268616	-0.05770874	3.9672852E-4
1560823079849	TYPE_ROTATION_VECTOR	0.08052681	-0.04275249	-0.87810236
1560823079849	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.7	-48.899998	-92.04
1560823079849	TYPE_GYROSCOPE_UNCALIBRATED	-0.145401	-0.018630981	-0.0070343018
1560823079849	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5862427	1.6115723	11.456848
1560823079868	TYPE_ACCELEROMETER	-0.58384705	1.2299194	12.431915
1560823079868	TYPE_MAGNETIC_FIELD	-24.359999	-19.98	-17.82
1560823079868	TYPE_GYROSCOPE	-0.08641052	-0.06259155	0.0013122559
1560823079868	TYPE_ROTATION_VECTOR	0.07966318	-0.04186478	-0.87818974
1560823079868	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.000002	-48.839996	-91.92
1560823079868	TYPE_GYROSCOPE_UNCALIBRATED	-0.11088562	-0.058639526	-0.0027618408
1560823079868	TYPE_ACCELEROMETER_UNCALIBRATED	-0.58384705	1.2299194	12.431915
1560823079887	TYPE_ACCELEROMETER	-0.55992126	1.1330109	13.197617
1560823079887	TYPE_MAGNETIC_FIELD	-24.24	-19.98	-17.88
1560823079887	TYPE_GYROSCOPE	-0.038146973	-0.09100342	0.012619019
1560823079887	TYPE_ROTATION_VECTOR	0.078656286	-0.041290104	-0.8782793
1560823079887	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.12	-48.839996	-91.979996
1560823079887	TYPE_GYROSCOPE_UNCALIBRATED	-0.084609985	-0.06352234	-0.0018463135
1560823079887	TYPE_ACCELEROMETER_UNCALIBRATED	-0.58384705	1.2299194	12.431915
1560823079906	TYPE_ACCELEROMETER	-0.29910278	1.5266266	13.481171
1560823079906	TYPE_MAGNETIC_FIELD	-24.06	-19.92	-18.0
1560823079906	TYPE_GYROSCOPE	0.0287323	-0.112075806	0.02758789
1560823079906	TYPE_ROTATION_VECTOR	0.07777055	-0.041071925	-0.87833136
1560823079906	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.300001	-48.78	-92.1
1560823079906	TYPE_GYROSCOPE_UNCALIBRATED	-0.036346436	-0.091934204	0.009460449
1560823079906	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29910278	1.5266266	13.481171
1560823079926	TYPE_ACCELEROMETER	-0.21417236	1.6426849	13.241882
1560823079926	TYPE_MAGNETIC_FIELD	-23.939999	-19.74	-18.119999
1560823079926	TYPE_GYROSCOPE	0.12434387	-0.058929443	-0.0035705566
1560823079926	TYPE_ROTATION_VECTOR	0.076811075	-0.041500855	-0.8783202
1560823079926	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.420002	-48.6	-92.22
1560823079926	TYPE_GYROSCOPE_UNCALIBRATED	0.030532837	-0.11300659	0.024429321
