#	startTime:1560823117631
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b58557	FloorName:1F
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560823117632	TYPE_WAYPOINT	111.65113	128.0272
1560823117747	TYPE_ACCELEROMETER	-0.7118683	-0.20579529	7.725235
1560823117747	TYPE_MAGNETIC_FIELD	-23.4	-15.059999	-25.439999
1560823117747	TYPE_GYROSCOPE	-0.020446777	-0.0077667236	-0.55656433
1560823117747	TYPE_ROTATION_VECTOR	0.050446305	0.036820818	-0.87953085
1560823117747	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.960001	-43.92	-99.53999
1560823117747	TYPE_GYROSCOPE_UNCALIBRATED	-0.06048584	-0.03175354	-0.78009033
1560823117747	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7118683	-0.20579529	7.725235
1560823117766	TYPE_ACCELEROMETER	-0.6352997	-0.24168396	8.172684
1560823117766	TYPE_MAGNETIC_FIELD	-23.1	-15.24	-25.5
1560823117766	TYPE_GYROSCOPE	0.083099365	0.08340454	0.09448242
1560823117766	TYPE_ROTATION_VECTOR	0.027032688	0.027079491	-0.8932826
1560823117766	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.26	-44.1	-99.6
1560823117766	TYPE_GYROSCOPE_UNCALIBRATED	-0.01864624	-0.00869751	-0.5597229
1560823117766	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6352997	-0.24168396	8.172684
1560823117785	TYPE_ACCELEROMETER	-0.7956238	-0.20458984	8.380859
1560823117785	TYPE_MAGNETIC_FIELD	-22.74	-15.42	-25.32
1560823117785	TYPE_GYROSCOPE	-5.79834E-4	0.12982178	0.06088257
1560823117785	TYPE_ROTATION_VECTOR	0.03143023	0.030942459	-0.8920607
1560823117785	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.62	-44.28	-99.42
1560823117785	TYPE_GYROSCOPE_UNCALIBRATED	0.0848999	0.082473755	0.09132385
1560823117785	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7956238	-0.20458984	8.380859
1560823117804	TYPE_ACCELEROMETER	-0.9439697	-0.16151428	8.688339
1560823117804	TYPE_MAGNETIC_FIELD	-22.56	-15.48	-25.08
1560823117804	TYPE_GYROSCOPE	-0.06808472	0.13594055	0.048965454
1560823117804	TYPE_ROTATION_VECTOR	0.041770287	0.03436888	-0.8773777
1560823117804	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.800001	-44.339996	-99.18
1560823117804	TYPE_GYROSCOPE_UNCALIBRATED	0.0012207031	0.12889099	0.057724
1560823117804	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7956238	-0.20458984	8.380859
1560823117824	TYPE_ACCELEROMETER	-0.67477417	-0.09213257	9.141785
1560823117824	TYPE_MAGNETIC_FIELD	-22.439999	-15.66	-24.84
1560823117824	TYPE_GYROSCOPE	-0.11419678	0.08065796	0.043167114
1560823117824	TYPE_ROTATION_VECTOR	0.038621873	0.030729806	-0.88037795
1560823117824	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.920002	-44.519997	-98.94
