#	startTime:1560823148121
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b58557	FloorName:1F
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560823148121	TYPE_WAYPOINT	122.59472	118.42916
1560823148238	TYPE_ACCELEROMETER	-0.43191528	0.67237854	9.820145
1560823148238	TYPE_MAGNETIC_FIELD	26.82	-22.56	-23.939999
1560823148238	TYPE_GYROSCOPE	0.10096741	0.03010559	-0.17002869
1560823148238	TYPE_ROTATION_VECTOR	-3.9502964E-4	0.044185944	0.9057508
1560823148238	TYPE_MAGNETIC_FIELD_UNCALIBRATED	81.18	-51.42	-98.03999
1560823148238	TYPE_GYROSCOPE_UNCALIBRATED	0.21073914	0.032989502	-0.2119751
1560823148238	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4355011	0.5694885	10.107285
1560823148257	TYPE_ACCELEROMETER	-0.55992126	0.5778656	10.174286
1560823148257	TYPE_MAGNETIC_FIELD	26.64	-22.56	-23.699999
1560823148257	TYPE_GYROSCOPE	-0.20950317	0.0070495605	-0.058547974
1560823148257	TYPE_ROTATION_VECTOR	-0.007805263	0.03400756	0.9073071
1560823148257	TYPE_MAGNETIC_FIELD_UNCALIBRATED	81.0	-51.42	-97.799995
1560823148257	TYPE_GYROSCOPE_UNCALIBRATED	-0.11317444	0.02154541	-0.09561157
1560823148257	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7046814	0.6352997	10.255646
1560823148276	TYPE_ACCELEROMETER	-0.7082825	0.6795654	10.3537445
1560823148276	TYPE_MAGNETIC_FIELD	26.46	-22.56	-23.4
1560823148276	TYPE_GYROSCOPE	-0.14108276	-0.012802124	-0.050598145
1560823148276	TYPE_ROTATION_VECTOR	-0.017007861	0.040748775	0.90661436
1560823148276	TYPE_MAGNETIC_FIELD_UNCALIBRATED	80.82	-51.42	-97.5
1560823148276	TYPE_GYROSCOPE_UNCALIBRATED	-0.08979797	-0.015258789	-0.049179077
1560823148276	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6604309	0.7776642	10.243683
1560823148295	TYPE_ACCELEROMETER	-0.5958252	0.850647	9.978073
1560823148295	TYPE_MAGNETIC_FIELD	26.34	-22.859999	-23.22
1560823148295	TYPE_GYROSCOPE	-0.04975891	-0.011886597	-0.042663574
1560823148295	TYPE_ROTATION_VECTOR	-0.013988126	0.04731875	0.91425174
1560823148295	TYPE_MAGNETIC_FIELD_UNCALIBRATED	80.7	-51.719997	-97.32
1560823148295	TYPE_GYROSCOPE_UNCALIBRATED	-0.08979797	-0.015258789	-0.049179077
1560823148295	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5479584	0.9332123	9.71965
1560823148315	TYPE_ACCELEROMETER	-0.49172974	0.977478	9.579666
1560823148315	TYPE_MAGNETIC_FIELD	26.099998	-22.92	-22.92
1560823148315	TYPE_GYROSCOPE	-0.04121399	-0.041519165	-0.04724121
1560823148315	TYPE_ROTATION_VECTOR	-0.004073613	0.05393857	0.9069363
1560823148315	TYPE_MAGNETIC_FIELD_UNCALIBRATED	80.46	-51.78	-97.02
1560823148315	TYPE_GYROSCOPE_UNCALIBRATED	-0.056518555	-0.0665741	-0.05101013
1560823148315	TYPE_ACCELEROMETER_UNCALIBRATED	-0.40797424	0.9607239	9.676575
1560823148334	TYPE_ACCELEROMETER	-0.35414124	0.93917847	9.818954
1560823148334	TYPE_MAGNETIC_FIELD	26.039999	-22.98	-22.619999
1560823148334	TYPE_GYROSCOPE	-0.069610596	-0.077560425	-0.04663086
1560823148334	TYPE_ROTATION_VECTOR	0.0055970484	0.053518377	0.904378
1560823148334	TYPE_MAGNETIC_FIELD_UNCALIBRATED	80.4	-51.839996	-96.72
1560823148334	TYPE_GYROSCOPE_UNCALIBRATED	-0.06719971	-0.06260681	-0.04093933
1560823148334	TYPE_ACCELEROMETER_UNCALIBRATED	-0.30628967	0.8674011	9.991226
1560823148353	TYPE_ACCELEROMETER	-0.25723267	0.7609253	10.228119
1560823148353	TYPE_MAGNETIC_FIELD	25.859999	-22.92	-22.199999
1560823148353	TYPE_GYROSCOPE	-0.05557251	-0.036636353	-0.027694702
1560823148353	TYPE_ROTATION_VECTOR	0.0059721125	0.052603748	0.9042171
1560823148353	TYPE_MAGNETIC_FIELD_UNCALIBRATED	80.22	-51.78	-96.299995
1560823148353	TYPE_GYROSCOPE_UNCALIBRATED	-0.06719971	-0.06260681	-0.04093933
1560823148353	TYPE_ACCELEROMETER_UNCALIBRATED	-0.30628967	0.8674011	9.991226
1560823148372	TYPE_ACCELEROMETER	-0.2093811	0.5898285	10.565521
1560823148372	TYPE_MAGNETIC_FIELD	25.8	-22.68	-22.14
1560823148372	TYPE_GYROSCOPE	-0.02319336	-0.00730896	-0.01914978
1560823148372	TYPE_ROTATION_VECTOR	0.0060514277	0.051974125	0.9041301
1560823148372	TYPE_MAGNETIC_FIELD_UNCALIBRATED	80.22	-51.78	-96.299995
1560823148372	TYPE_GYROSCOPE_UNCALIBRATED	-0.035446167	-0.018630981	-0.025665283
1560823148372	TYPE_ACCELEROMETER_UNCALIBRATED	-0.24645996	0.69033813	10.413574
1560823148392	TYPE_ACCELEROMETER	-0.16271973	0.42233276	10.669601
1560823148392	TYPE_MAGNETIC_FIELD	25.619999	-22.68	-22.199999
1560823148392	TYPE_GYROSCOPE	-0.0079193115	-0.033584595	-0.026779175
1560823148392	TYPE_ROTATION_VECTOR	0.006011477	0.05174311	0.9040635
1560823148392	TYPE_MAGNETIC_FIELD_UNCALIBRATED	80.16	-51.54	-96.24
1560823148392	TYPE_GYROSCOPE_UNCALIBRATED	-0.012527466	-0.014663696	-0.023223877
1560823148392	TYPE_ACCELEROMETER_UNCALIBRATED	-0.15673828	0.4857483	10.64209
1560823148411	TYPE_ACCELEROMETER	-0.15434265	0.46540833	10.554749
1560823148411	TYPE_MAGNETIC_FIELD	25.619999	-22.68	-22.199999
1560823148411	TYPE_GYROSCOPE	0.027511597	-0.07572937	-0.04144287
1560823148411	TYPE_ROTATION_VECTOR	0.006011477	0.05174311	0.9040635
1560823148411	TYPE_MAGNETIC_FIELD_UNCALIBRATED	79.979996	-51.54	-96.299995
1560823148411	TYPE_GYROSCOPE_UNCALIBRATED	0.00579834	-0.057724	-0.03756714
