#	startTime:1560823353441
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b58557	FloorName:1F
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560823353443	TYPE_WAYPOINT	45.998196	102.694046
1560823353554	TYPE_ACCELEROMETER	-0.43190002	0.55752563	9.51506
1560823353554	TYPE_MAGNETIC_FIELD	-21.18	24.96	-18.72
1560823353554	TYPE_GYROSCOPE	0.13502502	-0.13040161	0.43992615
1560823353554	TYPE_ROTATION_VECTOR	0.037053775	0.009521902	-0.3303928
1560823353554	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.18	-3.8999996	-92.82
1560823353554	TYPE_GYROSCOPE_UNCALIBRATED	0.13682556	-0.1313324	0.43676758
1560823353554	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41635132	0.5898285	9.364319
1560823353573	TYPE_ACCELEROMETER	-0.56829834	0.4857483	9.600006
1560823353573	TYPE_MAGNETIC_FIELD	-21.06	24.96	-18.6
1560823353573	TYPE_GYROSCOPE	0.029663086	-0.040908813	0.19406128
1560823353573	TYPE_ROTATION_VECTOR	0.03331214	0.010387076	-0.34087467
1560823353573	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.300003	-3.8999996	-92.7
1560823353573	TYPE_GYROSCOPE_UNCALIBRATED	0.13682556	-0.1313324	0.43676758
1560823353573	TYPE_ACCELEROMETER_UNCALIBRATED	-0.48095703	0.5048828	9.57489
1560823353592	TYPE_ACCELEROMETER	-0.6616211	0.5312195	9.59761
1560823353592	TYPE_MAGNETIC_FIELD	-20.939999	25.019999	-18.779999
1560823353592	TYPE_GYROSCOPE	-0.06503296	0.040039062	-0.046020508
1560823353592	TYPE_ROTATION_VECTOR	0.03316272	0.019054329	-0.3351997
1560823353592	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.420002	-3.8400002	-92.88
1560823353592	TYPE_GYROSCOPE_UNCALIBRATED	0.031463623	-0.0418396	0.19090271
1560823353592	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6376953	0.501297	9.628723
1560823353611	TYPE_ACCELEROMETER	-0.63290405	0.5348053	9.414566
1560823353611	TYPE_MAGNETIC_FIELD	-20.76	25.14	-18.779999
1560823353611	TYPE_GYROSCOPE	-0.06686401	0.00491333	-0.038986206
1560823353611	TYPE_ROTATION_VECTOR	0.037691142	0.023001228	-0.33002943
1560823353611	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.6	-3.7199993	-92.88
1560823353611	TYPE_GYROSCOPE_UNCALIBRATED	-0.06323242	0.039108276	-0.049179077
1560823353611	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6376953	0.501297	9.628723
1560823353631	TYPE_ACCELEROMETER	-0.55274963	0.5587311	9.556931
1560823353631	TYPE_MAGNETIC_FIELD	-20.699999	25.26	-18.779999
1560823353631	TYPE_GYROSCOPE	-0.09527588	-0.021362305	-0.038391113
1560823353631	TYPE_ROTATION_VECTOR	0.03843397	0.021766448	-0.33948475
1560823353631	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.660004	-3.5999985	-92.88
1560823353631	TYPE_GYROSCOPE_UNCALIBRATED	-0.06506348	0.003982544	-0.042144775
1560823353631	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6460724	0.550354	9.489929
1560823353650	TYPE_ACCELEROMETER	-0.43789673	0.55633545	9.742386
1560823353650	TYPE_MAGNETIC_FIELD	-20.64	25.26	-18.6
1560823353650	TYPE_GYROSCOPE	-0.1084137	-0.015548706	-0.03288269
1560823353650	TYPE_ROTATION_VECTOR	0.03699339	0.017528297	-0.33874753
1560823353650	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.72	-3.5999985	-92.7
1560823353650	TYPE_GYROSCOPE_UNCALIBRATED	-0.10661316	-0.016479492	-0.03604126
1560823353650	TYPE_ACCELEROMETER_UNCALIBRATED	-0.61735535	0.53240967	9.446869
1560823353669	TYPE_ACCELEROMETER	-0.5730896	0.5862427	9.734009
1560823353669	TYPE_MAGNETIC_FIELD	-20.46	25.38	-18.48
1560823353669	TYPE_GYROSCOPE	-0.083358765	0.008270264	-0.035324097
1560823353669	TYPE_ROTATION_VECTOR	0.035946023	0.0176824	-0.3390541
1560823353669	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.9	-3.4799995	-92.58
1560823353669	TYPE_GYROSCOPE_UNCALIBRATED	-0.10661316	-0.016479492	-0.03604126
1560823353669	TYPE_ACCELEROMETER_UNCALIBRATED	-0.49890137	0.55752563	9.755539
1560823353688	TYPE_ACCELEROMETER	-0.6628113	0.5922241	9.651459
1560823353688	TYPE_MAGNETIC_FIELD	-20.64	25.32	-18.42
1560823353688	TYPE_GYROSCOPE	-0.06564331	0.002456665	-0.037475586
1560823353688	TYPE_ROTATION_VECTOR	0.035052713	0.017978737	-0.33933696
1560823353688	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.72	-3.539999	-92.52
1560823353688	TYPE_GYROSCOPE_UNCALIBRATED	-0.08155823	0.0073394775	-0.038482666
1560823353688	TYPE_ACCELEROMETER_UNCALIBRATED	-0.49890137	0.55752563	9.755539
1560823353708	TYPE_ACCELEROMETER	-0.7609253	0.5970154	9.6957245
1560823353708	TYPE_MAGNETIC_FIELD	-20.58	25.08	-18.42
1560823353708	TYPE_GYROSCOPE	-0.07022095	-0.024414062	-0.038375854
1560823353708	TYPE_ROTATION_VECTOR	0.034435034	0.018320207	-0.339652
1560823353708	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.78	-3.7799988	-92.52
1560823353708	TYPE_GYROSCOPE_UNCALIBRATED	-0.06384277	0.0015258789	-0.040634155
1560823353708	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7346039	0.59461975	9.649063
1560823353727	TYPE_ACCELEROMETER	-0.67836	0.5814514	9.907486
1560823353727	TYPE_MAGNETIC_FIELD	-20.46	25.14	-18.6
1560823353727	TYPE_GYROSCOPE	-0.081222534	-0.047317505	-0.03074646
1560823353727	TYPE_ROTATION_VECTOR	0.033795405	0.018447902	-0.33999094
1560823353727	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.9	-3.7199993	-92.7
1560823353727	TYPE_GYROSCOPE_UNCALIBRATED	-0.06842041	-0.025344849	-0.041534424
1560823353727	TYPE_ACCELEROMETER_UNCALIBRATED	-0.72502136	0.59103394	9.806992
1560823353746	TYPE_ACCELEROMETER	-0.5635071	0.56710815	9.853653
1560823353746	TYPE_MAGNETIC_FIELD	-20.46	25.08	-18.42
1560823353746	TYPE_GYROSCOPE	-0.05923462	-0.054641724	-0.029525757
1560823353746	TYPE_ROTATION_VECTOR	0.032985367	0.018379306	-0.34030414
1560823353746	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.9	-3.7799988	-92.52
1560823353746	TYPE_GYROSCOPE_UNCALIBRATED	-0.079422	-0.04824829	-0.03390503
1560823353746	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6352997	0.58026123	9.915863
1560823353765	TYPE_ACCELEROMETER	-0.46899414	0.5276184	9.6957245
1560823353765	TYPE_MAGNETIC_FIELD	-20.58	24.96	-18.3
1560823353765	TYPE_GYROSCOPE	-0.020431519	-0.046401978	-0.031051636
1560823353765	TYPE_ROTATION_VECTOR	0.032121435	0.018160436	-0.34057
1560823353765	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.78	-3.8999996	-92.399994
1560823353765	TYPE_GYROSCOPE_UNCALIBRATED	-0.057434082	-0.05557251	-0.032684326
1560823353765	TYPE_ACCELEROMETER_UNCALIBRATED	-0.48214722	0.5467682	9.777084
1560823353785	TYPE_ACCELEROMETER	-0.55155945	0.5252228	9.641876
1560823353785	TYPE_MAGNETIC_FIELD	-20.58	25.08	-18.18
1560823353785	TYPE_GYROSCOPE	-0.005783081	-0.024108887	-0.02861023
1560823353785	TYPE_ROTATION_VECTOR	0.03160386	0.017815297	-0.34085035
1560823353785	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.78	-3.7799988	-92.28
1560823353785	TYPE_GYROSCOPE_UNCALIBRATED	-0.018630981	-0.047332764	-0.034210205
1560823353785	TYPE_ACCELEROMETER_UNCALIBRATED	-0.50727844	0.51924133	9.639481
1560823353804	TYPE_ACCELEROMETER	-0.6424713	0.5539398	9.541382
1560823353804	TYPE_MAGNETIC_FIELD	-20.58	25.14	-18.18
1560823353804	TYPE_GYROSCOPE	-0.0021209717	-0.010055542	-0.020065308
1560823353804	TYPE_ROTATION_VECTOR	0.031389337	0.017543439	-0.34113988
1560823353804	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.78	-3.7199993	-92.28
1560823353804	TYPE_GYROSCOPE_UNCALIBRATED	-0.003982544	-0.025039673	-0.0317688
1560823353804	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6006012	0.5383911	9.622742
1560823353823	TYPE_ACCELEROMETER	-0.7238312	0.56829834	9.354752
1560823353823	TYPE_MAGNETIC_FIELD	-20.58	25.14	-18.24
1560823353823	TYPE_GYROSCOPE	6.2561035E-4	6.2561035E-4	-0.011810303
1560823353823	TYPE_ROTATION_VECTOR	0.031292226	0.01742253	-0.3413656
1560823353823	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.78	-3.7199993	-92.34
1560823353823	TYPE_GYROSCOPE_UNCALIBRATED	-3.2043457E-4	-0.010986328	-0.023223877
1560823353823	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6843567	0.5659027	9.439697
1560823353842	TYPE_ACCELEROMETER	-0.7142639	0.5084839	9.273392
1560823353842	TYPE_MAGNETIC_FIELD	-20.58	25.26	-18.18
1560823353842	TYPE_GYROSCOPE	-0.017700195	0.010101318	-0.0023345947
1560823353842	TYPE_ROTATION_VECTOR	0.03128064	0.017368387	-0.34150714
1560823353842	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.78	-3.5999985	-92.28
1560823353842	TYPE_GYROSCOPE_UNCALIBRATED	0.0024261475	-3.0517578E-4	-0.014968872
1560823353842	TYPE_ACCELEROMETER_UNCALIBRATED	-0.727417	0.54437256	9.296127
1560823353862	TYPE_ACCELEROMETER	-0.6759796	0.47138977	9.317657
1560823353862	TYPE_MAGNETIC_FIELD	-20.76	25.32	-18.18
1560823353862	TYPE_GYROSCOPE	-0.041519165	0.011932373	0.003768921
1560823353862	TYPE_ROTATION_VECTOR	0.031249521	0.017465029	-0.3415717
1560823353862	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.6	-3.539999	-92.28
1560823353862	TYPE_GYROSCOPE_UNCALIBRATED	-0.015899658	0.009170532	-0.005493164
1560823353862	TYPE_ACCELEROMETER_UNCALIBRATED	-0.727417	0.54437256	9.296127
1560823353881	TYPE_ACCELEROMETER	-0.6807556	0.48693848	9.281769
1560823353881	TYPE_MAGNETIC_FIELD	-20.76	25.38	-17.699999
1560823353881	TYPE_GYROSCOPE	-0.052505493	0.0113220215	0.006515503
1560823353881	TYPE_ROTATION_VECTOR	0.031011986	0.017648445	-0.34154946
1560823353881	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.6	-3.4799995	-91.799995
1560823353881	TYPE_GYROSCOPE_UNCALIBRATED	-0.039718628	0.011001587	6.1035156E-4
1560823353881	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6963196	0.4845581	9.286545
1560823353900	TYPE_ACCELEROMETER	-0.5467682	0.48454285	9.183655
1560823353900	TYPE_MAGNETIC_FIELD	-20.88	25.619999	-17.82
1560823353900	TYPE_GYROSCOPE	-0.045791626	0.019577026	0.008636475
1560823353900	TYPE_ROTATION_VECTOR	0.030606246	0.017925637	-0.34148982
1560823353900	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.480003	-3.2399998	-91.92
1560823353900	TYPE_GYROSCOPE_UNCALIBRATED	-0.050704956	0.010391235	0.0033569336
1560823353900	TYPE_ACCELEROMETER_UNCALIBRATED	-0.68673706	0.47737122	9.316452
1560823353919	TYPE_ACCELEROMETER	-0.4737854	0.48095703	9.101105
1560823353919	TYPE_MAGNETIC_FIELD	-20.76	25.74	-17.699999
1560823353919	TYPE_GYROSCOPE	-0.053726196	0.021697998	0.003768921
1560823353919	TYPE_ROTATION_VECTOR	0.030606246	0.017925637	-0.34148982
1560823353919	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.480003	-3.2399998	-91.92
1560823353919	TYPE_GYROSCOPE_UNCALIBRATED	-0.04399109	0.01864624	0.0054779053
1560823353919	TYPE_ACCELEROMETER_UNCALIBRATED	-0.61016846	0.4893341	9.242279
1560823353939	TYPE_ACCELEROMETER	-0.28355408	0.46899414	9.188446
1560823353939	TYPE_MAGNETIC_FIELD	-20.76	25.74	-17.699999
1560823353939	TYPE_GYROSCOPE	-0.095581055	0.014678955	0.0031585693
1560823353939	TYPE_ROTATION_VECTOR	0.03020721	0.01820569	-0.341408
1560823353939	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.6	-3.119999	-91.799995
1560823353939	TYPE_GYROSCOPE_UNCALIBRATED	-0.05192566	0.020767212	6.1035156E-4
1560823353939	TYPE_ACCELEROMETER_UNCALIBRATED	-0.37927246	0.49053955	9.152557
1560823353958	TYPE_ACCELEROMETER	-0.19143677	0.3816681	9.2482605
1560823353958	TYPE_MAGNETIC_FIELD	-20.88	25.619999	-17.88
1560823353958	TYPE_GYROSCOPE	-0.12123108	0.044921875	0.0019378662
1560823353958	TYPE_ROTATION_VECTOR	0.029872721	0.01856086	-0.34133208
1560823353958	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.480003	-3.2399998	-91.979996
1560823353958	TYPE_GYROSCOPE_UNCALIBRATED	-0.09378052	0.013748169	0.0
1560823353958	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20458984	0.4355011	9.205185
1560823353977	TYPE_ACCELEROMETER	-0.2416687	0.28474426	9.438492
1560823353977	TYPE_MAGNETIC_FIELD	-20.88	25.619999	-17.88
1560823353977	TYPE_GYROSCOPE	-0.13619995	0.09806824	3.9672852E-4
1560823353977	TYPE_ROTATION_VECTOR	0.029872721	0.01856086	-0.34133208
1560823353977	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.480003	-3.2399998	-91.979996
1560823353977	TYPE_GYROSCOPE_UNCALIBRATED	-0.11943054	0.04399109	-0.0012207031
1560823353977	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22612	0.32304382	9.314072
1560823353996	TYPE_ACCELEROMETER	-0.275177	0.28475952	9.84288
1560823353996	TYPE_MAGNETIC_FIELD	-20.88	25.68	-17.88
1560823353996	TYPE_GYROSCOPE	-0.17468262	0.10386658	-0.007537842
1560823353996	TYPE_ROTATION_VECTOR	0.028822418	0.01919244	-0.34126225
1560823353996	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.480003	-3.1799984	-91.979996
1560823353996	TYPE_GYROSCOPE_UNCALIBRATED	-0.13439941	0.09713745	-0.0027618408
1560823353996	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2632141	0.2596283	9.6418915
1560823354016	TYPE_ACCELEROMETER	-0.09211731	0.46780396	9.940979
1560823354016	TYPE_MAGNETIC_FIELD	-21.0	25.859999	-17.699999
1560823354016	TYPE_GYROSCOPE	-0.19544983	0.041870117	-0.026779175
1560823354016	TYPE_ROTATION_VECTOR	0.026425425	0.022074135	-0.34114143
1560823354016	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.36	-3.0	-91.799995
1560823354016	TYPE_GYROSCOPE_UNCALIBRATED	-0.17288208	0.10293579	-0.010696411
1560823354016	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20817566	0.36491394	9.950562
1560823354035	TYPE_ACCELEROMETER	0.114852905	0.65563965	9.448059
1560823354035	TYPE_MAGNETIC_FIELD	-20.699999	25.92	-17.64
1560823354035	TYPE_GYROSCOPE	-0.15238953	-0.0054779053	-0.052444458
1560823354035	TYPE_ROTATION_VECTOR	0.024945784	0.02342725	-0.3412213
1560823354035	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.660004	-2.9399986	-91.74
1560823354035	TYPE_GYROSCOPE_UNCALIBRATED	-0.19364929	0.04093933	-0.029937744
1560823354035	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20817566	0.36491394	9.950562
1560823354054	TYPE_ACCELEROMETER	0.22851562	0.70588684	9.146576
1560823354054	TYPE_MAGNETIC_FIELD	-20.699999	25.98	-17.699999
1560823354054	TYPE_GYROSCOPE	-0.13069153	0.0055236816	-0.069229126
1560823354054	TYPE_ROTATION_VECTOR	0.023352409	0.024108663	-0.3415324
1560823354054	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.660004	-2.8799992	-91.799995
1560823354054	TYPE_GYROSCOPE_UNCALIBRATED	-0.15058899	-0.0064086914	-0.055603027
1560823354054	TYPE_ACCELEROMETER_UNCALIBRATED	0.015563965	0.58026123	9.76152
1560823354073	TYPE_ACCELEROMETER	0.3361969	0.70588684	9.3667145
1560823354073	TYPE_MAGNETIC_FIELD	-20.64	25.98	-17.52
1560823354073	TYPE_GYROSCOPE	-0.18017578	-0.021362305	-0.06465149
1560823354073	TYPE_ROTATION_VECTOR	0.022155765	0.024526022	-0.34206825
1560823354073	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.72	-2.8799992	-91.619995
1560823354073	TYPE_GYROSCOPE_UNCALIBRATED	-0.12889099	0.0045928955	-0.072387695
1560823354073	TYPE_ACCELEROMETER_UNCALIBRATED	0.26919556	0.702301	9.235107
1560823354092	TYPE_ACCELEROMETER	0.44029236	0.7884369	9.55455
1560823354092	TYPE_MAGNETIC_FIELD	-20.76	25.92	-17.4
1560823354092	TYPE_GYROSCOPE	-0.21011353	-0.038467407	-0.051208496
1560823354092	TYPE_ROTATION_VECTOR	0.020775264	0.025011042	-0.34265968
1560823354092	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.6	-2.9399986	-91.5
1560823354092	TYPE_GYROSCOPE_UNCALIBRATED	-0.17837524	-0.02229309	-0.06781006
1560823354092	TYPE_ACCELEROMETER_UNCALIBRATED	0.26919556	0.702301	9.235107
1560823354102	TYPE_WIFI	dc1171e1aa65a40351c49e40b30e89278524e3ac	38b9b42edca3c98dbbee34d4e870dbcd560b69fb	-78	2447	1560823329363
1560823354102	TYPE_WIFI	5838233057af18d8db9f69b7000f788edef25956	c6552443ee1b882f5c4ec14fb6a9e27666d423a0	-76	2457	1560823328150
1560823354102	TYPE_WIFI	aabbe037012b5a241b60fd84439d5825c58ece97	2ce13ba66364944986e07b675c834d34bea19cde	-64	2412	1560823353490
1560823354102	TYPE_WIFI	aabbe037012b5a241b60fd84439d5825c58ece97	584dbe87bfcde10c28bfe5e3ad4aba1eef7b409f	-68	2412	1560823329134
1560823354102	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	3937cae123c2ab3babda71c7743641d516b91e86	-71	2462	1560823353868
1560823354102	TYPE_WIFI	258a7fca7f8ec2f64995e3f61ced89b064eccbbe	2709e16e2033cb7f50605cbf4ec29e649ac6b907	-79	2412	1560823334720
1560823354102	TYPE_WIFI	aabbe037012b5a241b60fd84439d5825c58ece97	98aa5345e0693e21c4a3830d435829802ebc585d	-81	2462	1560823346232
1560823354102	TYPE_WIFI	2a2ca48ea69fa3d384cfd534e9de855eeebadaac	e6d83c0bfffbddb5aed2372b6fb25b70a18d59da	-82	2472	1560823340799
1560823354102	TYPE_WIFI	1b35890c32ae6165d9ad46fc22c93b02f4ad4e79	a7b2dfa010fb75aa94e764eb2d01ae9bd8c57e2e	-71	2412	1560823351559
1560823354102	TYPE_WIFI	aabbe037012b5a241b60fd84439d5825c58ece97	1dfa8ead202d8fbf526ad5a7008b1f7d5456ebd7	-83	5765	1560823353587
1560823354102	TYPE_WIFI	c966540e7417caa64c89670181fc9853b31d969c	909e5255c1af9d9efc328703074b05175d8ce1cf	-74	2442	1560823329313
1560823354102	TYPE_WIFI	aabbe037012b5a241b60fd84439d5825c58ece97	8047a7e90ef4a0b3289dafcfdefb0dd3743a442a	-49	2462	1560823351942
1560823354102	TYPE_WIFI	d1b67eee294a6c5a40600c97ef3491d546a55862	b8340013b7515c0f79958fc5f4873bab5f933fe2	-62	2432	1560823351686
1560823354102	TYPE_WIFI	aabbe037012b5a241b60fd84439d5825c58ece97	632bd9914102f0325467bcc5137b5d5cbaeb784f	-49	2437	1560823353684
1560823354102	TYPE_WIFI	aabbe037012b5a241b60fd84439d5825c58ece97	ddabea0c25901e864b8d7c775150a3ad0ef6ee2e	-44	2437	1560823353680
1560823354102	TYPE_WIFI	aabbe037012b5a241b60fd84439d5825c58ece97	e41282777db5257bd1c32c8a2ce80bf9d0cf9bd8	-72	5745	1560823353577
1560823354102	TYPE_WIFI	aabbe037012b5a241b60fd84439d5825c58ece97	979fe9d5c1e4e7b2f1c4b748f50e919aa26208f4	-53	2437	1560823353678
1560823354102	TYPE_WIFI	3797c6cfe353da7a8e2aed935e2b142a22c2b487	f3229ac8ab1c469221c6a205839ed1c9ee311fc1	-73	2452	1560823351850
1560823354102	TYPE_WIFI	aabbe037012b5a241b60fd84439d5825c58ece97	40e7355a9453b240056d430d4384eaea06bd83c6	-70	5825	1560823353619
1560823354102	TYPE_WIFI	c5107a1134d78cdc3b2248009e31b267103e2096	c089e817f0a92900c43e7b7e191a3381e984a542	-59	2412	1560823353480
1560823354102	TYPE_WIFI	ad99fc6afa11bbe575668fe4babffee295ee0b33	a94ee74ae9d47df7be88c9780791deba768a4ee5	-57	2437	1560823353688
1560823354102	TYPE_WIFI	3afea7ef3b64518f2e8303f15b60f01d39e14893	c4a6d27540939aa20a1d3c0e543ba64077dfa80d	-68	2412	1560823329117
1560823354102	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	351ea26392e150e953e17f04e843e42b69c50aff	-74	5745	1560823340393
1560823354102	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	50d5e82596748c5556e83d631e89cd4777d7b661	-69	2412	1560823329103
1560823354102	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	ed255e0c4aa4c1a26062c7a202955eab69eddea9	-55	2462	1560823329441
1560823354102	TYPE_WIFI	add82dd7045ef2eea98eae42213ff5cc80327ac3	fab8aabcdc2f45311fa5f25de148b4d8a6ed61a7	-64	2412	1560823351582
1560823354102	TYPE_WIFI	aabbe037012b5a241b60fd84439d5825c58ece97	5bceb5fb15b3fc0ecf298348f89b970530876b43	-67	2412	1560823353510
1560823354102	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	63c2be949743246c0689b9ae21ef6bd69f39c5b7	-73	5825	1560823346055
1560823354102	TYPE_WIFI	aabbe037012b5a241b60fd84439d5825c58ece97	8aeb746f51021d7da0374cb43bdae6aa4685f032	-85	5745	1560823347856
1560823354102	TYPE_WIFI	aabbe037012b5a241b60fd84439d5825c58ece97	c6672bc44ac6029efafe4a21c8bdfeb87e53e18b	-87	5745	1560823353566
1560823354102	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	8022adced5f6b64e17ee9358ffbc90448d83293f	-84	5745	1560823347834
1560823354102	TYPE_WIFI	aabbe037012b5a241b60fd84439d5825c58ece97	e00ecd3fe67ecce273c18d279f7c59af7c5cd621	-76	2462	1560823353836
1560823354102	TYPE_WIFI	24d541326f4feaaa6978404eda1bd951ee8363b6	de972b3ea70d9c93be5729af36b5f8caaad58262	-78	2462	1560823328188
1560823354102	TYPE_WIFI	aabbe037012b5a241b60fd84439d5825c58ece97	5663439787431d72b17ff090ef4690a60f0a93d7	-79	2437	1560823329285
1560823354102	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	888ac5c2c18983b2710e0bd99d1bf7a2a6793c0c	-66	2412	1560823334704
1560823354102	TYPE_WIFI	982134deea4a30ee04b28e9f53e34439b25de065	ecde86d26fead9db917025440122a3ded98f8da3	-80	2412	1560823345982
1560823354102	TYPE_WIFI	330a0ce93491e3fb570f3417846f3c5eb4dc4750	6f915971fe537aaf10ae1cf68a775bb9d56008b0	-87	2427	1560823340510
1560823354102	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	205f8374ae387f11df7add37e963c42d8e5ebae2	-60	2437	1560823346131
1560823354102	TYPE_WIFI	7193876587232c192a3bc353ec20a06cf7e7d57a	51be11659d6aec67e5c4e69f6d1f7aeb9ebf1502	-74	2412	1560823347836
1560823354102	TYPE_WIFI	aabbe037012b5a241b60fd84439d5825c58ece97	c3eee6a08de72479d61d1ba0631cc2f6cdf62705	-62	2437	1560823353692
1560823354102	TYPE_WIFI	968efae0a8f5461ccac90768880e1ec9f5e6e3e9	5ada1a976709b9db455549a70fc920da248a0c2a	-80	2457	1560823351913
1560823354102	TYPE_WIFI	7de518f440b620f9dd531ba64fd30fd279d6d4f9	d95fbdcb087d66c7c7c2f6ed79f6769bad167b05	-71	2452	1560823351838
1560823354102	TYPE_WIFI	e3f0ca1e41503e7994c0d6342c904903d2af8663	569894f8f9b22bcbd8837e7e751d6895c8c7df32	-80	2462	1560823351930
1560823354102	TYPE_WIFI	aabbe037012b5a241b60fd84439d5825c58ece97	80d9b05997641ce1181f2207749114b8f53c1978	-73	2462	1560823351947
1560823354102	TYPE_WIFI	159f8e557940127fc425242a627797d65412538d	41eb59ea0c002c43e71d448bb53175328ddcdb35	-79	2462	1560823353841
1560823354112	TYPE_ACCELEROMETER	0.53001404	0.8530426	9.516266
1560823354112	TYPE_MAGNETIC_FIELD	-20.699999	25.92	-17.279999
1560823354112	TYPE_GYROSCOPE	-0.18415833	-0.030212402	-0.04296875
1560823354112	TYPE_ROTATION_VECTOR	0.018811682	0.02535976	-0.34313312
1560823354112	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.660004	-2.9399986	-91.38
1560823354112	TYPE_GYROSCOPE_UNCALIBRATED	-0.20831299	-0.039398193	-0.054367065
1560823354112	TYPE_ACCELEROMETER_UNCALIBRATED	0.5001068	0.8291168	9.579666
