#	startTime:1560823709198
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b58557	FloorName:1F
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560823709199	TYPE_WAYPOINT	52.803097	156.64545
1560823709307	TYPE_ACCELEROMETER	-0.30628967	0.6125641	9.221939
1560823709307	TYPE_MAGNETIC_FIELD	-22.38	-22.08	-19.5
1560823709307	TYPE_GYROSCOPE	-0.021347046	0.06813049	0.11920166
1560823709307	TYPE_ROTATION_VECTOR	0.025303304	-0.024008669	-0.9231441
1560823709307	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.980001	-50.94	-93.6
1560823709307	TYPE_GYROSCOPE_UNCALIBRATED	-0.019546509	0.06719971	0.11604309
1560823709307	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29551697	0.5383911	8.955139
1560823709326	TYPE_ACCELEROMETER	-0.4008026	0.6017914	9.389435
1560823709326	TYPE_MAGNETIC_FIELD	-22.56	-22.439999	-19.619999
1560823709326	TYPE_GYROSCOPE	-0.060760498	0.026901245	0.018112183
1560823709326	TYPE_ROTATION_VECTOR	0.027532618	-0.021438554	-0.9167824
1560823709326	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.800001	-51.299995	-93.72
1560823709326	TYPE_GYROSCOPE_UNCALIBRATED	-0.019546509	0.06719971	0.11604309
1560823709326	TYPE_ACCELEROMETER_UNCALIBRATED	-0.25842285	0.6006012	9.084351
1560823709345	TYPE_ACCELEROMETER	-0.38523865	0.5383911	9.343979
1560823709345	TYPE_MAGNETIC_FIELD	-22.74	-22.74	-19.5
1560823709345	TYPE_GYROSCOPE	-0.08061218	0.02079773	-0.08175659
1560823709345	TYPE_ROTATION_VECTOR	0.031918384	-0.020997448	-0.9155442
1560823709345	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.62	-51.6	-93.6
1560823709345	TYPE_GYROSCOPE_UNCALIBRATED	-0.078811646	0.019866943	-0.08491516
1560823709345	TYPE_ACCELEROMETER_UNCALIBRATED	-0.37687683	0.61854553	9.330811
1560823709364	TYPE_ACCELEROMETER	-0.38883972	0.4785614	9.427734
1560823709364	TYPE_MAGNETIC_FIELD	-22.74	-22.74	-19.5
1560823709364	TYPE_GYROSCOPE	-0.077545166	0.020477295	-0.09642029
1560823709364	TYPE_ROTATION_VECTOR	0.031918384	-0.020997448	-0.9155442
1560823709364	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.62	-51.6	-93.6
1560823709364	TYPE_GYROSCOPE_UNCALIBRATED	-0.07574463	0.019546509	-0.09957886
1560823709364	TYPE_ACCELEROMETER_UNCALIBRATED	-0.38404846	0.50608826	9.358337
1560823709384	TYPE_ACCELEROMETER	-0.41516113	0.45703125	9.487549
1560823709384	TYPE_MAGNETIC_FIELD	-22.74	-22.74	-19.5
1560823709384	TYPE_GYROSCOPE	-0.07572937	-0.003326416	-0.12054443
1560823709384	TYPE_ROTATION_VECTOR	0.031918384	-0.020997448	-0.9155442
1560823709384	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.62	-51.6	-93.6
1560823709384	TYPE_GYROSCOPE_UNCALIBRATED	-0.07392883	-0.004257202	-0.123703
1560823709384	TYPE_ACCELEROMETER_UNCALIBRATED	-0.40559387	0.4510498	9.470795
1560823709403	TYPE_ACCELEROMETER	-0.35653687	0.5132599	9.495926
1560823709403	TYPE_MAGNETIC_FIELD	-23.039999	-22.98	-19.619999
1560823709403	TYPE_GYROSCOPE	-0.069000244	-0.025634766	-0.13215637
1560823709403	TYPE_ROTATION_VECTOR	0.029151784	-0.011115852	-0.91011715
1560823709403	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.320002	-51.839996	-93.72
1560823709403	TYPE_GYROSCOPE_UNCALIBRATED	-0.07392883	-0.004257202	-0.123703
1560823709403	TYPE_ACCELEROMETER_UNCALIBRATED	-0.40559387	0.4510498	9.470795
1560823709422	TYPE_ACCELEROMETER	-0.1878357	0.6341095	9.601196
1560823709422	TYPE_MAGNETIC_FIELD	-23.34	-23.039999	-19.5
1560823709422	TYPE_GYROSCOPE	-0.07052612	-0.045791626	-0.12788391
1560823709422	TYPE_ROTATION_VECTOR	0.027372224	-0.0130789	-0.90998554
1560823709422	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.02	-51.899998	-93.6
1560823709422	TYPE_GYROSCOPE_UNCALIBRATED	-0.06719971	-0.026565552	-0.13531494
1560823709422	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4055786	0.4893341	9.500702
1560823709441	TYPE_ACCELEROMETER	-0.08973694	0.599411	9.443283
1560823709441	TYPE_MAGNETIC_FIELD	-23.46	-23.34	-19.68
1560823709441	TYPE_GYROSCOPE	-0.054031372	-0.037857056	-0.119628906
1560823709441	TYPE_ROTATION_VECTOR	0.026784835	-0.012594598	-0.9105198
1560823709441	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.900002	-52.199997	-93.78
