#	startTime:1560824121574
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b5856b	FloorName:2F
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560824121574	TYPE_WAYPOINT	131.94923	48.185234
1560824121689	TYPE_ACCELEROMETER	-0.33738708	0.85424805	8.029114
1560824121689	TYPE_MAGNETIC_FIELD	-20.4	18.96	-36.54
1560824121689	TYPE_GYROSCOPE	-0.09542847	-0.053268433	0.017807007
1560824121689	TYPE_ROTATION_VECTOR	0.05618388	-0.0035314276	-0.37361896
1560824121689	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.08	-8.4	-97.020004
1560824121689	TYPE_GYROSCOPE_UNCALIBRATED	-0.010391235	-0.018920898	0.058013916
1560824121689	TYPE_ACCELEROMETER_UNCALIBRATED	-0.30867004	0.8219452	8.510071
1560824121708	TYPE_ACCELEROMETER	-0.19979858	0.7680969	8.941986
1560824121708	TYPE_MAGNETIC_FIELD	-20.4	19.08	-36.54
1560824121708	TYPE_GYROSCOPE	-0.33013916	-0.16215515	-0.09794617
1560824121708	TYPE_ROTATION_VECTOR	0.051643424	-0.0039061124	-0.36348125
1560824121708	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.08	-8.279999	-97.020004
1560824121708	TYPE_GYROSCOPE_UNCALIBRATED	-0.09362793	-0.05419922	0.0146484375
1560824121708	TYPE_ACCELEROMETER_UNCALIBRATED	-0.053848267	0.7657013	9.291336
1560824121727	TYPE_ACCELEROMETER	0.009567261	0.83509827	9.547363
1560824121727	TYPE_MAGNETIC_FIELD	-20.52	19.08	-36.54
1560824121727	TYPE_GYROSCOPE	-0.23760986	-0.1331482	-0.06465149
1560824121727	TYPE_ROTATION_VECTOR	0.03887545	-0.013919879	-0.37743247
1560824121727	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.96	-8.279999	-97.020004
1560824121727	TYPE_GYROSCOPE_UNCALIBRATED	-0.32833862	-0.16308594	-0.10110474
1560824121727	TYPE_ACCELEROMETER_UNCALIBRATED	0.0012054443	0.9260254	9.684952
1560824121746	TYPE_ACCELEROMETER	0.0	1.0552368	9.76152
1560824121746	TYPE_MAGNETIC_FIELD	-20.279999	19.14	-36.42
1560824121746	TYPE_GYROSCOPE	-0.11695862	-0.037857056	-0.04144287
1560824121746	TYPE_ROTATION_VECTOR	0.044244457	-0.015263571	-0.3375234
1560824121746	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.2	-8.219999	-96.899994
1560824121746	TYPE_GYROSCOPE_UNCALIBRATED	-0.23580933	-0.13407898	-0.06781006
1560824121746	TYPE_ACCELEROMETER_UNCALIBRATED	0.010772705	1.2275238	9.750763
1560824121766	TYPE_ACCELEROMETER	0.025131226	1.3376007	9.742386
1560824121766	TYPE_MAGNETIC_FIELD	-20.46	19.26	-36.54
1560824121766	TYPE_GYROSCOPE	-0.056777954	0.0617218	0.009262085
1560824121766	TYPE_ROTATION_VECTOR	0.05848197	-0.021872928	-0.3529247
1560824121766	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.02	-8.099998	-97.020004
1560824121766	TYPE_GYROSCOPE_UNCALIBRATED	-0.11515808	-0.03878784	-0.04460144
1560824121766	TYPE_ACCELEROMETER_UNCALIBRATED	0.010772705	1.2275238	9.750763
1560824121785	TYPE_ACCELEROMETER	0.0071868896	1.3686981	10.258026
1560824121785	TYPE_MAGNETIC_FIELD	-20.52	19.38	-36.6
1560824121785	TYPE_GYROSCOPE	-0.112976074	0.0605011	0.03491211
1560824121785	TYPE_ROTATION_VECTOR	0.06299161	-0.024995921	-0.3515347
1560824121785	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.96	-7.9799995	-97.08
1560824121785	TYPE_GYROSCOPE_UNCALIBRATED	-0.054977417	0.060791016	0.0061035156
1560824121785	TYPE_ACCELEROMETER_UNCALIBRATED	0.04067993	1.3746796	9.934998
1560824121804	TYPE_ACCELEROMETER	-0.093322754	1.2897339	11.1362
1560824121804	TYPE_MAGNETIC_FIELD	-20.58	19.56	-36.66
1560824121804	TYPE_GYROSCOPE	-0.2150116	-0.07388306	0.025741577
