#	startTime:1560824579016
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b5856b	FloorName:2F
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560824579016	TYPE_WAYPOINT	105.34403	67.538345
1560824579139	TYPE_ACCELEROMETER	-0.948761	0.5611267	10.429123
1560824579139	TYPE_MAGNETIC_FIELD	25.019999	26.46	-38.219997
1560824579139	TYPE_GYROSCOPE	-0.046401978	-0.033111572	0.03491211
1560824579139	TYPE_ROTATION_VECTOR	1.3897555E-5	0.04467739	0.32471472
1560824579139	TYPE_MAGNETIC_FIELD_UNCALIBRATED	80.21999	-4.800001	-102.72
1560824579139	TYPE_GYROSCOPE_UNCALIBRATED	0.017089844	-0.02809143	0.042129517
1560824579139	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8913269	0.45344543	10.362122
1560824579158	TYPE_ACCELEROMETER	-1.0899353	0.9056854	10.194626
1560824579158	TYPE_MAGNETIC_FIELD	25.199999	26.46	-38.1
1560824579158	TYPE_GYROSCOPE	-0.20553589	-0.0460968	0.013839722
1560824579158	TYPE_ROTATION_VECTOR	0.007895658	0.05118587	0.3308373
1560824579158	TYPE_MAGNETIC_FIELD_UNCALIBRATED	80.399994	-4.800001	-102.6
1560824579158	TYPE_GYROSCOPE_UNCALIBRATED	-0.04460144	-0.03404236	0.03175354
1560824579158	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0253296	0.7142639	10.374084
1560824579177	TYPE_ACCELEROMETER	-1.0492554	1.2933197	9.633514
1560824579177	TYPE_MAGNETIC_FIELD	25.26	26.34	-38.1
1560824579177	TYPE_GYROSCOPE	-0.1096344	-0.014343262	0.061187744
1560824579177	TYPE_ROTATION_VECTOR	0.0227524	0.064138256	0.3139834
1560824579177	TYPE_MAGNETIC_FIELD_UNCALIBRATED	80.46	-4.92	-102.6
1560824579177	TYPE_GYROSCOPE_UNCALIBRATED	-0.20373535	-0.047027588	0.010681152
1560824579177	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1126709	1.1090851	9.937393
1560824579196	TYPE_ACCELEROMETER	-0.9415741	1.6175537	9.104691
1560824579196	TYPE_MAGNETIC_FIELD	25.199999	26.34	-38.1
1560824579196	TYPE_GYROSCOPE	-0.05984497	-0.0012054443	0.08439636
