#	startTime:1560824952845
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b5856b	FloorName:2F
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560824952846	TYPE_WAYPOINT	148.68042	109.87079
1560824952962	TYPE_ACCELEROMETER	-0.49172974	0.06819153	10.760529
1560824952962	TYPE_MAGNETIC_FIELD	38.579998	10.26	-33.0
1560824952962	TYPE_GYROSCOPE	0.22955322	-0.043655396	0.06774902
1560824952962	TYPE_ROTATION_VECTOR	-0.017824208	0.017044399	0.5542772
1560824952962	TYPE_MAGNETIC_FIELD_UNCALIBRATED	94.799995	-18.599998	-92.399994
1560824952962	TYPE_GYROSCOPE_UNCALIBRATED	0.06291199	-0.03175354	0.07267761
1560824952962	TYPE_ACCELEROMETER_UNCALIBRATED	-0.49172974	0.06819153	10.760529
1560824952981	TYPE_ACCELEROMETER	-0.5240326	0.011962891	9.305695
1560824952981	TYPE_MAGNETIC_FIELD	38.7	9.78	-33.12
1560824952981	TYPE_GYROSCOPE	0.74253845	-0.07206726	0.040420532
1560824952981	TYPE_ROTATION_VECTOR	-0.010317197	0.019533848	0.6374526
1560824952981	TYPE_MAGNETIC_FIELD_UNCALIBRATED	94.92	-19.079998	-92.52
1560824952981	TYPE_GYROSCOPE_UNCALIBRATED	0.75442505	-0.064437866	0.03327942
1560824952981	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5240326	0.011962891	9.305695
1560824953000	TYPE_ACCELEROMETER	-0.46540833	-0.017959595	7.7120667
1560824953000	TYPE_MAGNETIC_FIELD	38.46	8.58	-33.12
1560824953000	TYPE_GYROSCOPE	0.75445557	-0.05923462	0.035217285
1560824953000	TYPE_ROTATION_VECTOR	-0.01745716	0.020631189	0.6459256
1560824953000	TYPE_MAGNETIC_FIELD_UNCALIBRATED	94.67999	-20.279999	-92.52
1560824953000	TYPE_GYROSCOPE_UNCALIBRATED	0.7431183	-0.03907776	0.03388977
1560824953000	TYPE_ACCELEROMETER_UNCALIBRATED	-0.46540833	-0.017959595	7.7120667
1560824953019	TYPE_ACCELEROMETER	-0.47616577	0.06460571	6.22493
1560824953019	TYPE_MAGNETIC_FIELD	38.28	7.74	-33.18
1560824953019	TYPE_GYROSCOPE	0.6997833	-0.00944519	0.044387817
1560824953019	TYPE_ROTATION_VECTOR	-0.018556526	0.01964309	0.6670534
1560824953019	TYPE_MAGNETIC_FIELD_UNCALIBRATED	94.5	-21.119999	-92.58
1560824953019	TYPE_GYROSCOPE_UNCALIBRATED	0.6255188	-0.008544922	0.052520752
1560824953019	TYPE_ACCELEROMETER_UNCALIBRATED	-0.47616577	0.06460571	6.22493
1560824953039	TYPE_ACCELEROMETER	-0.2871399	0.27996826	4.9411774
1560824953039	TYPE_MAGNETIC_FIELD	38.04	6.96	-33.239998
1560824953039	TYPE_GYROSCOPE	0.50582886	-0.049453735	0.067596436
1560824953039	TYPE_ROTATION_VECTOR	-0.022092067	0.031239634	0.6646407
1560824953039	TYPE_MAGNETIC_FIELD_UNCALIBRATED	94.259995	-21.899998	-92.64
1560824953039	TYPE_GYROSCOPE_UNCALIBRATED	0.34910583	-0.109954834	0.07267761
1560824953039	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2871399	0.27996826	4.9411774
1560824953058	TYPE_ACCELEROMETER	-0.16989136	0.38883972	4.4757843
